"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary.Quote","X"
"660","CHMI^A","Cherry Hill Mortgage Investment Corporation","23.03","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chmi^a",NA
"661","CHMI^B","Cherry Hill Mortgage Investment Corporation","21.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chmi^b",NA
"662","CPK","Chesapeake Utilities Corporation","88.82","$1.46B","n/a","Public Utilities","Oil & Gas Production","https://old.nasdaq.com/symbol/cpk",NA
"663","CVX","Chevron Corporation","74","$138.18B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cvx",NA
"664","CHWY","Chewy, Inc.","61.58","$25.4B","2019","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/chwy",NA
"665","CHS","Chico&#39;s FAS, Inc.","1.17","$140.27M","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/chs",NA
"666","CIM","Chimera Investment Corporation","8.73","$2.03B","2007","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cim",NA
"667","CIM^A","Chimera Investment Corporation","23.8399","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cim^a",NA
"668","CIM^B","Chimera Investment Corporation","21.4","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cim^b",NA
"669","CIM^C","Chimera Investment Corporation","19.89","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cim^c",NA
"670","CIM^D","Chimera Investment Corporation","20.37","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cim^d",NA
"671","DL","China Distance Education Holdings Limited","9.42","$318.68M","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/dl",NA
"672","CEA","China Eastern Airlines Corporation Ltd.","22.07","$7.23B","1997","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/cea",NA
"673","CHN","China Fund, Inc. (The)","26.37","$276.29M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/chn",NA
"674","CGA","China Green Agriculture, Inc.","2.3789","$15.11M","n/a","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/cga",NA
"675","LFC","China Life Insurance Company Limited","11.74","$66.37B","2003","Finance","Life Insurance","https://old.nasdaq.com/symbol/lfc",NA
"676","CHL","China Mobile (Hong Kong) Ltd.","32.39","$132.64B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/chl",NA
"677","COE","China Online Education Group","25","$535.19M","2016","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/coe",NA
"678","SNP","China Petroleum & Chemical Corporation","40.88","$49.49B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/snp",NA
"679","ZNH","China Southern Airlines Company Limited","27.95","$8.57B","1997","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/znh",NA
"680","CHA","China Telecom Corp Ltd","30.3","$24.52B","2002","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/cha",NA
"681","CHU","China Unicom (Hong Kong) Ltd","6.57","$20.1B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/chu",NA
"682","CYD","China Yuchai International Limited","17.64","$720.74M","1994","Energy","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cyd",NA
"683","CMG","Chipotle Mexican Grill, Inc.","1281.99","$35.85B","2006","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/cmg",NA
"684","CHH","Choice Hotels International, Inc.","91.27","$5.05B","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/chh",NA
"685","CB","Chubb Limited","120.45","$54.37B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/cb",NA
"686","CHT","Chunghwa Telecom Co., Ltd.","37.01","$28.71B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/cht",NA
"687","CHD","Church & Dwight Company, Inc.","92.76","$22.94B","n/a","Basic Industries","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/chd",NA
"688","CCX","Churchill Capital Corp II","10.23","$882.34M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/ccx",NA
"689","CCX.U","Churchill Capital Corp II","n/a","n/a","2019","n/a","n/a","https://old.nasdaq.com/symbol/ccx.u",NA
"690","CCX.WS","Churchill Capital Corp II","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ccx.ws",NA
"691","CCIV","Churchill Capital Corp IV","9.75","$2.02B","2020","Finance","Business Services","https://old.nasdaq.com/symbol/cciv",NA
"692","CCIV.U","Churchill Capital Corp IV","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/cciv.u",NA
"693","CCIV.WS","Churchill Capital Corp IV","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cciv.ws",NA
"694","CIEN","Ciena Corporation","43.03","$6.64B","1997","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/cien",NA
"695","CI","Cigna Corporation","176.4","$64.77B","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/ci",NA
"696","XEC","Cimarex Energy Co","24.91","$2.54B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/xec",NA
"697","CBB","Cincinnati Bell Inc","15.07","$763.76M","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/cbb",NA
"698","CBB^B","Cincinnati Bell Inc","48.25","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cbb^b",NA
"699","CNK","Cinemark Holdings Inc","8.43","$991.99M","2007","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/cnk",NA
"700","CINR","Ciner Resources LP","12.57","$248.48M","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/cinr",NA
"701","CIR","CIRCOR International, Inc.","29.64","$592.72M","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/cir",NA
"702","CIT","CIT Group Inc (DEL)","20.21","$1.99B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cit",NA
"703","CIT^B","CIT Group Inc (DEL)","23","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cit^b",NA
"704","CCAC","CITIC Capital Acquisition Corp.","9.79","$337.76M","2020","Finance","Business Services","https://old.nasdaq.com/symbol/ccac",NA
"705","CCAC.U","CITIC Capital Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/ccac.u",NA
"706","CCAC.WS","CITIC Capital Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ccac.ws",NA
"707","BLW","Citigroup Inc.","15.06","$538.23M","2003","Finance","Major Banks","https://old.nasdaq.com/symbol/blw",NA
"708","C","Citigroup Inc.","44.93","$93.54B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/c",NA
"709","C^J","Citigroup Inc.","28.56","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/c^j",NA
"710","C^K","Citigroup Inc.","28.13","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/c^k",NA
"711","C^N","Citigroup Inc.","27.98","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/c^n",NA
"712","C^S","Citigroup Inc.","26.1","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/c^s",NA
"713","CFG","Citizens Financial Group, Inc.","27.96","$11.93B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/cfg",NA
"714","CFG^D","Citizens Financial Group, Inc.","27.21","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfg^d",NA
"715","CFG^E","Citizens Financial Group, Inc.","25.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cfg^e",NA
"716","CIA","Citizens, Inc.","5.86","$295.09M","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/cia",NA
"717","CIO","City Office REIT, Inc.","7.44","$322.87M","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cio",NA
"718","CIO^A","City Office REIT, Inc.","25.14","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cio^a",NA
"719","CVEO","Civeo Corporation","0.6787","$115.77M","2014","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/cveo",NA
"720","CCC","Clarivate Plc","32.8","$20.54B","2019","Technology","EDP Services","https://old.nasdaq.com/symbol/ccc",NA
"721","CLH","Clean Harbors, Inc.","58.87","$3.28B","n/a","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/clh",NA
"722","CCO","Clear Channel Outdoor Holdings, Inc.","1.14","$532.75M","2005","Consumer Services","Advertising","https://old.nasdaq.com/symbol/cco",NA
"723","EMO","ClearBridge Energy Midstream Opportunity Fund Inc.","10.09","$144.72M","2011","n/a","n/a","https://old.nasdaq.com/symbol/emo",NA
"724","CEM","ClearBridge MLP and Midstream Fund Inc.","13.04","$183.64M","2010","n/a","n/a","https://old.nasdaq.com/symbol/cem",NA
"725","CTR","ClearBridge MLP and Midstream Total Return Fund In","11.61","$89.17M","2012","n/a","n/a","https://old.nasdaq.com/symbol/ctr",NA
"726","CLW","Clearwater Paper Corporation","40.48","$670.83M","n/a","Basic Industries","Paper","https://old.nasdaq.com/symbol/clw",NA
"727","CWEN","Clearway Energy, Inc.","30.74","$6.17B","2015","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/cwen",NA
"728","CWEN.A","Clearway Energy, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cwen.a",NA
"729","CLF","Cleveland-Cliffs Inc.","7.55","$3.01B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/clf",NA
"730","CLII.U","Climate Change Crisis Real Impact I Acquisition Corporation","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/clii.u",NA
"731","CLPR","Clipper Realty Inc.","6.59","$117.4M","2017","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/clpr",NA
"732","CLX","Clorox Company (The)","214.79","$27.07B","n/a","Consumer Durables","Specialty Chemicals","https://old.nasdaq.com/symbol/clx",NA
"733","CLDR","Cloudera, Inc.","11.43","$3.53B","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/cldr",NA
"734","NET","Cloudflare, Inc.","46.35","$14.17B","2019","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/net",NA
"735","CMS","CMS Energy Corporation","64.34","$18.42B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/cms",NA
"736","CMS^B","CMS Energy Corporation","109.8486","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/cms^b",NA
"737","CMSA","CMS Energy Corporation","27.1","n/a","2018","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/cmsa",NA
"738","CMSC","CMS Energy Corporation","26.99","n/a","2018","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/cmsc",NA
"739","CMSD","CMS Energy Corporation","27.49","n/a","2019","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/cmsd",NA
"740","CNA","CNA Financial Corporation","30.98","$8.41B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/cna",NA
"741","CNF","CNFinance Holdings Limited","3.11","$213.29M","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/cnf",NA
"742","CNHI","CNH Industrial N.V.","8.41","$11.36B","2013","Capital Goods","Construction/Ag Equipment/Trucks","https://old.nasdaq.com/symbol/cnhi",NA
"743","CNO","CNO Financial Group, Inc.","18.18","$2.58B","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/cno",NA
"744","CEO","CNOOC Limited","97.95","$43.73B","2001","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ceo",NA
"745","CNX","CNX Resources Corporation","10.63","$2.39B","1999","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cnx",NA
"746","KOF","Coca Cola Femsa S.A.B. de C.V.","42.72","$8.97B","1993","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/kof",NA
"747","KO","Coca-Cola Company (The)","50.81","$218.25B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ko",NA
"748","CCEP","Coca-Cola European Partners plc","40.23","$18.29B","2016","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccep",NA
"749","CDE","Coeur Mining, Inc.","8.2","$2B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/cde",NA
"750","FOF","Cohen & Steers Closed-End Opportunity Fund, Inc.","11.28","$307.14M","2006","n/a","n/a","https://old.nasdaq.com/symbol/fof",NA
"751","CNS","Cohen & Steers Inc","59.2","$2.83B","2004","Finance","Investment Managers","https://old.nasdaq.com/symbol/cns",NA
"752","UTF","Cohen & Steers Infrastructure Fund, Inc","23.34","$2.18B","2004","n/a","n/a","https://old.nasdaq.com/symbol/utf",NA
"753","LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","23.85","$689.51M","2012","n/a","n/a","https://old.nasdaq.com/symbol/ldp",NA
"754","MIE","Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.","1.73","$46.54M","2013","n/a","n/a","https://old.nasdaq.com/symbol/mie",NA
"755","RQI","Cohen & Steers Quality Income Realty Fund Inc.","11.68","$1.57B","2002","n/a","n/a","https://old.nasdaq.com/symbol/rqi",NA
"756","RNP","Cohen & Steers REIT and Preferred and Income Fund,","21.8","$1.04B","2003","n/a","n/a","https://old.nasdaq.com/symbol/rnp",NA
"757","PSF","Cohen & Steers Select Preferred and Income Fund, Inc.","26.18","$314.49M","2010","n/a","n/a","https://old.nasdaq.com/symbol/psf",NA
"758","RFI","Cohen & Steers Total Return Realty Fund, Inc.","12.5","$327.72M","1993","n/a","n/a","https://old.nasdaq.com/symbol/rfi",NA
"759","CRHC.U","Cohn Robbins Holdings Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/crhc.u",NA
"760","CFX","Colfax Corporation","32.19","$3.81B","2008","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/cfx",NA
"761","CFXA","Colfax Corporation","138.35","n/a","2019","Capital Goods","Fluid Controls","https://old.nasdaq.com/symbol/cfxa",NA
"762","CL","Colgate-Palmolive Company","79.77","$68.39B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/cl",NA
"763","CXE","Colonial High Income Municipal Trust","4.76","$150.04M","1989","n/a","n/a","https://old.nasdaq.com/symbol/cxe",NA
"764","CIF","Colonial Intermediate High Income Fund","2.4","$46.22M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cif",NA
"765","CXH","Colonial Investment Grade Municipal Trust","9.44","$86M","1989","n/a","n/a","https://old.nasdaq.com/symbol/cxh",NA
"766","CMU","Colonial Municipal Income Trust","4.23","$119.82M","1987","n/a","n/a","https://old.nasdaq.com/symbol/cmu",NA
"767","CLA.U","Colonnade Acquisition Corp.","n/a","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/cla.u",NA
"768","CLNY","Colony Capital, Inc.","3.18","$1.53B","2014","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/clny",NA
"769","CLNY^G","Colony Capital, Inc.","21.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^g",NA
"770","CLNY^H","Colony Capital, Inc.","21.6","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^h",NA
"771","CLNY^I","Colony Capital, Inc.","21.8144","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^i",NA
"772","CLNY^J","Colony Capital, Inc.","21.67","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/clny^j",NA
"773","CLNC","Colony Credit Real Estate, Inc.","5.6","$720.06M","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/clnc",NA
"774","CXP","Columbia Property Trust, Inc.","11.73","$1.34B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cxp",NA
"775","STK","Columbia Seligman Premium Technology Growth Fund, Inc","23.02","$365.83M","2009","n/a","n/a","https://old.nasdaq.com/symbol/stk",NA
"776","CCZ","Comcast Corporation","59.074","n/a","n/a","Consumer Services","Television Services","https://old.nasdaq.com/symbol/ccz",NA
"777","CMA","Comerica Incorporated","42.34","$5.89B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cma",NA
"778","FIX","Comfort Systems USA, Inc.","57.64","$2.1B","1997","Capital Goods","Engineering & Construction","https://old.nasdaq.com/symbol/fix",NA
"779","CMC","Commercial Metals Company","22.64","$2.7B","n/a","Basic Industries","Steel/Iron Ore","https://old.nasdaq.com/symbol/cmc",NA
"780","CBU","Community Bank System, Inc.","58.38","$3.13B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cbu",NA
"781","CYH","Community Health Systems, Inc.","4.89","$584.94M","2000","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/cyh",NA
"782","CHCT","Community Healthcare Trust Incorporated","50.73","$1.15B","2015","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/chct",NA
"783","CIG","Comp En De Mn Cemig ADS","2.01","$3.18B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/cig",NA
"784","CIG.C","Comp En De Mn Cemig ADS","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cig.c",NA
"785","CBD","Companhia Brasileira de Distribuicao","12.2","$3.27B","2020","Consumer Services","Food Chains","https://old.nasdaq.com/symbol/cbd",NA
"786","SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","8.18","$5.59B","2002","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/sbs",NA
"787","ELP","Companhia Paranaense de Energia (COPEL)","11.74","$3.21B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/elp",NA
"788","CCU","Compania Cervecerias Unidas, S.A.","12.52","$2.31B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/ccu",NA
"789","CODI","Compass Diversified ","19.56","$1.27B","2006","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/codi",NA
"790","CODI^A","Compass Diversified ","23.38","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^a",NA
"791","CODI^B","Compass Diversified ","24.5144","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^b",NA
"792","CODI^C","Compass Diversified ","24.94","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/codi^c",NA
"793","CMP","Compass Minerals International, Inc.","63.84","$2.17B","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/cmp",NA
"794","CRK","Comstock Resources, Inc.","5.65","$1.31B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/crk",NA
"795","CAG","ConAgra Brands, Inc.","37.32","$18.23B","n/a","Consumer Non-Durables","Packaged Foods","https://old.nasdaq.com/symbol/cag",NA
"796","CXO","Concho Resources Inc.","45.03","$8.86B","2007","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cxo",NA
"797","CCM","Concord Medical Services Holdings Limited","1.75","$75.97M","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ccm",NA
"798","CNMD","CONMED Corporation","85.95","$2.46B","1987","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/cnmd",NA
"799","COP","ConocoPhillips","35.13","$37.68B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/cop",NA
"800","CCR","CONSOL Coal Resources LP","3.02","$83.62M","2015","Energy","Coal Mining","https://old.nasdaq.com/symbol/ccr",NA
"801","CEIX","CONSOL Energy Inc.","4.3","$111.95M","2017","Energy","Coal Mining","https://old.nasdaq.com/symbol/ceix",NA
"802","ED","Consolidated Edison Inc","82.55","$27.61B","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ed",NA
"803","STZ","Constellation Brands Inc","186.65","$36.17B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://old.nasdaq.com/symbol/stz",NA
"804","STZ.B","Constellation Brands Inc","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/stz.b",NA
"805","CSTM","Constellium SE","9.23","$1.27B","2013","Basic Industries","Metal Fabrications","https://old.nasdaq.com/symbol/cstm",NA
"806","TCS","Container Store (The)","8.55","$430.6M","2013","Consumer Services","Home Furnishings","https://old.nasdaq.com/symbol/tcs",NA
"807","CLR","Continental Resources, Inc.","13.45","$4.91B","2007","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/clr",NA
"808","VLRS","Controladora Vuela Compania de Aviacion, S.A.B. de C.V.","8.04","$800.49M","2013","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/vlrs",NA
"809","CTRA","Contura Energy, Inc.","8.06","$147.57M","2018","Energy","Coal Mining","https://old.nasdaq.com/symbol/ctra",NA
"810","CTB","Cooper Tire & Rubber Company","37.55","$1.89B","n/a","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/ctb",NA
"811","CPS","Cooper-Standard Holdings Inc.","16.5","$278.79M","n/a","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/cps",NA
"812","CTK","CooTek (Cayman) Inc.","4.4699","$276.27M","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/ctk",NA
"813","CPA","Copa Holdings, S.A.","52.89","$2.24B","2005","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/cpa",NA
"814","CLB","Core Laboratories N.V.","16.31","$725.54M","1995","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/clb",NA
"815","CXW","CoreCivic, Inc.","7.92","$947.48M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cxw",NA
"816","CLGX","CoreLogic, Inc.","68.98","$5.48B","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/clgx",NA
"817","CORR","CorEnergy Infrastructure Trust, Inc.","6.04","$82.46M","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/corr",NA
"818","CORR^A","CorEnergy Infrastructure Trust, Inc.","16.15","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/corr^a",NA
"819","CPLG","CorePoint Lodging Inc.","5.61","$326.28M","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cplg",NA
"820","COR","CoreSite Realty Corporation","127.19","$5.41B","2010","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cor",NA
"821","CNR","Cornerstone Building Brands, Inc.","9.54","$1.19B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/cnr",NA
"822","GLW","Corning Incorporated","34.78","$26.49B","n/a","Basic Industries","Telecommunications Equipment","https://old.nasdaq.com/symbol/glw",NA
"823","CAAP","Corporacion America Airports SA","1.84","$294.44M","2018","Transportation","Aerospace","https://old.nasdaq.com/symbol/caap",NA
"824","GYC","Corporate Asset Backed Corp CABCO","24.4053","n/a","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/gyc",NA
"825","OFC","Corporate Office Properties Trust","25.79","$2.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ofc",NA
"826","CTVA","Corteva, Inc.","33.43","$25.02B","2019","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/ctva",NA
"827","CZZ","Cosan Limited","14.67","$3.39B","n/a","Consumer Non-Durables","Specialty Foods","https://old.nasdaq.com/symbol/czz",NA
"828","CMRE","Costamare Inc.","6.49","$787.53M","2010","Transportation","Marine Transportation","https://old.nasdaq.com/symbol/cmre",NA
"829","CMRE^B","Costamare Inc.","23.5","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmre^b",NA
"830","CMRE^C","Costamare Inc.","24.29","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmre^c",NA
"831","CMRE^D","Costamare Inc.","24.63","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmre^d",NA
"832","CMRE^E","Costamare Inc.","25.33","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cmre^e",NA
"833","COTY","Coty Inc.","3.55","$2.72B","2013","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/coty",NA
"834","CUZ","Cousins Properties Incorporated","29.27","$4.35B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cuz",NA
"835","CVA","Covanta Holding Corporation","8.15","$1.08B","n/a","Basic Industries","Electric Utilities: Central","https://old.nasdaq.com/symbol/cva",NA
"836","CPF","CPB Inc.","14.42","$405.98M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cpf",NA
"837","CR","Crane Co.","51.79","$3.01B","n/a","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/cr",NA
"838","CRD.A","Crawford & Company","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/crd.a",NA
"839","CRD.B","Crawford & Company","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/crd.b",NA
"840","BAP","Credicorp Ltd.","126.51","$10.05B","n/a","Finance","Commercial Banks","https://old.nasdaq.com/symbol/bap",NA
"841","CS","Credit Suisse Group","10.47","$25.56B","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/cs",NA
"842","CPG","Crescent Point Energy Corporation","1.36","$720.44M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/cpg",NA
"843","CEQP","Crestwood Equity Partners LP","14.6","$1.07B","n/a","Public Utilities","Oil & Gas Production","https://old.nasdaq.com/symbol/ceqp",NA
"844","CEQP^","Crestwood Equity Partners LP","6.09","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ceqp^",NA
"845","CRH","CRH PLC","39.53","$31.03B","n/a","Capital Goods","Building Materials","https://old.nasdaq.com/symbol/crh",NA
"846","CRT","Cross Timbers Royalty Trust","5.5898","$33.54M","1992","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/crt",NA
"847","CAPL","CrossAmerica Partners LP","14.86","$562.72M","2012","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/capl",NA
"848","CCI","Crown Castle International Corporation","167.36","$70.24B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/cci",NA
"849","CCK","Crown Holdings, Inc.","81.65","$11B","n/a","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/cck",NA
"850","CRY","CryoLife, Inc.","19.31","$731.04M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/cry",NA
"851","CTS","CTS Corporation","24.86","$802.17M","n/a","Technology","Electrical Products","https://old.nasdaq.com/symbol/cts",NA
"852","CUBE","CubeSmart","34.33","$6.65B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/cube",NA
"853","CUB","Cubic Corporation","60.07","$1.88B","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/cub",NA
"854","CFR","Cullen/Frost Bankers, Inc.","69.59","$4.36B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/cfr",NA
"855","CULP","Culp, Inc.","14.08","$173.15M","n/a","Basic Industries","Textiles","https://old.nasdaq.com/symbol/culp",NA
