Date,High,Low,Open,Close,Volume,Adj Close
2019-10-04,3.0799999237060547,2.9600000381469727,2.9800000190734863,3.0299999713897705,105300.0,3.0299999713897705
2019-10-07,3.180000066757202,2.950000047683716,3.059999942779541,2.9800000190734863,148800.0,2.9800000190734863
2019-10-08,3.0199999809265137,2.8499999046325684,3.0,2.9200000762939453,90300.0,2.9200000762939453
2019-10-09,2.990000009536743,2.7899999618530273,2.9800000190734863,2.9000000953674316,80100.0,2.9000000953674316
2019-10-10,2.950000047683716,2.809999942779541,2.8499999046325684,2.8299999237060547,97400.0,2.8299999237060547
2019-10-11,2.9000000953674316,2.8299999237060547,2.880000114440918,2.8499999046325684,41600.0,2.8499999046325684
2019-10-14,2.9000000953674316,2.819999933242798,2.8299999237060547,2.8499999046325684,31300.0,2.8499999046325684
2019-10-15,2.930000066757202,2.799999952316284,2.8499999046325684,2.799999952316284,46100.0,2.799999952316284
2019-10-16,2.8399999141693115,2.7200000286102295,2.7899999618530273,2.740000009536743,72700.0,2.740000009536743
2019-10-17,2.8299999237060547,2.6700000762939453,2.7300000190734863,2.8299999237060547,50700.0,2.8299999237060547
2019-10-18,2.8499999046325684,2.759999990463257,2.809999942779541,2.8399999141693115,52100.0,2.8399999141693115
2019-10-21,2.819999933242798,2.7699999809265137,2.809999942779541,2.7899999618530273,33600.0,2.7899999618530273
2019-10-22,2.8299999237060547,2.7300000190734863,2.799999952316284,2.759999990463257,34100.0,2.759999990463257
2019-10-23,2.75,2.6700000762939453,2.7300000190734863,2.740000009536743,42500.0,2.740000009536743
2019-10-24,2.7200000286102295,2.619999885559082,2.7200000286102295,2.640000104904175,36200.0,2.640000104904175
2019-10-25,2.640000104904175,2.5,2.630000114440918,2.5299999713897705,76600.0,2.5299999713897705
2019-10-28,2.549999952316284,2.4100000858306885,2.509999990463257,2.5199999809265137,71900.0,2.5199999809265137
2019-10-29,2.6700000762939453,2.490000009536743,2.5199999809265137,2.5799999237060547,74200.0,2.5799999237060547
2019-10-30,2.569999933242798,2.490000009536743,2.569999933242798,2.5,41100.0,2.5
2019-10-31,2.5,2.3499999046325684,2.490000009536743,2.359999895095825,57700.0,2.359999895095825
2019-11-01,2.440000057220459,2.359999895095825,2.380000114440918,2.380000114440918,27900.0,2.380000114440918
2019-11-04,2.440000057220459,2.3299999237060547,2.359999895095825,2.390000104904175,70400.0,2.390000104904175
2019-11-05,2.7899999618530273,2.4100000858306885,2.609999895095825,2.680000066757202,964800.0,2.680000066757202
2019-11-06,2.690000057220459,2.559999942779541,2.6500000953674316,2.559999942779541,132100.0,2.559999942779541
2019-11-07,2.630000114440918,2.509999990463257,2.5999999046325684,2.5799999237060547,80100.0,2.5799999237060547
2019-11-08,2.640000104904175,2.5199999809265137,2.640000104904175,2.5399999618530273,50400.0,2.5399999618530273
2019-11-11,2.559999942779541,2.5,2.5399999618530273,2.5199999809265137,48500.0,2.5199999809265137
2019-11-12,2.569999933242798,2.5,2.5399999618530273,2.549999952316284,100900.0,2.549999952316284
2019-11-13,2.509999990463257,2.4000000953674316,2.4700000286102295,2.430000066757202,136700.0,2.430000066757202
2019-11-14,2.619999885559082,2.430000066757202,2.4800000190734863,2.559999942779541,169600.0,2.559999942779541
2019-11-15,2.609999895095825,2.4600000381469727,2.5999999046325684,2.490000009536743,60000.0,2.490000009536743
2019-11-18,2.5199999809265137,2.2799999713897705,2.450000047683716,2.3399999141693115,217200.0,2.3399999141693115
2019-11-19,2.4200000762939453,2.25,2.4100000858306885,2.380000114440918,73900.0,2.380000114440918
2019-11-20,2.440000057220459,2.259999990463257,2.359999895095825,2.259999990463257,60900.0,2.259999990463257
2019-11-21,2.319999933242798,2.259999990463257,2.2699999809265137,2.299999952316284,52400.0,2.299999952316284
2019-11-22,2.369999885559082,2.2699999809265137,2.299999952316284,2.299999952316284,37000.0,2.299999952316284
2019-11-25,2.450000047683716,2.299999952316284,2.319999933242798,2.380000114440918,152400.0,2.380000114440918
2019-11-26,2.5,2.3299999237060547,2.4000000953674316,2.3499999046325684,91300.0,2.3499999046325684
2019-11-27,2.390000104904175,2.299999952316284,2.3299999237060547,2.3499999046325684,63800.0,2.3499999046325684
2019-11-29,2.380000114440918,2.2899999618530273,2.3499999046325684,2.2899999618530273,57800.0,2.2899999618530273
2019-12-02,2.5299999713897705,2.309999942779541,2.5,2.369999885559082,256200.0,2.369999885559082
2019-12-03,2.450000047683716,2.2799999713897705,2.299999952316284,2.369999885559082,127600.0,2.369999885559082
2019-12-04,2.4000000953674316,2.359999895095825,2.359999895095825,2.369999885559082,56600.0,2.369999885559082
2019-12-05,2.4000000953674316,2.309999942779541,2.369999885559082,2.359999895095825,82800.0,2.359999895095825
2019-12-06,2.4200000762939453,2.319999933242798,2.359999895095825,2.319999933242798,120900.0,2.319999933242798
2019-12-09,2.3499999046325684,2.2100000381469727,2.3499999046325684,2.2200000286102295,121300.0,2.2200000286102295
2019-12-10,2.2699999809265137,2.140000104904175,2.190000057220459,2.2200000286102295,54300.0,2.2200000286102295
2019-12-11,2.3499999046325684,2.200000047683716,2.240000009536743,2.3399999141693115,106200.0,2.3399999141693115
2019-12-12,2.4200000762939453,2.2799999713897705,2.299999952316284,2.390000104904175,89100.0,2.390000104904175
2019-12-13,2.390000104904175,2.2699999809265137,2.390000104904175,2.299999952316284,43400.0,2.299999952316284
2019-12-16,2.4100000858306885,2.299999952316284,2.299999952316284,2.299999952316284,63300.0,2.299999952316284
2019-12-17,2.5799999237060547,2.359999895095825,2.450000047683716,2.450000047683716,1396200.0,2.450000047683716
2019-12-18,2.9100000858306885,2.4600000381469727,2.5399999618530273,2.640000104904175,633300.0,2.640000104904175
2019-12-19,2.7200000286102295,2.559999942779541,2.700000047683716,2.559999942779541,337800.0,2.559999942779541
2019-12-20,2.6600000858306885,2.569999933242798,2.6500000953674316,2.6500000953674316,183800.0,2.6500000953674316
2019-12-23,2.690000057220459,2.609999895095825,2.6600000858306885,2.630000114440918,118900.0,2.630000114440918
2019-12-24,2.630000114440918,2.509999990463257,2.630000114440918,2.559999942779541,81200.0,2.559999942779541
2019-12-26,2.6500000953674316,2.450000047683716,2.569999933242798,2.450000047683716,97400.0,2.450000047683716
2019-12-27,2.559999942779541,2.450000047683716,2.509999990463257,2.450000047683716,117300.0,2.450000047683716
2019-12-30,2.509999990463257,2.309999942779541,2.4200000762939453,2.319999933242798,241500.0,2.319999933242798
2019-12-31,2.3499999046325684,2.2699999809265137,2.319999933242798,2.309999942779541,144900.0,2.309999942779541
2020-01-02,2.4700000286102295,2.3399999141693115,2.369999885559082,2.4000000953674316,212100.0,2.4000000953674316
2020-01-03,2.4700000286102295,2.369999885559082,2.4600000381469727,2.4100000858306885,118900.0,2.4100000858306885
2020-01-06,2.4100000858306885,2.309999942779541,2.3299999237060547,2.3499999046325684,107600.0,2.3499999046325684
2020-01-07,2.380000114440918,2.299999952316284,2.359999895095825,2.3399999141693115,106700.0,2.3399999141693115
2020-01-08,2.3399999141693115,2.25,2.319999933242798,2.2899999618530273,109300.0,2.2899999618530273
2020-01-09,2.3399999141693115,2.2200000286102295,2.299999952316284,2.2200000286102295,141200.0,2.2200000286102295
2020-01-10,2.3299999237060547,2.2200000286102295,2.2200000286102295,2.2699999809265137,88400.0,2.2699999809265137
