"","date","FRO"
"747","2009-12-17",146.100006
"748","2009-12-18",146.850006
"749","2009-12-21",145.399994
"750","2009-12-22",140.699997
"751","2009-12-23",141.699997
"752","2009-12-24",144.600006
"753","2009-12-28",141.449997
"754","2009-12-29",140.550003
"755","2009-12-30",138.550003
"756","2009-12-31",136.600006
"757","2010-01-04",143.899994
"758","2010-01-05",151.949997
"759","2010-01-06",152.100006
"760","2010-01-07",157.5
"761","2010-01-08",160.850006
"762","2010-01-11",170.149994
"763","2010-01-12",163.800003
"764","2010-01-13",170.699997
"765","2010-01-14",167.800003
"766","2010-01-15",163.550003
"767","2010-01-19",166.800003
"768","2010-01-20",157.800003
"769","2010-01-21",150.949997
"770","2010-01-22",146.75
"771","2010-01-25",153.800003
"772","2010-01-26",151.949997
"773","2010-01-27",155.850006
"774","2010-01-28",152.199997
"775","2010-01-29",150.300003
"776","2010-02-01",147.449997
"777","2010-02-02",143.149994
"778","2010-02-03",141.899994
"779","2010-02-04",133.149994
"780","2010-02-05",132.050003
"781","2010-02-08",127.5
"782","2010-02-09",133.050003
"783","2010-02-10",131.550003
"784","2010-02-11",134.949997
"785","2010-02-12",130.149994
"786","2010-02-16",134.25
"787","2010-02-17",136.350006
"788","2010-02-18",137.850006
"789","2010-02-19",137.699997
"790","2010-02-22",143.300003
"791","2010-02-23",137.350006
"792","2010-02-24",139
"793","2010-02-25",138.050003
"794","2010-02-26",134.75
"795","2010-03-01",135.550003
"796","2010-03-02",136.100006
"797","2010-03-03",138.149994
"798","2010-03-04",141.25
"799","2010-03-05",141.649994
"800","2010-03-08",141.149994
"801","2010-03-09",142.100006
"802","2010-03-10",151.25
"803","2010-03-11",152.300003
"804","2010-03-12",152.449997
"805","2010-03-15",152.800003
"806","2010-03-16",155.949997
"807","2010-03-17",156.550003
"808","2010-03-18",157.5
"809","2010-03-19",154.050003
"810","2010-03-22",153.399994
"811","2010-03-23",152.449997
"812","2010-03-24",153.300003
"813","2010-03-25",150.100006
"814","2010-03-26",148.75
"815","2010-03-29",153.25
"816","2010-03-30",154
"817","2010-03-31",153.149994
"818","2010-04-01",157.649994
"819","2010-04-05",163
"820","2010-04-06",163.75
"821","2010-04-07",164.100006
"822","2010-04-08",165.449997
"823","2010-04-09",181.550003
"824","2010-04-12",178.5
"825","2010-04-13",174.149994
"826","2010-04-14",182.75
"827","2010-04-15",181.699997
"828","2010-04-16",177.800003
"829","2010-04-19",176.850006
"830","2010-04-20",185.199997
"831","2010-04-21",183.5
"832","2010-04-22",179.699997
"833","2010-04-23",181.949997
"834","2010-04-26",182.050003
"835","2010-04-27",173.300003
"836","2010-04-28",170.5
"837","2010-04-29",176.25
"838","2010-04-30",182.5
"839","2010-05-03",192.25
"840","2010-05-04",181.550003
"841","2010-05-05",172
"842","2010-05-06",159.050003
"843","2010-05-07",152.300003
"844","2010-05-10",167.75
"845","2010-05-11",168.149994
"846","2010-05-12",169.899994
"847","2010-05-13",172.100006
"848","2010-05-14",169.050003
"849","2010-05-17",165.75
"850","2010-05-18",162.199997
"851","2010-05-19",156.800003
"852","2010-05-20",145.550003
"853","2010-05-21",153.350006
"854","2010-05-24",149.949997
"855","2010-05-25",149.600006
"856","2010-05-26",150.899994
"857","2010-05-27",168.300003
"858","2010-05-28",164.449997
"859","2010-06-01",162.75
"860","2010-06-02",174.5
"861","2010-06-03",171.149994
"862","2010-06-04",165
"863","2010-06-07",161.050003
"864","2010-06-08",158.149994
"865","2010-06-09",159.100006
"866","2010-06-10",175.399994
"867","2010-06-11",177.800003
"868","2010-06-14",176.800003
"869","2010-06-15",184.25
"870","2010-06-16",179.75
"871","2010-06-17",177.25
"872","2010-06-18",179.100006
"873","2010-06-21",178.75
"874","2010-06-22",169.449997
"875","2010-06-23",169.100006
"876","2010-06-24",162.649994
"877","2010-06-25",165.699997
"878","2010-06-28",161.75
"879","2010-06-29",148.100006
"880","2010-06-30",142.699997
"881","2010-07-01",142.699997
"882","2010-07-02",142.149994
"883","2010-07-06",143
"884","2010-07-07",147.75
"885","2010-07-08",150.100006
"886","2010-07-09",149.850006
"887","2010-07-12",143.899994
"888","2010-07-13",147.699997
"889","2010-07-14",151.699997
"890","2010-07-15",154.149994
"891","2010-07-16",150.5
"892","2010-07-19",149.800003
"893","2010-07-20",153.550003
"894","2010-07-21",158.649994
"895","2010-07-22",165
"896","2010-07-23",165.800003
"897","2010-07-26",168.050003
"898","2010-07-27",165.899994
"899","2010-07-28",159.75
"900","2010-07-29",157.550003
"901","2010-07-30",153
"902","2010-08-02",158.149994
"903","2010-08-03",157.75
"904","2010-08-04",155.449997
"905","2010-08-05",155.5
"906","2010-08-06",156.199997
"907","2010-08-09",157.399994
"908","2010-08-10",153.850006
"909","2010-08-11",146.300003
"910","2010-08-12",147.649994
"911","2010-08-13",145.449997
"912","2010-08-16",146.350006
"913","2010-08-17",151.800003
"914","2010-08-18",151.699997
"915","2010-08-19",146.350006
"916","2010-08-20",143.600006
"917","2010-08-23",139.300003
"918","2010-08-24",132.100006
"919","2010-08-25",133.449997
"920","2010-08-26",136.5
"921","2010-08-27",133.5
"922","2010-08-30",129.25
"923","2010-08-31",132.5
"924","2010-09-01",135.25
"925","2010-09-02",137.699997
"926","2010-09-03",141.649994
"927","2010-09-07",135.850006
