"","date","TUSK"
"541","2018-12-07",21.32
"542","2018-12-10",21.27
"543","2018-12-11",21.280001
"544","2018-12-12",21.66
"545","2018-12-13",20.26
"546","2018-12-14",19.35
"547","2018-12-17",19.4
"548","2018-12-18",19.34
"549","2018-12-19",18.799999
"550","2018-12-20",17.940001
"551","2018-12-21",17.66
"552","2018-12-24",17.110001
"553","2018-12-26",18.16
"554","2018-12-27",18.049999
"555","2018-12-28",18.17
"556","2018-12-31",17.98
"557","2019-01-02",19.200001
"558","2019-01-03",19.17
"559","2019-01-04",20.440001
"560","2019-01-07",21.07
"561","2019-01-08",21.48
"562","2019-01-09",22.6
"563","2019-01-10",22.610001
"564","2019-01-11",22.139999
"565","2019-01-14",22.040001
"566","2019-01-15",22.08
"567","2019-01-16",22.76
"568","2019-01-17",23
"569","2019-01-18",22.77
"570","2019-01-22",21.82
"571","2019-01-23",21.540001
"572","2019-01-24",22.16
"573","2019-01-25",23.52
"574","2019-01-28",23.139999
"575","2019-01-29",23.190001
"576","2019-01-30",23.26
"577","2019-01-31",22.129999
"578","2019-02-01",22.809999
"579","2019-02-04",22.99
"580","2019-02-05",23.02
"581","2019-02-06",22.17
"582","2019-02-07",20.950001
"583","2019-02-08",21.15
"584","2019-02-11",21.610001
"585","2019-02-12",21.889999
"586","2019-02-13",22.49
"587","2019-02-14",22.92
"588","2019-02-15",23.1
"589","2019-02-19",23.27
"590","2019-02-20",24.07
"591","2019-02-21",23.370001
"592","2019-02-22",23.700001
"593","2019-02-25",23.58
"594","2019-02-26",23.370001
"595","2019-02-27",23.34
"596","2019-02-28",22.99
"597","2019-03-01",23.48
"598","2019-03-04",23.219999
"599","2019-03-05",22.4
"600","2019-03-06",21.440001
"601","2019-03-07",21.1
"602","2019-03-08",20.75
"603","2019-03-11",20.780001
"604","2019-03-12",21.41
"605","2019-03-13",21.299999
"606","2019-03-14",20.459999
"607","2019-03-15",17.940001
"608","2019-03-18",18.27
"609","2019-03-19",17.77
"610","2019-03-20",17.889999
"611","2019-03-21",18.219999
"612","2019-03-22",17.32
"613","2019-03-25",16.59
"614","2019-03-26",16.91
"615","2019-03-27",16.559999
"616","2019-03-28",17.23
"617","2019-03-29",16.65
"618","2019-04-01",16.940001
"619","2019-04-02",17.01
"620","2019-04-03",16.35
"621","2019-04-04",16.93
"622","2019-04-05",17.77
"623","2019-04-08",18.440001
"624","2019-04-09",17.940001
"625","2019-04-10",18.15
"626","2019-04-11",18.02
"627","2019-04-12",17.83
"628","2019-04-15",17.91
"629","2019-04-16",17.969999
"630","2019-04-17",18.040001
"631","2019-04-18",17.709999
"632","2019-04-22",18.139999
"633","2019-04-23",18.139999
"634","2019-04-24",16.82
"635","2019-04-25",16.049999
"636","2019-04-26",16.08
"637","2019-04-29",15.96
"638","2019-04-30",15.59
"639","2019-05-01",14.76
"640","2019-05-02",14.74
"641","2019-05-03",14.66
"642","2019-05-06",14.69
"643","2019-05-07",14.41
"644","2019-05-08",14.31
"645","2019-05-09",14.62
"646","2019-05-10",14.71
"647","2019-05-13",14.28
"648","2019-05-14",14.61
"649","2019-05-15",14.69
"650","2019-05-16",14.5
"651","2019-05-17",14.08
"652","2019-05-20",14.01
"653","2019-05-21",14.03
"654","2019-05-22",13.31
"655","2019-05-23",12.24
"656","2019-05-24",11.74
"657","2019-05-28",11.26
"658","2019-05-29",10.99
"659","2019-05-30",10.65
"660","2019-05-31",10.5
"661","2019-06-03",10.83
"662","2019-06-04",11.2
"663","2019-06-05",9.53
"664","2019-06-06",6.11
"665","2019-06-07",6.24
"666","2019-06-10",5.89
"667","2019-06-11",6.21
"668","2019-06-12",5.94
"669","2019-06-13",6.19
"670","2019-06-14",5.88
"671","2019-06-17",6.13
"672","2019-06-18",6.22
"673","2019-06-19",5.75
"674","2019-06-20",6.27
"675","2019-06-21",6.76
"676","2019-06-24",6.56
"677","2019-06-25",6.61
"678","2019-06-26",6.73
"679","2019-06-27",7.07
"680","2019-06-28",6.88
"681","2019-07-01",7.42
"682","2019-07-02",7.19
"683","2019-07-03",7.05
"684","2019-07-05",7.5
"685","2019-07-08",7.73
"686","2019-07-09",7.08
"687","2019-07-10",7.3
"688","2019-07-11",7.58
"689","2019-07-12",7.79
"690","2019-07-15",7.28
"691","2019-07-16",6.99
"692","2019-07-17",6.81
"693","2019-07-18",6.48
"694","2019-07-19",6.41
"695","2019-07-22",6.45
"696","2019-07-23",6.39
"697","2019-07-24",6.3
"698","2019-07-25",6.01
"699","2019-07-26",5.97
"700","2019-07-29",5.77
"701","2019-07-30",6.38
"702","2019-07-31",6.48
"703","2019-08-01",6.03
"704","2019-08-02",4.5
"705","2019-08-05",4.7
"706","2019-08-06",4.44
"707","2019-08-07",4.55
"708","2019-08-08",4.25
"709","2019-08-09",4.21
"710","2019-08-12",4.38
"711","2019-08-13",4.34
"712","2019-08-14",4.1
"713","2019-08-15",3.84
"714","2019-08-16",3.96
"715","2019-08-19",4.34
"716","2019-08-20",4.05
"717","2019-08-21",3.81
"718","2019-08-22",3.7
"719","2019-08-23",3.42
"720","2019-08-26",3.2
"721","2019-08-27",3.21
"722","2019-08-28",3.44
"723","2019-08-29",3.63
"724","2019-08-30",3.64
"725","2019-09-03",3.67
"726","2019-09-04",3.6
"727","2019-09-05",3.74
"728","2019-09-06",3.62
"729","2019-09-09",3.79
"730","2019-09-10",3.68
"731","2019-09-11",3.55
"732","2019-09-12",3.26
"733","2019-09-13",3.19
"734","2019-09-16",3.49
"735","2019-09-17",3.16
"736","2019-09-18",3.23
"737","2019-09-19",2.94
"738","2019-09-20",2.95
"739","2019-09-23",2.97
"740","2019-09-24",2.725
"741","2019-09-25",2.66
"742","2019-09-26",2.49
"743","2019-09-27",2.495
"744","2019-09-30",2.48
"745","2019-10-01",2.28
"746","2019-10-02",2.19
"747","2019-10-03",2.24
"748","2019-10-04",2.13
"749","2019-10-07",2.25
"750","2019-10-08",2.06
"751","2019-10-09",2.05
"752","2019-10-10",2.08
"753","2019-10-11",2.22
"754","2019-10-14",2.09
"755","2019-10-15",2.11
"756","2019-10-16",2.05
"757","2019-10-17",2.03
"758","2019-10-18",1.93
"759","2019-10-21",1.99
"760","2019-10-22",1.96
"761","2019-10-23",1.99
"762","2019-10-24",1.84
"763","2019-10-25",1.77
"764","2019-10-28",1.91
"765","2019-10-29",1.83
"766","2019-10-30",1.71
"767","2019-10-31",1.6
"768","2019-11-01",1.72
"769","2019-11-04",2.19
"770","2019-11-05",2.02
"771","2019-11-06",1.67
"772","2019-11-07",1.76
"773","2019-11-08",1.56
"774","2019-11-11",1.44
"775","2019-11-12",1.38
"776","2019-11-13",1.38
"777","2019-11-14",1.34
"778","2019-11-15",1.36
"779","2019-11-18",1.49
"780","2019-11-19",1.37
"781","2019-11-20",1.5
"782","2019-11-21",1.45
"783","2019-11-22",1.56
"784","2019-11-25",1.73
"785","2019-11-26",1.65
"786","2019-11-27",1.65
"787","2019-11-29",1.57
"788","2019-12-02",1.5
"789","2019-12-03",1.47
"790","2019-12-04",1.7
"791","2019-12-05",1.63
"792","2019-12-06",1.66
"793","2019-12-09",1.65
"794","2019-12-10",1.7
"795","2019-12-11",1.73
"796","2019-12-12",1.73
"797","2019-12-13",1.66
"798","2019-12-16",1.61
"799","2019-12-17",1.59
"800","2019-12-18",1.49
"801","2019-12-19",1.6
"802","2019-12-20",1.78
"803","2019-12-23",1.71
"804","2019-12-24",1.84
"805","2019-12-26",2.07
"806","2019-12-27",2.2
"807","2019-12-30",2.15
"808","2019-12-31",2.2
"809","2020-01-02",2.19
"810","2020-01-03",2.12
"811","2020-01-06",2.35
"812","2020-01-07",2.66
"813","2020-01-08",2.15
"814","2020-01-09",1.9
"815","2020-01-10",1.8
"816","2020-01-13",1.7
"817","2020-01-14",1.78
"818","2020-01-15",1.67
"819","2020-01-16",1.78
"820","2020-01-17",1.75
"821","2020-01-21",1.59
"822","2020-01-22",1.6
"823","2020-01-23",1.56
"824","2020-01-24",1.46
