"","date","LEDS"
"765","2013-12-23",9.9
"766","2013-12-24",9.4
"767","2013-12-26",9.3
"768","2013-12-27",9.5
"769","2013-12-30",9.5
"770","2013-12-31",9.4
"771","2014-01-02",9.6
"772","2014-01-03",12
"773","2014-01-06",11.5
"774","2014-01-07",13.3
"775","2014-01-08",12.7
"776","2014-01-09",12.2
"777","2014-01-10",12
"778","2014-01-13",11.3
"779","2014-01-14",10.8
"780","2014-01-15",11.3
"781","2014-01-16",10.6
"782","2014-01-17",10.5
"783","2014-01-21",12.2
"784","2014-01-22",13.7
"785","2014-01-23",12.9
"786","2014-01-24",11.6
"787","2014-01-27",11.8
"788","2014-01-28",14.4
"789","2014-01-29",12.8
"790","2014-01-30",13.8
"791","2014-01-31",14.3
"792","2014-02-03",13.5
"793","2014-02-04",12.8
"794","2014-02-05",13
"795","2014-02-06",13.3
"796","2014-02-07",13.6
"797","2014-02-10",14
"798","2014-02-11",13.5
"799","2014-02-12",13.2
"800","2014-02-13",13.6
"801","2014-02-14",13.3
"802","2014-02-18",13.7
"803","2014-02-19",13.5
"804","2014-02-20",13.6
"805","2014-02-21",13.6
"806","2014-02-24",12.6
"807","2014-02-25",12.7
"808","2014-02-26",12.8
"809","2014-02-27",13
"810","2014-02-28",12.7
"811","2014-03-03",12.6
"812","2014-03-04",12.8
"813","2014-03-05",13.5
"814","2014-03-06",13.1
"815","2014-03-07",12.9
"816","2014-03-10",13.6
"817","2014-03-11",14.2
"818","2014-03-12",13.6
"819","2014-03-13",13
"820","2014-03-14",13.2
"821","2014-03-17",12.8
"822","2014-03-18",13.6
"823","2014-03-19",13.8
"824","2014-03-20",13.7
"825","2014-03-21",13.1
"826","2014-03-24",12.4
"827","2014-03-25",12.5
"828","2014-03-26",12.7
"829","2014-03-27",11.8
"830","2014-03-28",11.8
"831","2014-03-31",11.7
"832","2014-04-01",11.9
"833","2014-04-02",11.8
"834","2014-04-03",11.7
"835","2014-04-04",11.1
"836","2014-04-07",11
"837","2014-04-08",11.7
"838","2014-04-09",11.4
"839","2014-04-10",11.2
"840","2014-04-11",11
"841","2014-04-14",11.1
"842","2014-04-15",10
"843","2014-04-16",10.4
"844","2014-04-17",10.9
"845","2014-04-21",10.5
"846","2014-04-22",10.9
"847","2014-04-23",10.3
"848","2014-04-24",10.5
"849","2014-04-25",10
"850","2014-04-28",10.2
"851","2014-04-29",10.5
"852","2014-04-30",10.3
"853","2014-05-01",10.3
"854","2014-05-02",10.6
"855","2014-05-05",10.5
"856","2014-05-06",10.5
"857","2014-05-07",10.1
"858","2014-05-08",10.1
"859","2014-05-09",10.1
"860","2014-05-12",10.5
"861","2014-05-13",10.3
"862","2014-05-14",10.3
"863","2014-05-15",10.4
"864","2014-05-16",10.2
"865","2014-05-19",10.5
"866","2014-05-20",10.3
"867","2014-05-21",9.9
"868","2014-05-22",9.6
"869","2014-05-23",9.7
"870","2014-05-27",9.1
"871","2014-05-28",9
"872","2014-05-29",9.4
"873","2014-05-30",9.5
"874","2014-06-02",9.3
"875","2014-06-03",9.5
"876","2014-06-04",9.3
"877","2014-06-05",9.3
"878","2014-06-06",9.5
"879","2014-06-09",9.8
"880","2014-06-10",10.3
"881","2014-06-11",10.6
"882","2014-06-12",10.5
"883","2014-06-13",10.3
"884","2014-06-16",10.8
"885","2014-06-17",10.7
"886","2014-06-18",10.4
"887","2014-06-19",10.9
"888","2014-06-20",10.8
"889","2014-06-23",10.6
"890","2014-06-24",10.5
"891","2014-06-25",10.3
"892","2014-06-26",10.5
"893","2014-06-27",10.4
"894","2014-06-30",10.2
"895","2014-07-01",9.7
"896","2014-07-02",9.6
"897","2014-07-03",9.9
"898","2014-07-07",10.3
"899","2014-07-08",10.3
"900","2014-07-09",10.1
"901","2014-07-10",10.2
"902","2014-07-11",10.1
"903","2014-07-14",10.2
"904","2014-07-15",9.5
"905","2014-07-16",9.1
"906","2014-07-17",9.2
"907","2014-07-18",9.3
"908","2014-07-21",9.1
"909","2014-07-22",9.5
"910","2014-07-23",9.8
"911","2014-07-24",9.4
"912","2014-07-25",9.4
"913","2014-07-28",9.1
"914","2014-07-29",9.1
"915","2014-07-30",9.2
"916","2014-07-31",9
"917","2014-08-01",8.6
"918","2014-08-04",8.6
"919","2014-08-05",8.6
"920","2014-08-06",8
"921","2014-08-07",8.2
"922","2014-08-08",8.4
"923","2014-08-11",8.3
"924","2014-08-12",8.3
"925","2014-08-13",8.4
"926","2014-08-14",8
"927","2014-08-15",7.5
"928","2014-08-18",8.3
"929","2014-08-19",8.2
"930","2014-08-20",8.3
"931","2014-08-21",8.3
"932","2014-08-22",8.2
"933","2014-08-25",7.9
"934","2014-08-26",8.5
"935","2014-08-27",8.5
"936","2014-08-28",8.3
"937","2014-08-29",8.1
"938","2014-09-02",8
"939","2014-09-03",8
"940","2014-09-04",7.9
"941","2014-09-05",7.8
"942","2014-09-08",7.8
"943","2014-09-09",7.5
"944","2014-09-10",7.6
"945","2014-09-11",6.6
"946","2014-09-12",6.6
"947","2014-09-15",6.3
"948","2014-09-16",5.1
"949","2014-09-17",5.2
"950","2014-09-18",5
"951","2014-09-19",4.9
"952","2014-09-22",4.7
"953","2014-09-23",4.6
"954","2014-09-24",4.3
"955","2014-09-25",4.2
"956","2014-09-26",4.4
"957","2014-09-29",4.6
"958","2014-09-30",4.6
"959","2014-10-01",4.6
"960","2014-10-02",4.5
"961","2014-10-03",4.9
"962","2014-10-06",4.6
"963","2014-10-07",4.6
"964","2014-10-08",4.4
"965","2014-10-09",4.3
"966","2014-10-10",3.9
"967","2014-10-13",3.7
"968","2014-10-14",4
"969","2014-10-15",4
"970","2014-10-16",4.1
"971","2014-10-17",4.2
"972","2014-10-20",5.1
"973","2014-10-21",5
"974","2014-10-22",4.9
"975","2014-10-23",4.7
"976","2014-10-24",4.7
"977","2014-10-27",4.7
"978","2014-10-28",4.5
"979","2014-10-29",4.6
"980","2014-10-30",4.6
"981","2014-10-31",4.8
"982","2014-11-03",4.7
"983","2014-11-04",4.9
"984","2014-11-05",5.4
"985","2014-11-06",5.4
"986","2014-11-07",5.3
"987","2014-11-10",5.3
"988","2014-11-11",4.9
"989","2014-11-12",4.7
"990","2014-11-13",4.7
"991","2014-11-14",4.7
