"","date","CMCT"
"657","2009-08-11",105
"658","2009-08-12",104.699997
"659","2009-08-13",102.449997
"660","2009-08-14",102.300003
"661","2009-08-17",102.599998
"662","2009-08-18",102.150002
"663","2009-08-19",103.5
"664","2009-08-20",104.25
"665","2009-08-21",103.5
"666","2009-08-24",99.449997
"667","2009-08-25",102
"668","2009-08-26",100.5
"669","2009-08-27",100.5
"670","2009-08-28",97.650002
"671","2009-08-31",100.199997
"672","2009-09-01",101.25
"673","2009-09-02",103.5
"674","2009-09-03",101.099998
"675","2009-09-04",101.25
"676","2009-09-08",100.650002
"677","2009-09-09",100.5
"678","2009-09-10",103.800003
"679","2009-09-11",104.400002
"680","2009-09-14",105.75
"681","2009-09-15",106.949997
"682","2009-09-16",108.900002
"683","2009-09-17",111
"684","2009-09-18",111.75
"685","2009-09-21",111.300003
"686","2009-09-22",108.900002
"687","2009-09-23",110.25
"688","2009-09-24",109.5
"689","2009-09-25",108.150002
"690","2009-09-28",114.599998
"691","2009-09-29",112.949997
"692","2009-09-30",109.650002
"693","2009-10-01",109.949997
"694","2009-10-02",109.5
"695","2009-10-05",109.5
"696","2009-10-06",110.25
"697","2009-10-07",111.75
"698","2009-10-08",115.5
"699","2009-10-09",114.75
"700","2009-10-12",113.550003
"701","2009-10-13",114.300003
"702","2009-10-14",112.199997
"703","2009-10-15",114
"704","2009-10-16",114.599998
"705","2009-10-19",113.25
"706","2009-10-20",115.199997
"707","2009-10-21",115.5
"708","2009-10-22",115.949997
"709","2009-10-23",116.849998
"710","2009-10-26",114
"711","2009-10-27",115.5
"712","2009-10-28",111
"713","2009-10-29",114.599998
"714","2009-10-30",110.25
"715","2009-11-02",108.75
"716","2009-11-03",112.5
"717","2009-11-04",111.300003
"718","2009-11-05",109.199997
"719","2009-11-06",108.599998
"720","2009-11-09",109.050003
"721","2009-11-10",112.349998
"722","2009-11-11",112.5
"723","2009-11-12",114.449997
"724","2009-11-13",114.300003
"725","2009-11-16",114
"726","2009-11-17",113.400002
"727","2009-11-18",114.75
"728","2009-11-19",114
"729","2009-11-20",114.75
"730","2009-11-23",114.75
"731","2009-11-24",114
"732","2009-11-25",115.5
"733","2009-11-27",114.75
"734","2009-11-30",114.599998
"735","2009-12-01",116.849998
"736","2009-12-02",114
"737","2009-12-03",117
"738","2009-12-04",117.75
"739","2009-12-07",115.349998
"740","2009-12-08",114.900002
"741","2009-12-09",112.5
"742","2009-12-10",113.400002
"743","2009-12-11",114.75
"744","2009-12-14",112.949997
"745","2009-12-15",118.5
"746","2009-12-16",118.5
"747","2009-12-17",117.900002
"748","2009-12-18",117.599998
"749","2009-12-21",115.199997
"750","2009-12-22",117.75
"751","2009-12-23",117.75
"752","2009-12-24",117.300003
"753","2009-12-28",117
"754","2009-12-29",116.25
"755","2009-12-30",113.849998
"756","2009-12-31",112.650002
"757","2010-01-04",113.849998
"758","2010-01-05",112.5
"759","2010-01-06",111.75
"760","2010-01-07",111.599998
"761","2010-01-08",112.5
"762","2010-01-11",119.099998
"763","2010-01-12",115.349998
"764","2010-01-13",112.5
"765","2010-01-14",112.5
"766","2010-01-15",111.599998
"767","2010-01-19",111.150002
"768","2010-01-20",109.5
"769","2010-01-21",109.349998
"770","2010-01-22",110.25
"771","2010-01-25",111
"772","2010-01-26",111
"773","2010-01-27",108
"774","2010-01-28",111.300003
"775","2010-01-29",109.349998
"776","2010-02-01",111
"777","2010-02-02",109.5
"778","2010-02-03",108.75
"779","2010-02-04",109.199997
"780","2010-02-05",109.5
"781","2010-02-08",109.5
"782","2010-02-09",107.699997
"783","2010-02-10",107.550003
"784","2010-02-11",107.099998
"785","2010-02-12",107.25
"786","2010-02-16",111.900002
"787","2010-02-17",109.5
"788","2010-02-18",109.5
"789","2010-02-19",108
"790","2010-02-22",107.849998
"791","2010-02-23",106.650002
"792","2010-02-24",106.5
