"","date","SNDX"
"676","2018-11-02",5.12
"677","2018-11-05",4.86
"678","2018-11-06",5.23
"679","2018-11-07",5.4
"680","2018-11-08",5.47
"681","2018-11-09",5.42
"682","2018-11-12",5.4
"683","2018-11-13",5.2
"684","2018-11-14",4.84
"685","2018-11-15",4.92
"686","2018-11-16",4.93
"687","2018-11-19",4.68
"688","2018-11-20",4.72
"689","2018-11-21",4.97
"690","2018-11-23",4.9
"691","2018-11-26",5.11
"692","2018-11-27",4.89
"693","2018-11-28",5.08
"694","2018-11-29",5.03
"695","2018-11-30",5.1
"696","2018-12-03",5.45
"697","2018-12-04",4.94
"698","2018-12-06",4.76
"699","2018-12-07",4.77
"700","2018-12-10",4.83
"701","2018-12-11",4.72
"702","2018-12-12",4.89
"703","2018-12-13",4.88
"704","2018-12-14",4.91
"705","2018-12-17",4.8
"706","2018-12-18",4.67
"707","2018-12-19",4.16
"708","2018-12-20",4.2
"709","2018-12-21",3.63
"710","2018-12-24",3.6
"711","2018-12-26",3.8
"712","2018-12-27",3.91
"713","2018-12-28",4.04
"714","2018-12-31",4.45
"715","2019-01-02",4.45
"716","2019-01-03",4.26
"717","2019-01-04",4.94
"718","2019-01-07",5.64
"719","2019-01-08",5.79
"720","2019-01-09",5.71
"721","2019-01-10",5.82
"722","2019-01-11",6.53
"723","2019-01-14",6.3
"724","2019-01-15",6.34
"725","2019-01-16",6.48
"726","2019-01-17",6.04
"727","2019-01-18",5.78
"728","2019-01-22",5.28
"729","2019-01-23",5.18
"730","2019-01-24",5.19
"731","2019-01-25",5.44
"732","2019-01-28",5.17
"733","2019-01-29",5.27
"734","2019-01-30",5.46
"735","2019-01-31",5.6
"736","2019-02-01",5.75
"737","2019-02-04",5.71
"738","2019-02-05",6.12
"739","2019-02-06",6.38
"740","2019-02-07",6.29
"741","2019-02-08",6
"742","2019-02-11",6.04
"743","2019-02-12",6.05
"744","2019-02-13",6.08
"745","2019-02-14",6.05
"746","2019-02-15",6.39
"747","2019-02-19",6.3
"748","2019-02-20",6.13
"749","2019-02-21",6.23
"750","2019-02-22",6.31
"751","2019-02-25",6.28
"752","2019-02-26",6.26
"753","2019-02-27",6.16
"754","2019-02-28",6.17
"755","2019-03-01",6.34
"756","2019-03-04",6.86
"757","2019-03-05",6.84
"758","2019-03-06",6.23
"759","2019-03-07",6.27
"760","2019-03-08",5.39
"761","2019-03-11",5.24
"762","2019-03-12",5.54
"763","2019-03-13",5.24
"764","2019-03-14",5.15
"765","2019-03-15",5.12
"766","2019-03-18",5.18
"767","2019-03-19",5.11
"768","2019-03-20",5.06
"769","2019-03-21",4.89
"770","2019-03-22",4.69
"771","2019-03-25",4.85
"772","2019-03-26",4.6
"773","2019-03-27",5.34
"774","2019-03-28",5.34
"775","2019-03-29",5.25
"776","2019-04-01",4.9
