"","date","FCPT"
"525","2017-12-08",25.360001
"526","2017-12-11",25.690001
"527","2017-12-12",25.809999
"528","2017-12-13",26.139999
"529","2017-12-14",26.120001
"530","2017-12-15",26.610001
"531","2017-12-18",26.639999
"532","2017-12-19",26.309999
"533","2017-12-20",25.799999
"534","2017-12-21",25.51
"535","2017-12-22",25.549999
"536","2017-12-26",25.629999
"537","2017-12-27",25.889999
"538","2017-12-28",25.889999
"539","2017-12-29",25.700001
"540","2018-01-02",25.620001
"541","2018-01-03",25.719999
"542","2018-01-04",25.42
"543","2018-01-05",25.26
"544","2018-01-08",25.42
"545","2018-01-09",25.129999
"546","2018-01-10",24.49
"547","2018-01-11",24.360001
"548","2018-01-12",24.1
"549","2018-01-16",24.18
"550","2018-01-17",24.370001
"551","2018-01-18",23.75
"552","2018-01-19",23.68
"553","2018-01-22",24.129999
"554","2018-01-23",24.42
"555","2018-01-24",24.110001
"556","2018-01-25",24.18
"557","2018-01-26",24.15
"558","2018-01-29",23.639999
"559","2018-01-30",23.459999
"560","2018-01-31",23.6
"561","2018-02-01",23.059999
"562","2018-02-02",22.940001
"563","2018-02-05",22.42
"564","2018-02-06",22.51
"565","2018-02-07",22.43
"566","2018-02-08",21.77
"567","2018-02-09",22.23
"568","2018-02-12",22.49
"569","2018-02-13",22.6
"570","2018-02-14",22.17
"571","2018-02-15",22.25
"572","2018-02-16",22.34
"573","2018-02-20",21.68
"574","2018-02-21",21.33
"575","2018-02-22",21.459999
"576","2018-02-23",21.719999
"577","2018-02-26",21.620001
"578","2018-02-27",21.780001
"579","2018-02-28",21.959999
"580","2018-03-01",22.129999
"581","2018-03-02",22.27
"582","2018-03-05",22.049999
"583","2018-03-06",22.309999
"584","2018-03-07",22.629999
"585","2018-03-08",22.629999
"586","2018-03-09",22.43
"587","2018-03-12",22.469999
"588","2018-03-13",22.5
"589","2018-03-14",22.469999
"590","2018-03-15",22.27
"591","2018-03-16",22.629999
"592","2018-03-19",22.440001
"593","2018-03-20",22.43
"594","2018-03-21",22.559999
"595","2018-03-22",22.41
"596","2018-03-23",22.129999
"597","2018-03-26",22.25
"598","2018-03-27",22.309999
"599","2018-03-28",22.9
"600","2018-03-29",23.09
"601","2018-04-02",22.620001
"602","2018-04-03",22.68
"603","2018-04-04",23.059999
"604","2018-04-05",23.110001
"605","2018-04-06",22.950001
"606","2018-04-09",23.030001
"607","2018-04-10",22.950001
"608","2018-04-11",22.959999
"609","2018-04-12",22.35
"610","2018-04-13",22.48
"611","2018-04-16",22.85
"612","2018-04-17",23.16
"613","2018-04-18",23.01
"614","2018-04-19",22.66
"615","2018-04-20",22.370001
"616","2018-04-23",22.209999
"617","2018-04-24",22.299999
"618","2018-04-25",22.469999
"619","2018-04-26",22.709999
"620","2018-04-27",22.889999
"621","2018-04-30",22.66
"622","2018-05-01",22.719999
"623","2018-05-02",22.66
"624","2018-05-03",22.620001
"625","2018-05-04",22.76
"626","2018-05-07",22.9
"627","2018-05-08",22.780001
"628","2018-05-09",23.07
"629","2018-05-10",23.17
"630","2018-05-11",23.02
"631","2018-05-14",22.51
"632","2018-05-15",21.940001
"633","2018-05-16",22.08
"634","2018-05-17",22.040001
"635","2018-05-18",22.059999
"636","2018-05-21",22.299999
"637","2018-05-22",22.200001
"638","2018-05-23",22.49
"639","2018-05-24",22.4
"640","2018-05-25",22.469999
"641","2018-05-29",22.57
"642","2018-05-30",22.790001
"643","2018-05-31",22.889999
"644","2018-06-01",22.879999
"645","2018-06-04",22.98
"646","2018-06-05",23.02
"647","2018-06-06",22.9
"648","2018-06-07",22.870001
"649","2018-06-08",22.85
"650","2018-06-11",22.74
"651","2018-06-12",23.02
"652","2018-06-13",22.799999
"653","2018-06-14",22.99
"654","2018-06-15",23.190001
"655","2018-06-18",23.049999
"656","2018-06-19",22.85
"657","2018-06-20",23.26
"658","2018-06-21",23.5
"659","2018-06-22",23.93
"660","2018-06-25",24.299999
"661","2018-06-26",24.82
"662","2018-06-27",24.75
"663","2018-06-28",24.799999
"664","2018-06-29",24.629999
"665","2018-07-02",24.68
"666","2018-07-03",25.08
"667","2018-07-05",25.43
"668","2018-07-06",25.49
"669","2018-07-09",24.950001
"670","2018-07-10",24.82
"671","2018-07-11",24.950001
"672","2018-07-12",24.93
"673","2018-07-13",24.879999
"674","2018-07-16",24.809999
"675","2018-07-17",24.65
"676","2018-07-18",24.709999
"677","2018-07-19",25.1
"678","2018-07-20",24.860001
"679","2018-07-23",24.690001
"680","2018-07-24",24.65
"681","2018-07-25",24.74
"682","2018-07-26",24.889999
"683","2018-07-27",24.76
"684","2018-07-30",24.98
"685","2018-07-31",24.9
"686","2018-08-01",25.129999
"687","2018-08-02",25.77
"688","2018-08-03",25.959999
"689","2018-08-06",26.120001
"690","2018-08-07",26.09
"691","2018-08-08",26.059999
"692","2018-08-09",26.17
"693","2018-08-10",26.01
"694","2018-08-13",26.01
"695","2018-08-14",26.48
"696","2018-08-15",26.719999
"697","2018-08-16",26.959999
"698","2018-08-17",27.200001
"699","2018-08-20",27.24
"700","2018-08-21",27.030001
"701","2018-08-22",26.969999
"702","2018-08-23",26.700001
"703","2018-08-24",26.93
"704","2018-08-27",26.91
"705","2018-08-28",27.059999
"706","2018-08-29",27.07
"707","2018-08-30",26.969999
"708","2018-08-31",26.940001
"709","2018-09-04",26.82
"710","2018-09-05",26.790001
"711","2018-09-06",26.799999
"712","2018-09-07",26.469999
"713","2018-09-10",26.51
"714","2018-09-11",26.440001
"715","2018-09-12",26.450001
"716","2018-09-13",26.389999
"717","2018-09-14",26.27
"718","2018-09-17",26.16
"719","2018-09-18",26.139999
"720","2018-09-19",25.52
"721","2018-09-20",25.98
"722","2018-09-21",25.690001
"723","2018-09-24",25.26
"724","2018-09-25",25.75
"725","2018-09-26",25.030001
"726","2018-09-27",25.299999
"727","2018-09-28",25.690001
"728","2018-10-01",25.309999
"729","2018-10-02",25.23
"730","2018-10-03",25.040001
"731","2018-10-04",24.950001
"732","2018-10-05",24.959999
"733","2018-10-08",25.610001
"734","2018-10-09",25.82
"735","2018-10-10",25.440001
"736","2018-10-11",25.120001
"737","2018-10-12",24.85
"738","2018-10-15",25
"739","2018-10-16",25.870001
"740","2018-10-17",25.940001
"741","2018-10-18",25.75
"742","2018-10-19",25.809999
"743","2018-10-22",25.73
"744","2018-10-23",25.790001
"745","2018-10-24",26.280001
"746","2018-10-25",26.76
"747","2018-10-26",26.129999
"748","2018-10-29",26.48
"749","2018-10-30",26.93
"750","2018-10-31",26.08
"751","2018-11-01",26.16
"752","2018-11-02",25.969999
"753","2018-11-05",26.299999
"754","2018-11-06",26.5
"755","2018-11-07",27.139999
"756","2018-11-08",27.16
"757","2018-11-09",27.02
"758","2018-11-12",27.059999
"759","2018-11-13",27.030001
"760","2018-11-14",26.690001
"761","2018-11-15",26.540001
"762","2018-11-16",26.92
"763","2018-11-19",26.82
"764","2018-11-20",26.950001
"765","2018-11-21",26.82
"766","2018-11-23",27.07
"767","2018-11-26",26.82
"768","2018-11-27",26.959999
"769","2018-11-28",27.32
"770","2018-11-29",27.709999
"771","2018-11-30",27.74
"772","2018-12-03",27.92
"773","2018-12-04",27.51
"774","2018-12-06",28.379999
"775","2018-12-07",28.24
"776","2018-12-10",27.65
"777","2018-12-11",27.76
"778","2018-12-12",27.459999
"779","2018-12-13",27.530001
"780","2018-12-14",27.389999
"781","2018-12-17",26.540001
"782","2018-12-18",27.1
"783","2018-12-19",26.99
"784","2018-12-20",26.68
"785","2018-12-21",26.33
"786","2018-12-24",25.34
"787","2018-12-26",26.139999
"788","2018-12-27",25.93
"789","2018-12-28",26.030001
"790","2018-12-31",26.200001
"791","2019-01-02",25.35
"792","2019-01-03",25.290001
"793","2019-01-04",25.290001
"794","2019-01-07",25.33
"795","2019-01-08",25.85
"796","2019-01-09",25.84
"797","2019-01-10",26.030001
"798","2019-01-11",26.309999
"799","2019-01-14",26.01
"800","2019-01-15",26.51
"801","2019-01-16",26.620001
"802","2019-01-17",26.6
"803","2019-01-18",26.440001
"804","2019-01-22",26.67
"805","2019-01-23",26.59
"806","2019-01-24",26.85
"807","2019-01-25",27.09
"808","2019-01-28",27.41
"809","2019-01-29",27.66
"810","2019-01-30",27.83
"811","2019-01-31",28.24
"812","2019-02-01",27.809999
"813","2019-02-04",28.059999
"814","2019-02-05",28.25
"815","2019-02-06",28.09
"816","2019-02-07",28.34
"817","2019-02-08",28.440001
"818","2019-02-11",28.57
"819","2019-02-12",28.18
"820","2019-02-13",28.08
"821","2019-02-14",28.059999
"822","2019-02-15",27.860001
"823","2019-02-19",27.639999
"824","2019-02-20",27.610001
"825","2019-02-21",27.49
"826","2019-02-22",27.860001
"827","2019-02-25",27.610001
"828","2019-02-26",27.459999
"829","2019-02-27",27.34
"830","2019-02-28",27.389999
"831","2019-03-01",27.620001
"832","2019-03-04",27.959999
"833","2019-03-05",27.98
"834","2019-03-06",28.059999
"835","2019-03-07",27.92
"836","2019-03-08",28.200001
"837","2019-03-11",28.68
"838","2019-03-12",28.92
"839","2019-03-13",29.030001
"840","2019-03-14",29.049999
"841","2019-03-15",28.469999
"842","2019-03-18",28.35
"843","2019-03-19",28.299999
"844","2019-03-20",28.33
"845","2019-03-21",29.209999
"846","2019-03-22",28.950001
"847","2019-03-25",29.129999
"848","2019-03-26",29.41
"849","2019-03-27",29.540001
"850","2019-03-28",29.6
"851","2019-03-29",29.6
"852","2019-04-01",29.33
"853","2019-04-02",29.67
"854","2019-04-03",29.34
"855","2019-04-04",29.15
"856","2019-04-05",29.469999
"857","2019-04-08",29.16
"858","2019-04-09",28.809999
"859","2019-04-10",29.26
"860","2019-04-11",29.110001
"861","2019-04-12",28.91
"862","2019-04-15",28.969999
"863","2019-04-16",28.059999
"864","2019-04-17",27.690001
"865","2019-04-18",28.18
"866","2019-04-22",27.76
"867","2019-04-23",28.309999
"868","2019-04-24",28.120001
"869","2019-04-25",28.18
"870","2019-04-26",28.290001
"871","2019-04-29",28.190001
"872","2019-04-30",28.440001
"873","2019-05-01",28.299999
"874","2019-05-02",28.559999
"875","2019-05-03",28.780001
"876","2019-05-06",28.959999
"877","2019-05-07",28.440001
"878","2019-05-08",28.57
"879","2019-05-09",28.65
"880","2019-05-10",28.84
"881","2019-05-13",29.120001
"882","2019-05-14",29.01
"883","2019-05-15",28.950001
"884","2019-05-16",29.18
"885","2019-05-17",29.23
"886","2019-05-20",28.950001
"887","2019-05-21",29.200001
"888","2019-05-22",29.17
"889","2019-05-23",29.18
"890","2019-05-24",29.190001
"891","2019-05-28",28.99
"892","2019-05-29",28.629999
"893","2019-05-30",28.75
"894","2019-05-31",28.76
"895","2019-06-03",28.4
"896","2019-06-04",28.190001
"897","2019-06-05",28.780001
"898","2019-06-06",28.610001
"899","2019-06-07",28.299999
"900","2019-06-10",27.92
"901","2019-06-11",27.82
"902","2019-06-12",28.219999
"903","2019-06-13",28.389999
"904","2019-06-14",28.530001
"905","2019-06-17",28.74
"906","2019-06-18",28.620001
"907","2019-06-19",28.76
"908","2019-06-20",28.700001
"909","2019-06-21",28.32
"910","2019-06-24",28.16
"911","2019-06-25",28.18
"912","2019-06-26",27.299999
"913","2019-06-27",27.16
"914","2019-06-28",27.33
"915","2019-07-01",27.07
"916","2019-07-02",27.65
"917","2019-07-03",27.950001
"918","2019-07-05",27.92
"919","2019-07-08",27.870001
"920","2019-07-09",27.889999
"921","2019-07-10",28.07
"922","2019-07-11",27.84
"923","2019-07-12",27.74
"924","2019-07-15",27.639999
"925","2019-07-16",27.360001
"926","2019-07-17",27.25
"927","2019-07-18",27.299999
"928","2019-07-19",26.719999
"929","2019-07-22",26.76
"930","2019-07-23",27.02
"931","2019-07-24",27.209999
"932","2019-07-25",26.879999
"933","2019-07-26",27.049999
"934","2019-07-29",27.1
"935","2019-07-30",26.93
"936","2019-07-31",26.940001
"937","2019-08-01",27.040001
"938","2019-08-02",27.1
"939","2019-08-05",26.85
"940","2019-08-06",27.17
"941","2019-08-07",27.48
"942","2019-08-08",27.76
"943","2019-08-09",27.690001
"944","2019-08-12",27.540001
"945","2019-08-13",27.709999
"946","2019-08-14",27.51
"947","2019-08-15",27.84
"948","2019-08-16",27.99
"949","2019-08-19",28.200001
"950","2019-08-20",27.780001
"951","2019-08-21",27.9
"952","2019-08-22",28.15
"953","2019-08-23",27.889999
"954","2019-08-26",28.07
"955","2019-08-27",27.84
"956","2019-08-28",28
"957","2019-08-29",28.559999
"958","2019-08-30",28.49
"959","2019-09-03",28.780001
"960","2019-09-04",29.209999
"961","2019-09-05",28.790001
"962","2019-09-06",28.98
"963","2019-09-09",28.93
"964","2019-09-10",28.67
