"","date","NTRS"
"403","2008-08-07",77.480003
"404","2008-08-08",79.339996
"405","2008-08-11",81.110001
"406","2008-08-12",78.620003
"407","2008-08-13",76.349998
"408","2008-08-14",78.669998
"409","2008-08-15",79.300003
"410","2008-08-18",76.790001
"411","2008-08-19",75.540001
"412","2008-08-20",78.190002
"413","2008-08-21",77.209999
"414","2008-08-22",79.360001
"415","2008-08-25",76.739998
"416","2008-08-26",77.339996
"417","2008-08-27",78.809998
"418","2008-08-28",81.599998
"419","2008-08-29",80.389999
"420","2008-09-02",80.370003
"421","2008-09-03",81.82
"422","2008-09-04",77.410004
"423","2008-09-05",80.629997
"424","2008-09-08",84.129997
"425","2008-09-09",82.400002
"426","2008-09-10",83.699997
"427","2008-09-11",87.199997
"428","2008-09-12",87.089996
"429","2008-09-15",84.089996
"430","2008-09-16",80.339996
"431","2008-09-17",70.720001
"432","2008-09-18",75.449997
"433","2008-09-19",76.550003
"434","2008-09-22",71
"435","2008-09-23",69.029999
"436","2008-09-24",73.199997
"437","2008-09-25",74.489998
"438","2008-09-26",79.900002
"439","2008-09-29",64.870003
"440","2008-09-30",72.199997
"441","2008-10-01",71.540001
"442","2008-10-02",64.809998
"443","2008-10-03",64.029999
"444","2008-10-06",60.68
"445","2008-10-07",55.43
"446","2008-10-08",56.799999
"447","2008-10-09",50.919998
"448","2008-10-10",56.57
"449","2008-10-13",63.009998
"450","2008-10-14",63.77
"451","2008-10-15",54.93
"452","2008-10-16",58.259998
"453","2008-10-17",56.279999
"454","2008-10-20",58.41
"455","2008-10-21",58.189999
"456","2008-10-22",51.130001
"457","2008-10-23",50.610001
"458","2008-10-24",49.540001
"459","2008-10-27",49.68
"460","2008-10-28",54.970001
"461","2008-10-29",55.110001
"462","2008-10-30",55.549999
"463","2008-10-31",56.310001
"464","2008-11-03",53.34
"465","2008-11-04",57.330002
"466","2008-11-05",52.279999
"467","2008-11-06",49.860001
"468","2008-11-07",51.5
"469","2008-11-10",50.529999
"470","2008-11-11",46.509998
"471","2008-11-12",45.34
"472","2008-11-13",49.799999
"473","2008-11-14",44.919998
"474","2008-11-17",42.16
"475","2008-11-18",43.57
"476","2008-11-19",38.650002
"477","2008-11-20",34.490002
"478","2008-11-21",37.939999
"479","2008-11-24",43.889999
"480","2008-11-25",41.560001
"481","2008-11-26",44.41
"482","2008-11-28",45.889999
"483","2008-12-01",39.400002
"484","2008-12-02",42.619999
"485","2008-12-03",45.549999
"486","2008-12-04",46.169998
"487","2008-12-05",50.580002
"488","2008-12-08",52.860001
"489","2008-12-09",50.110001
"490","2008-12-10",50.27
"491","2008-12-11",45.630001
"492","2008-12-12",45.790001
"493","2008-12-15",45.220001
"494","2008-12-16",51
"495","2008-12-17",50.529999
"496","2008-12-18",49.360001
"497","2008-12-19",51.57
"498","2008-12-22",49.970001
"499","2008-12-23",49.419998
"500","2008-12-24",49.580002
"501","2008-12-26",49.27
"502","2008-12-29",47.810001
"503","2008-12-30",50.330002
"504","2008-12-31",52.139999
"505","2009-01-02",53.220001
"506","2009-01-05",52.700001
"507","2009-01-06",54.169998
"508","2009-01-07",52.259998
"509","2009-01-08",52.369999
"510","2009-01-09",50.16
"511","2009-01-12",48.490002
"512","2009-01-13",48.25
"513","2009-01-14",47.240002
"514","2009-01-15",48.279999
"515","2009-01-16",51.080002
"516","2009-01-20",43.93
"517","2009-01-21",57.509998
"518","2009-01-22",54.48
"519","2009-01-23",56.549999
"520","2009-01-26",55.209999
"521","2009-01-27",56.119999
"522","2009-01-28",61.220001
"523","2009-01-29",56.830002
"524","2009-01-30",57.52
"525","2009-02-02",60.34
"526","2009-02-03",58.939999
"527","2009-02-04",58.450001
"528","2009-02-05",60.34
"529","2009-02-06",61.619999
"530","2009-02-09",62.32
"531","2009-02-10",57.970001
"532","2009-02-11",61.009998
"533","2009-02-12",60.029999
"534","2009-02-13",57.59
"535","2009-02-17",55.389999
"536","2009-02-18",57.02
"537","2009-02-19",55.07
"538","2009-02-20",56.490002
"539","2009-02-23",54.68
"540","2009-02-24",60.790001
"541","2009-02-25",58.139999
"542","2009-02-26",56.84
"543","2009-02-27",55.549999
"544","2009-03-02",54.32
"545","2009-03-03",54.310001
"546","2009-03-04",53.07
"547","2009-03-05",48.639999
"548","2009-03-06",47.380001
"549","2009-03-09",47.880001
"550","2009-03-10",53.759998
"551","2009-03-11",55.060001
"552","2009-03-12",59.040001
"553","2009-03-13",58.73
"554","2009-03-16",55.5
"555","2009-03-17",59.970001
"556","2009-03-18",61.77
"557","2009-03-19",56.580002
"558","2009-03-20",57.810001
"559","2009-03-23",64.599998
"560","2009-03-24",60.93
"561","2009-03-25",64.57
"562","2009-03-26",62.490002
"563","2009-03-27",58.77
"564","2009-03-30",56.990002
"565","2009-03-31",59.82
"566","2009-04-01",62.959999
"567","2009-04-02",59.57
"568","2009-04-03",61.380001
"569","2009-04-06",59.41
"570","2009-04-07",56.990002
"571","2009-04-08",58.299999
"572","2009-04-09",64.120003
"573","2009-04-13",65.540001
"574","2009-04-14",61.139999
"575","2009-04-15",64.529999
"576","2009-04-16",63.759998
"577","2009-04-17",63.060001
"578","2009-04-20",58.150002
"579","2009-04-21",56.169998
"580","2009-04-22",53.700001
"581","2009-04-23",56.959999
"582","2009-04-24",55.57
"583","2009-04-27",55.009998
"584","2009-04-28",53.169998
"585","2009-04-29",55
"586","2009-04-30",54.360001
"587","2009-05-01",52.779999
"588","2009-05-04",55.639999
"589","2009-05-05",53.540001
"590","2009-05-06",55.41
"591","2009-05-07",52.349998
"592","2009-05-08",55.290001
"593","2009-05-11",52.709999
"594","2009-05-12",53.509998
"595","2009-05-13",52.400002
"596","2009-05-14",55
"597","2009-05-15",53.549999
"598","2009-05-18",54.889999
"599","2009-05-19",52.389999
"600","2009-05-20",50.91
"601","2009-05-21",51.5
"602","2009-05-22",52
"603","2009-05-26",54.919998
"604","2009-05-27",53.419998
"605","2009-05-28",55.470001
"606","2009-05-29",57.650002
"607","2009-06-01",56.529999
"608","2009-06-02",55.73
"609","2009-06-03",55.279999
"610","2009-06-04",57.16
"611","2009-06-05",55.59
"612","2009-06-08",55.380001
"613","2009-06-09",56.360001
"614","2009-06-10",54.990002
"615","2009-06-11",55.349998
"616","2009-06-12",55.189999
"617","2009-06-15",54.18
"618","2009-06-16",52.73
"619","2009-06-17",51.150002
"620","2009-06-18",52.5
"621","2009-06-19",54.290001
"622","2009-06-22",51.880001
"623","2009-06-23",51.869999
"624","2009-06-24",52.790001
"625","2009-06-25",53.869999
"626","2009-06-26",53
"627","2009-06-29",54.009998
"628","2009-06-30",53.68
"629","2009-07-01",53.48
"630","2009-07-02",52.759998
"631","2009-07-06",54.150002
"632","2009-07-07",53.5
"633","2009-07-08",54.240002
"634","2009-07-09",55.380001
"635","2009-07-10",54.310001
"636","2009-07-13",56.77
"637","2009-07-14",57.049999
"638","2009-07-15",58.599998
"639","2009-07-16",58.450001
"640","2009-07-17",57.73
"641","2009-07-20",57.91
"642","2009-07-21",57.540001
"643","2009-07-22",57.939999
"644","2009-07-23",58.860001
"645","2009-07-24",57.700001
"646","2009-07-27",58.150002
"647","2009-07-28",57.830002
"648","2009-07-29",58.540001
"649","2009-07-30",60.040001
"650","2009-07-31",59.810001
"651","2009-08-03",60.360001
"652","2009-08-04",61.189999
"653","2009-08-05",61.349998
"654","2009-08-06",60.82
"655","2009-08-07",61.700001
"656","2009-08-10",61.389999
"657","2009-08-11",60.82
"658","2009-08-12",61.049999
"659","2009-08-13",61
"660","2009-08-14",61.169998
"661","2009-08-17",59.900002
"662","2009-08-18",60.380001
"663","2009-08-19",59.919998
"664","2009-08-20",61.110001
"665","2009-08-21",60.349998
"666","2009-08-24",59.299999
"667","2009-08-25",60.110001
"668","2009-08-26",59.860001
"669","2009-08-27",59.790001
"670","2009-08-28",58.540001
"671","2009-08-31",58.459999
"672","2009-09-01",56.34
"673","2009-09-02",56.810001
"674","2009-09-03",57.389999
"675","2009-09-04",58.380001
"676","2009-09-08",58.740002
"677","2009-09-09",58.82
"678","2009-09-10",58.84
"679","2009-09-11",58.580002
"680","2009-09-14",59.310001
"681","2009-09-15",59.220001
"682","2009-09-16",60
"683","2009-09-17",58.790001
"684","2009-09-18",58.73
"685","2009-09-21",58.32
"686","2009-09-22",58.849998
"687","2009-09-23",58.66
"688","2009-09-24",58.16
"689","2009-09-25",57.610001
"690","2009-09-28",58.68
"691","2009-09-29",58.450001
"692","2009-09-30",58.16
"693","2009-10-01",57.09
"694","2009-10-02",56.48
"695","2009-10-05",57.52
"696","2009-10-06",57.849998
"697","2009-10-07",58.200001
"698","2009-10-08",59.509998
"699","2009-10-09",60.450001
"700","2009-10-12",60.27
"701","2009-10-13",59.139999
"702","2009-10-14",59.169998
"703","2009-10-15",59.900002
"704","2009-10-16",58.25
"705","2009-10-19",58.279999
"706","2009-10-20",57.450001
"707","2009-10-21",54.16
"708","2009-10-22",53.900002
"709","2009-10-23",53.139999
"710","2009-10-26",51.939999
"711","2009-10-27",51.619999
"712","2009-10-28",49.98
"713","2009-10-29",51.310001
"714","2009-10-30",50.25
"715","2009-11-02",50.669998
"716","2009-11-03",49.639999
"717","2009-11-04",49.790001
"718","2009-11-05",50.419998
"719","2009-11-06",49.73
"720","2009-11-09",50.98
"721","2009-11-10",50.950001
"722","2009-11-11",51.639999
"723","2009-11-12",49.18
"724","2009-11-13",48.040001
"725","2009-11-16",47.91
"726","2009-11-17",48.59
"727","2009-11-18",48.68
"728","2009-11-19",47.669998
"729","2009-11-20",47.240002
"730","2009-11-23",48.16
"731","2009-11-24",48.07
"732","2009-11-25",48.209999
"733","2009-11-27",47.689999
"734","2009-11-30",49.490002
"735","2009-12-01",49.380001
"736","2009-12-02",50.02
"737","2009-12-03",48.759998
"738","2009-12-04",48.689999
"739","2009-12-07",48.07
"740","2009-12-08",47.299999
"741","2009-12-09",47.490002
"742","2009-12-10",47.66
"743","2009-12-11",48.119999
"744","2009-12-14",48.529999
"745","2009-12-15",48.389999
"746","2009-12-16",48.970001
"747","2009-12-17",48.860001
"748","2009-12-18",50.07
"749","2009-12-21",50.630001
"750","2009-12-22",51.279999
"751","2009-12-23",51.889999
"752","2009-12-24",52.200001
"753","2009-12-28",52.34
"754","2009-12-29",52.27
"755","2009-12-30",52.610001
"756","2009-12-31",52.400002
