"","date","TGI"
"591","2009-05-07",19.57
"592","2009-05-08",20.615
"593","2009-05-11",20.375
"594","2009-05-12",20.360001
"595","2009-05-13",19.26
"596","2009-05-14",19.27
"597","2009-05-15",19.370001
"598","2009-05-18",19.76
"599","2009-05-19",19.66
"600","2009-05-20",19.309999
"601","2009-05-21",18.615
"602","2009-05-22",18.375
"603","2009-05-26",19.045
"604","2009-05-27",18.834999
"605","2009-05-28",19.025
"606","2009-05-29",19.705
"607","2009-06-01",20.715
"608","2009-06-02",20.889999
"609","2009-06-03",20.754999
"610","2009-06-04",21.254999
"611","2009-06-05",22.02
"612","2009-06-08",22.219999
"613","2009-06-09",22.004999
"614","2009-06-10",22.325001
"615","2009-06-11",21.9
"616","2009-06-12",22.049999
"617","2009-06-15",21.07
"618","2009-06-16",21.200001
"619","2009-06-17",21.190001
"620","2009-06-18",21.73
"621","2009-06-19",22.285
"622","2009-06-22",21.875
"623","2009-06-23",20.950001
"624","2009-06-24",20.59
"625","2009-06-25",20.785
"626","2009-06-26",21.225
"627","2009-06-29",21.059999
"628","2009-06-30",20
"629","2009-07-01",20.26
"630","2009-07-02",18.825001
"631","2009-07-06",18.825001
"632","2009-07-07",18.334999
"633","2009-07-08",18.094999
"634","2009-07-09",17.955
"635","2009-07-10",18.004999
"636","2009-07-13",18.059999
"637","2009-07-14",18.43
"638","2009-07-15",19.225
"639","2009-07-16",19.65
"640","2009-07-17",19.459999
"641","2009-07-20",19.629999
"642","2009-07-21",19.485001
"643","2009-07-22",18.99
"644","2009-07-23",19.565001
"645","2009-07-24",19.725
"646","2009-07-27",19.860001
"647","2009-07-28",19.940001
"648","2009-07-29",19.780001
"649","2009-07-30",20.075001
"650","2009-07-31",19.969999
"651","2009-08-03",20.215
"652","2009-08-04",20.48
"653","2009-08-05",20.09
"654","2009-08-06",19.945
"655","2009-08-07",20.59
"656","2009-08-10",20.34
"657","2009-08-11",19.969999
"658","2009-08-12",20.459999
"659","2009-08-13",20.995001
"660","2009-08-14",20.719999
"661","2009-08-17",20.219999
"662","2009-08-18",20.26
"663","2009-08-19",20.385
"664","2009-08-20",20.73
"665","2009-08-21",21.34
"666","2009-08-24",21.76
"667","2009-08-25",21.995001
"668","2009-08-26",21.889999
"669","2009-08-27",22.049999
"670","2009-08-28",22.014999
"671","2009-08-31",21.75
"672","2009-09-01",21.83
"673","2009-09-02",21.575001
"674","2009-09-03",21.795
"675","2009-09-04",22.209999
"676","2009-09-08",22.495001
"677","2009-09-09",22.805
"678","2009-09-10",23.254999
