"","date","ADSW"
"541","2018-11-28",26.690001
"542","2018-11-29",26.65
"543","2018-11-30",26.950001
"544","2018-12-03",26.77
"545","2018-12-04",26.469999
"546","2018-12-06",26.32
"547","2018-12-07",26.01
"548","2018-12-10",25.59
"549","2018-12-11",25.790001
"550","2018-12-12",25.860001
"551","2018-12-13",25.93
"552","2018-12-14",25.65
"553","2018-12-17",24.74
"554","2018-12-18",24.43
"555","2018-12-19",24.280001
"556","2018-12-20",23.43
"557","2018-12-21",23.08
"558","2018-12-24",22.290001
"559","2018-12-26",22.940001
"560","2018-12-27",22.93
"561","2018-12-28",23.450001
"562","2018-12-31",23.940001
"563","2019-01-02",23.280001
"564","2019-01-03",23.290001
"565","2019-01-04",23.780001
"566","2019-01-07",24.15
"567","2019-01-08",24.48
"568","2019-01-09",24.24
"569","2019-01-10",24.639999
"570","2019-01-11",24.610001
"571","2019-01-14",24.34
"572","2019-01-15",24.690001
"573","2019-01-16",24.940001
"574","2019-01-17",25.030001
"575","2019-01-18",24.940001
"576","2019-01-22",24.549999
"577","2019-01-23",24.35
"578","2019-01-24",24.299999
"579","2019-01-25",24.879999
"580","2019-01-28",24.58
"581","2019-01-29",24.709999
"582","2019-01-30",24.99
"583","2019-01-31",25.200001
"584","2019-02-01",25.25
"585","2019-02-04",25.75
"586","2019-02-05",26.01
"587","2019-02-06",25.950001
"588","2019-02-07",25.92
"589","2019-02-08",25.879999
"590","2019-02-11",26.24
"591","2019-02-12",26.77
"592","2019-02-13",26.790001
"593","2019-02-14",26.68
"594","2019-02-15",27.33
"595","2019-02-19",27
"596","2019-02-20",27.57
"597","2019-02-21",27.610001
"598","2019-02-22",27
"599","2019-02-25",26.690001
"600","2019-02-26",26.59
"601","2019-02-27",26.700001
"602","2019-02-28",26.52
"603","2019-03-01",26.690001
"604","2019-03-04",26.66
"605","2019-03-05",26.5
"606","2019-03-06",26.389999
"607","2019-03-07",26.43
"608","2019-03-08",26.35
"609","2019-03-11",26.76
"610","2019-03-12",26.879999
"611","2019-03-13",26.860001
"612","2019-03-14",26.879999
"613","2019-03-15",26.91
"614","2019-03-18",27.16
"615","2019-03-19",27.200001
"616","2019-03-20",27.08
"617","2019-03-21",27.459999
"618","2019-03-22",27.16
"619","2019-03-25",27.459999
"620","2019-03-26",28
"621","2019-03-27",27.6
"622","2019-03-28",28.02
"623","2019-03-29",28
"624","2019-04-01",27.709999
"625","2019-04-02",27.59
"626","2019-04-03",27.67
"627","2019-04-04",27.5
"628","2019-04-05",27.799999
"629","2019-04-08",27.77
"630","2019-04-09",27.58
"631","2019-04-10",27.700001
"632","2019-04-11",26.83
"633","2019-04-12",27.139999
"634","2019-04-15",31.99
"635","2019-04-16",32.419998
"636","2019-04-17",32.700001
"637","2019-04-18",32.830002
"638","2019-04-22",32.73
"639","2019-04-23",32.48
"640","2019-04-24",32.310001
"641","2019-04-25",32.200001
"642","2019-04-26",32.380001
"643","2019-04-29",32.25
"644","2019-04-30",32.34
"645","2019-05-01",32.299999
"646","2019-05-02",32.290001
"647","2019-05-03",32.549999
"648","2019-05-06",32.349998
"649","2019-05-07",32.299999
"650","2019-05-08",32.310001
"651","2019-05-09",32.330002
"652","2019-05-10",32.369999
"653","2019-05-13",32.110001
"654","2019-05-14",32.119999
"655","2019-05-15",32.150002
"656","2019-05-16",32.110001
"657","2019-05-17",32.130001
"658","2019-05-20",32.119999
"659","2019-05-21",32.189999
"660","2019-05-22",32.139999
"661","2019-05-23",32.18
"662","2019-05-24",32.18
"663","2019-05-28",32.150002
"664","2019-05-29",32.16
"665","2019-05-30",32.040001
"666","2019-05-31",32.139999
"667","2019-06-03",32.189999
"668","2019-06-04",32.099998
"669","2019-06-05",32.09
"670","2019-06-06",32.049999
"671","2019-06-07",32.049999
"672","2019-06-10",32.130001
"673","2019-06-11",32.119999
"674","2019-06-12",32.080002
"675","2019-06-13",32.099998
"676","2019-06-14",32.09
"677","2019-06-17",32.07
"678","2019-06-18",32.080002
"679","2019-06-19",32.09
"680","2019-06-20",32.09
"681","2019-06-21",32.110001
"682","2019-06-24",32.080002
"683","2019-06-25",32.07
"684","2019-06-26",32.099998
"685","2019-06-27",32.099998
"686","2019-06-28",31.91
"687","2019-07-01",32.09
"688","2019-07-02",32.16
"689","2019-07-03",32.25
"690","2019-07-05",32.169998
"691","2019-07-08",32.240002
"692","2019-07-09",32.330002
"693","2019-07-10",32.34
"694","2019-07-11",32.349998
"695","2019-07-12",32.369999
"696","2019-07-15",32.360001
"697","2019-07-16",32.330002
