"","date","AL"
"443","2013-01-23",23
"444","2013-01-24",23.030001
"445","2013-01-25",23.620001
"446","2013-01-28",23.719999
"447","2013-01-29",23.68
"448","2013-01-30",23.719999
"449","2013-01-31",23.870001
"450","2013-02-01",24.41
"451","2013-02-04",24.48
"452","2013-02-05",24.860001
"453","2013-02-06",25.08
"454","2013-02-07",25.559999
"455","2013-02-08",25.92
"456","2013-02-11",26.040001
"457","2013-02-12",25.85
"458","2013-02-13",25.9
"459","2013-02-14",26.24
"460","2013-02-15",26.43
"461","2013-02-19",26.35
"462","2013-02-20",26.6
"463","2013-02-21",26.469999
"464","2013-02-22",26.690001
"465","2013-02-25",26.639999
"466","2013-02-26",26.23
"467","2013-02-27",26.92
"468","2013-02-28",27.17
"469","2013-03-01",28.51
"470","2013-03-04",28.48
"471","2013-03-05",28.75
"472","2013-03-06",28.639999
"473","2013-03-07",28.49
"474","2013-03-08",28.809999
"475","2013-03-11",28.42
"476","2013-03-12",28.32
"477","2013-03-13",28.6
"478","2013-03-14",28.940001
"479","2013-03-15",29.360001
"480","2013-03-18",29
"481","2013-03-19",28.76
"482","2013-03-20",29
"483","2013-03-21",28.969999
"484","2013-03-22",28.93
"485","2013-03-25",29
"486","2013-03-26",29.01
"487","2013-03-27",29.049999
"488","2013-03-28",29.32
"489","2013-04-01",28.889999
"490","2013-04-02",28.540001
"491","2013-04-03",27.200001
"492","2013-04-04",27.469999
"493","2013-04-05",27.09
"494","2013-04-08",28.110001
"495","2013-04-09",28.129999
"496","2013-04-10",28.530001
"497","2013-04-11",29.01
"498","2013-04-12",28.91
"499","2013-04-15",28.18
"500","2013-04-16",28.75
"501","2013-04-17",27.690001
"502","2013-04-18",26.639999
"503","2013-04-19",26.700001
"504","2013-04-22",26.5
"505","2013-04-23",26.6
"506","2013-04-24",26.41
"507","2013-04-25",26.4
"508","2013-04-26",26.469999
"509","2013-04-29",27.139999
"510","2013-04-30",27.51
"511","2013-05-01",27.290001
"512","2013-05-02",27.700001
"513","2013-05-03",28.24
"514","2013-05-06",28.290001
"515","2013-05-07",29.4
"516","2013-05-08",29.42
"517","2013-05-09",30.58
"518","2013-05-10",30
"519","2013-05-13",29.540001
"520","2013-05-14",28.370001
"521","2013-05-15",30.190001
"522","2013-05-16",29.52
"523","2013-05-17",29.879999
"524","2013-05-20",30.030001
"525","2013-05-21",30.040001
"526","2013-05-22",29.440001
"527","2013-05-23",28.799999
"528","2013-05-24",28.889999
"529","2013-05-28",28.879999
"530","2013-05-29",28.16
"531","2013-05-30",27.459999
"532","2013-05-31",28
"533","2013-06-03",28.59
"534","2013-06-04",27.860001
"535","2013-06-05",27.15
"536","2013-06-06",27.6
"537","2013-06-07",27.059999
"538","2013-06-10",27.6
"539","2013-06-11",27.360001
"540","2013-06-12",27.24
"541","2013-06-13",28.01
"542","2013-06-14",27.74
"543","2013-06-17",27.85
"544","2013-06-18",28.4
"545","2013-06-19",27.99
"546","2013-06-20",26.99
"547","2013-06-21",26.450001
"548","2013-06-24",26.18
"549","2013-06-25",26.709999
"550","2013-06-26",26.719999
"551","2013-06-27",27.35
"552","2013-06-28",27.59
"553","2013-07-01",27.309999
"554","2013-07-02",27.309999
"555","2013-07-03",27.41
"556","2013-07-05",27.450001
"557","2013-07-08",27.76
"558","2013-07-09",28
"559","2013-07-10",27.860001
"560","2013-07-11",28.08
"561","2013-07-12",28.440001
"562","2013-07-15",28.43
"563","2013-07-16",28.5
"564","2013-07-17",28.51
"565","2013-07-18",28.5
"566","2013-07-19",28.51
"567","2013-07-22",28.620001
"568","2013-07-23",28.67
"569","2013-07-24",27.950001
"570","2013-07-25",27.66
"571","2013-07-26",27.950001
"572","2013-07-29",27.82
"573","2013-07-30",28.08
"574","2013-07-31",27.879999
"575","2013-08-01",27.959999
"576","2013-08-02",27.860001
"577","2013-08-05",27.809999
"578","2013-08-06",27.370001
"579","2013-08-07",27.360001
"580","2013-08-08",27.299999
"581","2013-08-09",26.959999
"582","2013-08-12",26.969999
"583","2013-08-13",27.01
"584","2013-08-14",27.18
"585","2013-08-15",26.76
"586","2013-08-16",26.440001
"587","2013-08-19",25.99
"588","2013-08-20",26.190001
"589","2013-08-21",25.93
"590","2013-08-22",26.51
