"","date","BWMX"
"446","2020-10-08",18.309999
"447","2020-10-09",19.77
"448","2020-10-12",19.450001
"449","2020-10-13",21.940001
"450","2020-10-14",25.809999
"451","2020-10-15",25
"452","2020-10-16",25.583
"453","2020-10-19",24.870001
"454","2020-10-20",25.059999
"455","2020-10-21",23.9
"456","2020-10-22",24.18
"457","2020-10-23",25.809999
"458","2020-10-26",24.309999
"459","2020-10-27",24.17
"460","2020-10-28",25.84
"461","2020-10-29",25.76
"462","2020-10-30",27.25
"463","2020-11-02",29.43
"464","2020-11-03",29.76
"465","2020-11-04",29.24
"466","2020-11-05",30.299999
"467","2020-11-06",34.16
"468","2020-11-09",33.18
"469","2020-11-10",34.25
"470","2020-11-11",32.73
"471","2020-11-12",30.969999
"472","2020-11-13",31.49
"473","2020-11-16",29.59
"474","2020-11-17",30.280001
"475","2020-11-18",30.219999
"476","2020-11-19",30.49
"477","2020-11-20",30.91
"478","2020-11-23",30.75
"479","2020-11-24",30.74
"480","2020-11-25",30.4
"481","2020-11-27",29.26
