"","date","HASI"
"644","2015-11-04",17.75
"645","2015-11-05",17.23
"646","2015-11-06",17.690001
"647","2015-11-09",17.49
"648","2015-11-10",17.27
"649","2015-11-11",17.040001
"650","2015-11-12",16.610001
"651","2015-11-13",16.52
"652","2015-11-16",16.74
"653","2015-11-17",16.559999
"654","2015-11-18",16.82
"655","2015-11-19",16.49
"656","2015-11-20",16.549999
"657","2015-11-23",16.709999
"658","2015-11-24",16.74
"659","2015-11-25",16.84
"660","2015-11-27",17.41
"661","2015-11-30",17.459999
"662","2015-12-01",17.459999
"663","2015-12-02",17.18
"664","2015-12-03",16.84
"665","2015-12-04",16.940001
"666","2015-12-07",16.51
"667","2015-12-08",16.610001
"668","2015-12-09",16.719999
"669","2015-12-10",16.84
"670","2015-12-11",16.4
"671","2015-12-14",16.360001
"672","2015-12-15",17.030001
"673","2015-12-16",18.219999
"674","2015-12-17",18.15
"675","2015-12-18",19.16
"676","2015-12-21",18.98
"677","2015-12-22",19.08
"678","2015-12-23",19.07
"679","2015-12-24",19.41
"680","2015-12-28",19.4
"681","2015-12-29",19.120001
"682","2015-12-30",19.139999
"683","2015-12-31",18.92
"684","2016-01-04",18.83
"685","2016-01-05",19.139999
"686","2016-01-06",19.01
"687","2016-01-07",18.559999
"688","2016-01-08",18.4
"689","2016-01-11",18.299999
"690","2016-01-12",17.91
"691","2016-01-13",17.309999
"692","2016-01-14",17.530001
"693","2016-01-15",17.139999
"694","2016-01-19",16.9
"695","2016-01-20",16.77
"696","2016-01-21",16.6
"697","2016-01-22",17.440001
"698","2016-01-25",16.93
"699","2016-01-26",17.190001
"700","2016-01-27",16.84
"701","2016-01-28",17.190001
"702","2016-01-29",17.950001
"703","2016-02-01",17.76
"704","2016-02-02",17.59
"705","2016-02-03",17.370001
"706","2016-02-04",17.25
"707","2016-02-05",16.99
"708","2016-02-08",17.610001
"709","2016-02-09",17.370001
"710","2016-02-10",17.43
"711","2016-02-11",17.32
"712","2016-02-12",17.360001
"713","2016-02-16",17.82
"714","2016-02-17",18.01
"715","2016-02-18",17.969999
"716","2016-02-19",17.59
"717","2016-02-22",17.82
"718","2016-02-23",17.02
"719","2016-02-24",17.280001
"720","2016-02-25",17.860001
"721","2016-02-26",17.49
"722","2016-02-29",17.610001
"723","2016-03-01",17.57
"724","2016-03-02",18.02
"725","2016-03-03",18.120001
"726","2016-03-04",18.290001
"727","2016-03-07",18.290001
"728","2016-03-08",17.91
"729","2016-03-09",18.059999
"730","2016-03-10",18.09
"731","2016-03-11",18.43
"732","2016-03-14",18.58
"733","2016-03-15",18.459999
"734","2016-03-16",18.860001
"735","2016-03-17",19.139999
"736","2016-03-18",19.01
"737","2016-03-21",18.719999
"738","2016-03-22",18.77
"739","2016-03-23",18.290001
"740","2016-03-24",18.66
"741","2016-03-28",18.129999
"742","2016-03-29",18.780001
"743","2016-03-30",18.799999
"744","2016-03-31",19.219999
"745","2016-04-01",19.120001
"746","2016-04-04",18.709999
"747","2016-04-05",18.6
"748","2016-04-06",18.67
"749","2016-04-07",18.4
"750","2016-04-08",18.799999
"751","2016-04-11",18.99
"752","2016-04-12",18.65
"753","2016-04-13",18.99
"754","2016-04-14",19.309999
"755","2016-04-15",19.23
"756","2016-04-18",19.440001
"757","2016-04-19",19.43
"758","2016-04-20",19.51
"759","2016-04-21",19.67
"760","2016-04-22",19.790001
"761","2016-04-25",19.93
"762","2016-04-26",20.139999
"763","2016-04-27",19.799999
"764","2016-04-28",19.18
"765","2016-04-29",19.4
"766","2016-05-02",20
"767","2016-05-03",19.65
"768","2016-05-04",19.700001
"769","2016-05-05",20.17
"770","2016-05-06",19.959999
"771","2016-05-09",20.4
"772","2016-05-10",20.469999
"773","2016-05-11",20.33
"774","2016-05-12",20.34
"775","2016-05-13",20.309999
"776","2016-05-16",20.58
"777","2016-05-17",20.18
"778","2016-05-18",20
"779","2016-05-19",19.790001
"780","2016-05-20",19.809999
"781","2016-05-23",19.879999
"782","2016-05-24",20.559999
"783","2016-05-25",20.34
"784","2016-05-26",20.24
"785","2016-05-27",20.35
"786","2016-05-31",20.33
"787","2016-06-01",20.299999
"788","2016-06-02",20.27
"789","2016-06-03",20.59
"790","2016-06-06",21.120001
"791","2016-06-07",21.16
"792","2016-06-08",21.33
"793","2016-06-09",21.24
"794","2016-06-10",21.209999
"795","2016-06-13",21.02
"796","2016-06-14",21.049999
"797","2016-06-15",21.15
"798","2016-06-16",20.58
"799","2016-06-17",21.01
"800","2016-06-20",20.709999
"801","2016-06-21",20.57
"802","2016-06-22",20.469999
"803","2016-06-23",20.76
"804","2016-06-24",20.51
"805","2016-06-27",20.110001
"806","2016-06-28",20.52
"807","2016-06-29",21.07
"808","2016-06-30",21.6
"809","2016-07-01",21.43
"810","2016-07-05",21.17
"811","2016-07-06",21.02
"812","2016-07-07",20.66
"813","2016-07-08",21.66
"814","2016-07-11",22.299999
"815","2016-07-12",22.43
"816","2016-07-13",22.52
"817","2016-07-14",22.450001
"818","2016-07-15",22.5
"819","2016-07-18",22.65
"820","2016-07-19",22.66
"821","2016-07-20",22.860001
"822","2016-07-21",22.370001
"823","2016-07-22",22.639999
"824","2016-07-25",22.65
"825","2016-07-26",22.34
"826","2016-07-27",22.459999
"827","2016-07-28",22.559999
"828","2016-07-29",22.49
"829","2016-08-01",22.809999
"830","2016-08-02",22.200001
"831","2016-08-03",22.4
"832","2016-08-04",22.700001
"833","2016-08-05",22.99
"834","2016-08-08",22.799999
"835","2016-08-09",23.42
"836","2016-08-10",23.530001
"837","2016-08-11",23.6
"838","2016-08-12",23.459999
"839","2016-08-15",23.360001
"840","2016-08-16",23.059999
"841","2016-08-17",22.870001
"842","2016-08-18",22.879999
"843","2016-08-19",22.889999
"844","2016-08-22",23.34
"845","2016-08-23",23.639999
"846","2016-08-24",23.440001
"847","2016-08-25",23.49
"848","2016-08-26",23.34
"849","2016-08-29",23.610001
