"","date","AMEH"
"625","2011-08-30",1.9
"626","2011-08-31",1.9
"627","2011-09-01",1.9
"628","2011-09-02",1.9
"629","2011-09-06",1.9
"630","2011-09-07",1.9
"631","2011-09-08",1.9
"632","2011-09-09",1.9
"633","2011-09-12",1.9
"634","2011-09-13",1.9
"635","2011-09-14",1.9
"636","2011-09-15",1.9
"637","2011-09-16",1.9
"638","2011-09-19",1.9
"639","2011-09-20",1.9
"640","2011-09-21",1.9
"641","2011-09-22",1.9
"642","2011-09-23",1.9
"643","2011-09-26",1.9
"644","2011-09-27",1.9
"645","2011-09-28",1.9
"646","2011-09-29",1.9
"647","2011-09-30",1.9
"648","2011-10-03",1.9
"649","2011-10-04",1.9
"650","2011-10-05",1.9
"651","2011-10-06",1.9
"652","2011-10-07",1.5
"653","2011-10-10",1.5
"654","2011-10-11",1.5
"655","2011-10-12",1.5
"656","2011-10-13",1.5
"657","2011-10-14",1.5
"658","2011-10-17",1.8
"659","2011-10-18",1.7
"660","2011-10-19",1.7
"661","2011-10-20",1.7
"662","2011-10-21",1.7
"663","2011-10-24",1.7
"664","2011-10-25",1.7
"665","2011-10-26",1.7
"666","2011-10-27",1.7
"667","2011-10-28",1.7
"668","2011-10-31",1.7
"669","2011-11-01",1.7
"670","2011-11-02",1.7
"671","2011-11-03",1.7
"672","2011-11-04",1.7
"673","2011-11-07",1.7
"674","2011-11-08",1.7
"675","2011-11-09",1.7
"676","2011-11-10",1.7
"677","2011-11-11",1.7
"678","2011-11-14",1.7
"679","2011-11-15",1.4
"680","2011-11-16",1.7
"681","2011-11-17",1.7
"682","2011-11-18",1.4
"683","2011-11-21",1.4
"684","2011-11-22",1.4
"685","2011-11-23",1.4
"686","2011-11-25",1.4
"687","2011-11-28",1.4
"688","2011-11-29",1.7
"689","2011-11-30",1.5
"690","2011-12-01",1.5
"691","2011-12-02",1.5
"692","2011-12-05",1.5
"693","2011-12-06",1.5
"694","2011-12-07",1.5
"695","2011-12-08",1.5
"696","2011-12-09",1.5
"697","2011-12-12",1.3
"698","2011-12-13",1.3
"699","2011-12-14",1.3
"700","2011-12-15",1.2
"701","2011-12-16",0.6
"702","2011-12-19",0.6
"703","2011-12-20",1.1
"704","2011-12-21",1.1
"705","2011-12-22",1.1
"706","2011-12-23",1.1
"707","2011-12-27",1.1
"708","2011-12-28",1.1
"709","2011-12-29",1.3
