"","date","ARE"
"614","2009-06-10",38.599998
"615","2009-06-11",38.77
"616","2009-06-12",39.439999
"617","2009-06-15",36.98
"618","2009-06-16",36.200001
"619","2009-06-17",35.720001
"620","2009-06-18",35.549999
"621","2009-06-19",35.740002
"622","2009-06-22",33.360001
"623","2009-06-23",34.040001
"624","2009-06-24",34.68
"625","2009-06-25",34.52
"626","2009-06-26",35.18
"627","2009-06-29",35.68
"628","2009-06-30",35.790001
"629","2009-07-01",36.049999
"630","2009-07-02",33.369999
"631","2009-07-06",34.560001
"632","2009-07-07",32.740002
"633","2009-07-08",32.09
"634","2009-07-09",32.139999
"635","2009-07-10",31.110001
"636","2009-07-13",32.43
"637","2009-07-14",33
"638","2009-07-15",34.200001
"639","2009-07-16",34.459999
"640","2009-07-17",34.25
"641","2009-07-20",35.700001
"642","2009-07-21",35.57
"643","2009-07-22",38.310001
"644","2009-07-23",39.43
"645","2009-07-24",39.240002
"646","2009-07-27",39.490002
"647","2009-07-28",39.75
"648","2009-07-29",37.580002
"649","2009-07-30",38.290001
"650","2009-07-31",38.110001
"651","2009-08-03",39.740002
"652","2009-08-04",43.900002
"653","2009-08-05",46.18
"654","2009-08-06",47.639999
"655","2009-08-07",50.419998
"656","2009-08-10",49.669998
"657","2009-08-11",48.790001
"658","2009-08-12",49.049999
"659","2009-08-13",49.869999
"660","2009-08-14",50.389999
"661","2009-08-17",47.060001
"662","2009-08-18",47.18
"663","2009-08-19",46.700001
"664","2009-08-20",49.970001
"665","2009-08-21",51.389999
"666","2009-08-24",50.689999
"667","2009-08-25",52.150002
"668","2009-08-26",52.450001
"669","2009-08-27",54.02
"670","2009-08-28",55.540001
"671","2009-08-31",55.709999
"672","2009-09-01",52
"673","2009-09-02",49.740002
"674","2009-09-03",50.279999
"675","2009-09-04",50.610001
"676","2009-09-08",52
"677","2009-09-09",52.869999
"678","2009-09-10",54.48
"679","2009-09-11",55.290001
"680","2009-09-14",57.810001
"681","2009-09-15",57.860001
"682","2009-09-16",60.349998
"683","2009-09-17",59.349998
"684","2009-09-18",59.860001
"685","2009-09-21",58.57
"686","2009-09-22",60.150002
"687","2009-09-23",56.73
"688","2009-09-24",53.290001
"689","2009-09-25",53.91
"690","2009-09-28",55.540001
"691","2009-09-29",55.32
