"","date","PDSB"
"578","2018-01-16",207
"579","2018-01-17",213.199997
"580","2018-01-18",231
"581","2018-01-19",248
"582","2018-01-22",244
"583","2018-01-23",252.600006
"584","2018-01-24",244.399994
"585","2018-01-25",249
"586","2018-01-26",260.200012
"587","2018-01-29",258.799988
"588","2018-01-30",255
"589","2018-01-31",254.800003
"590","2018-02-01",264.600006
"591","2018-02-02",257
"592","2018-02-05",258
"593","2018-02-06",265.799988
"594","2018-02-07",270
"595","2018-02-08",263.799988
"596","2018-02-09",265.600006
"597","2018-02-12",265.200012
"598","2018-02-13",272.200012
"599","2018-02-14",275
"600","2018-02-15",278
"601","2018-02-16",279
"602","2018-02-20",275.600006
"603","2018-02-21",293.200012
"604","2018-02-22",310
"605","2018-02-23",314.399994
"606","2018-02-26",311.200012
"607","2018-02-27",313
"608","2018-02-28",301
"609","2018-03-01",299.600006
"610","2018-03-02",305.399994
"611","2018-03-05",311.600006
"612","2018-03-06",329.399994
"613","2018-03-07",333.600006
"614","2018-03-08",328.600006
"615","2018-03-09",344
"616","2018-03-12",349.399994
"617","2018-03-13",327.600006
"618","2018-03-14",328
"619","2018-03-15",309.399994
"620","2018-03-16",338.200012
"621","2018-03-19",332
"622","2018-03-20",330.200012
"623","2018-03-21",334.799988
"624","2018-03-22",329.799988
"625","2018-03-23",323
"626","2018-03-26",339.799988
"627","2018-03-27",311.799988
"628","2018-03-28",26.200001
"629","2018-03-29",23.6
"630","2018-04-02",21.6
"631","2018-04-03",20.4
"632","2018-04-04",23.4
"633","2018-04-05",21.200001
"634","2018-04-06",21.6
"635","2018-04-09",22.200001
"636","2018-04-10",22.200001
"637","2018-04-11",21.6
"638","2018-04-12",22.4
"639","2018-04-13",22
"640","2018-04-16",23.200001
"641","2018-04-17",25.4
"642","2018-04-18",25.6
"643","2018-04-19",24
"644","2018-04-20",22.799999
"645","2018-04-23",25
"646","2018-04-24",23.799999
"647","2018-04-25",23
"648","2018-04-26",24.200001
"649","2018-04-27",23.200001
"650","2018-04-30",22
"651","2018-05-01",20.1
"652","2018-05-02",20.6
"653","2018-05-03",19.84
"654","2018-05-04",21.200001
"655","2018-05-07",20.799999
"656","2018-05-08",19.799999
"657","2018-05-09",19.620001
"658","2018-05-10",19.440001
"659","2018-05-11",19.4
"660","2018-05-14",20.200001
"661","2018-05-15",20
"662","2018-05-16",19.879999
"663","2018-05-17",20.200001
"664","2018-05-18",19.540001
"665","2018-05-21",18.219999
"666","2018-05-22",17.860001
"667","2018-05-23",17.48
"668","2018-05-24",18.040001
"669","2018-05-25",18.200001
"670","2018-05-29",18.58
"671","2018-05-30",18.92
"672","2018-05-31",18.639999
"673","2018-06-01",18.120001
"674","2018-06-04",17.700001
"675","2018-06-05",17.799999
"676","2018-06-06",20
"677","2018-06-07",18.620001
"678","2018-06-08",19.200001
"679","2018-06-11",19.280001
"680","2018-06-12",19.200001
"681","2018-06-13",18.9
"682","2018-06-14",19
"683","2018-06-15",20.6
"684","2018-06-18",23.6
"685","2018-06-19",22
"686","2018-06-20",22
"687","2018-06-21",22.200001
"688","2018-06-22",21.799999
"689","2018-06-25",23.200001
"690","2018-06-26",22.200001
"691","2018-06-27",20.6
"692","2018-06-28",21.200001
"693","2018-06-29",20.6
"694","2018-07-02",20.4
"695","2018-07-03",20
"696","2018-07-05",20.4
"697","2018-07-06",21.4
"698","2018-07-09",22
"699","2018-07-10",21.6
"700","2018-07-11",20.4
"701","2018-07-12",21
"702","2018-07-13",20.6
"703","2018-07-16",20.6
