"","date","JEF"
"503","2008-12-30",17.249617
"504","2008-12-31",18.051924
"505","2009-01-02",19.610954
"506","2009-01-05",19.082159
"507","2009-01-06",20.622955
"508","2009-01-07",19.10951
"509","2009-01-08",18.890699
"510","2009-01-09",18.516897
"511","2009-01-12",17.678122
"512","2009-01-13",18.070158
"513","2009-01-14",16.419956
"514","2009-01-15",16.811995
"515","2009-01-16",16.939634
"516","2009-01-20",15.499126
"517","2009-01-21",16.98522
"518","2009-01-22",16.347019
"519","2009-01-23",16.237614
"520","2009-01-26",15.863811
"521","2009-01-27",16.037037
"522","2009-01-28",17.140211
"523","2009-01-29",15.517361
"524","2009-01-30",14.514476
"525","2009-02-02",14.031268
"526","2009-02-03",13.6757
"527","2009-02-04",13.666583
"528","2009-02-05",14.359485
"529","2009-02-06",14.85181
"530","2009-02-09",15.462658
"531","2009-02-10",14.678585
"532","2009-02-11",14.724171
"533","2009-02-12",14.724171
"534","2009-02-13",14.277431
"535","2009-02-17",13.055735
"536","2009-02-18",14.122439
"537","2009-02-19",13.201609
"538","2009-02-20",13.046618
"539","2009-02-23",12.727518
"540","2009-02-24",14.53271
"541","2009-02-25",14.632998
"542","2009-02-26",13.775989
"543","2009-02-27",13.338366
"544","2009-03-02",10.822037
"545","2009-03-03",10.575874
"546","2009-03-04",11.040849
"547","2009-03-05",10.329712
"548","2009-03-06",9.89209
"549","2009-03-09",9.974144
"550","2009-03-10",11.533174
"551","2009-03-11",11.587876
"552","2009-03-12",12.18049
"553","2009-03-13",12.62723
"554","2009-03-16",12.061967
"555","2009-03-17",12.353716
"556","2009-03-18",12.545176
"557","2009-03-19",11.86139
"558","2009-03-20",11.159371
"559","2009-03-23",13.256311
"560","2009-03-24",12.618113
"561","2009-03-25",12.900743
"562","2009-03-26",14.632998
"563","2009-03-27",13.958331
"564","2009-03-30",12.572527
"565","2009-03-31",13.575412
"566","2009-04-01",13.912745
"567","2009-04-02",14.860928
"568","2009-04-03",15.353252
"569","2009-04-06",15.380604
"570","2009-04-07",14.85181
"571","2009-04-08",15.061504
"572","2009-04-09",17.267851
"573","2009-04-13",17.805761
"574","2009-04-14",16.483776
"575","2009-04-15",16.866697
"576","2009-04-16",17.058157
"577","2009-04-17",16.775526
"578","2009-04-20",15.635883
"579","2009-04-21",16.520245
"580","2009-04-22",16.948751
"581","2009-04-23",17.942518
"582","2009-04-24",19.009222
"583","2009-04-27",18.307203
"584","2009-04-28",18.206915
"585","2009-04-29",18.63542
"586","2009-04-30",19.355675
"587","2009-05-01",19.756828
"588","2009-05-04",21.999643
