"","date","EIGR"
"582","2016-05-20",19.940001
"583","2016-05-23",20
"584","2016-05-24",20.139999
"585","2016-05-25",19.98
"586","2016-05-26",20.059999
"587","2016-05-27",20.799999
"588","2016-05-31",21.110001
"589","2016-06-01",21.24
"590","2016-06-02",23.02
"591","2016-06-03",22.959999
"592","2016-06-06",22.959999
"593","2016-06-07",23.040001
"594","2016-06-08",23
"595","2016-06-09",22.405001
"596","2016-06-10",22.5
"597","2016-06-13",20.83
"598","2016-06-14",21.02
"599","2016-06-15",20.389999
"600","2016-06-16",20.139999
"601","2016-06-17",19.450001
"602","2016-06-20",19.610001
"603","2016-06-21",20.15
"604","2016-06-22",19.43
"605","2016-06-23",18.790001
"606","2016-06-24",17.9
"607","2016-06-27",18.299999
"608","2016-06-28",18.57
"609","2016-06-29",18.719999
"610","2016-06-30",19.82
"611","2016-07-01",19.91
"612","2016-07-05",20.08
"613","2016-07-06",19.629999
"614","2016-07-07",19.040001
"615","2016-07-08",18.5
"616","2016-07-11",19.370001
"617","2016-07-12",20.040001
"618","2016-07-13",19.379999
"619","2016-07-14",18.98
"620","2016-07-15",19.559999
"621","2016-07-18",19.4
"622","2016-07-19",18.799999
"623","2016-07-20",18.99
"624","2016-07-21",19.1
"625","2016-07-22",19.190001
"626","2016-07-25",19.34
"627","2016-07-26",19.27
"628","2016-07-27",19.77
"629","2016-07-28",20.01
"630","2016-07-29",19.450001
"631","2016-08-01",20.459999
"632","2016-08-02",19.719999
"633","2016-08-03",19.559999
"634","2016-08-04",19.309999
"635","2016-08-05",19.48
"636","2016-08-08",19.07
"637","2016-08-09",19
"638","2016-08-10",17.700001
"639","2016-08-11",17.75
"640","2016-08-12",17.91
"641","2016-08-15",17.91
"642","2016-08-16",17.5
"643","2016-08-17",17.190001
"644","2016-08-18",15.7
"645","2016-08-19",15.84
"646","2016-08-22",16.700001
"647","2016-08-23",16.75
"648","2016-08-24",16.639999
"649","2016-08-25",16.700001
"650","2016-08-26",16.02
"651","2016-08-29",16.01
"652","2016-08-30",16.02
"653","2016-08-31",14.92
"654","2016-09-01",14.72
"655","2016-09-02",14.64
"656","2016-09-06",14.32
"657","2016-09-07",14.54
"658","2016-09-08",14.49
"659","2016-09-09",13.83
"660","2016-09-12",14.26
"661","2016-09-13",14.22
"662","2016-09-14",14.42
"663","2016-09-15",14
"664","2016-09-16",14.57
"665","2016-09-19",14.18
"666","2016-09-20",14.3
"667","2016-09-21",14.04
