"","date","FE"
"406","2008-08-12",68.269997
"407","2008-08-13",70.059998
"408","2008-08-14",70.339996
"409","2008-08-15",71.510002
"410","2008-08-18",71.589996
"411","2008-08-19",72
"412","2008-08-20",72.580002
"413","2008-08-21",73.389999
"414","2008-08-22",73.629997
"415","2008-08-25",73.389999
"416","2008-08-26",73.400002
"417","2008-08-27",73.650002
"418","2008-08-28",74.169998
"419","2008-08-29",72.639999
"420","2008-09-02",71.269997
"421","2008-09-03",69.080002
"422","2008-09-04",68.720001
"423","2008-09-05",68.699997
"424","2008-09-08",70.510002
"425","2008-09-09",67.160004
"426","2008-09-10",66.620003
"427","2008-09-11",68.300003
"428","2008-09-12",69.419998
"429","2008-09-15",67.029999
"430","2008-09-16",67.519997
"431","2008-09-17",63.080002
"432","2008-09-18",66.580002
"433","2008-09-19",68.93
"434","2008-09-22",65.870003
"435","2008-09-23",66.18
"436","2008-09-24",66.519997
"437","2008-09-25",68.980003
"438","2008-09-26",68.639999
"439","2008-09-29",66.790001
"440","2008-09-30",66.989998
"441","2008-10-01",64.989998
"442","2008-10-02",61.709999
"443","2008-10-03",61.009998
"444","2008-10-06",56.66
"445","2008-10-07",54.5
"446","2008-10-08",53
"447","2008-10-09",50.619999
"448","2008-10-10",45.450001
"449","2008-10-13",53.490002
"450","2008-10-14",53.630001
"451","2008-10-15",48.169998
"452","2008-10-16",49.209999
"453","2008-10-17",49.990002
"454","2008-10-20",54.77
"455","2008-10-21",53.299999
"456","2008-10-22",49.330002
"457","2008-10-23",51.549999
"458","2008-10-24",49.18
"459","2008-10-27",46.279999
"460","2008-10-28",52.509998
"461","2008-10-29",51.669998
"462","2008-10-30",54.810001
"463","2008-10-31",52.16
"464","2008-11-03",53.209999
"465","2008-11-04",57.16
"466","2008-11-05",53.34
"467","2008-11-06",53.43
"468","2008-11-07",54.740002
"469","2008-11-10",52.98
"470","2008-11-11",53.049999
"471","2008-11-12",52.139999
"472","2008-11-13",55.669998
"473","2008-11-14",52.75
"474","2008-11-17",53.580002
"475","2008-11-18",54
"476","2008-11-19",53.119999
"477","2008-11-20",51.310001
"478","2008-11-21",56.82
"479","2008-11-24",56.27
"480","2008-11-25",57.48
"481","2008-11-26",57.490002
"482","2008-11-28",58.580002
"483","2008-12-01",54.880001
"484","2008-12-02",56
"485","2008-12-03",56.959999
"486","2008-12-04",53.849998
"487","2008-12-05",54.59
"488","2008-12-08",55.84
"489","2008-12-09",54.27
"490","2008-12-10",54.849998
"491","2008-12-11",54.669998
"492","2008-12-12",54.130001
"493","2008-12-15",53.09
"494","2008-12-16",54.110001
"495","2008-12-17",52.490002
"496","2008-12-18",52.419998
"497","2008-12-19",49.98
"498","2008-12-22",49.09
"499","2008-12-23",45.98
"500","2008-12-24",45.919998
"501","2008-12-26",45.93
"502","2008-12-29",46.630001
"503","2008-12-30",47.509998
"504","2008-12-31",48.580002
"505","2009-01-02",49.66
"506","2009-01-05",51.779999
"507","2009-01-06",51.25
"508","2009-01-07",48.509998
"509","2009-01-08",47.759998
"510","2009-01-09",48.900002
"511","2009-01-12",48.68
"512","2009-01-13",47.849998
"513","2009-01-14",48.080002
"514","2009-01-15",49
"515","2009-01-16",50.029999
"516","2009-01-20",49.09
"517","2009-01-21",49.950001
"518","2009-01-22",50.5
"519","2009-01-23",49.57
"520","2009-01-26",51.639999
"521","2009-01-27",51.59
"522","2009-01-28",52.110001
"523","2009-01-29",52.57
"524","2009-01-30",49.990002
"525","2009-02-02",50.810001
"526","2009-02-03",51.580002
"527","2009-02-04",50.970001
"528","2009-02-05",51.950001
"529","2009-02-06",52.959999
"530","2009-02-09",52.810001
"531","2009-02-10",51.740002
"532","2009-02-11",51.560001
"533","2009-02-12",51.75
"534","2009-02-13",51.360001
"535","2009-02-17",48
"536","2009-02-18",47.23
"537","2009-02-19",48.220001
"538","2009-02-20",47.389999
"539","2009-02-23",45.43
"540","2009-02-24",48.02
"541","2009-02-25",45.779999
"542","2009-02-26",43.5
"543","2009-02-27",42.560001
"544","2009-03-02",40.52
"545","2009-03-03",39.57
"546","2009-03-04",39.860001
"547","2009-03-05",37.610001
"548","2009-03-06",37.540001
"549","2009-03-09",37.049999
"550","2009-03-10",37.880001
"551","2009-03-11",37.189999
"552","2009-03-12",36.919998
"553","2009-03-13",35.790001
"554","2009-03-16",37.209999
"555","2009-03-17",37.599998
"556","2009-03-18",38.360001
"557","2009-03-19",38.639999
"558","2009-03-20",39.650002
"559","2009-03-23",40.189999
"560","2009-03-24",39.360001
"561","2009-03-25",39.790001
"562","2009-03-26",40.860001
"563","2009-03-27",40.299999
"564","2009-03-30",38.77
"565","2009-03-31",38.599998
"566","2009-04-01",38.759998
"567","2009-04-02",39.470001
"568","2009-04-03",39.439999
"569","2009-04-06",38.630001
"570","2009-04-07",38.48
"571","2009-04-08",39.91
"572","2009-04-09",40.209999
"573","2009-04-13",39.57
"574","2009-04-14",38.580002
"575","2009-04-15",39.580002
"576","2009-04-16",40.419998
"577","2009-04-17",40.16
"578","2009-04-20",39
"579","2009-04-21",39.41
"580","2009-04-22",39.380001
"581","2009-04-23",39.98
"582","2009-04-24",40.040001
"583","2009-04-27",40.509998
"584","2009-04-28",40.099998
"585","2009-04-29",40.490002
"586","2009-04-30",40.900002
"587","2009-05-01",42.380001
"588","2009-05-04",42.950001
"589","2009-05-05",42.009998
"590","2009-05-06",41.470001
"591","2009-05-07",41.84
"592","2009-05-08",42.48
"593","2009-05-11",41.669998
"594","2009-05-12",42.18
"595","2009-05-13",41.110001
"596","2009-05-14",40.34
"597","2009-05-15",36.470001
"598","2009-05-18",36.509998
"599","2009-05-19",37.32
"600","2009-05-20",37.360001
"601","2009-05-21",37.189999
"602","2009-05-22",37
"603","2009-05-26",37.900002
"604","2009-05-27",37.25
"605","2009-05-28",37.77
"606","2009-05-29",37.790001
"607","2009-06-01",39.32
"608","2009-06-02",38.580002
"609","2009-06-03",39.369999
"610","2009-06-04",39.419998
"611","2009-06-05",39.130001
"612","2009-06-08",38.330002
"613","2009-06-09",37.77
"614","2009-06-10",38.18
"615","2009-06-11",39.09
"616","2009-06-12",40.48
"617","2009-06-15",39.41
"618","2009-06-16",39.220001
"619","2009-06-17",38.669998
"620","2009-06-18",39.209999
"621","2009-06-19",38.580002
"622","2009-06-22",38.540001
"623","2009-06-23",38.029999
"624","2009-06-24",38.369999
"625","2009-06-25",39.490002
"626","2009-06-26",39.389999
"627","2009-06-29",39.52
"628","2009-06-30",38.75
"629","2009-07-01",39.330002
"630","2009-07-02",37.689999
"631","2009-07-06",38.080002
"632","2009-07-07",37.66
"633","2009-07-08",37.189999
"634","2009-07-09",38.970001
"635","2009-07-10",39.02
"636","2009-07-13",39.779999
"637","2009-07-14",40.259998
"638","2009-07-15",40.950001
"639","2009-07-16",40.799999
"640","2009-07-17",40.650002
"641","2009-07-20",40.919998
"642","2009-07-21",41.16
"643","2009-07-22",40.73
"644","2009-07-23",42.09
"645","2009-07-24",42.82
"646","2009-07-27",42.759998
"647","2009-07-28",41.66
"648","2009-07-29",41.34
"649","2009-07-30",41.599998
"650","2009-07-31",41.200001
"651","2009-08-03",41.900002
"652","2009-08-04",41.490002
"653","2009-08-05",41.369999
"654","2009-08-06",41.959999
"655","2009-08-07",42.869999
"656","2009-08-10",43.040001
"657","2009-08-11",42.98
"658","2009-08-12",43.389999
"659","2009-08-13",43.599998
"660","2009-08-14",44.18
"661","2009-08-17",43.529999
"662","2009-08-18",43.689999
"663","2009-08-19",43.98
"664","2009-08-20",44.27
"665","2009-08-21",45.380001
"666","2009-08-24",45.650002
"667","2009-08-25",45.290001
"668","2009-08-26",45.41
"669","2009-08-27",45.610001
"670","2009-08-28",45.73
"671","2009-08-31",45.130001
"672","2009-09-01",45.009998
"673","2009-09-02",44.709999
"674","2009-09-03",45.459999
"675","2009-09-04",45.869999
"676","2009-09-08",46.02
"677","2009-09-09",46.330002
"678","2009-09-10",46.599998
"679","2009-09-11",45.91
"680","2009-09-14",46.59
"681","2009-09-15",46.830002
"682","2009-09-16",47.759998
"683","2009-09-17",46.799999
"684","2009-09-18",46.98
"685","2009-09-21",47.049999
"686","2009-09-22",47.130001
"687","2009-09-23",46.860001
"688","2009-09-24",46.369999
"689","2009-09-25",45.669998
"690","2009-09-28",46.209999
"691","2009-09-29",46.150002
"692","2009-09-30",45.720001
"693","2009-10-01",44.720001
"694","2009-10-02",44.790001
"695","2009-10-05",45.330002
"696","2009-10-06",46.040001
"697","2009-10-07",45.25
"698","2009-10-08",45.389999
