"","date","SNSS"
"483","2008-12-01",162
"484","2008-12-02",126
"485","2008-12-03",126
"486","2008-12-04",198
"487","2008-12-05",262.799988
"488","2008-12-08",169.199997
"489","2008-12-09",234
"490","2008-12-10",255.600006
"491","2008-12-11",252
"492","2008-12-12",183.600006
"493","2008-12-15",165.600006
"494","2008-12-16",154.800003
"495","2008-12-17",198
"496","2008-12-18",165.600006
"497","2008-12-19",158.399994
"498","2008-12-22",144
"499","2008-12-23",140.399994
"500","2008-12-24",172.800003
"501","2008-12-26",136.800003
"502","2008-12-29",133.199997
"503","2008-12-30",136.800003
"504","2008-12-31",115.199997
"505","2009-01-02",115.199997
"506","2009-01-05",126
"507","2009-01-06",133.199997
"508","2009-01-07",122.400002
"509","2009-01-08",122.400002
"510","2009-01-09",144
"511","2009-01-12",151.199997
"512","2009-01-13",147.600006
"513","2009-01-14",147.600006
"514","2009-01-15",144
"515","2009-01-16",147.600006
"516","2009-01-20",165.600006
"517","2009-01-21",154.800003
"518","2009-01-22",154.800003
"519","2009-01-23",144
"520","2009-01-26",115.199997
"521","2009-01-27",140.399994
"522","2009-01-28",136.800003
"523","2009-01-29",147.600006
"524","2009-01-30",118.800003
"525","2009-02-02",115.199997
"526","2009-02-03",115.199997
"527","2009-02-04",118.800003
"528","2009-02-05",122.400002
"529","2009-02-06",111.599998
"530","2009-02-09",111.599998
"531","2009-02-10",111.599998
"532","2009-02-11",122.400002
"533","2009-02-12",100.800003
"534","2009-02-13",97.199997
"535","2009-02-17",104.400002
"536","2009-02-18",108
"537","2009-02-19",108
"538","2009-02-20",108
"539","2009-02-23",93.599998
"540","2009-02-24",118.800003
"541","2009-02-25",111.599998
"542","2009-02-26",100.800003
"543","2009-02-27",97.199997
"544","2009-03-02",68.400002
"545","2009-03-03",79.199997
"546","2009-03-04",93.599998
"547","2009-03-05",86.400002
"548","2009-03-06",90
"549","2009-03-09",90
"550","2009-03-10",93.599998
"551","2009-03-11",79.199997
"552","2009-03-12",86.400002
"553","2009-03-13",82.800003
"554","2009-03-16",75.599998
"555","2009-03-17",72
"556","2009-03-18",72
"557","2009-03-19",68.400002
"558","2009-03-20",64.800003
"559","2009-03-23",61.200001
"560","2009-03-24",68.400002
"561","2009-03-25",86.400002
"562","2009-03-26",82.800003
"563","2009-03-27",86.400002
"564","2009-03-30",79.199997
"565","2009-03-31",72
"566","2009-04-01",79.199997
"567","2009-04-02",61.200001
"568","2009-04-03",72
"569","2009-04-06",79.199997
"570","2009-04-07",75.599998
"571","2009-04-08",75.599998
"572","2009-04-09",72
"573","2009-04-13",68.400002
"574","2009-04-14",68.400002
"575","2009-04-15",61.200001
"576","2009-04-16",64.800003
"577","2009-04-17",82.800003
"578","2009-04-20",104.400002
"579","2009-04-21",79.199997
"580","2009-04-22",75.599998
"581","2009-04-23",72
"582","2009-04-24",68.400002
"583","2009-04-27",72
"584","2009-04-28",86.400002
"585","2009-04-29",104.400002
"586","2009-04-30",86.400002
"587","2009-05-01",79.199997
"588","2009-05-04",75.599998
"589","2009-05-05",72
"590","2009-05-06",75.599998
"591","2009-05-07",133.199997
"592","2009-05-08",126
"593","2009-05-11",108
"594","2009-05-12",115.199997
"595","2009-05-13",115.199997
"596","2009-05-14",111.599998
"597","2009-05-15",97.199997
"598","2009-05-18",97.199997
"599","2009-05-19",90
"600","2009-05-20",82.800003
"601","2009-05-21",82.800003
"602","2009-05-22",133.199997
"603","2009-05-26",136.800003
"604","2009-05-27",158.399994
"605","2009-05-28",151.199997
"606","2009-05-29",198
"607","2009-06-01",205.199997
"608","2009-06-02",198
"609","2009-06-03",180
"610","2009-06-04",201.600006
"611","2009-06-05",208.800003
"612","2009-06-08",169.199997
"613","2009-06-09",165.600006
"614","2009-06-10",158.399994
"615","2009-06-11",165.600006
"616","2009-06-12",151.199997
"617","2009-06-15",136.800003
"618","2009-06-16",165.600006
"619","2009-06-17",151.199997
"620","2009-06-18",136.800003
"621","2009-06-19",136.800003
"622","2009-06-22",165.600006
"623","2009-06-23",140.399994
"624","2009-06-24",147.600006
"625","2009-06-25",147.600006
"626","2009-06-26",151.199997
"627","2009-06-29",154.800003
"628","2009-06-30",147.600006
"629","2009-07-01",140.399994
"630","2009-07-02",140.399994
"631","2009-07-06",136.800003
"632","2009-07-07",136.800003
"633","2009-07-08",126
"634","2009-07-09",126
"635","2009-07-10",122.400002
"636","2009-07-13",115.199997
"637","2009-07-14",115.199997
"638","2009-07-15",108
"639","2009-07-16",108
"640","2009-07-17",104.400002
"641","2009-07-20",100.800003
"642","2009-07-21",97.199997
"643","2009-07-22",104.400002
"644","2009-07-23",118.800003
"645","2009-07-24",122.400002
"646","2009-07-27",133.199997
"647","2009-07-28",158.399994
"648","2009-07-29",136.800003
"649","2009-07-30",144
"650","2009-07-31",147.600006
"651","2009-08-03",147.600006
"652","2009-08-04",151.199997
"653","2009-08-05",140.399994
"654","2009-08-06",136.800003
"655","2009-08-07",147.600006
"656","2009-08-10",144
"657","2009-08-11",144
"658","2009-08-12",144
"659","2009-08-13",144
"660","2009-08-14",151.199997
"661","2009-08-17",147.600006
"662","2009-08-18",144
"663","2009-08-19",144
"664","2009-08-20",147.600006
"665","2009-08-21",154.800003
"666","2009-08-24",172.800003
"667","2009-08-25",172.800003
"668","2009-08-26",180
"669","2009-08-27",169.199997
"670","2009-08-28",176.399994
"671","2009-08-31",176.399994
"672","2009-09-01",158.399994
"673","2009-09-02",162
"674","2009-09-03",165.600006
"675","2009-09-04",162
"676","2009-09-08",162
"677","2009-09-09",162
"678","2009-09-10",165.600006
"679","2009-09-11",162
"680","2009-09-14",165.600006
"681","2009-09-15",169.199997
