"","date","TACO"
"783","2017-02-15",14.5
"784","2017-02-16",14.5
"785","2017-02-17",14.34
"786","2017-02-21",14.25
"787","2017-02-22",13.78
"788","2017-02-23",13.01
"789","2017-02-24",12.87
"790","2017-02-27",12.89
"791","2017-02-28",12.41
"792","2017-03-01",12.41
"793","2017-03-02",12.6
"794","2017-03-03",12.27
"795","2017-03-06",12.35
"796","2017-03-07",12.36
"797","2017-03-08",12.27
"798","2017-03-09",12.37
"799","2017-03-10",12.59
"800","2017-03-13",12.03
"801","2017-03-14",11.74
"802","2017-03-15",12.07
"803","2017-03-16",12.09
"804","2017-03-17",12.36
"805","2017-03-20",12.21
"806","2017-03-21",12.1
"807","2017-03-22",12.15
"808","2017-03-23",12.5
"809","2017-03-24",12.64
"810","2017-03-27",13.02
"811","2017-03-28",13.07
"812","2017-03-29",13.29
"813","2017-03-30",13.36
"814","2017-03-31",13.26
"815","2017-04-03",13.05
"816","2017-04-04",12.93
"817","2017-04-05",12.93
"818","2017-04-06",12.98
"819","2017-04-07",12.87
"820","2017-04-10",12.68
"821","2017-04-11",12.5
"822","2017-04-12",12.25
"823","2017-04-13",12.58
"824","2017-04-17",13.01
"825","2017-04-18",12.84
"826","2017-04-19",12.94
"827","2017-04-20",13.2
"828","2017-04-21",13.27
"829","2017-04-24",13.31
"830","2017-04-25",13.36
"831","2017-04-26",13.16
"832","2017-04-27",13.22
"833","2017-04-28",13.15
"834","2017-05-01",13.58
"835","2017-05-02",13.76
"836","2017-05-03",13.5
"837","2017-05-04",13.4
"838","2017-05-05",13.45
"839","2017-05-08",13.22
"840","2017-05-09",13.28
"841","2017-05-10",13.1
"842","2017-05-11",13
"843","2017-05-12",13.11
"844","2017-05-15",13.29
"845","2017-05-16",13.46
"846","2017-05-17",13.09
"847","2017-05-18",13.24
"848","2017-05-19",13
"849","2017-05-22",12.94
"850","2017-05-23",12.87
"851","2017-05-24",12.75
"852","2017-05-25",12.92
"853","2017-05-26",12.9
"854","2017-05-30",12.66
"855","2017-05-31",12.83
"856","2017-06-01",13.12
"857","2017-06-02",13.12
"858","2017-06-05",12.99
"859","2017-06-06",12.96
"860","2017-06-07",13.03
"861","2017-06-08",13.32
"862","2017-06-09",13.5
"863","2017-06-12",13.6
"864","2017-06-13",13.84
"865","2017-06-14",13.34
"866","2017-06-15",13.53
"867","2017-06-16",13.61
"868","2017-06-19",13.68
"869","2017-06-20",13.73
"870","2017-06-21",13.87
"871","2017-06-22",13.94
"872","2017-06-23",13.69
"873","2017-06-26",13.84
"874","2017-06-27",13.65
"875","2017-06-28",13.86
"876","2017-06-29",13.8
"877","2017-06-30",13.75
"878","2017-07-03",13.76
"879","2017-07-05",13.66
"880","2017-07-06",13.5
"881","2017-07-07",13.65
"882","2017-07-10",13.54
"883","2017-07-11",13.25
"884","2017-07-12",13.2
"885","2017-07-13",13.19
"886","2017-07-14",12.99
"887","2017-07-17",13.12
"888","2017-07-18",12.75
"889","2017-07-19",12.7
"890","2017-07-20",12.53
"891","2017-07-21",12.31
"892","2017-07-24",12.09
"893","2017-07-25",12.66
"894","2017-07-26",12.81
"895","2017-07-27",12.72
"896","2017-07-28",13.24
"897","2017-07-31",13.09
"898","2017-08-01",13.24
"899","2017-08-02",13.07
"900","2017-08-03",12.86
"901","2017-08-04",12.77
"902","2017-08-07",12.74
"903","2017-08-08",12.76
"904","2017-08-09",12.64
"905","2017-08-10",12.51
"906","2017-08-11",12.7
"907","2017-08-14",12.95
"908","2017-08-15",12.87
"909","2017-08-16",12.89
"910","2017-08-17",12.89
"911","2017-08-18",12.6
"912","2017-08-21",12.73
"913","2017-08-22",12.81
"914","2017-08-23",12.7
"915","2017-08-24",13.21
"916","2017-08-25",13.45
"917","2017-08-28",13.72
"918","2017-08-29",13.9
"919","2017-08-30",13.85
"920","2017-08-31",14.08
"921","2017-09-01",14.1
"922","2017-09-05",13.88
"923","2017-09-06",13.86
"924","2017-09-07",13.75
"925","2017-09-08",13.68
"926","2017-09-11",13.94
"927","2017-09-12",14
"928","2017-09-13",14.45
"929","2017-09-14",14.69
"930","2017-09-15",14.95
"931","2017-09-18",14.95
"932","2017-09-19",14.73
"933","2017-09-20",14.95
"934","2017-09-21",15.05
"935","2017-09-22",15.33
"936","2017-09-25",15.7
"937","2017-09-26",15.83
"938","2017-09-27",15.91
"939","2017-09-28",15.58
"940","2017-09-29",15.34
"941","2017-10-02",15.24
"942","2017-10-03",15.27
"943","2017-10-04",15.45
"944","2017-10-05",15.6
"945","2017-10-06",15.8
"946","2017-10-09",15.34
"947","2017-10-10",15.46
"948","2017-10-11",15.35
"949","2017-10-12",15.22
"950","2017-10-13",15.17
"951","2017-10-16",15.12
"952","2017-10-17",15.51
"953","2017-10-18",15.4
"954","2017-10-19",15.39
"955","2017-10-20",12.53
"956","2017-10-23",12.56
"957","2017-10-24",12.4
"958","2017-10-25",12.5
"959","2017-10-26",12.66
"960","2017-10-27",12.66
"961","2017-10-30",12.5
"962","2017-10-31",12.69
"963","2017-11-01",12.6
"964","2017-11-02",12.51
"965","2017-11-03",12.65
"966","2017-11-06",12.48
"967","2017-11-07",12.25
"968","2017-11-08",12.12
"969","2017-11-09",12.02
"970","2017-11-10",12.14
"971","2017-11-13",12.04
"972","2017-11-14",11.82
"973","2017-11-15",11.78
"974","2017-11-16",12.04
"975","2017-11-17",12.12
"976","2017-11-20",12.15
"977","2017-11-21",12.18
"978","2017-11-22",12.22
"979","2017-11-24",12.08
"980","2017-11-27",12.1
"981","2017-11-28",12.29
"982","2017-11-29",12.39
"983","2017-11-30",12.28
"984","2017-12-01",12.16
"985","2017-12-04",12.26
"986","2017-12-05",12.04
"987","2017-12-06",12.11
"988","2017-12-07",12.09
"989","2017-12-08",12.17
"990","2017-12-11",12.1
"991","2017-12-12",12
"992","2017-12-13",12.11
"993","2017-12-14",11.94
"994","2017-12-15",12.09
"995","2017-12-18",12.08
"996","2017-12-19",12.14
"997","2017-12-20",12.08
"998","2017-12-21",12.09
"999","2017-12-22",12.1
"1000","2017-12-26",12.16
