"","date","HOFV"
"501","2020-03-09",10.603
"502","2020-03-10",10.603
"503","2020-03-11",10.63
"504","2020-03-12",10.452
"505","2020-03-13",10.452
"506","2020-03-16",10.5
"507","2020-03-17",10.5
"508","2020-03-18",10.501
"509","2020-03-19",10.375
"510","2020-03-20",10.375
"511","2020-03-23",10.225
"512","2020-03-24",10.599
"513","2020-03-25",10.599
"514","2020-03-26",10.599
"515","2020-03-27",10.15
"516","2020-03-30",10.15
"517","2020-03-31",10.15
"518","2020-04-01",10.15
"519","2020-04-02",10.72
"520","2020-04-03",10.705
"521","2020-04-06",10.67
"522","2020-04-07",10.72
"523","2020-04-08",10.7
"524","2020-04-09",10.67
"525","2020-04-13",10.74
"526","2020-04-14",10.77
"527","2020-04-15",10.77
"528","2020-04-16",10.804
"529","2020-04-17",10.75
"530","2020-04-20",10.804
"531","2020-04-21",10.804
"532","2020-04-22",11
"533","2020-04-23",11.25
"534","2020-04-24",11
"535","2020-04-27",10.775
"536","2020-04-28",10.73
"537","2020-04-29",10.67
"538","2020-04-30",10.67
"539","2020-05-01",10.67
"540","2020-05-04",10.67
"541","2020-05-05",10.67
"542","2020-05-06",10.67
"543","2020-05-07",10.67
"544","2020-05-08",10.67
"545","2020-05-11",10.96
"546","2020-05-12",10.96
"547","2020-05-13",10.96
"548","2020-05-14",10.96
"549","2020-05-15",10.96
"550","2020-05-18",10.96
"551","2020-05-19",10.96
"552","2020-05-20",11
"553","2020-05-21",11
"554","2020-05-22",11
"555","2020-05-26",11
"556","2020-05-27",11
"557","2020-05-28",11
"558","2020-05-29",10.9
"559","2020-06-01",10.9
"560","2020-06-02",10.99
"561","2020-06-03",10.779
"562","2020-06-04",10.8
"563","2020-06-05",10.95
"564","2020-06-08",10.95
"565","2020-06-09",10.95
"566","2020-06-10",12
"567","2020-06-11",11.15
"568","2020-06-12",11.1
"569","2020-06-15",11.2
"570","2020-06-16",11.72
"571","2020-06-17",14.2
"572","2020-06-18",13.05
"573","2020-06-19",12.32
"574","2020-06-22",11.95
"575","2020-06-23",11.7
"576","2020-06-24",11.55
"577","2020-06-25",11.25
"578","2020-06-26",11.85
"579","2020-06-29",13.2
"580","2020-06-30",12.85
"581","2020-07-01",12
"582","2020-07-02",9.295
"583","2020-07-06",7.84
"584","2020-07-07",6.76
"585","2020-07-08",8.395
"586","2020-07-09",7.35
"587","2020-07-10",6.45
"588","2020-07-13",5.36
"589","2020-07-14",5.55
"590","2020-07-15",5.71
"591","2020-07-16",5.57
"592","2020-07-17",5.6
"593","2020-07-20",6.6
"594","2020-07-21",6.05
"595","2020-07-22",5.62
"596","2020-07-23",5.5
"597","2020-07-24",5.44
"598","2020-07-27",5.72
"599","2020-07-28",5.585
"600","2020-07-29",5.56
"601","2020-07-30",5.3
"602","2020-07-31",5.44
"603","2020-08-03",5.25
"604","2020-08-04",5.3
"605","2020-08-05",5.32
"606","2020-08-06",5.65
"607","2020-08-07",5.67
"608","2020-08-10",5.3
"609","2020-08-11",5.08
"610","2020-08-12",4.1
"611","2020-08-13",4.44
"612","2020-08-14",4.28
"613","2020-08-17",4.16
"614","2020-08-18",4.18
"615","2020-08-19",4.34
"616","2020-08-20",4.45
"617","2020-08-21",4.44
"618","2020-08-24",4.29
"619","2020-08-25",4.89
"620","2020-08-26",4.47
"621","2020-08-27",4.43
"622","2020-08-28",4.45
"623","2020-08-31",4.33
"624","2020-09-01",4.17
"625","2020-09-02",4.14
"626","2020-09-03",4.01
"627","2020-09-04",3.86
"628","2020-09-08",3.75
"629","2020-09-09",4.59
"630","2020-09-10",4.27
"631","2020-09-11",4.275
"632","2020-09-14",4.03
"633","2020-09-15",3.91
"634","2020-09-16",3.65
"635","2020-09-17",3.65
"636","2020-09-18",3.59
"637","2020-09-21",3.14
"638","2020-09-22",2.8
"639","2020-09-23",2.56
"640","2020-09-24",2.53
"641","2020-09-25",2.55
"642","2020-09-28",2.59
"643","2020-09-29",2.52
"644","2020-09-30",2.49
"645","2020-10-01",2.29
"646","2020-10-02",2.08
"647","2020-10-05",2.1
"648","2020-10-06",2.12
"649","2020-10-07",2.46
"650","2020-10-08",2.28
"651","2020-10-09",2.4
"652","2020-10-12",2.39
"653","2020-10-13",2.4
"654","2020-10-14",2.46
"655","2020-10-15",2.37
"656","2020-10-16",2.4
"657","2020-10-19",2.21
"658","2020-10-20",2.2
"659","2020-10-21",2.1
"660","2020-10-22",2.1
"661","2020-10-23",2.06
"662","2020-10-26",2.02
"663","2020-10-27",2.03
"664","2020-10-28",1.92
"665","2020-10-29",1.94
"666","2020-10-30",1.91
"667","2020-11-02",1.81
"668","2020-11-03",1.88
"669","2020-11-04",1.9
"670","2020-11-05",3.41
"671","2020-11-06",2.66
"672","2020-11-09",2.29
"673","2020-11-10",2.3
"674","2020-11-11",2.27
"675","2020-11-12",2.04
"676","2020-11-13",2.49
"677","2020-11-16",1.15
"678","2020-11-17",1.17
"679","2020-11-18",1.22
"680","2020-11-19",1.27
"681","2020-11-20",1.35
"682","2020-11-23",1.39
"683","2020-11-24",1.37
"684","2020-11-25",1.32
"685","2020-11-27",1.34
