"","date","UFPI"
"522","2009-01-28",7.94
"523","2009-01-29",7.406667
"524","2009-01-30",7
"525","2009-02-02",7.006667
"526","2009-02-03",7.066667
"527","2009-02-04",6.86
"528","2009-02-05",7.973333
"529","2009-02-06",8.563334
"530","2009-02-09",8.783334
"531","2009-02-10",8.616667
"532","2009-02-11",8.59
"533","2009-02-12",8.76
"534","2009-02-13",8.75
"535","2009-02-17",8.283334
"536","2009-02-18",8.276667
"537","2009-02-19",8.13
"538","2009-02-20",7.98
"539","2009-02-23",7.566667
"540","2009-02-24",7.813334
"541","2009-02-25",7.503334
"542","2009-02-26",7.393333
"543","2009-02-27",7.263333
"544","2009-03-02",6.936666
"545","2009-03-03",6.753334
"546","2009-03-04",7.063334
"547","2009-03-05",6.803333
"548","2009-03-06",6.606667
"549","2009-03-09",6.45
"550","2009-03-10",6.38
"551","2009-03-11",6.57
"552","2009-03-12",7.166667
"553","2009-03-13",7.5
"554","2009-03-16",7.51
"555","2009-03-17",8
"556","2009-03-18",8.456667
"557","2009-03-19",8.48
"558","2009-03-20",8.12
"559","2009-03-23",9
"560","2009-03-24",9.13
"561","2009-03-25",9.4
"562","2009-03-26",9.816667
"563","2009-03-27",9.123333
"564","2009-03-30",8.83
"565","2009-03-31",8.87
"566","2009-04-01",9.383333
"567","2009-04-02",10.203333
"568","2009-04-03",9.943334
"569","2009-04-06",9.513333
"570","2009-04-07",9.466666
"571","2009-04-08",9.963333
"572","2009-04-09",10.95
"573","2009-04-13",10.596666
"574","2009-04-14",10.153334
"575","2009-04-15",10.333333
"576","2009-04-16",10.9
"577","2009-04-17",11.113334
"578","2009-04-20",10.45
"579","2009-04-21",11.096666
"580","2009-04-22",11.02
"581","2009-04-23",10.656667
"582","2009-04-24",11.37
"583","2009-04-27",10.953333
"584","2009-04-28",11.163333
"585","2009-04-29",11.586667
"586","2009-04-30",11.186666
"587","2009-05-01",10.62
"588","2009-05-04",11.313334
"589","2009-05-05",10.976666
"590","2009-05-06",10.686666
"591","2009-05-07",10.5
"592","2009-05-08",10.936666
"593","2009-05-11",10.316667
"594","2009-05-12",10.483334
"595","2009-05-13",10.023334
"596","2009-05-14",10.253333
"597","2009-05-15",10.123333
"598","2009-05-18",10.46
"599","2009-05-19",10.36
"600","2009-05-20",10.156667
