"","date","BGNE"
"448","2017-11-09",82.959999
"449","2017-11-10",84.220001
"450","2017-11-13",83.18
"451","2017-11-14",79.599998
"452","2017-11-15",80.43
"453","2017-11-16",84.690002
"454","2017-11-17",84.18
"455","2017-11-20",84.870003
"456","2017-11-21",85.040001
"457","2017-11-22",86.080002
"458","2017-11-24",87.470001
"459","2017-11-27",86.860001
"460","2017-11-28",87.099998
"461","2017-11-29",82.989998
"462","2017-11-30",80
"463","2017-12-01",81
"464","2017-12-04",94.5
"465","2017-12-05",96.370003
"466","2017-12-06",92.760002
"467","2017-12-07",96.220001
"468","2017-12-08",95.980003
"469","2017-12-11",91.389999
"470","2017-12-12",93.110001
"471","2017-12-13",92.989998
"472","2017-12-14",93.870003
"473","2017-12-15",93.599998
"474","2017-12-18",96.959999
"475","2017-12-19",95.589996
"476","2017-12-20",95.559998
"477","2017-12-21",99.309998
"478","2017-12-22",100.32
"479","2017-12-26",95.239998
"480","2017-12-27",95.449997
"481","2017-12-28",97.849998
"482","2017-12-29",97.720001
"483","2018-01-02",100.809998
"484","2018-01-03",102.370003
"485","2018-01-04",100.389999
"486","2018-01-05",98.519997
"487","2018-01-08",97.410004
"488","2018-01-09",100.330002
"489","2018-01-10",101.669998
"490","2018-01-11",101.839996
"491","2018-01-12",103.279999
"492","2018-01-16",102.860001
"493","2018-01-17",102.629997
"494","2018-01-18",115.559998
"495","2018-01-19",112.669998
"496","2018-01-22",118.260002
"497","2018-01-23",123.760002
"498","2018-01-24",114.620003
"499","2018-01-25",124.089996
"500","2018-01-26",123.919998
"501","2018-01-29",126.480003
"502","2018-01-30",123.75
"503","2018-01-31",135.75
"504","2018-02-01",138.919998
"505","2018-02-02",136.889999
"506","2018-02-05",130.619995
"507","2018-02-06",125
"508","2018-02-07",125.75
"509","2018-02-08",122.940002
"510","2018-02-09",125.480003
"511","2018-02-12",123.470001
"512","2018-02-13",122.089996
"513","2018-02-14",129.240005
"514","2018-02-15",136.690002
"515","2018-02-16",136.639999
"516","2018-02-20",135.660004
"517","2018-02-21",149.919998
"518","2018-02-22",155.899994
"519","2018-02-23",155.960007
"520","2018-02-26",154.509995
"521","2018-02-27",150.970001
"522","2018-02-28",143.470001
"523","2018-03-01",143.729996
"524","2018-03-02",150.720001
"525","2018-03-05",151.479996
"526","2018-03-06",152.449997
"527","2018-03-07",154.470001
"528","2018-03-08",150.289993
"529","2018-03-09",151.970001
"530","2018-03-12",154.300003
"531","2018-03-13",155.479996
"532","2018-03-14",153.800003
"533","2018-03-15",156.529999
"534","2018-03-16",158.149994
"535","2018-03-19",163.610001
"536","2018-03-20",172.169998
"537","2018-03-21",177.220001
"538","2018-03-22",164.380005
"539","2018-03-23",158.009995
"540","2018-03-26",164.720001
"541","2018-03-27",165.100006
"542","2018-03-28",164.009995
"543","2018-03-29",168
"544","2018-04-02",165.320007
"545","2018-04-03",165
"546","2018-04-04",164.919998
"547","2018-04-05",164.350006
"548","2018-04-06",164.479996
"549","2018-04-09",166.229996
"550","2018-04-10",174.039993
"551","2018-04-11",171.820007
"552","2018-04-12",171.529999
"553","2018-04-13",168.220001
"554","2018-04-16",166.619995
"555","2018-04-17",166.220001
"556","2018-04-18",169.130005
"557","2018-04-19",171.720001
"558","2018-04-20",167.990005
"559","2018-04-23",169.639999
"560","2018-04-24",169.789993
"561","2018-04-25",166
"562","2018-04-26",169.679993
"563","2018-04-27",173.850006
"564","2018-04-30",169.580002
"565","2018-05-01",171.110001
"566","2018-05-02",181.289993
"567","2018-05-03",184.199997
"568","2018-05-04",180.910004
"569","2018-05-07",179.139999
"570","2018-05-08",179.259995
"571","2018-05-09",179.479996
"572","2018-05-10",170
"573","2018-05-11",174.139999
"574","2018-05-14",187.029999
"575","2018-05-15",186.990005
"576","2018-05-16",182.490005
"577","2018-05-17",189.110001
"578","2018-05-18",194.550003
"579","2018-05-21",193.199997
"580","2018-05-22",193.479996
"581","2018-05-23",192.979996
"582","2018-05-24",187.860001
"583","2018-05-25",189.699997
"584","2018-05-29",192.449997
"585","2018-05-30",194.789993
"586","2018-05-31",200.119995
"587","2018-06-01",204.050003
