"","date","MRCC"
"707","2015-08-19",14.93
"708","2015-08-20",14.92
"709","2015-08-21",14.8
"710","2015-08-24",13.6
"711","2015-08-25",14.52
"712","2015-08-26",14.78
"713","2015-08-27",14.9
"714","2015-08-28",14.8
"715","2015-08-31",14.82
"716","2015-09-01",14.77
"717","2015-09-02",14.84
"718","2015-09-03",14.91
"719","2015-09-04",14.89
"720","2015-09-08",14.87
"721","2015-09-09",14.9
"722","2015-09-10",14.86
"723","2015-09-11",14.75
"724","2015-09-14",14.69
"725","2015-09-15",14.74
"726","2015-09-16",14.7
"727","2015-09-17",14.48
"728","2015-09-18",14.79
"729","2015-09-21",14.54
"730","2015-09-22",14.62
"731","2015-09-23",14.61
"732","2015-09-24",14.75
"733","2015-09-25",14.83
"734","2015-09-28",14.44
"735","2015-09-29",13.84
"736","2015-09-30",13.9
"737","2015-10-01",14.44
"738","2015-10-02",14.51
"739","2015-10-05",14.35
"740","2015-10-06",14.52
"741","2015-10-07",14.69
"742","2015-10-08",14.74
"743","2015-10-09",14.7
"744","2015-10-12",14.65
"745","2015-10-13",14.75
"746","2015-10-14",14.68
"747","2015-10-15",14.7
"748","2015-10-16",14.75
"749","2015-10-19",14.755
"750","2015-10-20",14.73
"751","2015-10-21",14.78
"752","2015-10-22",14.82
"753","2015-10-23",14.87
"754","2015-10-26",14.83
"755","2015-10-27",14.72
"756","2015-10-28",14.81
"757","2015-10-29",14.87
"758","2015-10-30",14.8
"759","2015-11-02",14.86
"760","2015-11-03",14.8
"761","2015-11-04",14.77
"762","2015-11-05",14.77
"763","2015-11-06",14.99
"764","2015-11-09",14.89
"765","2015-11-10",14.44
"766","2015-11-11",14.56
"767","2015-11-12",14.73
"768","2015-11-13",14.59
"769","2015-11-16",14.65
"770","2015-11-17",14.62
"771","2015-11-18",14.57
"772","2015-11-19",14.7
"773","2015-11-20",14.71
"774","2015-11-23",14.71
"775","2015-11-24",14.71
"776","2015-11-25",14.71
"777","2015-11-27",14.7
"778","2015-11-30",14.825
"779","2015-12-01",14.77
"780","2015-12-02",14.88
"781","2015-12-03",14.72
"782","2015-12-04",14.8
"783","2015-12-07",14.54
"784","2015-12-08",14.67
"785","2015-12-09",14.615
"786","2015-12-10",14.45
"787","2015-12-11",14.15
"788","2015-12-14",13.73
"789","2015-12-15",13.27
"790","2015-12-16",13.84
"791","2015-12-17",13.47
"792","2015-12-18",12.92
"793","2015-12-21",12.95
"794","2015-12-22",12.78
"795","2015-12-23",12.94
"796","2015-12-24",12.99
"797","2015-12-28",12.89
"798","2015-12-29",13.07
"799","2015-12-30",13.06
"800","2015-12-31",13.09
"801","2016-01-04",12.86
"802","2016-01-05",12.93
"803","2016-01-06",13.05
"804","2016-01-07",12.7
"805","2016-01-08",12.75
"806","2016-01-11",11.98
"807","2016-01-12",12.22
"808","2016-01-13",12.52
"809","2016-01-14",12.46
"810","2016-01-15",12.02
"811","2016-01-19",11.85
"812","2016-01-20",11.22
