"","date","EKSO"
"495","2016-01-05",103.845001
"496","2016-01-06",98.805
"497","2016-01-07",88.724998
"498","2016-01-08",95.654999
"499","2016-01-11",91.349998
"500","2016-01-12",92.925003
"501","2016-01-13",92.190002
"502","2016-01-14",90.824997
"503","2016-01-15",87.150002
"504","2016-01-19",80.849998
"505","2016-01-20",75.599998
"506","2016-01-21",87.989998
"507","2016-01-22",92.400002
"508","2016-01-25",97.650002
"509","2016-01-26",95.025002
"510","2016-01-27",95.025002
"511","2016-01-28",93.555
"512","2016-01-29",92.925003
"513","2016-02-01",93.449997
"514","2016-02-02",93.449997
"515","2016-02-03",92.925003
"516","2016-02-04",92.400002
"517","2016-02-05",92.400002
"518","2016-02-08",91.349998
"519","2016-02-09",86.625
"520","2016-02-10",84.735001
"521","2016-02-11",82.635002
"522","2016-02-12",85.574997
"523","2016-02-16",88.724998
"524","2016-02-17",87.150002
"525","2016-02-18",93.974998
"526","2016-02-19",99.75
"527","2016-02-22",97.125
"528","2016-02-23",93.345001
"529","2016-02-24",93.764999
"530","2016-02-25",95.129997
"531","2016-02-26",95.550003
"532","2016-02-29",98.699997
"533","2016-03-01",94.5
"534","2016-03-02",97.125
"535","2016-03-03",97.125
"536","2016-03-04",96.599998
"537","2016-03-07",95.550003
"538","2016-03-08",93.660004
"539","2016-03-09",93.345001
"540","2016-03-10",91.875
"541","2016-03-11",90.720001
"542","2016-03-14",93.239998
"543","2016-03-15",89.669998
"544","2016-03-16",88.724998
"545","2016-03-17",89.25
"546","2016-03-18",89.775002
"547","2016-03-21",88.830002
"548","2016-03-22",84
"549","2016-03-23",82.949997
"550","2016-03-24",82.949997
"551","2016-03-28",81.900002
"552","2016-03-29",80.849998
"553","2016-03-30",79.275002
"554","2016-03-31",79.169998
"555","2016-04-01",76.860001
"556","2016-04-04",91.245003
"557","2016-04-05",87.150002
"558","2016-04-06",89.25
"559","2016-04-07",103.845001
"560","2016-04-08",103.425003
"561","2016-04-11",101.849998
"562","2016-04-12",103.949997
"563","2016-04-13",102.900002
"564","2016-04-14",104.790001
"565","2016-04-15",105
"566","2016-04-18",103.949997
"567","2016-04-19",101.324997
"568","2016-04-20",96.599998
"569","2016-04-21",95.025002
"570","2016-04-22",98.699997
"571","2016-04-25",100.275002
"572","2016-04-26",101.324997
"573","2016-04-27",98.595001
"574","2016-04-28",96.599998
"575","2016-04-29",95.445
"576","2016-05-02",95.025002
"577","2016-05-03",93.449997
"578","2016-05-04",88.724998
"579","2016-05-05",88.724998
"580","2016-05-06",94.875
"581","2016-05-09",105
"582","2016-05-10",105
"583","2016-05-11",106.800003
"584","2016-05-12",105
"585","2016-05-13",104.25
"586","2016-05-16",98.849998
"587","2016-05-17",90.599998
"588","2016-05-18",89.25
"589","2016-05-19",80.25
"590","2016-05-20",87.074997
"591","2016-05-23",88.800003
"592","2016-05-24",85.5
"593","2016-05-25",85.125
"594","2016-05-26",84.150002
"595","2016-05-27",84.779999
"596","2016-05-31",84.150002
"597","2016-06-01",81.599998
"598","2016-06-02",84.449997
"599","2016-06-03",85.5
"600","2016-06-06",88.199997
"601","2016-06-07",94.875
"602","2016-06-08",91.050003
"603","2016-06-09",90.900002
"604","2016-06-10",84.300003
"605","2016-06-13",82.5
"606","2016-06-14",78.375
"607","2016-06-15",78
"608","2016-06-16",87.300003
"609","2016-06-17",84.150002
"610","2016-06-20",79.5
"611","2016-06-21",78
"612","2016-06-22",77.550003
"613","2016-06-23",75.599998
"614","2016-06-24",72.900002
"615","2016-06-27",72
"616","2016-06-28",69.300003
"617","2016-06-29",65.25
"618","2016-06-30",62.25
"619","2016-07-01",61.5
"620","2016-07-05",61.5
"621","2016-07-06",76.050003
"622","2016-07-07",76.949997
"623","2016-07-08",79.949997
"624","2016-07-11",92.550003
"625","2016-07-12",98.25
"626","2016-07-13",99.735001
"627","2016-07-14",97.800003
"628","2016-07-15",98.699997
"629","2016-07-18",97.125
"630","2016-07-19",91.800003
"631","2016-07-20",91.349998
"632","2016-07-21",88.5
"633","2016-07-22",86.400002
"634","2016-07-25",93.150002
"635","2016-07-26",90
"636","2016-07-27",90
"637","2016-07-28",93.300003
"638","2016-07-29",92.849998
"639","2016-08-01",96
"640","2016-08-02",96
"641","2016-08-03",93.675003
"642","2016-08-04",93
"643","2016-08-05",93.599998
"644","2016-08-08",93.300003
"645","2016-08-09",59.099998
"646","2016-08-10",59.849998
"647","2016-08-11",59.25
"648","2016-08-12",58.349998
"649","2016-08-15",60.299999
"650","2016-08-16",60.900002
"651","2016-08-17",60.450001
"652","2016-08-18",61.049999
"653","2016-08-19",60.75
"654","2016-08-22",60.599998
"655","2016-08-23",59.700001
"656","2016-08-24",59.700001
"657","2016-08-25",59.549999
"658","2016-08-26",59.099998
"659","2016-08-29",56.849998
"660","2016-08-30",57.75
"661","2016-08-31",57.75
"662","2016-09-01",58.349998
"663","2016-09-02",58.049999
"664","2016-09-06",59.099998
"665","2016-09-07",60
"666","2016-09-08",59.849998
"667","2016-09-09",59.25
"668","2016-09-12",57.75
"669","2016-09-13",55.950001
"670","2016-09-14",57
"671","2016-09-15",56.099998
"672","2016-09-16",55.049999
"673","2016-09-19",54.75
"674","2016-09-20",54.299999
"675","2016-09-21",54.450001
"676","2016-09-22",54.599998
"677","2016-09-23",53.25
"678","2016-09-26",54
"679","2016-09-27",61.5
"680","2016-09-28",77.25
"681","2016-09-29",69.75
"682","2016-09-30",70.5
"683","2016-10-03",79.5
"684","2016-10-04",79.949997
"685","2016-10-05",82.349998
"686","2016-10-06",81.599998
"687","2016-10-07",80.25
"688","2016-10-10",85.5
"689","2016-10-11",90.449997
"690","2016-10-12",93.150002
"691","2016-10-13",90.75
"692","2016-10-14",86.400002
"693","2016-10-17",89.550003
"694","2016-10-18",87.300003
"695","2016-10-19",87.75
"696","2016-10-20",84.449997
"697","2016-10-21",85.5
"698","2016-10-24",82.800003
"699","2016-10-25",70.949997
"700","2016-10-26",59.25
"701","2016-10-27",66.300003
"702","2016-10-28",67.949997
"703","2016-10-31",67.650002
"704","2016-11-01",61.5
"705","2016-11-02",64.5
"706","2016-11-03",63.150002
"707","2016-11-04",61.950001
"708","2016-11-07",60.75
"709","2016-11-08",61.349998
"710","2016-11-09",64.5
"711","2016-11-10",63.900002
"712","2016-11-11",62.25
"713","2016-11-14",61.5
"714","2016-11-15",60.599998
"715","2016-11-16",60.450001
"716","2016-11-17",61.5
"717","2016-11-18",62.25
"718","2016-11-21",62.849998
"719","2016-11-22",61.5
"720","2016-11-23",66.449997
"721","2016-11-25",71.099998
"722","2016-11-28",67.800003
"723","2016-11-29",66.75
"724","2016-11-30",65.550003
"725","2016-12-01",65.699997
"726","2016-12-02",64.050003
"727","2016-12-05",70.050003
"728","2016-12-06",72.900002
"729","2016-12-07",71.550003
"730","2016-12-08",71.400002
"731","2016-12-09",66.150002
"732","2016-12-12",63.900002
"733","2016-12-13",65.25
"734","2016-12-14",65.400002
"735","2016-12-15",64.5
"736","2016-12-16",65.25
"737","2016-12-19",67.349998
"738","2016-12-20",66
"739","2016-12-21",65.099998
"740","2016-12-22",63.150002
"741","2016-12-23",62.099998
"742","2016-12-27",61.650002
"743","2016-12-28",61.950001
"744","2016-12-29",61.200001
"745","2016-12-30",59.700001
"746","2017-01-03",60.900002
"747","2017-01-04",60.150002
"748","2017-01-05",61.200001
"749","2017-01-06",62.400002
"750","2017-01-09",65.550003
"751","2017-01-10",64.050003
"752","2017-01-11",63.599998
"753","2017-01-12",63.450001
"754","2017-01-13",62.25
"755","2017-01-17",62.25
"756","2017-01-18",61.049999
"757","2017-01-19",60.599998
"758","2017-01-20",62.25
"759","2017-01-23",60.75
"760","2017-01-24",61.5
"761","2017-01-25",61.799999
"762","2017-01-26",61.334999
"763","2017-01-27",61.799999
"764","2017-01-30",61.349998
"765","2017-01-31",61.200001
"766","2017-02-01",60.900002
"767","2017-02-02",61.650002
"768","2017-02-03",61.349998
"769","2017-02-06",61.349998
"770","2017-02-07",60.150002
"771","2017-02-08",60
"772","2017-02-09",60.599998
"773","2017-02-10",61.200001
"774","2017-02-13",60.75
"775","2017-02-14",60.299999
"776","2017-02-15",59.700001
"777","2017-02-16",59.549999
"778","2017-02-17",57.900002
"779","2017-02-21",56.700001
"780","2017-02-22",56.549999
"781","2017-02-23",53.25
"782","2017-02-24",53.700001
"783","2017-02-27",49.5
"784","2017-02-28",47.549999
"785","2017-03-01",52.349998
"786","2017-03-02",49.650002
"787","2017-03-03",49.799999
"788","2017-03-06",49.5
"789","2017-03-07",48.450001
"790","2017-03-08",49.799999
"791","2017-03-09",48.75
"792","2017-03-10",46.5
"793","2017-03-13",43.950001
"794","2017-03-14",39.450001
"795","2017-03-15",42.75
"796","2017-03-16",41.700001
"797","2017-03-17",48.900002
"798","2017-03-20",53.25
"799","2017-03-21",50.099998
"800","2017-03-22",51.75
"801","2017-03-23",54.150002
"802","2017-03-24",57.450001
"803","2017-03-27",62.849998
"804","2017-03-28",61.950001
"805","2017-03-29",56.700001
"806","2017-03-30",60
"807","2017-03-31",61.5
"808","2017-04-03",51
"809","2017-04-04",51.900002
"810","2017-04-05",51.599998
"811","2017-04-06",49.5
"812","2017-04-07",51.299999
"813","2017-04-10",49.950001
"814","2017-04-11",48
"815","2017-04-12",47.549999
"816","2017-04-13",45
"817","2017-04-17",44.700001
"818","2017-04-18",43.950001
"819","2017-04-19",43.5
"820","2017-04-20",42.75
"821","2017-04-21",42.75
"822","2017-04-24",42.75
"823","2017-04-25",42.599998
"824","2017-04-26",42.450001
"825","2017-04-27",43.650002
"826","2017-04-28",43.200001
"827","2017-05-01",43.049999
"828","2017-05-02",39.75
"829","2017-05-03",37.049999
"830","2017-05-04",36.900002
"831","2017-05-05",36.599998
"832","2017-05-08",38.400002
"833","2017-05-09",38.549999
"834","2017-05-10",30.9
"835","2017-05-11",28.950001
"836","2017-05-12",24.450001
"837","2017-05-15",29.25
"838","2017-05-16",26.4
"839","2017-05-17",25.799999
"840","2017-05-18",24.9
"841","2017-05-19",23.85
"842","2017-05-22",21.450001
"843","2017-05-23",20.4
"844","2017-05-24",16.200001
"845","2017-05-25",17.1
"846","2017-05-26",16.200001
"847","2017-05-30",15.15
"848","2017-05-31",15.6
"849","2017-06-01",16.65
"850","2017-06-02",20.549999
"851","2017-06-05",18.15
"852","2017-06-06",19.35
"853","2017-06-07",17.549999
"854","2017-06-08",17.85
"855","2017-06-09",18.299999
"856","2017-06-12",18.9
"857","2017-06-13",19.200001
"858","2017-06-14",27.15
"859","2017-06-15",31.65
"860","2017-06-16",28.799999
"861","2017-06-19",26.85
"862","2017-06-20",28.049999
"863","2017-06-21",28.5
"864","2017-06-22",30.6
"865","2017-06-23",35.25
"866","2017-06-26",31.65
"867","2017-06-27",30.15
"868","2017-06-28",37.5
"869","2017-06-29",37.799999
"870","2017-06-30",34.799999
"871","2017-07-03",34.349998
"872","2017-07-05",34.049999
"873","2017-07-06",31.35
"874","2017-07-07",32.25
"875","2017-07-10",31.35
"876","2017-07-11",31.65
"877","2017-07-12",31.65
"878","2017-07-13",32.25
"879","2017-07-14",34.950001
"880","2017-07-17",34.5
"881","2017-07-18",31.35
"882","2017-07-19",24
"883","2017-07-20",21.9
"884","2017-07-21",25.950001
"885","2017-07-24",26.25
"886","2017-07-25",25.950001
"887","2017-07-26",26.1
"888","2017-07-27",24.75
"889","2017-07-28",25.950001
"890","2017-07-31",27.15
"891","2017-08-01",30
"892","2017-08-02",29.1
"893","2017-08-03",29.700001
"894","2017-08-04",28.950001
"895","2017-08-07",30.15
"896","2017-08-08",28.5
"897","2017-08-09",27.6
"898","2017-08-10",25.5
"899","2017-08-11",22.049999
"900","2017-08-14",23.25
"901","2017-08-15",24.15
"902","2017-08-16",22.950001
"903","2017-08-17",23.1
"904","2017-08-18",23.549999
"905","2017-08-21",21.9
"906","2017-08-22",21
"907","2017-08-23",19.950001
"908","2017-08-24",18.9
"909","2017-08-25",18.75
"910","2017-08-28",17.85
"911","2017-08-29",17.25
"912","2017-08-30",18.870001
"913","2017-08-31",18.9
"914","2017-09-01",17.4
"915","2017-09-05",17.879999
"916","2017-09-06",17.549999
"917","2017-09-07",17.25
"918","2017-09-08",16.799999
"919","2017-09-11",17.775
"920","2017-09-12",19.049999
"921","2017-09-13",17.85
"922","2017-09-14",18.450001
"923","2017-09-15",17.25
"924","2017-09-18",17.549999
"925","2017-09-19",17.25
"926","2017-09-20",17.25
"927","2017-09-21",17.1
"928","2017-09-22",19.200001
"929","2017-09-25",19.950001
"930","2017-09-26",19.35
"931","2017-09-27",19.049999
"932","2017-09-28",18.75
"933","2017-09-29",18.15
"934","2017-10-02",18.15
"935","2017-10-03",17.85
"936","2017-10-04",18.450001
"937","2017-10-05",17.85
"938","2017-10-06",18
"939","2017-10-09",17.700001
"940","2017-10-10",18.75
"941","2017-10-11",18
"942","2017-10-12",17.625
"943","2017-10-13",17.85
"944","2017-10-16",17.549999
"945","2017-10-17",16.5
"946","2017-10-18",16.950001
"947","2017-10-19",16.950001
"948","2017-10-20",16.950001
"949","2017-10-23",17.25
"950","2017-10-24",17.1
"951","2017-10-25",16.5
"952","2017-10-26",16.5
"953","2017-10-27",16.049999
"954","2017-10-30",15.9
"955","2017-10-31",16.200001
"956","2017-11-01",15.675
"957","2017-11-02",16.799999
"958","2017-11-03",16.950001
"959","2017-11-06",16.799999
"960","2017-11-07",16.799999
"961","2017-11-08",16.200001
"962","2017-11-09",15.75
