"","date","MTB"
"614","2009-06-10",47.82
"615","2009-06-11",48.639999
"616","2009-06-12",48.860001
"617","2009-06-15",47.27
"618","2009-06-16",45.830002
"619","2009-06-17",44.75
"620","2009-06-18",45.209999
"621","2009-06-19",46.799999
"622","2009-06-22",44.220001
"623","2009-06-23",44.939999
"624","2009-06-24",45.939999
"625","2009-06-25",49.669998
"626","2009-06-26",49.150002
"627","2009-06-29",51.349998
"628","2009-06-30",50.93
"629","2009-07-01",51.16
"630","2009-07-02",52.400002
"631","2009-07-06",53.52
"632","2009-07-07",52.740002
"633","2009-07-08",51.02
"634","2009-07-09",51.209999
"635","2009-07-10",51.360001
"636","2009-07-13",54.610001
"637","2009-07-14",53.490002
"638","2009-07-15",55.599998
"639","2009-07-16",55.709999
"640","2009-07-17",54.439999
"641","2009-07-20",57.110001
"642","2009-07-21",54.880001
"643","2009-07-22",54.939999
"644","2009-07-23",57.169998
"645","2009-07-24",57.52
"646","2009-07-27",59.529999
"647","2009-07-28",58.400002
"648","2009-07-29",57.25
"649","2009-07-30",59.139999
"650","2009-07-31",58.32
"651","2009-08-03",58.139999
"652","2009-08-04",58.990002
"653","2009-08-05",60.09
"654","2009-08-06",59.040001
"655","2009-08-07",61.189999
"656","2009-08-10",61.619999
"657","2009-08-11",59.619999
"658","2009-08-12",59.639999
"659","2009-08-13",60.27
"660","2009-08-14",60.02
"661","2009-08-17",57.75
"662","2009-08-18",58.09
"663","2009-08-19",58.439999
"664","2009-08-20",59.59
"665","2009-08-21",60.439999
"666","2009-08-24",60.849998
"667","2009-08-25",61.330002
"668","2009-08-26",61.459999
"669","2009-08-27",61.240002
"670","2009-08-28",61.639999
"671","2009-08-31",61.759998
"672","2009-09-01",58.619999
"673","2009-09-02",56.91
"674","2009-09-03",58.380001
"675","2009-09-04",58.459999
"676","2009-09-08",58.709999
"677","2009-09-09",59
"678","2009-09-10",59.82
"679","2009-09-11",59.330002
"680","2009-09-14",59.32
"681","2009-09-15",62.34
"682","2009-09-16",66.809998
"683","2009-09-17",65.199997
"684","2009-09-18",66.040001
"685","2009-09-21",65.470001
"686","2009-09-22",65.18
"687","2009-09-23",63.790001
"688","2009-09-24",63.16
"689","2009-09-25",62.470001
"690","2009-09-28",63.23
"691","2009-09-29",62.470001
"692","2009-09-30",62.32
"693","2009-10-01",60.169998
"694","2009-10-02",60.139999
"695","2009-10-05",60.439999
"696","2009-10-06",62.310001
"697","2009-10-07",62.459999
"698","2009-10-08",63.150002
"699","2009-10-09",66.019997
"700","2009-10-12",66.220001
"701","2009-10-13",65.889999
"702","2009-10-14",67.269997
"703","2009-10-15",67.190002
"704","2009-10-16",66.529999
"705","2009-10-19",66.269997
"706","2009-10-20",67.32
"707","2009-10-21",66.269997
"708","2009-10-22",68.959999
"709","2009-10-23",68.769997
"710","2009-10-26",67.93
"711","2009-10-27",66.68
"712","2009-10-28",64.849998
"713","2009-10-29",65.669998
"714","2009-10-30",62.849998
"715","2009-11-02",63.279999
"716","2009-11-03",62.75
"717","2009-11-04",60.950001
"718","2009-11-05",62.57
"719","2009-11-06",62.830002
"720","2009-11-09",64.620003
"721","2009-11-10",63.540001
"722","2009-11-11",64.239998
"723","2009-11-12",63
"724","2009-11-13",62.5
"725","2009-11-16",63.400002
"726","2009-11-17",63.509998
"727","2009-11-18",64.870003
"728","2009-11-19",65.330002
"729","2009-11-20",65.849998
"730","2009-11-23",66.610001
"731","2009-11-24",66.419998
"732","2009-11-25",66.370003
"733","2009-11-27",63.849998
"734","2009-11-30",65.580002
"735","2009-12-01",65.650002
"736","2009-12-02",65.440002
"737","2009-12-03",62.830002
"738","2009-12-04",63.439999
"739","2009-12-07",61.43
"740","2009-12-08",63.75
"741","2009-12-09",63.959999
"742","2009-12-10",63.59
"743","2009-12-11",64.440002
"744","2009-12-14",64.849998
"745","2009-12-15",62.82
"746","2009-12-16",63.029999
"747","2009-12-17",63.400002
"748","2009-12-18",64.870003
"749","2009-12-21",65.769997
"750","2009-12-22",66.860001
"751","2009-12-23",66.260002
"752","2009-12-24",66.82
"753","2009-12-28",66.849998
"754","2009-12-29",66.830002
"755","2009-12-30",67.080002
"756","2009-12-31",66.889999
"757","2010-01-04",67.010002
"758","2010-01-05",68.209999
"759","2010-01-06",70.489998
"760","2010-01-07",73.120003
"761","2010-01-08",73.839996
"762","2010-01-11",73.139999
"763","2010-01-12",71.690002
"764","2010-01-13",73.620003
"765","2010-01-14",75.339996
"766","2010-01-15",73.160004
"767","2010-01-19",74.699997
"768","2010-01-20",77.690002
"769","2010-01-21",78.589996
"770","2010-01-22",75.589996
"771","2010-01-25",75
"772","2010-01-26",73.730003
"773","2010-01-27",76.300003
"774","2010-01-28",75.720001
"775","2010-01-29",73.75
"776","2010-02-01",74.900002
"777","2010-02-02",75
"778","2010-02-03",72.169998
"779","2010-02-04",70.639999
"780","2010-02-05",72.669998
"781","2010-02-08",71.290001
"782","2010-02-09",71.989998
"783","2010-02-10",72.669998
"784","2010-02-11",72.400002
"785","2010-02-12",72.07
"786","2010-02-16",75.120003
"787","2010-02-17",74.489998
"788","2010-02-18",75.43
"789","2010-02-19",76.599998
"790","2010-02-22",78.089996
"791","2010-02-23",77.220001
"792","2010-02-24",78.199997
"793","2010-02-25",76.580002
"794","2010-02-26",77.43
"795","2010-03-01",77.800003
"796","2010-03-02",78.459999
"797","2010-03-03",76.599998
"798","2010-03-04",76.160004
"799","2010-03-05",78.550003
"800","2010-03-08",78.730003
"801","2010-03-09",78.790001
"802","2010-03-10",79.559998
"803","2010-03-11",80.300003
"804","2010-03-12",80
"805","2010-03-15",80.309998
"806","2010-03-16",81.449997
"807","2010-03-17",82.790001
"808","2010-03-18",84
"809","2010-03-19",83.279999
"810","2010-03-22",83.25
"811","2010-03-23",83.209999
"812","2010-03-24",83.040001
"813","2010-03-25",82.449997
"814","2010-03-26",80.809998
"815","2010-03-29",80.949997
"816","2010-03-30",79.760002
"817","2010-03-31",79.379997
"818","2010-04-01",79.57
"819","2010-04-05",81.610001
"820","2010-04-06",84.459999
"821","2010-04-07",83.349998
"822","2010-04-08",84.129997
"823","2010-04-09",85.339996
"824","2010-04-12",85.309998
"825","2010-04-13",84.919998
"826","2010-04-14",86.790001
"827","2010-04-15",86.139999
"828","2010-04-16",84.25
"829","2010-04-19",84.099998
"830","2010-04-20",85
"831","2010-04-21",86.279999
"832","2010-04-22",87.82
"833","2010-04-23",88.489998
"834","2010-04-26",85.449997
"835","2010-04-27",84.089996
"836","2010-04-28",85.43
"837","2010-04-29",89.440002
"838","2010-04-30",87.349998
"839","2010-05-03",89.150002
"840","2010-05-04",87.120003
"841","2010-05-05",87.410004
"842","2010-05-06",84.269997
"843","2010-05-07",84.07
"844","2010-05-10",88.459999
"845","2010-05-11",88.769997
"846","2010-05-12",90.690002
"847","2010-05-13",90.220001
"848","2010-05-14",87.25
"849","2010-05-17",87.839996
"850","2010-05-18",83.610001
"851","2010-05-19",83.389999
"852","2010-05-20",79.699997
"853","2010-05-21",84
"854","2010-05-24",81.400002
"855","2010-05-25",80.809998
"856","2010-05-26",80.32
"857","2010-05-27",81.480003
"858","2010-05-28",79.239998
"859","2010-06-01",77.529999
"860","2010-06-02",79.669998
"861","2010-06-03",78.959999
"862","2010-06-04",75.360001
"863","2010-06-07",74.239998
"864","2010-06-08",76.589996
"865","2010-06-09",76.260002
"866","2010-06-10",78.639999
"867","2010-06-11",78.389999
"868","2010-06-14",77.529999
"869","2010-06-15",79.360001
"870","2010-06-16",81.93
"871","2010-06-17",89.339996
"872","2010-06-18",90.709999
"873","2010-06-21",94.449997
"874","2010-06-22",93.709999
"875","2010-06-23",91.019997
"876","2010-06-24",86.690002
"877","2010-06-25",88.370003
"878","2010-06-28",89.239998
"879","2010-06-29",86.290001
"880","2010-06-30",84.949997
"881","2010-07-01",87.199997
"882","2010-07-02",84.889999
"883","2010-07-06",85.959999
"884","2010-07-07",89.230003
"885","2010-07-08",88.620003
"886","2010-07-09",90.230003
"887","2010-07-12",89.120003
"888","2010-07-13",91.510002
"889","2010-07-14",89.940002
"890","2010-07-15",88.779999
"891","2010-07-16",85.730003
"892","2010-07-19",86.080002
"893","2010-07-20",85.080002
"894","2010-07-21",83.5
"895","2010-07-22",86.68
"896","2010-07-23",89.559998
"897","2010-07-26",92.379997
"898","2010-07-27",89.849998
"899","2010-07-28",87.830002
"900","2010-07-29",87
"901","2010-07-30",87.339996
"902","2010-08-02",89.559998
"903","2010-08-03",87.989998
"904","2010-08-04",88.599998
"905","2010-08-05",87.669998
"906","2010-08-06",86.879997
"907","2010-08-09",87.949997
"908","2010-08-10",87.910004
"909","2010-08-11",84.389999
"910","2010-08-12",85.190002
"911","2010-08-13",85.349998
"912","2010-08-16",85.449997
"913","2010-08-17",90.43
"914","2010-08-18",90.050003
"915","2010-08-19",89.309998
"916","2010-08-20",89.760002
"917","2010-08-23",88.779999
"918","2010-08-24",87.370003
"919","2010-08-25",86.809998
"920","2010-08-26",86.650002
"921","2010-08-27",87.779999
"922","2010-08-30",84.949997
"923","2010-08-31",85.639999
"924","2010-09-01",87.489998
"925","2010-09-02",87.279999
"926","2010-09-03",88.93
"927","2010-09-07",84.699997
"928","2010-09-08",85.459999
"929","2010-09-09",87.209999
"930","2010-09-10",86.57
"931","2010-09-13",88.389999
"932","2010-09-14",87.900002
"933","2010-09-15",87.400002
"934","2010-09-16",86.919998
"935","2010-09-17",86.699997
"936","2010-09-20",91
"937","2010-09-21",88.690002
"938","2010-09-22",88.940002
"939","2010-09-23",88.169998
"940","2010-09-24",90.620003
"941","2010-09-27",84.239998
"942","2010-09-28",82.5
"943","2010-09-29",81.809998
"944","2010-09-30",81.809998
"945","2010-10-01",81.910004
"946","2010-10-04",82.150002
"947","2010-10-05",83.089996
"948","2010-10-06",78.910004
