"","date","SITE"
"856","2019-10-04",71.379997
"857","2019-10-07",72.080002
"858","2019-10-08",70.660004
"859","2019-10-09",71.309998
"860","2019-10-10",71.730003
"861","2019-10-11",74.360001
"862","2019-10-14",74.18
"863","2019-10-15",75.5
"864","2019-10-16",75.720001
"865","2019-10-17",78.510002
"866","2019-10-18",78.639999
"867","2019-10-21",78.459999
"868","2019-10-22",79.970001
"869","2019-10-23",79.839996
"870","2019-10-24",79.330002
"871","2019-10-25",79.919998
"872","2019-10-28",80.809998
"873","2019-10-29",80.190002
"874","2019-10-30",87.589996
"875","2019-10-31",88.059998
"876","2019-11-01",89.550003
"877","2019-11-04",89.25
"878","2019-11-05",89.879997
"879","2019-11-06",90.940002
"880","2019-11-07",90.879997
"881","2019-11-08",91.059998
"882","2019-11-11",92.18
"883","2019-11-12",91.480003
"884","2019-11-13",91.449997
"885","2019-11-14",90.699997
"886","2019-11-15",90.18
"887","2019-11-18",91.18
"888","2019-11-19",90.110001
"889","2019-11-20",88.699997
"890","2019-11-21",86.699997
"891","2019-11-22",87.050003
"892","2019-11-25",89.839996
"893","2019-11-26",90.230003
"894","2019-11-27",90.209999
"895","2019-11-29",88.760002
"896","2019-12-02",87.739998
"897","2019-12-03",88.099998
"898","2019-12-04",87.599998
"899","2019-12-05",88.190002
"900","2019-12-06",89.290001
"901","2019-12-09",87.059998
"902","2019-12-10",86.349998
"903","2019-12-11",87.489998
"904","2019-12-12",87.470001
"905","2019-12-13",88.980003
"906","2019-12-16",88.190002
"907","2019-12-17",89.519997
"908","2019-12-18",88.279999
"909","2019-12-19",86.760002
"910","2019-12-20",90.650002
"911","2019-12-23",90.07
"912","2019-12-24",90.769997
"913","2019-12-26",90.589996
"914","2019-12-27",90.459999
"915","2019-12-30",90.260002
"916","2019-12-31",90.650002
"917","2020-01-02",90.629997
"918","2020-01-03",87.849998
"919","2020-01-06",87.339996
"920","2020-01-07",88.889999
"921","2020-01-08",88.75
"922","2020-01-09",90.599998
"923","2020-01-10",90.980003
"924","2020-01-13",92.059998
"925","2020-01-14",92.589996
"926","2020-01-15",94.82
"927","2020-01-16",95.849998
"928","2020-01-17",94.669998
"929","2020-01-21",95.629997
"930","2020-01-22",94.089996
"931","2020-01-23",93.849998
"932","2020-01-24",94.010002
"933","2020-01-27",96.639999
"934","2020-01-28",96.330002
"935","2020-01-29",100.739998
"936","2020-01-30",99.440002
"937","2020-01-31",96.550003
