"","date","LILA"
"624","2017-12-20",20.631479
"625","2017-12-21",20.631479
"626","2017-12-22",19.839773
"627","2017-12-26",20.160227
"628","2017-12-27",19.519321
"629","2017-12-28",19.283695
"630","2017-12-29",18.991518
"631","2018-01-02",20.339302
"632","2018-01-03",15.956645
"633","2018-01-04",20.150801
"634","2018-01-05",19.877474
"635","2018-01-08",20.141376
"636","2018-01-09",19.849199
"637","2018-01-10",19.679548
"638","2018-01-11",19.670122
"639","2018-01-12",19.943449
"640","2018-01-16",19.905748
"641","2018-01-17",19.849199
"642","2018-01-18",20.1131
"643","2018-01-19",19.952875
"644","2018-01-22",19.962299
"645","2018-01-23",20.216776
"646","2018-01-24",21.423185
"647","2018-01-25",22.196041
"648","2018-01-26",21.979265
"649","2018-01-29",22.130066
"650","2018-01-30",21.564562
"651","2018-01-31",21.159285
"652","2018-02-01",21.206409
"653","2018-02-02",21.017908
"654","2018-02-05",20.480679
"655","2018-02-06",20.754005
"656","2018-02-07",20.697454
"657","2018-02-08",19.688972
"658","2018-02-09",20.55608
"659","2018-02-12",20.904806
"660","2018-02-13",20.933083
"661","2018-02-14",21.809614
"662","2018-02-15",22.082941
"663","2018-02-16",22.082941
"664","2018-02-20",21.677662
"665","2018-02-21",21.781338
"666","2018-02-22",21.479736
"667","2018-02-23",21.281809
"668","2018-02-26",20.216776
"669","2018-02-27",19.849199
"670","2018-02-28",19.509897
"671","2018-03-01",19.302546
"672","2018-03-02",19.321394
"673","2018-03-05",20.141376
"674","2018-03-06",20.084826
"675","2018-03-07",20.047125
"676","2018-03-08",20.084826
"677","2018-03-09",20.103676
"678","2018-03-12",20.329878
"679","2018-03-13",20.216776
"680","2018-03-14",20.386429
"681","2018-03-15",20.348728
"682","2018-03-16",20.122526
"683","2018-03-19",20
"684","2018-03-20",19.858624
"685","2018-03-21",20.160227
"686","2018-03-22",19.406221
"687","2018-03-23",19.33082
"688","2018-03-26",19.688972
"689","2018-03-27",19.717247
"690","2018-03-28",18.52969
"691","2018-03-29",18.331762
"692","2018-04-02",18.614515
"693","2018-04-03",18.473139
"694","2018-04-04",18.737041
"695","2018-04-05",18.982092
"696","2018-04-06",19.038643
"697","2018-04-09",18.454288
"698","2018-04-10",18.454288
"699","2018-04-11",18.426014
"700","2018-04-12",18.06786
"701","2018-04-13",18.228086
"702","2018-04-16",18.256361
"703","2018-04-17",19.066917
"704","2018-04-18",19.029217
"705","2018-04-19",18.718191
"706","2018-04-20",18.671064
"707","2018-04-23",18.605089
"708","2018-04-24",18.378887
"709","2018-04-25",18.652214
"710","2018-04-26",18.369463
"711","2018-04-27",17.700283
"712","2018-04-30",17.342131
"713","2018-05-01",17.558907
"714","2018-05-02",18.586239
"715","2018-05-03",18.718191
"716","2018-05-04",19.302546
"717","2018-05-07",19.660698
"718","2018-05-08",19.575872
"719","2018-05-09",20.056551
"720","2018-05-10",20.254477
"721","2018-05-11",20.216776
"722","2018-05-14",20.452404
"723","2018-05-15",19.575872
"724","2018-05-16",19.538172
"725","2018-05-17",19.962299
"726","2018-05-18",20.094252
"727","2018-05-21",20.358152
"728","2018-05-22",20.452404
"729","2018-05-23",20.914232
"730","2018-05-24",20.754005
"731","2018-05-25",20.527803
"732","2018-05-29",20.640905
"733","2018-05-30",20.499529
"734","2018-05-31",20.424128
"735","2018-06-01",19.858624
"736","2018-06-04",20.273327
"737","2018-06-05",20.367579
"738","2018-06-06",20.725731
"739","2018-06-07",20.829407
"740","2018-06-08",20.68803
"741","2018-06-11",20.480679
"742","2018-06-12",20.518379
"743","2018-06-13",20.301601
"744","2018-06-14",20.490103
"745","2018-06-15",20.188501
"746","2018-06-18",20.028275
"747","2018-06-19",19.736097
"748","2018-06-20",19.066917
"749","2018-06-21",18.482563
"750","2018-06-22",18.652214
"751","2018-06-25",18.416588
"752","2018-06-26",18.765316
"753","2018-06-27",19.123468
"754","2018-06-28",18.378887
"755","2018-06-29",18.020735
"756","2018-07-02",18.265787
"757","2018-07-03",18.341188
"758","2018-07-05",18.454288
"759","2018-07-06",19.170593
"760","2018-07-09",19.208294
"761","2018-07-10",19.302546
"762","2018-07-11",19.283695
"763","2018-07-12",19.208294
"764","2018-07-13",19.302546
"765","2018-07-16",19.472197
"766","2018-07-17",19.142319
"767","2018-07-18",18.397738
"768","2018-07-19",18.114986
"769","2018-07-20",18.369463
"770","2018-07-23",18.209236
"771","2018-07-24",17.540056
"772","2018-07-25",17.794533
"773","2018-07-26",17.785109
"774","2018-07-27",17.624882
"775","2018-07-30",17.549482
"776","2018-07-31",17.983034
"777","2018-08-01",17.653158
"778","2018-08-02",17.511782
"779","2018-08-03",17.606031
"780","2018-08-06",17.747408
"781","2018-08-07",17.983034
"782","2018-08-08",18.190386
"783","2018-08-09",17.775682
"784","2018-08-10",17.474081
"785","2018-08-13",17.426956
"786","2018-08-14",17.558907
"787","2018-08-15",17.32328
"788","2018-08-16",17.492931
"789","2018-08-17",16.927427
"790","2018-08-20",16.493874
"791","2018-08-21",16.983978
"792","2018-08-22",16.908577
"793","2018-08-23",16.974552
"794","2018-08-24",17.238455
"795","2018-08-27",17.445807
"796","2018-08-28",18.152687
"797","2018-08-29",18.812441
"798","2018-08-30",18.62394
"799","2018-08-31",18.576815
"800","2018-09-04",18.671064
"801","2018-09-05",18.982092
"802","2018-09-06",19.066917
"803","2018-09-07",19.038643
"804","2018-09-10",19.104618
"805","2018-09-11",18.916117
"806","2018-09-12",19.302546
"807","2018-09-13",19.585297
"808","2018-09-14",19.095194
"809","2018-09-17",19.236568
"810","2018-09-18",19.585297
"811","2018-09-19",20.216776
"812","2018-09-20",20.377003
"813","2018-09-21",20.499529
"814","2018-09-24",20.518379
"815","2018-09-25",20.301601
"816","2018-09-26",20.141376
"817","2018-09-27",19.962299
"818","2018-09-28",19.641848
"819","2018-10-01",19.905748
"820","2018-10-02",20.612629
"821","2018-10-03",20.631479
"822","2018-10-04",20.367579
"823","2018-10-05",20.282753
"824","2018-10-08",20.603205
"825","2018-10-09",20.358152
"826","2018-10-10",19.114044
"827","2018-10-11",18.557964
"828","2018-10-12",18.868992
"829","2018-10-15",18.614515
"830","2018-10-16",18.633366
"831","2018-10-17",18.275211
"832","2018-10-18",17.803959
"833","2018-10-19",17.662582
"834","2018-10-22",17.313854
"835","2018-10-23",17.031103
"836","2018-10-24",16.295948
"837","2018-10-25",16.418472
"838","2018-10-26",16.192272
"839","2018-10-29",16.295948
"840","2018-10-30",16.559849
"841","2018-10-31",16.946278
"842","2018-11-01",17.106503
"843","2018-11-02",17.295004
"844","2018-11-05",17.549482
"845","2018-11-06",17.521206
"846","2018-11-07",18.058435
"847","2018-11-08",18.614515
"848","2018-11-09",18.275211
"849","2018-11-12",17.483505
"850","2018-11-13",16.936852
"851","2018-11-14",16.908577
"852","2018-11-15",17.012253
"853","2018-11-16",17.106503
"854","2018-11-19",16.861452
"855","2018-11-20",16.569275
"856","2018-11-21",16.6541
"857","2018-11-23",16.550425
"858","2018-11-26",17.021677
"859","2018-11-27",16.946278
"860","2018-11-28",16.993402
"861","2018-11-29",17.229029
"862","2018-11-30",17.200754
"863","2018-12-03",17.247879
"864","2018-12-04",16.592836
"865","2018-12-06",16.003771
"866","2018-12-07",15.92837
"867","2018-12-10",16.182846
"868","2018-12-11",15.871819
"869","2018-12-12",16.135721
"870","2018-12-13",15.362865
"871","2018-12-14",15.39114
"872","2018-12-17",15.070688
"873","2018-12-18",15.344015
"874","2018-12-19",14.68426
"875","2018-12-20",14.165881
"876","2018-12-21",13.836003
"877","2018-12-24",13.317625
"878","2018-12-26",13.675777
"879","2018-12-27",13.685203
