"","date","VAC"
"590","2014-03-17",54.34
"591","2014-03-18",55.189999
"592","2014-03-19",55.169998
"593","2014-03-20",55.110001
"594","2014-03-21",55.900002
"595","2014-03-24",55.029999
"596","2014-03-25",55.009998
"597","2014-03-26",54.610001
"598","2014-03-27",53.82
"599","2014-03-28",54.830002
"600","2014-03-31",55.91
"601","2014-04-01",56.75
"602","2014-04-02",57.43
"603","2014-04-03",57.459999
"604","2014-04-04",57.080002
"605","2014-04-07",56.57
"606","2014-04-08",56.900002
"607","2014-04-09",56.490002
"608","2014-04-10",54.950001
"609","2014-04-11",53.75
"610","2014-04-14",53.580002
"611","2014-04-15",53.630001
"612","2014-04-16",53.860001
"613","2014-04-17",54.740002
"614","2014-04-21",54.779999
"615","2014-04-22",55.84
"616","2014-04-23",55.450001
"617","2014-04-24",54.82
"618","2014-04-25",52.970001
"619","2014-04-28",52.709999
"620","2014-04-29",54.41
"621","2014-04-30",54.48
"622","2014-05-01",55.459999
"623","2014-05-02",55.900002
"624","2014-05-05",55.889999
"625","2014-05-06",55
"626","2014-05-07",54.98
"627","2014-05-08",55.400002
"628","2014-05-09",56.470001
"629","2014-05-12",57.259998
"630","2014-05-13",56.970001
"631","2014-05-14",56.25
"632","2014-05-15",55.220001
"633","2014-05-16",55.669998
"634","2014-05-19",56.209999
"635","2014-05-20",54.5
"636","2014-05-21",54.740002
"637","2014-05-22",55.650002
"638","2014-05-23",56.27
"639","2014-05-27",56.470001
"640","2014-05-28",55.59
"641","2014-05-29",56.490002
"642","2014-05-30",56.650002
"643","2014-06-02",56.610001
"644","2014-06-03",56.630001
"645","2014-06-04",56.48
"646","2014-06-05",57.110001
"647","2014-06-06",56.599998
"648","2014-06-09",56.299999
"649","2014-06-10",56.369999
"650","2014-06-11",55.98
"651","2014-06-12",55.889999
"652","2014-06-13",56.389999
"653","2014-06-16",55.98
"654","2014-06-17",56.450001
"655","2014-06-18",56.790001
"656","2014-06-19",56.540001
"657","2014-06-20",57.34
"658","2014-06-23",57.669998
"659","2014-06-24",57.549999
"660","2014-06-25",57.580002
"661","2014-06-26",57.66
"662","2014-06-27",57.889999
"663","2014-06-30",58.630001
"664","2014-07-01",58.380001
"665","2014-07-02",58.080002
"666","2014-07-03",58.57
"667","2014-07-07",58.130001
"668","2014-07-08",57.549999
"669","2014-07-09",57.91
"670","2014-07-10",57.150002
"671","2014-07-11",57.419998
"672","2014-07-14",57.419998
"673","2014-07-15",56.700001
"674","2014-07-16",56.549999
"675","2014-07-17",55.43
"676","2014-07-18",56.560001
"677","2014-07-21",56.48
"678","2014-07-22",57
"679","2014-07-23",57.099998
"680","2014-07-24",58.240002
"681","2014-07-25",57.369999
"682","2014-07-28",57.02
"683","2014-07-29",57.240002
"684","2014-07-30",57.740002
"685","2014-07-31",57.549999
"686","2014-08-01",57.5
"687","2014-08-04",57.759998
"688","2014-08-05",57.57
"689","2014-08-06",56.27
"690","2014-08-07",56.009998
"691","2014-08-08",56.810001
"692","2014-08-11",57.470001
"693","2014-08-12",57.75
"694","2014-08-13",59.919998
"695","2014-08-14",59.32
"696","2014-08-15",59.369999
"697","2014-08-18",60.59
"698","2014-08-19",60.099998
"699","2014-08-20",59.59
"700","2014-08-21",59.669998
"701","2014-08-22",59.459999
"702","2014-08-25",59.43
"703","2014-08-26",59.700001
"704","2014-08-27",59.43
"705","2014-08-28",59.82
"706","2014-08-29",59.59
"707","2014-09-02",60.23
"708","2014-09-03",60.009998
"709","2014-09-04",60.68
"710","2014-09-05",61.209999
"711","2014-09-08",61.25
"712","2014-09-09",60.970001
"713","2014-09-10",60.43
"714","2014-09-11",61.450001
"715","2014-09-12",60.52
"716","2014-09-15",60.169998
"717","2014-09-16",61.349998
"718","2014-09-17",62.5
"719","2014-09-18",62.889999
"720","2014-09-19",63.619999
"721","2014-09-22",63.389999
"722","2014-09-23",62.849998
"723","2014-09-24",62.740002
"724","2014-09-25",62.57
"725","2014-09-26",63.619999
"726","2014-09-29",63.060001
"727","2014-09-30",63.41
"728","2014-10-01",62.509998
"729","2014-10-02",61.830002
"730","2014-10-03",62.619999
"731","2014-10-06",61.939999
"732","2014-10-07",61.130001
"733","2014-10-08",61.990002
"734","2014-10-09",60.549999
"735","2014-10-10",60
"736","2014-10-13",59.439999
"737","2014-10-14",60.080002
"738","2014-10-15",59.07
"739","2014-10-16",62.720001
"740","2014-10-17",63.259998
"741","2014-10-20",65.540001
"742","2014-10-21",66.690002
"743","2014-10-22",66.370003
"744","2014-10-23",66.330002
"745","2014-10-24",66.919998
"746","2014-10-27",67.419998
"747","2014-10-28",69.360001
"748","2014-10-29",69.349998
"749","2014-10-30",69.75
"750","2014-10-31",69.440002
"751","2014-11-03",69.709999
"752","2014-11-04",69.800003
"753","2014-11-05",70.010002
"754","2014-11-06",70.129997
"755","2014-11-07",70.93
"756","2014-11-10",71.239998
"757","2014-11-11",72.099998
"758","2014-11-12",72.400002
"759","2014-11-13",71.860001
"760","2014-11-14",72.080002
"761","2014-11-17",71.550003
"762","2014-11-18",72.169998
"763","2014-11-19",71.489998
"764","2014-11-20",71.760002
"765","2014-11-21",71.370003
"766","2014-11-24",72.699997
"767","2014-11-25",73.129997
"768","2014-11-26",73.169998
"769","2014-11-28",73.510002
"770","2014-12-01",73.080002
"771","2014-12-02",74.449997
"772","2014-12-03",74.529999
"773","2014-12-04",74.440002
"774","2014-12-05",75.209999
"775","2014-12-08",73.519997
"776","2014-12-09",74.389999
"777","2014-12-10",72.389999
"778","2014-12-11",72.900002
"779","2014-12-12",72.25
"780","2014-12-15",71.599998
"781","2014-12-16",69.870003
"782","2014-12-17",71.279999
"783","2014-12-18",72.709999
"784","2014-12-19",71.559998
"785","2014-12-22",72.330002
"786","2014-12-23",73.300003
"787","2014-12-24",74.169998
"788","2014-12-26",74.919998
"789","2014-12-29",75.919998
"790","2014-12-30",75.220001
"791","2014-12-31",74.540001
"792","2015-01-02",74.330002
"793","2015-01-05",72.900002
"794","2015-01-06",70.489998
"795","2015-01-07",72.5
"796","2015-01-08",75.239998
"797","2015-01-09",75.57
"798","2015-01-12",76
"799","2015-01-13",75.790001
"800","2015-01-14",75.57
"801","2015-01-15",74.699997
"802","2015-01-16",75.019997
"803","2015-01-20",75.449997
"804","2015-01-21",75.199997
"805","2015-01-22",77.690002
"806","2015-01-23",77.739998
"807","2015-01-26",78.739998
"808","2015-01-27",78.459999
"809","2015-01-28",76.120003
"810","2015-01-29",77.449997
"811","2015-01-30",76.5
"812","2015-02-02",75.139999
"813","2015-02-03",75.639999
"814","2015-02-04",75.489998
"815","2015-02-05",75.449997
"816","2015-02-06",74.860001
"817","2015-02-09",73.489998
"818","2015-02-10",77.029999
"819","2015-02-11",76.839996
"820","2015-02-12",77.480003
"821","2015-02-13",77.040001
"822","2015-02-17",76.910004
"823","2015-02-18",77.050003
"824","2015-02-19",77.93
"825","2015-02-20",77.25
"826","2015-02-23",77.699997
"827","2015-02-24",77.379997
"828","2015-02-25",77.099998
"829","2015-02-26",75.68
"830","2015-02-27",76.059998
"831","2015-03-02",79.029999
"832","2015-03-03",77.589996
"833","2015-03-04",77.470001
"834","2015-03-05",77.650002
"835","2015-03-06",77
"836","2015-03-09",77.970001
"837","2015-03-10",76.980003
"838","2015-03-11",78.040001
"839","2015-03-12",79.25
"840","2015-03-13",79.150002
"841","2015-03-16",80.019997
"842","2015-03-17",80.349998
"843","2015-03-18",80.93
"844","2015-03-19",81.830002
"845","2015-03-20",83.169998
"846","2015-03-23",83.220001
"847","2015-03-24",82.940002
"848","2015-03-25",79.839996
"849","2015-03-26",80.120003
"850","2015-03-27",81.400002
"851","2015-03-30",81.080002
"852","2015-03-31",81.050003
"853","2015-04-01",80.620003
"854","2015-04-02",80.68
"855","2015-04-06",80.690002
"856","2015-04-07",80.529999
"857","2015-04-08",81.620003
"858","2015-04-09",80.949997
"859","2015-04-10",80.589996
"860","2015-04-13",79.970001
"861","2015-04-14",79.720001
"862","2015-04-15",79.18
"863","2015-04-16",78.940002
"864","2015-04-17",77.970001
"865","2015-04-20",78.610001
"866","2015-04-21",79.379997
"867","2015-04-22",79.360001
"868","2015-04-23",80.07
"869","2015-04-24",80.379997
"870","2015-04-27",79.559998
"871","2015-04-28",79.93
"872","2015-04-29",78.5
"873","2015-04-30",82.209999
"874","2015-05-01",84.400002
"875","2015-05-04",84.410004
