"","date","BAP"
"718","2009-11-05",69.104912
"719","2009-11-06",69.393646
"720","2009-11-09",70.68335
"721","2009-11-10",70.702599
"722","2009-11-11",70.779594
"723","2009-11-12",69.528389
"724","2009-11-13",70.125122
"725","2009-11-16",71.722809
"726","2009-11-17",71.924927
"727","2009-11-18",72.791145
"728","2009-11-19",72.848892
"729","2009-11-20",71.058708
"730","2009-11-23",70.85659
"731","2009-11-24",70.664101
"732","2009-11-25",71.087585
"733","2009-11-27",68.161697
"734","2009-11-30",68.768044
"735","2009-12-01",69.923004
"736","2009-12-02",70.933594
"737","2009-12-03",71.077957
"738","2009-12-04",71.70356
"739","2009-12-07",72.916267
"740","2009-12-08",72.127045
"741","2009-12-09",72.512032
"742","2009-12-10",71.53994
"743","2009-12-11",72.396538
"744","2009-12-14",72.993263
"745","2009-12-15",72.704521
"746","2009-12-16",71.838303
"747","2009-12-17",70.673721
"748","2009-12-18",70.558228
"749","2009-12-21",70.68335
"750","2009-12-22",71.212708
"751","2009-12-23",72.204041
"752","2009-12-24",72.685272
"753","2009-12-28",72.983635
"754","2009-12-29",73.493744
"755","2009-12-30",73.628487
"756","2009-12-31",74.128967
"757","2010-01-04",74.716072
"758","2010-01-05",75.158806
"759","2010-01-06",74.773819
"760","2010-01-07",75.178055
"761","2010-01-08",75.649666
"762","2010-01-11",74.687202
"763","2010-01-12",72.694901
"764","2010-01-13",73.185753
"765","2010-01-14",72.993263
"766","2010-01-15",72.184792
"767","2010-01-19",73.022133
"768","2010-01-20",71.18383
"769","2010-01-21",70.625603
"770","2010-01-22",69.15303
"771","2010-01-25",70.279114
"772","2010-01-26",70.433105
"773","2010-01-27",71.154953
"774","2010-01-28",71.67469
"775","2010-01-29",71.828682
"776","2010-02-01",72.627525
"777","2010-02-02",74.639076
"778","2010-02-03",75.649666
"779","2010-02-04",73.185753
"780","2010-02-05",71.18383
"781","2010-02-08",70.076996
"782","2010-02-09",71.058708
"783","2010-02-10",71.366699
"784","2010-02-11",73.493744
"785","2010-02-12",73.589989
"786","2010-02-16",74.908569
"787","2010-02-17",75.206932
"788","2010-02-18",76.015396
"789","2010-02-19",75.967278
"790","2010-02-22",76.025024
"791","2010-02-23",74.350334
"792","2010-02-24",74.417709
"793","2010-02-25",74.446587
"794","2010-02-26",75.168434
"795","2010-03-01",75.736282
"796","2010-03-02",76.227142
"797","2010-03-03",75.736282
"798","2010-03-04",75.60154
"799","2010-03-05",76.342636
"800","2010-03-08",76.063522
"801","2010-03-09",75.813278
"802","2010-03-10",77.353226
"803","2010-03-11",77.901825
"804","2010-03-12",78.873917
"805","2010-03-15",79.403275
"806","2010-03-16",81.992302
"807","2010-03-17",81.828682
"808","2010-03-18",82.001923
"809","2010-03-19",82.35804
"810","2010-03-22",82.743019
"811","2010-03-23",83.320503
"812","2010-03-24",83.310875
"813","2010-03-25",83.743988
"814","2010-03-26",83.368622
"815","2010-03-29",83.387871
"816","2010-03-30",84.533203
"817","2010-03-31",84.870064
"818","2010-04-01",85.178055
"819","2010-04-05",86.438881
"820","2010-04-06",86.015396
"821","2010-04-07",85.495667
"822","2010-04-08",85.332047
"823","2010-04-09",84.610199
"824","2010-04-12",85.755531
"825","2010-04-13",84.802696
"826","2010-04-14",84.523582
"827","2010-04-15",84.542831
"828","2010-04-16",82.704521
"829","2010-04-19",83.05101
"830","2010-04-20",83.282005
"831","2010-04-21",84.205971
"832","2010-04-22",86.496628
"833","2010-04-23",86.977867
"834","2010-04-26",84.841194
"835","2010-04-27",82.733398
"836","2010-04-28",82.820023
"837","2010-04-29",83.840233
"838","2010-04-30",83.599617
"839","2010-05-03",83.984604
"840","2010-05-04",81.049088
"841","2010-05-05",79.83638
"842","2010-05-06",77.593842
"843","2010-05-07",75.447548
"844","2010-05-10",81.761307
"845","2010-05-11",82.637154
"846","2010-05-12",86.044273
"847","2010-05-13",84.523582
"848","2010-05-14",81.318573
"849","2010-05-17",80.635223
"850","2010-05-18",80.375359
"851","2010-05-19",79.884506
"852","2010-05-20",78.450432
"853","2010-05-21",80.567856
"854","2010-05-24",80.086624
"855","2010-05-25",80.134743
"856","2010-05-26",80.952843
"857","2010-05-27",85.43792
"858","2010-05-28",84.975937
"859","2010-06-01",86.111649
"860","2010-06-02",86.410011
"861","2010-06-03",86.689125
"862","2010-06-04",84.292587
"863","2010-06-07",84.513954
"864","2010-06-08",85.803658
"865","2010-06-09",87.555344
"866","2010-06-10",89.220406
"867","2010-06-11",89.720886
"868","2010-06-14",89.461021
"869","2010-06-15",91.809433
"870","2010-06-16",92.0308
"871","2010-06-17",91.231956
"872","2010-06-18",90.84697
"873","2010-06-21",93.89798
"874","2010-06-22",89.50914
"875","2010-06-23",89.83638
"876","2010-06-24",89.624641
"877","2010-06-25",88.873917
"878","2010-06-28",89.374397
"879","2010-06-29",87.025986
"880","2010-06-30",87.478348
"881","2010-07-01",86.852745
"882","2010-07-02",87.911453
"883","2010-07-06",89.374397
"884","2010-07-07",88.421562
"885","2010-07-08",91.337822
"886","2010-07-09",91.973053
"887","2010-07-12",91.982674
"888","2010-07-13",93.984604
"889","2010-07-14",94.148216
"890","2010-07-15",94.908569
"891","2010-07-16",93.512993
"892","2010-07-19",93.782486
"893","2010-07-20",91.289703
"894","2010-07-21",89.220406
"895","2010-07-22",91.472572
"896","2010-07-23",93.965355
"897","2010-07-26",95.861404
"898","2010-07-27",95.341675
"899","2010-07-28",94.215591
"900","2010-07-29",93.532242
"901","2010-07-30",94.051971
"902","2010-08-02",97.767082
"903","2010-08-03",97.170357
"904","2010-08-04",97.536095
"905","2010-08-05",96.42926
"906","2010-08-06",95.9384
"907","2010-08-09",97.362846
"908","2010-08-10",97.27623
"909","2010-08-11",94.350334
"910","2010-08-12",93.801735
"911","2010-08-13",95.283928
"912","2010-08-16",96.179016
"913","2010-08-17",97.266602
"914","2010-08-18",96.333015
"915","2010-08-19",96.400383
"916","2010-08-20",96.794998
"917","2010-08-23",97.102982
"918","2010-08-24",98.113571
"919","2010-08-25",98.950912
"920","2010-08-26",99.162659
"921","2010-08-27",101.212708
"922","2010-08-30",101.462944
"923","2010-08-31",101.299324
"924","2010-09-01",103.782486
"925","2010-09-02",105.745911
"926","2010-09-03",106.198265
"927","2010-09-07",104.109718
"928","2010-09-08",105.283928
"929","2010-09-09",105.457169
"930","2010-09-10",108.671799
"931","2010-09-13",112.897018
