"","date","IRWD"
"356","2011-06-30",13.165829
"357","2011-07-01",13.685092
"358","2011-07-05",13.668342
"359","2011-07-06",13.592965
"360","2011-07-07",13.517588
"361","2011-07-08",13.433836
"362","2011-07-11",13.224456
"363","2011-07-12",13.316583
"364","2011-07-13",13.350083
"365","2011-07-14",13.040201
"366","2011-07-15",13.224456
"367","2011-07-18",12.956449
"368","2011-07-19",12.830821
"369","2011-07-20",12.554439
"370","2011-07-21",12.730318
"371","2011-07-22",12.814071
"372","2011-07-25",12.788945
"373","2011-07-26",12.520938
"374","2011-07-27",12.353434
"375","2011-07-28",12.663317
"376","2011-07-29",12.520938
"377","2011-08-01",12.897822
"378","2011-08-02",12.638191
"379","2011-08-03",12.931323
"380","2011-08-04",12.026801
"381","2011-08-05",11.641541
"382","2011-08-08",10.22613
"383","2011-08-09",10.586265
"384","2011-08-10",9.623116
"385","2011-08-11",10.536014
"386","2011-08-12",10.435511
"387","2011-08-15",10.887773
"388","2011-08-16",10.80402
"389","2011-08-17",10.871022
"390","2011-08-18",10.067001
"391","2011-08-19",10.242881
"392","2011-08-22",10.737019
"393","2011-08-23",10.896148
"394","2011-08-24",10.979899
"395","2011-08-25",10.268006
"396","2011-08-26",10.879397
"397","2011-08-29",10.845896
"398","2011-08-30",10.845896
"399","2011-08-31",10.670016
"400","2011-09-01",10.050251
"401","2011-09-02",9.798995
"402","2011-09-06",9.656616
"403","2011-09-07",10.78727
"404","2011-09-08",10.351759
"405","2011-09-09",10.259631
"406","2011-09-12",10.201005
"407","2011-09-13",10.460636
"408","2011-09-14",10.603015
"409","2011-09-15",10.837521
"410","2011-09-16",10.393635
"411","2011-09-19",10.259631
"412","2011-09-20",10.242881
"413","2011-09-21",9.480737
"414","2011-09-22",9.288107
"415","2011-09-23",9.958124
"416","2011-09-26",9.673367
"417","2011-09-27",9.673367
"418","2011-09-28",8.927973
"419","2011-09-29",8.978225
"420","2011-09-30",9.045226
"421","2011-10-03",8.450586
"422","2011-10-04",9.162479
"423","2011-10-05",9.053601
"424","2011-10-06",9.087102
"425","2011-10-07",9.011725
"426","2011-10-10",9.21273
"427","2011-10-11",9.154104
"428","2011-10-12",9.723619
"429","2011-10-13",10.050251
"430","2011-10-14",10.41876
"431","2011-10-17",10.242881
"432","2011-10-18",10.108878
"433","2011-10-19",9.547739
"434","2011-10-20",9.497487
"435","2011-10-21",9.924623
"436","2011-10-24",10.443886
"437","2011-10-25",10.753769
"438","2011-10-26",10.912898
"439","2011-10-27",11.976549
"440","2011-10-28",11.683417
"441","2011-10-31",11.390285
"442","2011-11-01",11.20603
"443","2011-11-02",11.465662
"444","2011-11-03",11.959799
"445","2011-11-04",11.515913
"446","2011-11-07",11.423785
"447","2011-11-08",11.314908
"448","2011-11-09",9.824121
"449","2011-11-10",9.77387
"450","2011-11-11",10.142379
"451","2011-11-14",10.083752
"452","2011-11-15",10.393635
"453","2011-11-16",10.251256
"454","2011-11-17",10.318258
"455","2011-11-18",10.20938
"456","2011-11-21",10.125628
"457","2011-11-22",10.083752
"458","2011-11-23",9.321608
"459","2011-11-25",9.045226
"460","2011-11-28",9.815745
"461","2011-11-29",9.731994
"462","2011-11-30",10.108878
"463","2011-12-01",9.974874
"464","2011-12-02",10
"465","2011-12-05",10.318258
"466","2011-12-06",10.38526
"467","2011-12-07",10.117253
"468","2011-12-08",9.589615
"469","2011-12-09",10.284757
"470","2011-12-12",9.907873
"471","2011-12-13",9.882747
"472","2011-12-14",9.757119
"473","2011-12-15",10.041876
"474","2011-12-16",9.564489
"475","2011-12-19",9.463986
"476","2011-12-20",10.008375
"477","2011-12-21",9.941374
"478","2011-12-22",10.159129
"479","2011-12-23",10.008375
"480","2011-12-27",9.941374
"481","2011-12-28",9.865996
"482","2011-12-29",10.01675
"483","2011-12-30",10.025126
"484","2012-01-03",9.715243
"485","2012-01-04",9.706867
"486","2012-01-05",10.033501
"487","2012-01-06",9.028476
"488","2012-01-09",9.329984
"489","2012-01-10",9.355109
"490","2012-01-11",9.522614
"491","2012-01-12",9.874372
"492","2012-01-13",10.134004
"493","2012-01-17",10.242881
"494","2012-01-18",10.59464
"495","2012-01-19",10.963149
"496","2012-01-20",10.954774
"497","2012-01-23",11.22278
"498","2012-01-24",11.541039
"499","2012-01-25",11.892797
"500","2012-01-26",11.825795
"501","2012-01-27",11.80067
"502","2012-01-30",12.403685
"503","2012-01-31",12.546063
"504","2012-02-01",12.328308
"505","2012-02-02",12.336683
"506","2012-02-03",12.546063
"507","2012-02-06",12.437186
"508","2012-02-07",12.303183
"509","2012-02-08",11.549414
"510","2012-02-09",12.638191
"511","2012-02-10",12.855947
"512","2012-02-13",13.031826
"513","2012-02-14",12.814071
"514","2012-02-15",12.571189
"515","2012-02-16",12.453937
"516","2012-02-17",12.386934
"517","2012-02-21",11.792295
"518","2012-02-22",11.616415
"519","2012-02-23",12.353434
"520","2012-02-24",12.303183
