"","date","ORRF"
"714","2009-10-30",31.950001
"715","2009-11-02",30.959999
"716","2009-11-03",29.6
"717","2009-11-04",30.1
"718","2009-11-05",33.580002
"719","2009-11-06",33
"720","2009-11-09",32.799999
"721","2009-11-10",32.189999
"722","2009-11-11",33.509998
"723","2009-11-12",32.810001
"724","2009-11-13",33.939999
"725","2009-11-16",33.610001
"726","2009-11-17",33.080002
"727","2009-11-18",32.209999
"728","2009-11-19",32.23
"729","2009-11-20",31
"730","2009-11-23",32.470001
"731","2009-11-24",33.740002
"732","2009-11-25",33.549999
"733","2009-11-27",32.060001
"734","2009-11-30",33.049999
"735","2009-12-01",34.080002
"736","2009-12-02",36.98
"737","2009-12-03",36.48
"738","2009-12-04",37.57
"739","2009-12-07",38.970001
"740","2009-12-08",36.57
"741","2009-12-09",37.290001
"742","2009-12-10",36.310001
"743","2009-12-11",35.5
"744","2009-12-14",35.540001
"745","2009-12-15",33.220001
"746","2009-12-16",33.869999
"747","2009-12-17",33.700001
"748","2009-12-18",36.799999
"749","2009-12-21",36.279999
"750","2009-12-22",34.860001
"751","2009-12-23",34.830002
"752","2009-12-24",35.490002
"753","2009-12-28",35.91
"754","2009-12-29",36.68
"755","2009-12-30",36.369999
"756","2009-12-31",34.880001
"757","2010-01-04",35.400002
"758","2010-01-05",35.169998
"759","2010-01-06",33.580002
"760","2010-01-07",33.57
"761","2010-01-08",33.23
"762","2010-01-11",34.049999
"763","2010-01-12",34.110001
"764","2010-01-13",34.529999
"765","2010-01-14",34.799999
"766","2010-01-15",35.029999
"767","2010-01-19",34.029999
"768","2010-01-20",33.610001
"769","2010-01-21",31.450001
"770","2010-01-22",31.450001
"771","2010-01-25",32.25
"772","2010-01-26",30.52
"773","2010-01-27",31.360001
"774","2010-01-28",30.719999
"775","2010-01-29",31.450001
"776","2010-02-01",31.98
"777","2010-02-02",30.200001
"778","2010-02-03",30
"779","2010-02-04",29.09
"780","2010-02-05",29.719999
"781","2010-02-08",29.02
"782","2010-02-09",29.799999
"783","2010-02-10",29.76
"784","2010-02-11",30.75
"785","2010-02-12",32.509998
"786","2010-02-16",32.68
"787","2010-02-17",33.610001
"788","2010-02-18",33.889999
"789","2010-02-19",34.349998
"790","2010-02-22",34.400002
"791","2010-02-23",34.57
"792","2010-02-24",34.779999
"793","2010-02-25",34.889999
"794","2010-02-26",35.220001
"795","2010-03-01",35.75
"796","2010-03-02",35.75
"797","2010-03-03",35.73
"798","2010-03-04",35.849998
"799","2010-03-05",36
"800","2010-03-08",35.669998
"801","2010-03-09",36
"802","2010-03-10",36.419998
"803","2010-03-11",36.09
"804","2010-03-12",35.41
"805","2010-03-15",35.68
"806","2010-03-16",32.939999
"807","2010-03-17",32.689999
"808","2010-03-18",32.169998
"809","2010-03-19",31.84
"810","2010-03-22",34.5
"811","2010-03-23",30.5
"812","2010-03-24",26.4
"813","2010-03-25",26.59
"814","2010-03-26",26.35
"815","2010-03-29",26.17
"816","2010-03-30",26.18
"817","2010-03-31",25.370001
"818","2010-04-01",25.76
"819","2010-04-05",25.870001
