"","date","ORGO"
"506","2019-01-09",82.349998
"507","2019-01-10",148.850006
"508","2019-01-11",150
"509","2019-01-14",150
"510","2019-01-15",150
"511","2019-01-16",137
"512","2019-01-17",55
"513","2019-01-18",30.35
"514","2019-01-22",21.469999
"515","2019-01-23",18.415001
"516","2019-01-24",16.917
"517","2019-01-25",16.34
"518","2019-01-28",14.33
"519","2019-01-29",15
"520","2019-01-30",13.65
"521","2019-01-31",14.6
"522","2019-02-01",13.931
"523","2019-02-04",12
"524","2019-02-05",11.86
"525","2019-02-06",10.97
"526","2019-02-07",10.4
"527","2019-02-08",10.22
"528","2019-02-11",9.205
"529","2019-02-12",8.88
"530","2019-02-13",8.21
"531","2019-02-14",8
"532","2019-02-15",8
"533","2019-02-19",7.9
"534","2019-02-20",7.65
"535","2019-02-21",7.88
"536","2019-02-22",7.842
"537","2019-02-25",7.5
"538","2019-02-26",7.05
"539","2019-02-27",7.2
"540","2019-02-28",7.16
"541","2019-03-01",7.33
"542","2019-03-04",7.56
"543","2019-03-05",7.07
"544","2019-03-06",7.64
"545","2019-03-07",7.45
"546","2019-03-08",7.38
"547","2019-03-11",10.19
"548","2019-03-12",9.75
"549","2019-03-13",9.5
"550","2019-03-14",9.52
"551","2019-03-15",9.41
"552","2019-03-18",9.5
"553","2019-03-19",9.13
"554","2019-03-20",9.34
"555","2019-03-21",9.4
"556","2019-03-22",8.91
"557","2019-03-25",8.17
"558","2019-03-26",8.36
"559","2019-03-27",8.16
"560","2019-03-28",7.53
"561","2019-03-29",7.5
"562","2019-04-01",7.71
"563","2019-04-02",7.8
"564","2019-04-03",8.37
"565","2019-04-04",8.07
"566","2019-04-05",7.96
"567","2019-04-08",7.92
"568","2019-04-09",8.69
"569","2019-04-10",8.32
"570","2019-04-11",8.5
"571","2019-04-12",8.43
"572","2019-04-15",8.1
"573","2019-04-16",7.9
"574","2019-04-17",7.83
"575","2019-04-18",7.81
"576","2019-04-22",7.5
"577","2019-04-23",7.13
"578","2019-04-24",7.06
"579","2019-04-25",6.99
"580","2019-04-26",7
"581","2019-04-29",6.98
"582","2019-04-30",6.98
"583","2019-05-01",7.05
"584","2019-05-02",7.89
"585","2019-05-03",7.5
"586","2019-05-06",7.45
"587","2019-05-07",7.07
"588","2019-05-08",7
"589","2019-05-09",7.02
"590","2019-05-10",7.01
"591","2019-05-13",6.99
"592","2019-05-14",7
"593","2019-05-15",7.09
"594","2019-05-16",6.99
"595","2019-05-17",6.97
"596","2019-05-20",6.86
"597","2019-05-21",7.13
"598","2019-05-22",7.08
"599","2019-05-23",7.13
"600","2019-05-24",6.91
"601","2019-05-28",7.08
"602","2019-05-29",6.94
"603","2019-05-30",7.1
"604","2019-05-31",6.75
"605","2019-06-03",6.79
"606","2019-06-04",6.58
"607","2019-06-05",6.69
"608","2019-06-06",7.15
"609","2019-06-07",7.07
"610","2019-06-10",7.3
"611","2019-06-11",7.31
"612","2019-06-12",7.3
"613","2019-06-13",7.27
"614","2019-06-14",7.33
"615","2019-06-17",7.4
"616","2019-06-18",7.35
"617","2019-06-19",7.39
"618","2019-06-20",7.18
"619","2019-06-21",7.14
"620","2019-06-24",7.21
"621","2019-06-25",7.34
"622","2019-06-26",7.35
"623","2019-06-27",7.43
"624","2019-06-28",7.6
"625","2019-07-01",8
"626","2019-07-02",8.09
"627","2019-07-03",7.75
"628","2019-07-05",7.91
"629","2019-07-08",7.99
"630","2019-07-09",8.05
"631","2019-07-10",7.96
"632","2019-07-11",7.93
"633","2019-07-12",7.74
"634","2019-07-15",6.82
"635","2019-07-16",6.31
"636","2019-07-17",6.4
"637","2019-07-18",6.2
"638","2019-07-19",6.15
"639","2019-07-22",5.9
"640","2019-07-23",5.44
"641","2019-07-24",5.13
"642","2019-07-25",4.81
"643","2019-07-26",5.11
"644","2019-07-29",5.13
"645","2019-07-30",5.01
"646","2019-07-31",4.96
"647","2019-08-01",4.69
"648","2019-08-02",4.44
"649","2019-08-05",4.07
"650","2019-08-06",4.16
"651","2019-08-07",4.23
"652","2019-08-08",4.27
"653","2019-08-09",4.27
"654","2019-08-12",4.07
"655","2019-08-13",3.93
"656","2019-08-14",3.81
"657","2019-08-15",3.57
"658","2019-08-16",4.61
"659","2019-08-19",4.96
"660","2019-08-20",4.38
"661","2019-08-21",4.77
"662","2019-08-22",4.66
"663","2019-08-23",4.32
"664","2019-08-26",4.24
"665","2019-08-27",4.05
"666","2019-08-28",3.985
"667","2019-08-29",4.14
"668","2019-08-30",4.12
"669","2019-09-03",4.43
"670","2019-09-04",4.81
"671","2019-09-05",4.64
"672","2019-09-06",5.4
"673","2019-09-09",5.03
"674","2019-09-10",5.21
"675","2019-09-11",5.81
"676","2019-09-12",6.16
"677","2019-09-13",6.01
"678","2019-09-16",6.07
"679","2019-09-17",5.84
"680","2019-09-18",5.73
"681","2019-09-19",5.85
"682","2019-09-20",6.71
"683","2019-09-23",6.5
"684","2019-09-24",6.58
"685","2019-09-25",6.81
"686","2019-09-26",6.82
"687","2019-09-27",6.63
"688","2019-09-30",6.57
"689","2019-10-01",6.55
"690","2019-10-02",6.3
"691","2019-10-03",6.8
"692","2019-10-04",6.96
"693","2019-10-07",7.03
"694","2019-10-08",7.21
"695","2019-10-09",7.1
"696","2019-10-10",7.15
"697","2019-10-11",7.57
"698","2019-10-14",7.6
"699","2019-10-15",7.6
"700","2019-10-16",7.58
"701","2019-10-17",7.57
"702","2019-10-18",7.15
"703","2019-10-21",7.47
"704","2019-10-22",7.57
"705","2019-10-23",7.42
"706","2019-10-24",7.33
"707","2019-10-25",7.38
"708","2019-10-28",7.34
"709","2019-10-29",7.3
"710","2019-10-30",7.09
"711","2019-10-31",7.01
"712","2019-11-01",7.4
"713","2019-11-04",7.23
"714","2019-11-05",7.35
"715","2019-11-06",7.15
"716","2019-11-07",7.24
"717","2019-11-08",7.21
"718","2019-11-11",7.35
"719","2019-11-12",7.52
"720","2019-11-13",8.11
"721","2019-11-14",7.81
"722","2019-11-15",8
"723","2019-11-18",7.79
"724","2019-11-19",7.96
"725","2019-11-20",7.25
"726","2019-11-21",6.07
"727","2019-11-22",4.725
"728","2019-11-25",5.03
"729","2019-11-26",5.01
"730","2019-11-27",4.905
"731","2019-11-29",5.13
"732","2019-12-02",4.93
"733","2019-12-03",4.96
"734","2019-12-04",4.82
"735","2019-12-05",4.81
"736","2019-12-06",5.11
"737","2019-12-09",4.95
"738","2019-12-10",4.93
"739","2019-12-11",4.87
"740","2019-12-12",4.7
"741","2019-12-13",4.9
"742","2019-12-16",5
"743","2019-12-17",5.02
"744","2019-12-18",4.98
"745","2019-12-19",5.05
"746","2019-12-20",4.79
"747","2019-12-23",4.88
"748","2019-12-24",5
"749","2019-12-26",4.97
"750","2019-12-27",4.94
"751","2019-12-30",4.84
"752","2019-12-31",4.81
"753","2020-01-02",4.78
"754","2020-01-03",4.58
"755","2020-01-06",4.48
"756","2020-01-07",4.48
"757","2020-01-08",4.88
"758","2020-01-09",4.84
"759","2020-01-10",4.78
"760","2020-01-13",5
"761","2020-01-14",5.08
"762","2020-01-15",5.2
"763","2020-01-16",5.31
"764","2020-01-17",5.29
"765","2020-01-21",4.94
"766","2020-01-22",5.01
"767","2020-01-23",4.96
"768","2020-01-24",4.84
"769","2020-01-27",4.67
"770","2020-01-28",4.75
"771","2020-01-29",4.73
"772","2020-01-30",4.71
"773","2020-01-31",4.47
"774","2020-02-03",4.62
"775","2020-02-04",4.64
"776","2020-02-05",4.7
"777","2020-02-06",4.69
"778","2020-02-07",4.7
"779","2020-02-10",4.91
"780","2020-02-11",4.8
"781","2020-02-12",4.82
"782","2020-02-13",4.89
"783","2020-02-14",4.55
"784","2020-02-18",4.6
"785","2020-02-19",4.91
"786","2020-02-20",4.91
"787","2020-02-21",4.83
"788","2020-02-24",4.475
"789","2020-02-25",4.35
"790","2020-02-26",4.28
"791","2020-02-27",3.9
"792","2020-02-28",3.92
"793","2020-03-02",4.04
"794","2020-03-03",3.71
"795","2020-03-04",3.94
"796","2020-03-05",3.67
"797","2020-03-06",3.51
"798","2020-03-09",3.09
"799","2020-03-10",2.94
"800","2020-03-11",2.98
"801","2020-03-12",3.97
"802","2020-03-13",4.45
"803","2020-03-16",3.92
"804","2020-03-17",3.6
"805","2020-03-18",2.92
"806","2020-03-19",2.94
"807","2020-03-20",3.03
"808","2020-03-23",2.92
"809","2020-03-24",3.54
"810","2020-03-25",3.42
"811","2020-03-26",3.54
"812","2020-03-27",3.36
"813","2020-03-30",3.39
"814","2020-03-31",3.23
"815","2020-04-01",2.86
"816","2020-04-02",2.97
"817","2020-04-03",2.96
"818","2020-04-06",2.99
"819","2020-04-07",3.1
"820","2020-04-08",3.22
"821","2020-04-09",3.31
"822","2020-04-13",3.46
"823","2020-04-14",3.36
"824","2020-04-15",3.07
"825","2020-04-16",2.9
"826","2020-04-17",3.22
"827","2020-04-20",3.29
"828","2020-04-21",3.27
"829","2020-04-22",3.36
"830","2020-04-23",3.62
"831","2020-04-24",3.67
"832","2020-04-27",3.77
"833","2020-04-28",3.62
"834","2020-04-29",3.77
"835","2020-04-30",3.71
"836","2020-05-01",3.53
"837","2020-05-04",3.39
"838","2020-05-05",3.34
"839","2020-05-06",3.73
"840","2020-05-07",3.55
"841","2020-05-08",3.83
"842","2020-05-11",3.78
"843","2020-05-12",3.45
"844","2020-05-13",3.3
"845","2020-05-14",3.18
"846","2020-05-15",3.11
"847","2020-05-18",3.41
"848","2020-05-19",3.2
"849","2020-05-20",3.6
"850","2020-05-21",3.38
"851","2020-05-22",3.34
"852","2020-05-26",3.34
"853","2020-05-27",3.46
"854","2020-05-28",4.61
"855","2020-05-29",4.13
"856","2020-06-01",3.94
"857","2020-06-02",4.18
"858","2020-06-03",4.21
"859","2020-06-04",4.1
"860","2020-06-05",4.34
"861","2020-06-08",4.22
"862","2020-06-09",3.95
"863","2020-06-10",3.99
"864","2020-06-11",3.66
"865","2020-06-12",3.84
"866","2020-06-15",3.99
"867","2020-06-16",3.96
"868","2020-06-17",3.95
"869","2020-06-18",3.82
"870","2020-06-19",3.87
"871","2020-06-22",3.88
"872","2020-06-23",3.84
"873","2020-06-24",3.93
"874","2020-06-25",3.83
"875","2020-06-26",3.84
"876","2020-06-29",3.82
"877","2020-06-30",3.84
"878","2020-07-01",3.75
"879","2020-07-02",3.72
"880","2020-07-06",3.64
"881","2020-07-07",3.58
"882","2020-07-08",3.54
"883","2020-07-09",3.32
"884","2020-07-10",3.45
"885","2020-07-13",3.34
"886","2020-07-14",3.29
"887","2020-07-15",3.84
"888","2020-07-16",3.835
"889","2020-07-17",3.99
"890","2020-07-20",3.98
"891","2020-07-21",3.99
"892","2020-07-22",3.98
"893","2020-07-23",3.91
"894","2020-07-24",3.76
"895","2020-07-27",3.86
"896","2020-07-28",3.78
"897","2020-07-29",3.8
