"","date","SGOC"
"485","2010-03-11",30.92
"486","2010-03-12",30.92
"487","2010-03-15",31
"488","2010-03-16",28.200001
"489","2010-03-17",28.200001
"490","2010-03-18",28
"491","2010-03-19",28
"492","2010-03-22",25
"493","2010-03-23",25
"494","2010-03-24",31.799999
"495","2010-03-25",31.799999
"496","2010-03-26",25
"497","2010-03-29",31.200001
"498","2010-03-30",31.200001
"499","2010-03-31",31.200001
"500","2010-04-01",31.200001
"501","2010-04-05",31.200001
"502","2010-04-06",31.200001
"503","2010-04-07",31.200001
"504","2010-04-08",31.200001
"505","2010-04-09",31.200001
"506","2010-04-12",31.200001
"507","2010-04-13",31.200001
"508","2010-04-14",31.200001
"509","2010-04-15",31.200001
"510","2010-04-16",31.200001
"511","2010-04-19",25
"512","2010-04-20",25
"513","2010-04-21",25
"514","2010-04-22",25
"515","2010-04-23",25
"516","2010-04-26",25
"517","2010-04-27",25
"518","2010-04-28",25
"519","2010-04-29",25
"520","2010-04-30",25
"521","2010-05-03",25
"522","2010-05-04",25
"523","2010-05-05",25
"524","2010-05-06",25
"525","2010-05-07",25
"526","2010-05-10",25
"527","2010-05-11",25
"528","2010-05-12",25
"529","2010-05-13",25
"530","2010-05-14",25
"531","2010-05-17",25
"532","2010-05-18",25
"533","2010-05-19",25
"534","2010-05-20",25
"535","2010-05-21",25
"536","2010-05-24",25
"537","2010-05-25",25
"538","2010-05-26",25
"539","2010-05-27",25
"540","2010-05-28",25
"541","2010-06-01",25
"542","2010-06-02",25
"543","2010-06-03",25
"544","2010-06-04",25
"545","2010-06-07",25
"546","2010-06-08",25
"547","2010-06-09",25
"548","2010-06-10",25
"549","2010-06-11",25
"550","2010-06-14",25
"551","2010-06-15",32
"552","2010-06-16",32
"553","2010-06-17",32
"554","2010-06-18",32
"555","2010-06-21",32
"556","2010-06-22",32
"557","2010-06-23",32
"558","2010-06-24",32
"559","2010-06-25",32
"560","2010-06-28",32
"561","2010-06-29",32
"562","2010-06-30",32
"563","2010-07-01",32
"564","2010-07-02",32
"565","2010-07-06",32
"566","2010-07-07",32
"567","2010-07-08",32
"568","2010-07-09",32
"569","2010-07-12",32
"570","2010-07-13",32
"571","2010-07-14",32
"572","2010-07-15",32
"573","2010-07-16",32
"574","2010-07-19",32
"575","2010-07-20",32
"576","2010-07-21",32
"577","2010-07-22",32
"578","2010-07-23",32
"579","2010-07-26",32
"580","2010-07-27",32
"581","2010-07-28",32
"582","2010-07-29",32
"583","2010-07-30",32
"584","2010-08-02",32
"585","2010-08-03",32
"586","2010-08-04",32
"587","2010-08-05",32
"588","2010-08-06",32
"589","2010-08-09",32
"590","2010-08-10",32
"591","2010-08-11",32
"592","2010-08-12",32
"593","2010-08-13",32
"594","2010-08-16",32
"595","2010-08-17",32
"596","2010-08-18",32
"597","2010-08-19",32
"598","2010-08-20",32
"599","2010-08-23",32
"600","2010-08-24",32
"601","2010-08-25",32
"602","2010-08-26",32
"603","2010-08-27",32
"604","2010-08-30",32
"605","2010-08-31",32
"606","2010-09-01",32
"607","2010-09-02",32
"608","2010-09-03",32
"609","2010-09-07",32
"610","2010-09-08",32
"611","2010-09-09",32
"612","2010-09-10",32
"613","2010-09-13",32
"614","2010-09-14",32
"615","2010-09-15",32
"616","2010-09-16",32
"617","2010-09-17",32
"618","2010-09-20",32
"619","2010-09-21",32
"620","2010-09-22",32
"621","2010-09-23",32
"622","2010-09-24",32
"623","2010-09-27",32
"624","2010-09-28",32
"625","2010-09-29",32
"626","2010-09-30",32
"627","2010-10-01",32
"628","2010-10-04",32
"629","2010-10-05",32
"630","2010-10-06",32
"631","2010-10-07",32
"632","2010-10-08",32
"633","2010-10-11",32
"634","2010-10-12",32
"635","2010-10-13",32
"636","2010-10-14",32
"637","2010-10-15",32
"638","2010-10-18",32
"639","2010-10-19",32
"640","2010-10-20",32
"641","2010-10-21",32
"642","2010-10-22",32
"643","2010-10-25",32
"644","2010-10-26",32
"645","2010-10-27",32
"646","2010-10-28",32
"647","2010-10-29",32
"648","2010-11-01",32
"649","2010-11-02",32
"650","2010-11-03",32
"651","2010-11-04",32
"652","2010-11-05",32
"653","2010-11-08",32
"654","2010-11-09",32
"655","2010-11-10",32
"656","2010-11-11",32
"657","2010-11-12",32
"658","2010-11-15",32
"659","2010-11-16",32
"660","2010-11-17",32
"661","2010-11-18",32
"662","2010-11-19",32
"663","2010-11-22",32
"664","2010-11-23",32
"665","2010-11-24",32
"666","2010-11-26",32
"667","2010-11-29",32
"668","2010-11-30",32
"669","2010-12-01",32
"670","2010-12-02",32
"671","2010-12-03",32
"672","2010-12-06",32
"673","2010-12-07",32
"674","2010-12-08",32
"675","2010-12-09",32
"676","2010-12-10",32
"677","2010-12-13",32
"678","2010-12-14",32
"679","2010-12-15",32
"680","2010-12-16",32
"681","2010-12-17",32
"682","2010-12-20",20.200001
"683","2010-12-21",19.879999
"684","2010-12-22",19.6
"685","2010-12-23",20.200001
"686","2010-12-27",20.200001
"687","2010-12-28",20.200001
"688","2010-12-29",20.639999
"689","2010-12-30",20.200001
"690","2010-12-31",20.200001
"691","2011-01-03",20.4
"692","2011-01-04",20.16
"693","2011-01-05",20.200001
"694","2011-01-06",20.200001
"695","2011-01-07",20.120001
"696","2011-01-10",20.200001
