"","date","ELF"
"611","2019-02-27",7.3
"612","2019-02-28",7.95
"613","2019-03-01",7.95
"614","2019-03-04",7.95
"615","2019-03-05",8.06
"616","2019-03-06",7.98
"617","2019-03-07",7.79
"618","2019-03-08",8
"619","2019-03-11",8.09
"620","2019-03-12",8.01
"621","2019-03-13",8.57
"622","2019-03-14",8.51
"623","2019-03-15",9.24
"624","2019-03-18",9.33
"625","2019-03-19",9.22
"626","2019-03-20",9.85
"627","2019-03-21",9.88
"628","2019-03-22",10.11
"629","2019-03-25",10.14
"630","2019-03-26",10.27
"631","2019-03-27",10.49
"632","2019-03-28",10.69
"633","2019-03-29",10.6
"634","2019-04-01",10.79
"635","2019-04-02",10.45
"636","2019-04-03",11.28
"637","2019-04-04",11.53
"638","2019-04-05",11.87
"639","2019-04-08",11.89
"640","2019-04-09",11.85
"641","2019-04-10",11.59
"642","2019-04-11",11.55
"643","2019-04-12",11.68
"644","2019-04-15",11.55
"645","2019-04-16",12.11
"646","2019-04-17",12.51
"647","2019-04-18",12.96
"648","2019-04-22",12.22
"649","2019-04-23",12.2
"650","2019-04-24",12.04
"651","2019-04-25",12.03
"652","2019-04-26",12.69
"653","2019-04-29",12.65
"654","2019-04-30",12.79
"655","2019-05-01",12.83
"656","2019-05-02",12.81
"657","2019-05-03",13.19
"658","2019-05-06",12.96
"659","2019-05-07",12.24
"660","2019-05-08",12.37
"661","2019-05-09",11.47
"662","2019-05-10",11.38
"663","2019-05-13",11.76
"664","2019-05-14",11.75
"665","2019-05-15",12.14
"666","2019-05-16",12.14
"667","2019-05-17",11.97
"668","2019-05-20",11.81
"669","2019-05-21",12.15
"670","2019-05-22",11.71
"671","2019-05-23",11.56
"672","2019-05-24",11.46
"673","2019-05-28",11.56
"674","2019-05-29",10.52
"675","2019-05-30",10.7
"676","2019-05-31",10.19
"677","2019-06-03",10.54
"678","2019-06-04",10.99
"679","2019-06-05",11.25
"680","2019-06-06",11.84
"681","2019-06-07",11.91
"682","2019-06-10",12.33
"683","2019-06-11",12.55
"684","2019-06-12",12.12
"685","2019-06-13",12.44
"686","2019-06-14",12.24
"687","2019-06-17",12.42
"688","2019-06-18",12.56
"689","2019-06-19",12.75
"690","2019-06-20",13.16
"691","2019-06-21",13.07
"692","2019-06-24",13.11
"693","2019-06-25",13.89
"694","2019-06-26",13.81
"695","2019-06-27",14.21
"696","2019-06-28",14.1
"697","2019-07-01",14.25
"698","2019-07-02",14.39
"699","2019-07-03",14.29
"700","2019-07-05",14.16
"701","2019-07-08",14.22
"702","2019-07-09",15.46
"703","2019-07-10",16.950001
"704","2019-07-11",16.4
"705","2019-07-12",16.440001
"706","2019-07-15",16.620001
"707","2019-07-16",16.799999
"708","2019-07-17",16.9
"709","2019-07-18",16.84
"710","2019-07-19",16.67
"711","2019-07-22",16.42
"712","2019-07-23",16.139999
"713","2019-07-24",16.73
"714","2019-07-25",16.83
"715","2019-07-26",16.9
"716","2019-07-29",17.09
"717","2019-07-30",17.25
"718","2019-07-31",16.59
"719","2019-08-01",16
"720","2019-08-02",16.02
"721","2019-08-05",15.84
"722","2019-08-06",16.67
"723","2019-08-07",16.549999
"724","2019-08-08",17.309999
"725","2019-08-09",17.24
"726","2019-08-12",16.65
"727","2019-08-13",16.799999
"728","2019-08-14",16.41
"729","2019-08-15",16.41
"730","2019-08-16",16.43
"731","2019-08-19",17.85
"732","2019-08-20",17.709999
"733","2019-08-21",17.98
"734","2019-08-22",18.24
"735","2019-08-23",17.48
"736","2019-08-26",17.799999
"737","2019-08-27",17.459999
"738","2019-08-28",17.57
"739","2019-08-29",16.75
"740","2019-08-30",16.32
"741","2019-09-03",16.66
"742","2019-09-04",17.059999
"743","2019-09-05",17.309999
"744","2019-09-06",17.52
"745","2019-09-09",16.82
"746","2019-09-10",15.98
"747","2019-09-11",15.93
"748","2019-09-12",16.02
"749","2019-09-13",15.74
"750","2019-09-16",15.72
"751","2019-09-17",16.18
"752","2019-09-18",16.469999
"753","2019-09-19",17.049999
"754","2019-09-20",17.65
"755","2019-09-23",18.4
"756","2019-09-24",18.18
"757","2019-09-25",18.27
"758","2019-09-26",17.969999
"759","2019-09-27",17.51
"760","2019-09-30",17.51
"761","2019-10-01",17.459999
"762","2019-10-02",16.879999
"763","2019-10-03",17.5
"764","2019-10-04",18.049999
"765","2019-10-07",18.129999
"766","2019-10-08",17.59
"767","2019-10-09",17.530001
"768","2019-10-10",17.059999
"769","2019-10-11",17.139999
"770","2019-10-14",17.59
"771","2019-10-15",17.52
"772","2019-10-16",17.700001
"773","2019-10-17",18.030001
"774","2019-10-18",17.67
"775","2019-10-21",17.370001
"776","2019-10-22",16.9
"777","2019-10-23",16.68
"778","2019-10-24",16.58
"779","2019-10-25",16.809999
"780","2019-10-28",17.360001
"781","2019-10-29",17.77
"782","2019-10-30",17.540001
"783","2019-10-31",16.799999
"784","2019-11-01",17.4
"785","2019-11-04",17.84
"786","2019-11-05",17.370001
"787","2019-11-06",17.889999
"788","2019-11-07",17.290001
"789","2019-11-08",17.120001
"790","2019-11-11",16.799999
"791","2019-11-12",18.440001
"792","2019-11-13",17.09
"793","2019-11-14",16.389999
"794","2019-11-15",16.379999
"795","2019-11-18",16.790001
"796","2019-11-19",17.26
"797","2019-11-20",17.139999
"798","2019-11-21",16.85
"799","2019-11-22",16.74
"800","2019-11-25",16.469999
"801","2019-11-26",16.42
"802","2019-11-27",16.389999
"803","2019-11-29",16.57
"804","2019-12-02",16.379999
"805","2019-12-03",15.56
"806","2019-12-04",15.58
"807","2019-12-05",14.91
"808","2019-12-06",15.26
"809","2019-12-09",15.16
"810","2019-12-10",14.84
"811","2019-12-11",14.69
"812","2019-12-12",14.75
"813","2019-12-13",14.84
"814","2019-12-16",15.5
"815","2019-12-17",15.75
"816","2019-12-18",15.44
"817","2019-12-19",15.27
"818","2019-12-20",15.77
"819","2019-12-23",15.69
"820","2019-12-24",15.81
"821","2019-12-26",15.74
"822","2019-12-27",15.96
"823","2019-12-30",15.72
"824","2019-12-31",16.129999
"825","2020-01-02",15.7
"826","2020-01-03",15.71
"827","2020-01-06",15.68
"828","2020-01-07",14.86
"829","2020-01-08",15.19
"830","2020-01-09",15.46
"831","2020-01-10",15.33
"832","2020-01-13",15.39
"833","2020-01-14",15.12
"834","2020-01-15",14.72
"835","2020-01-16",14.75
"836","2020-01-17",15.14
"837","2020-01-21",15.86
"838","2020-01-22",15.5
"839","2020-01-23",15.02
"840","2020-01-24",14.92
"841","2020-01-27",15.34
"842","2020-01-28",15.66
"843","2020-01-29",15.71
"844","2020-01-30",15.52
"845","2020-01-31",15.68
"846","2020-02-03",16.299999
"847","2020-02-04",17.129999
"848","2020-02-05",17.34
"849","2020-02-06",18.93
"850","2020-02-07",18.959999
"851","2020-02-10",18.959999
"852","2020-02-11",18.74
"853","2020-02-12",19.059999
"854","2020-02-13",19.84
"855","2020-02-14",19.75
"856","2020-02-18",19.690001
"857","2020-02-19",19.52
"858","2020-02-20",19.200001
"859","2020-02-21",19.07
"860","2020-02-24",18.15
"861","2020-02-25",17.49
"862","2020-02-26",17.209999
"863","2020-02-27",16.200001
"864","2020-02-28",15.96
"865","2020-03-02",16.51
"866","2020-03-03",16.280001
"867","2020-03-04",16.690001
"868","2020-03-05",16.049999
"869","2020-03-06",15.65
"870","2020-03-09",14.04
"871","2020-03-10",14.62
"872","2020-03-11",13.69
"873","2020-03-12",11.99
"874","2020-03-13",11.71
"875","2020-03-16",9.22
"876","2020-03-17",8.5
"877","2020-03-18",8.13
"878","2020-03-19",8.57
"879","2020-03-20",8.73
"880","2020-03-23",9.26
"881","2020-03-24",9.38
"882","2020-03-25",10.3
"883","2020-03-26",11.26
"884","2020-03-27",10.33
"885","2020-03-30",9.99
"886","2020-03-31",9.84
"887","2020-04-01",9.37
"888","2020-04-02",8.95
"889","2020-04-03",8.4
"890","2020-04-06",9.7
"891","2020-04-07",9.49
"892","2020-04-08",11.05
"893","2020-04-09",10.76
"894","2020-04-13",10.57
"895","2020-04-14",11.43
"896","2020-04-15",10.62
"897","2020-04-16",9.95
"898","2020-04-17",10.39
"899","2020-04-20",10.52
"900","2020-04-21",10.55
"901","2020-04-22",10.86
"902","2020-04-23",11.2
"903","2020-04-24",10.67
"904","2020-04-27",11.31
"905","2020-04-28",12.5
"906","2020-04-29",13.17
"907","2020-04-30",13.07
"908","2020-05-01",12.5
"909","2020-05-04",12.47
"910","2020-05-05",12.7
"911","2020-05-06",12.56
"912","2020-05-07",12.99
"913","2020-05-08",13.48
"914","2020-05-11",13.55
"915","2020-05-12",13.87
"916","2020-05-13",12.87
"917","2020-05-14",13.03
"918","2020-05-15",13.78
"919","2020-05-18",14.84
"920","2020-05-19",13.93
"921","2020-05-20",14.22
"922","2020-05-21",14.43
"923","2020-05-22",16.860001
"924","2020-05-26",16.68
"925","2020-05-27",17.299999
"926","2020-05-28",16.57
"927","2020-05-29",17.139999
"928","2020-06-01",16.75
"929","2020-06-02",16.860001
"930","2020-06-03",17.280001
"931","2020-06-04",17.639999
"932","2020-06-05",17.629999
"933","2020-06-08",18.709999
"934","2020-06-09",18.370001
"935","2020-06-10",17.65
"936","2020-06-11",16.58
"937","2020-06-12",16.9
"938","2020-06-15",16.959999
"939","2020-06-16",17.389999
"940","2020-06-17",17.84
"941","2020-06-18",18.32
"942","2020-06-19",18.200001
"943","2020-06-22",18
"944","2020-06-23",18.17
"945","2020-06-24",17.41
"946","2020-06-25",18.6
"947","2020-06-26",17.879999
"948","2020-06-29",18.74
"949","2020-06-30",19.07
"950","2020-07-01",18.09
"951","2020-07-02",18.85
"952","2020-07-06",19.059999
"953","2020-07-07",19.74
"954","2020-07-08",20.809999
"955","2020-07-09",19.879999
"956","2020-07-10",20.059999
"957","2020-07-13",19.32
"958","2020-07-14",19.18
"959","2020-07-15",19.459999
"960","2020-07-16",19.48
"961","2020-07-17",19.459999
"962","2020-07-20",18.82
"963","2020-07-21",18.790001
"964","2020-07-22",18.389999
"965","2020-07-23",18.049999
"966","2020-07-24",17.83
"967","2020-07-27",17.58
"968","2020-07-28",17.75
"969","2020-07-29",18.129999
"970","2020-07-30",17.99
"971","2020-07-31",17.860001
"972","2020-08-03",18.690001
"973","2020-08-04",18.16
"974","2020-08-05",18.959999
"975","2020-08-06",20.540001
"976","2020-08-07",20.01
"977","2020-08-10",20.030001
