"","date","OR"
"1001","2020-06-25",9.79
"1002","2020-06-26",9.68
"1003","2020-06-29",9.66
"1004","2020-06-30",10
"1005","2020-07-01",9.94
"1006","2020-07-02",9.95
"1007","2020-07-06",10.34
"1008","2020-07-07",10.63
"1009","2020-07-08",10.72
"1010","2020-07-09",10.73
"1011","2020-07-10",10.57
"1012","2020-07-13",10.27
"1013","2020-07-14",10.63
"1014","2020-07-15",10.91
"1015","2020-07-16",10.6
"1016","2020-07-17",10.77
"1017","2020-07-20",11.1
"1018","2020-07-21",11.4
"1019","2020-07-22",11.44
"1020","2020-07-23",11.18
"1021","2020-07-24",11.45
"1022","2020-07-27",11.83
"1023","2020-07-28",11.92
"1024","2020-07-29",11.73
"1025","2020-07-30",11.37
"1026","2020-07-31",11.73
"1027","2020-08-03",11.62
"1028","2020-08-04",12.3
"1029","2020-08-05",12.45
"1030","2020-08-06",11.83
"1031","2020-08-07",11.52
"1032","2020-08-10",11.42
"1033","2020-08-11",10.99
"1034","2020-08-12",10.77
"1035","2020-08-13",11.11
"1036","2020-08-14",10.94
"1037","2020-08-17",11.7
"1038","2020-08-18",11.76
"1039","2020-08-19",11.49
"1040","2020-08-20",11.8
"1041","2020-08-21",11.53
"1042","2020-08-24",11.51
"1043","2020-08-25",11.5
"1044","2020-08-26",11.79
"1045","2020-08-27",11.65
"1046","2020-08-28",12.09
"1047","2020-08-31",12.3
"1048","2020-09-01",12.18
"1049","2020-09-02",12.16
"1050","2020-09-03",12.15
"1051","2020-09-04",11.8
"1052","2020-09-08",11.78
"1053","2020-09-09",12.44
"1054","2020-09-10",12.49
"1055","2020-09-11",12.68
"1056","2020-09-14",13
"1057","2020-09-15",13.1
"1058","2020-09-16",13.12
"1059","2020-09-17",13.11
"1060","2020-09-18",13.03
"1061","2020-09-21",12.57
"1062","2020-09-22",12.41
"1063","2020-09-23",11.48
"1064","2020-09-24",11.78
"1065","2020-09-25",11.7
"1066","2020-09-28",11.84
"1067","2020-09-29",11.91
"1068","2020-09-30",11.83
"1069","2020-10-01",11.97
"1070","2020-10-02",11.76
"1071","2020-10-05",11.93
"1072","2020-10-06",12.05
"1073","2020-10-07",11.81
"1074","2020-10-08",11.97
"1075","2020-10-09",12.55
"1076","2020-10-12",12.39
"1077","2020-10-13",12.2
"1078","2020-10-14",12.43
"1079","2020-10-15",12.29
"1080","2020-10-16",12.01
"1081","2020-10-19",11.83
"1082","2020-10-20",11.89
"1083","2020-10-21",12.17
"1084","2020-10-22",12.06
"1085","2020-10-23",11.93
"1086","2020-10-26",11.85
"1087","2020-10-27",12.09
"1088","2020-10-28",11.05
"1089","2020-10-29",11.12
"1090","2020-10-30",11.18
"1091","2020-11-02",11.66
"1092","2020-11-03",11.71
"1093","2020-11-04",11.48
"1094","2020-11-05",12.28
"1095","2020-11-06",12.44
"1096","2020-11-09",11.63
"1097","2020-11-10",11.24
"1098","2020-11-11",11.23
"1099","2020-11-12",11.49
"1100","2020-11-13",11.45
"1101","2020-11-16",11.2
"1102","2020-11-17",11.14
"1103","2020-11-18",10.81
"1104","2020-11-19",10.68
"1105","2020-11-20",10.89
"1106","2020-11-23",10.6
"1107","2020-11-24",10.46
"1108","2020-11-25",10.55
"1109","2020-11-27",10.78
