"","date","EGBN"
"340","2008-05-08",8.446281
"341","2008-05-09",8.38843
"342","2008-05-12",8.264462
"343","2008-05-13",8.305785
"344","2008-05-14",8.31405
"345","2008-05-15",8.429752
"346","2008-05-16",8.264462
"347","2008-05-19",8.272727
"348","2008-05-20",8.454545
"349","2008-05-21",8.347108
"350","2008-05-22",8.421488
"351","2008-05-23",8.355371
"352","2008-05-27",8.338843
"353","2008-05-28",8.371901
"354","2008-05-29",8.471074
"355","2008-05-30",9.231405
"356","2008-06-02",9.090909
"357","2008-06-03",8.983471
"358","2008-06-04",8.983471
"359","2008-06-05",8.983471
"360","2008-06-06",8.983471
"361","2008-06-09",8.677686
"362","2008-06-10",8.76033
"363","2008-06-11",8.677686
"364","2008-06-12",8.471074
"365","2008-06-13",8.363636
"366","2008-06-16",8.561983
"367","2008-06-17",8.801653
"368","2008-06-18",8.396694
"369","2008-06-19",8.479339
"370","2008-06-20",8.31405
"371","2008-06-23",8.264462
"372","2008-06-24",8.099174
"373","2008-06-25",8.090909
"374","2008-06-26",8.768595
"375","2008-06-27",8.23967
"376","2008-06-30",7.644628
"377","2008-07-01",7.338843
"378","2008-07-02",7.322314
"379","2008-07-03",7.471075
"380","2008-07-07",7.479339
"381","2008-07-08",7.289256
"382","2008-07-09",7.289256
"383","2008-07-10",6.603306
"384","2008-07-11",6.413223
"385","2008-07-14",6.495868
"386","2008-07-15",6.495868
"387","2008-07-16",5.85124
"388","2008-07-17",6.14876
"389","2008-07-18",5.991735
"390","2008-07-21",6.380165
"391","2008-07-22",6.644628
"392","2008-07-23",7.31405
"393","2008-07-24",6.702479
"394","2008-07-25",6.85124
"395","2008-07-28",6.859504
"396","2008-07-29",6.702479
"397","2008-07-30",6.652893
"398","2008-07-31",6.652893
"399","2008-08-01",6.859504
"400","2008-08-04",6.619835
"401","2008-08-05",6.404959
"402","2008-08-06",6.454545
"403","2008-08-07",6.371901
"404","2008-08-08",6.239669
"405","2008-08-11",6.603306
"406","2008-08-12",6.570248
"407","2008-08-13",6.834711
"408","2008-08-14",6.619835
"409","2008-08-15",6.669422
"410","2008-08-18",6.214876
"411","2008-08-19",6.785124
"412","2008-08-20",6.776859
"413","2008-08-21",6.322314
"414","2008-08-22",6.818182
"415","2008-08-25",6.446281
"416","2008-08-26",6.809917
"417","2008-08-27",6.818182
"418","2008-08-28",7.173554
"419","2008-08-29",6.892562
"420","2008-09-02",6.892562
"421","2008-09-03",7.024794
"422","2008-09-04",7.024794
"423","2008-09-05",6.867769
"424","2008-09-08",6.867769
"425","2008-09-09",7.024794
"426","2008-09-10",7.07438
"427","2008-09-11",7.933884
"428","2008-09-12",8.53719
"429","2008-09-15",8.31405
"430","2008-09-16",8.690909
"431","2008-09-17",8.227273
"432","2008-09-18",8.345454
"433","2008-09-19",8.418181
"434","2008-09-22",7.309091
"435","2008-09-23",8.181818
"436","2008-09-24",7.327273
"437","2008-09-25",7.609091
"438","2008-09-26",8.127273
"439","2008-09-29",7.9
"440","2008-09-30",7.636364
"441","2008-10-01",7.390909
"442","2008-10-02",7.318182
"443","2008-10-03",6.863636
"444","2008-10-06",6.181818
"445","2008-10-07",6
"446","2008-10-08",6.363636
"447","2008-10-09",6.363636
"448","2008-10-10",6.181818
"449","2008-10-13",6.272727
"450","2008-10-14",7.627273
"451","2008-10-15",7.236363
"452","2008-10-16",7.236363
"453","2008-10-17",7.272727
"454","2008-10-20",7.181818
"455","2008-10-21",6.381818
"456","2008-10-22",6.363636
"457","2008-10-23",7.227273
"458","2008-10-24",7.227273
"459","2008-10-27",6.736363
"460","2008-10-28",6.363636
"461","2008-10-29",7.227273
"462","2008-10-30",7.045455
"463","2008-10-31",7.081818
"464","2008-11-03",7.272727
"465","2008-11-04",5.545455
"466","2008-11-05",6.818182
"467","2008-11-06",7.109091
"468","2008-11-07",7.109091
"469","2008-11-10",7.109091
"470","2008-11-11",6.590909
"471","2008-11-12",6.409091
"472","2008-11-13",6.809091
"473","2008-11-14",6.818182
"474","2008-11-17",6.581818
"475","2008-11-18",6.563636
"476","2008-11-19",6.318182
"477","2008-11-20",6.272727
"478","2008-11-21",5.654545
"479","2008-11-24",5.909091
"480","2008-11-25",6.354546
"481","2008-11-26",5.690909
"482","2008-11-28",5.818182
"483","2008-12-01",5.818182
"484","2008-12-02",5.890909
"485","2008-12-03",5.772727
"486","2008-12-04",5.709091
"487","2008-12-05",5.590909
"488","2008-12-08",5.818182
"489","2008-12-09",5.818182
"490","2008-12-10",5.818182
"491","2008-12-11",5.590909
"492","2008-12-12",5.318182
"493","2008-12-15",5.554545
"494","2008-12-16",6.136364
"495","2008-12-17",5.863636
"496","2008-12-18",5.781818
"497","2008-12-19",5.463636
"498","2008-12-22",5.509091
"499","2008-12-23",5.636364
"500","2008-12-24",6
"501","2008-12-26",5.681818
"502","2008-12-29",5.409091
"503","2008-12-30",5.454545
"504","2008-12-31",5.227273
"505","2009-01-02",5.545455
"506","2009-01-05",5.518182
"507","2009-01-06",5.709091
"508","2009-01-07",5.890909
"509","2009-01-08",5.818182
"510","2009-01-09",5.709091
"511","2009-01-12",5.754546
"512","2009-01-13",5.954545
"513","2009-01-14",5.754546
"514","2009-01-15",5.981818
"515","2009-01-16",6.227273
"516","2009-01-20",6.227273
"517","2009-01-21",5.5
"518","2009-01-22",5.481818
"519","2009-01-23",5.318182
"520","2009-01-26",5.281818
"521","2009-01-27",5.227273
"522","2009-01-28",5.227273
"523","2009-01-29",5.318182
"524","2009-01-30",5.318182
"525","2009-02-02",5.290909
"526","2009-02-03",5.290909
"527","2009-02-04",5.327273
"528","2009-02-05",5.318182
"529","2009-02-06",5.545455
"530","2009-02-09",5.290909
"531","2009-02-10",5.454545
"532","2009-02-11",5.454545
"533","2009-02-12",5.454545
"534","2009-02-13",5.409091
"535","2009-02-17",5.681818
"536","2009-02-18",6.109091
"537","2009-02-19",5.681818
"538","2009-02-20",5.545455
"539","2009-02-23",5.454545
