"","date","PEGA"
"677","2009-09-09",15.57
"678","2009-09-10",15.525
"679","2009-09-11",15.475
"680","2009-09-14",16.389999
"681","2009-09-15",16.245001
"682","2009-09-16",16.889999
"683","2009-09-17",16.16
"684","2009-09-18",16.629999
"685","2009-09-21",17.025
"686","2009-09-22",16.790001
"687","2009-09-23",17.004999
"688","2009-09-24",16.495001
"689","2009-09-25",16.625
"690","2009-09-28",17.465
"691","2009-09-29",17.365
"692","2009-09-30",17.264999
"693","2009-10-01",16.34
"694","2009-10-02",16
"695","2009-10-05",16.594999
"696","2009-10-06",16.940001
"697","2009-10-07",17.030001
"698","2009-10-08",17.205
"699","2009-10-09",17.465
"700","2009-10-12",17.415001
"701","2009-10-13",17.26
"702","2009-10-14",17.325001
"703","2009-10-15",17.309999
"704","2009-10-16",17.4
"705","2009-10-19",17.41
"706","2009-10-20",17.15
"707","2009-10-21",16.855
"708","2009-10-22",16.860001
"709","2009-10-23",16.379999
"710","2009-10-26",16.514999
"711","2009-10-27",15.35
"712","2009-10-28",14.175
"713","2009-10-29",14.65
"714","2009-10-30",14.335
"715","2009-11-02",14.09
"716","2009-11-03",14.31
"717","2009-11-04",13.875
"718","2009-11-05",14.695
"719","2009-11-06",15.32
"720","2009-11-09",15.785
"721","2009-11-10",15.82
"722","2009-11-11",16.1
"723","2009-11-12",15.83
"724","2009-11-13",15.965
"725","2009-11-16",16.295
"726","2009-11-17",16.174999
"727","2009-11-18",16.055
"728","2009-11-19",15.4
"729","2009-11-20",15.295
"730","2009-11-23",15.41
"731","2009-11-24",15.16
"732","2009-11-25",15.09
"733","2009-11-27",14.61
"734","2009-11-30",14.365
"735","2009-12-01",14.49
"736","2009-12-02",14.385
"737","2009-12-03",14.405
"738","2009-12-04",14.74
"739","2009-12-07",14.65
"740","2009-12-08",14.515
"741","2009-12-09",14.725
"742","2009-12-10",14.85
"743","2009-12-11",14.85
"744","2009-12-14",16.290001
"745","2009-12-15",16.145
"746","2009-12-16",16.135
"747","2009-12-17",15.845
"748","2009-12-18",16.18
"749","2009-12-21",16.879999
"750","2009-12-22",16.955
"751","2009-12-23",17.245001
"752","2009-12-24",17.299999
"753","2009-12-28",17.93
"754","2009-12-29",17.610001
"755","2009-12-30",17.434999
"756","2009-12-31",17
"757","2010-01-04",17.475
"758","2010-01-05",17.35
"759","2010-01-06",17.09
"760","2010-01-07",16.709999
"761","2010-01-08",16.605
"762","2010-01-11",17.27
"763","2010-01-12",17.25
"764","2010-01-13",17.625
"765","2010-01-14",17.584999
"766","2010-01-15",17.145
"767","2010-01-19",17.504999
"768","2010-01-20",17.344999
"769","2010-01-21",17.065001
"770","2010-01-22",16.59
"771","2010-01-25",16.465
"772","2010-01-26",17.365
"773","2010-01-27",18.610001
