"","date","DXC"
"634","2009-07-09",21.194069
"635","2009-07-10",21.199038
"636","2009-07-13",21.586552
"637","2009-07-14",21.72566
"638","2009-07-15",22.147951
"639","2009-07-16",22.565275
"640","2009-07-17",22.550371
"641","2009-07-20",22.838522
"642","2009-07-21",23.186293
"643","2009-07-22",23.067057
"644","2009-07-23",23.380051
"645","2009-07-24",23.265783
"646","2009-07-27",23.265783
"647","2009-07-28",23.707947
"648","2009-07-29",23.822214
"649","2009-07-30",24.085526
"650","2009-07-31",23.931513
"651","2009-08-03",24.15011
"652","2009-08-04",24.224632
"653","2009-08-05",24.110365
"654","2009-08-06",24.169983
"655","2009-08-07",24.567434
"656","2009-08-10",24.701574
"657","2009-08-11",24.328964
"658","2009-08-12",24.815842
"659","2009-08-13",24.954948
"660","2009-08-14",24.671764
"661","2009-08-17",24.105398
"662","2009-08-18",24.070621
"663","2009-08-19",24.373676
"664","2009-08-20",24.279282
"665","2009-08-21",24.681702
"666","2009-08-24",24.676733
"667","2009-08-25",24.810873
"668","2009-08-26",24.890364
"669","2009-08-27",24.721447
"670","2009-08-28",24.676733
"671","2009-08-31",24.269346
"672","2009-09-01",23.7775
"673","2009-09-02",23.534061
"674","2009-09-03",23.817245
"675","2009-09-04",24.115334
"676","2009-09-08",24.199793
"677","2009-09-09",24.52272
"678","2009-09-10",24.840681
"679","2009-09-11",25.282846
"680","2009-09-14",25.769724
"681","2009-09-15",25.744883
"682","2009-09-16",26.296347
"683","2009-09-17",25.958513
"684","2009-09-18",26.033035
"685","2009-09-21",25.898895
"686","2009-09-22",25.834309
"687","2009-09-23",25.690233
"688","2009-09-24",25.43189
"689","2009-09-25",25.233164
"690","2009-09-28",26.430485
"691","2009-09-29",26.455326
"692","2009-09-30",26.187046
"693","2009-10-01",25.531252
"694","2009-10-02",25.208324
"695","2009-10-05",25.45673
"696","2009-10-06",25.715075
"697","2009-10-07",25.615711
"698","2009-10-08",26.062843
"699","2009-10-09",26.087685
"700","2009-10-12",26.192015
"701","2009-10-13",26.192015
"702","2009-10-14",27.021694
"703","2009-10-15",26.574562
"704","2009-10-16",26.3659
"705","2009-10-19",26.659019
"706","2009-10-20",26.360931
"707","2009-10-21",26.187046
"708","2009-10-22",26.385773
"709","2009-10-23",25.72501
"710","2009-10-26",25.546158
"711","2009-10-27",25.377241
"712","2009-10-28",24.945013
"713","2009-10-29",25.466667
"714","2009-10-30",25.19342
"715","2009-11-02",25.258005
"716","2009-11-03",25.43189
"717","2009-11-04",25.561062
"718","2009-11-05",26.182079
"719","2009-11-06",26.132397
"720","2009-11-09",26.902458
"721","2009-11-10",26.728573
"722","2009-11-11",27.126024
"723","2009-11-12",26.783222
"724","2009-11-13",26.808064
"725","2009-11-16",27.329718
"726","2009-11-17",27.40424
"727","2009-11-18",27.319782
"728","2009-11-19",27.056471
"729","2009-11-20",26.991884
"730","2009-11-23",27.488699
"731","2009-11-24",27.409208
"732","2009-11-25",27.528444
"733","2009-11-27",26.957108
"734","2009-11-30",27.478762
"735","2009-12-01",27.602966
"736","2009-12-02",27.687424
"737","2009-12-03",27.389336
"738","2009-12-04",27.67252
"739","2009-12-07",27.642712
"740","2009-12-08",27.34959
"741","2009-12-09",27.513538
"742","2009-12-10",27.682455
"743","2009-12-11",27.712265
"744","2009-12-14",28.04513
"745","2009-12-15",27.851372
"746","2009-12-16",28.025257
"747","2009-12-17",27.756977
"748","2009-12-18",27.67252
"749","2009-12-21",27.891117
"750","2009-12-22",28.238888
"751","2009-12-23",28.626402
"752","2009-12-24",28.785381
"753","2009-12-28",28.879776
"754","2009-12-29",28.79035
"755","2009-12-30",28.869841
"756","2009-12-31",28.581688
"757","2010-01-04",28.68602
"758","2010-01-05",28.676083
"759","2010-01-06",28.780415
"760","2010-01-07",28.492262
"761","2010-01-08",28.41774
"762","2010-01-11",28.243855
"763","2010-01-12",27.935831
"764","2010-01-13",28.228951
"765","2010-01-14",28.323345
"766","2010-01-15",27.801691
"767","2010-01-19",28.323345
"768","2010-01-20",28.065002
"769","2010-01-21",27.319782
"770","2010-01-22",26.445391
"771","2010-01-25",26.430485
"772","2010-01-26",26.201952
"773","2010-01-27",26.047939
"774","2010-01-28",25.903864
"775","2010-01-29",25.48654
"776","2010-02-01",26.087685
"777","2010-02-02",26.360931
"778","2010-02-03",26.266537
"779","2010-02-04",25.481571
"780","2010-02-05",25.516348
"781","2010-02-08",25.675329
"782","2010-02-09",26.082716
"783","2010-02-10",25.898895
"784","2010-02-11",25.948576
"785","2010-02-12",25.471636
"786","2010-02-16",25.928703
"787","2010-02-17",25.85915
"788","2010-02-18",25.983353
"789","2010-02-19",26.057875
"790","2010-02-22",25.983353
"791","2010-02-23",25.923735
"792","2010-02-24",25.784628
"793","2010-02-25",25.536221
"794","2010-02-26",25.729979
"795","2010-03-01",26.057875
"796","2010-03-02",26.112524
"797","2010-03-03",25.988321
"798","2010-03-04",25.829342
"799","2010-03-05",26.311251
"800","2010-03-08",26.405645
"801","2010-03-09",26.475199
"802","2010-03-10",26.609339
"803","2010-03-11",26.629211
"804","2010-03-12",26.554689
"805","2010-03-15",26.619274
"806","2010-03-16",26.659019
"807","2010-03-17",27.016726
"808","2010-03-18",27.046534
"809","2010-03-19",27.106152
"810","2010-03-22",27.339655
"811","2010-03-23",27.53838
"812","2010-03-24",27.265133
"813","2010-03-25",27.230356
"814","2010-03-26",27.116089
"815","2010-03-29",27.309845
"816","2010-03-30",27.319782
"817","2010-03-31",27.071375
"818","2010-04-01",26.952139
"819","2010-04-05",26.847809
"820","2010-04-06",26.773287
"821","2010-04-07",26.713669
"822","2010-04-08",26.659019
"823","2010-04-09",27.081312
"824","2010-04-12",27.235323
"825","2010-04-13",27.280037
"826","2010-04-14",27.593029
"827","2010-04-15",27.67252
"828","2010-04-16",27.424112
"829","2010-04-19",27.250229
"830","2010-04-20",27.43405
"831","2010-04-21",27.463858
"832","2010-04-22",27.493666
"833","2010-04-23",27.627806
"834","2010-04-26",27.533411
"835","2010-04-27",26.887554
"836","2010-04-28",26.574562
"837","2010-04-29",26.693796
