"","date","PULM"
"694","2016-12-19",6.64
"695","2016-12-20",6.2
"696","2016-12-21",5.9
"697","2016-12-22",6
"698","2016-12-23",6.2
"699","2016-12-27",6.2
"700","2016-12-28",6
"701","2016-12-29",5.8
"702","2016-12-30",5.9
"703","2017-01-03",6
"704","2017-01-04",6.1
"705","2017-01-05",5.9
"706","2017-01-06",6.4
"707","2017-01-09",5.99
"708","2017-01-10",5.51
"709","2017-01-11",6.6
"710","2017-01-12",6.7
"711","2017-01-13",6.8
"712","2017-01-17",15.5
"713","2017-01-18",10.1
"714","2017-01-19",9.2
"715","2017-01-20",11.5
"716","2017-01-23",10.4
"717","2017-01-24",11.11
"718","2017-01-25",16.4
"719","2017-01-26",22.200001
"720","2017-01-27",33.700001
"721","2017-01-30",26.5
"722","2017-01-31",21.5
"723","2017-02-01",37.299999
"724","2017-02-02",51
"725","2017-02-03",38.599998
"726","2017-02-06",49.799999
"727","2017-02-07",49.200001
"728","2017-02-08",49.299999
"729","2017-02-09",49.5
"730","2017-02-10",46.799999
"731","2017-02-13",43.400002
"732","2017-02-14",41
"733","2017-02-15",41.099998
"734","2017-02-16",42
"735","2017-02-17",40.099998
"736","2017-02-21",35.900002
"737","2017-02-22",35
"738","2017-02-23",40
"739","2017-02-24",41.400002
"740","2017-02-27",45.799999
"741","2017-02-28",41
"742","2017-03-01",40.799999
"743","2017-03-02",41.599998
"744","2017-03-03",39.299999
"745","2017-03-06",37
"746","2017-03-07",35.700001
"747","2017-03-08",35.5
"748","2017-03-09",35
"749","2017-03-10",33.5
"750","2017-03-13",32.200001
"751","2017-03-14",27.6
"752","2017-03-15",25.200001
"753","2017-03-16",23.4
"754","2017-03-17",30.9
"755","2017-03-20",27.799999
"756","2017-03-21",38.799999
"757","2017-03-22",39
"758","2017-03-23",36
"759","2017-03-24",35.400002
"760","2017-03-27",34.700001
"761","2017-03-28",32
"762","2017-03-29",32.299999
"763","2017-03-30",33.900002
"764","2017-03-31",34.900002
"765","2017-04-03",33
"766","2017-04-04",31.200001
"767","2017-04-05",30.200001
"768","2017-04-06",30.4
"769","2017-04-07",30
"770","2017-04-10",30.799999
"771","2017-04-11",31
"772","2017-04-12",30.700001
"773","2017-04-13",30.299999
"774","2017-04-17",30.1
"775","2017-04-18",28.5
"776","2017-04-19",28.799999
"777","2017-04-20",29.16
"778","2017-04-21",28.6
"779","2017-04-24",27.6
"780","2017-04-25",26.77
"781","2017-04-26",28.9
"782","2017-04-27",28.299999
"783","2017-04-28",27.6
"784","2017-05-01",27
"785","2017-05-02",27.299999
"786","2017-05-03",28.5
"787","2017-05-04",29.1
"788","2017-05-05",28.799999
"789","2017-05-08",28.1
"790","2017-05-09",26.6
"791","2017-05-10",26.4
"792","2017-05-11",25.4
"793","2017-05-12",25.1
"794","2017-05-15",24.4
"795","2017-05-16",23.299999
"796","2017-05-17",27.700001
"797","2017-05-18",27.799999
"798","2017-05-19",27.6
"799","2017-05-22",27.4
"800","2017-05-23",27.4
"801","2017-05-24",28.299999
"802","2017-05-25",27.809999
"803","2017-05-26",26.450001
"804","2017-05-30",25.9
"805","2017-05-31",25.4
"806","2017-06-01",25.6
"807","2017-06-02",26.6
"808","2017-06-05",26
"809","2017-06-06",25.5
"810","2017-06-07",25.6
"811","2017-06-08",26
"812","2017-06-09",26.299999
"813","2017-06-12",25.200001
"814","2017-06-13",23.9
"815","2017-06-14",24.6
"816","2017-06-15",24.200001
"817","2017-06-16",24
"818","2017-06-19",24
"819","2017-06-20",24.5
"820","2017-06-21",23.799999
"821","2017-06-22",24.9
"822","2017-06-23",26.4
"823","2017-06-26",25
"824","2017-06-27",24
"825","2017-06-28",24.299999
"826","2017-06-29",23.9
"827","2017-06-30",23.799999
"828","2017-07-03",23.6
"829","2017-07-05",24
"830","2017-07-06",24.1
"831","2017-07-07",23.6
"832","2017-07-10",23.799999
"833","2017-07-11",23.5
"834","2017-07-12",23.9
"835","2017-07-13",23.9
"836","2017-07-14",23.9
"837","2017-07-17",24.200001
"838","2017-07-18",23.9
"839","2017-07-19",24.200001
"840","2017-07-20",23.700001
"841","2017-07-21",24
"842","2017-07-24",23.4
"843","2017-07-25",23.4
"844","2017-07-26",23.1
"845","2017-07-27",23.200001
"846","2017-07-28",23
"847","2017-07-31",22.799999
"848","2017-08-01",20.700001
"849","2017-08-02",19.700001
"850","2017-08-03",18.85
"851","2017-08-04",18
"852","2017-08-07",16.700001
"853","2017-08-08",17.139999
"854","2017-08-09",16.200001
"855","2017-08-10",14.8
"856","2017-08-11",14.7
"857","2017-08-14",16.5
"858","2017-08-15",18.700001
"859","2017-08-16",17.4
"860","2017-08-17",17.15
"861","2017-08-18",17
"862","2017-08-21",16.700001
"863","2017-08-22",16.98
"864","2017-08-23",17.4
"865","2017-08-24",17.200001
"866","2017-08-25",17.299999
"867","2017-08-28",17.4
"868","2017-08-29",17.9
"869","2017-08-30",17.5
"870","2017-08-31",17.200001
"871","2017-09-01",17.700001
"872","2017-09-05",24.700001
"873","2017-09-06",21
"874","2017-09-07",20.299999
"875","2017-09-08",21.35
"876","2017-09-11",21.200001
"877","2017-09-12",20.9
"878","2017-09-13",20
"879","2017-09-14",19.5
"880","2017-09-15",17.799999
"881","2017-09-18",19.5
"882","2017-09-19",20.1
"883","2017-09-20",20.91
"884","2017-09-21",20.4
"885","2017-09-22",20.1
"886","2017-09-25",20.799999
"887","2017-09-26",21.9
"888","2017-09-27",21.200001
"889","2017-09-28",20.700001
"890","2017-09-29",20.5
"891","2017-10-02",21.200001
"892","2017-10-03",21.799999
"893","2017-10-04",21.799999
"894","2017-10-05",21.5
"895","2017-10-06",21.4
"896","2017-10-09",21.9
"897","2017-10-10",21.5
"898","2017-10-11",21.799999
"899","2017-10-12",21
"900","2017-10-13",21.200001
"901","2017-10-16",20.700001
"902","2017-10-17",19.9
"903","2017-10-18",19.200001
"904","2017-10-19",18.299999
"905","2017-10-20",19
"906","2017-10-23",18.5
"907","2017-10-24",17.6
"908","2017-10-25",16.700001
"909","2017-10-26",17.200001
"910","2017-10-27",17.4
"911","2017-10-30",17.299999
"912","2017-10-31",17.5
"913","2017-11-01",16.700001
"914","2017-11-02",15.1
"915","2017-11-03",15.7
"916","2017-11-06",15.5
"917","2017-11-07",15.1
"918","2017-11-08",15.5
