"","date","MSBI"
"707","2019-03-15",24.950001
"708","2019-03-18",25.139999
"709","2019-03-19",24.65
"710","2019-03-20",24.33
"711","2019-03-21",24.51
"712","2019-03-22",22.969999
"713","2019-03-25",23.049999
"714","2019-03-26",23.76
"715","2019-03-27",23.870001
"716","2019-03-28",24.35
"717","2019-03-29",24.059999
"718","2019-04-01",24.459999
"719","2019-04-02",24.049999
"720","2019-04-03",25.49
"721","2019-04-04",25.85
"722","2019-04-05",26.049999
"723","2019-04-08",26.139999
"724","2019-04-09",25.75
"725","2019-04-10",26.15
"726","2019-04-11",26.24
"727","2019-04-12",26.6
"728","2019-04-15",26.26
"729","2019-04-16",26.74
"730","2019-04-17",26.790001
"731","2019-04-18",26.43
"732","2019-04-22",26.030001
"733","2019-04-23",26.639999
"734","2019-04-24",26.620001
"735","2019-04-25",26.219999
"736","2019-04-26",27.33
"737","2019-04-29",27.49
"738","2019-04-30",26.82
"739","2019-05-01",26.549999
"740","2019-05-02",26.860001
"741","2019-05-03",27.08
"742","2019-05-06",27.25
"743","2019-05-07",26.6
"744","2019-05-08",26.42
"745","2019-05-09",26.290001
"746","2019-05-10",26.58
"747","2019-05-13",25.74
"748","2019-05-14",25.98
"749","2019-05-15",26
"750","2019-05-16",26.23
"751","2019-05-17",26.059999
"752","2019-05-20",26.18
"753","2019-05-21",26.34
"754","2019-05-22",26.110001
"755","2019-05-23",25
"756","2019-05-24",25.559999
"757","2019-05-28",25.24
"758","2019-05-29",25.15
"759","2019-05-30",24.77
"760","2019-05-31",24.5
"761","2019-06-03",24.610001
"762","2019-06-04",25.299999
"763","2019-06-05",25.030001
"764","2019-06-06",24.66
"765","2019-06-07",24.25
"766","2019-06-10",25
"767","2019-06-11",25.1
"768","2019-06-12",25.059999
"769","2019-06-13",25.34
"770","2019-06-14",25.25
"771","2019-06-17",25.58
"772","2019-06-18",26.17
"773","2019-06-19",26.42
"774","2019-06-20",26.530001
"775","2019-06-21",25.9
"776","2019-06-24",25.690001
"777","2019-06-25",26.15
"778","2019-06-26",25.860001
"779","2019-06-27",26.389999
"780","2019-06-28",26.719999
"781","2019-07-01",26.5
"782","2019-07-02",26.09
"783","2019-07-03",26.23
"784","2019-07-05",26.4
"785","2019-07-08",26.07
"786","2019-07-09",26.110001
"787","2019-07-10",26.059999
"788","2019-07-11",25.969999
"789","2019-07-12",26.26
"790","2019-07-15",26.02
"791","2019-07-16",26.01
"792","2019-07-17",25.530001
"793","2019-07-18",25.6
"794","2019-07-19",25.77
"795","2019-07-22",25.559999
"796","2019-07-23",25.879999
"797","2019-07-24",26.440001
"798","2019-07-25",26.1
"799","2019-07-26",26.559999
"800","2019-07-29",26.969999
"801","2019-07-30",27.120001
"802","2019-07-31",27.120001
"803","2019-08-01",26.24
"804","2019-08-02",26.190001
"805","2019-08-05",25.49
"806","2019-08-06",25.41
"807","2019-08-07",25.709999
"808","2019-08-08",26.200001
"809","2019-08-09",26.030001
"810","2019-08-12",25.639999
"811","2019-08-13",25.950001
"812","2019-08-14",25.450001
"813","2019-08-15",25.42
"814","2019-08-16",26.190001
"815","2019-08-19",26.15
"816","2019-08-20",26.26
"817","2019-08-21",26.370001
"818","2019-08-22",26.450001
"819","2019-08-23",25.32
"820","2019-08-26",25.549999
"821","2019-08-27",25.440001
"822","2019-08-28",25.74
"823","2019-08-29",25.860001
"824","2019-08-30",25.77
"825","2019-09-03",25.49
"826","2019-09-04",25.629999
"827","2019-09-05",25.860001
"828","2019-09-06",25.59
"829","2019-09-09",26.290001
"830","2019-09-10",26.52
"831","2019-09-11",27
"832","2019-09-12",27.040001
"833","2019-09-13",27.49
"834","2019-09-16",27.450001
