"","date","COOP"
"529","2014-05-06",33.599998
"530","2014-05-07",33
"531","2014-05-08",32.759998
"532","2014-05-09",32.759998
"533","2014-05-12",32.16
"534","2014-05-13",32.16
"535","2014-05-14",32.16
"536","2014-05-15",32.040001
"537","2014-05-16",31.200001
"538","2014-05-19",30.719999
"539","2014-05-20",30.959999
"540","2014-05-21",32.16
"541","2014-05-22",34.200001
"542","2014-05-23",34.919998
"543","2014-05-27",34.919998
"544","2014-05-28",34.799999
"545","2014-05-29",35.279999
"546","2014-05-30",35.279999
"547","2014-06-02",34.799999
"548","2014-06-03",34.68
"549","2014-06-04",33.48
"550","2014-06-05",33.119999
"551","2014-06-06",33.84
"552","2014-06-09",33.599998
"553","2014-06-10",33
"554","2014-06-11",34.080002
"555","2014-06-12",36.720001
"556","2014-06-13",35.880001
"557","2014-06-16",35.759998
"558","2014-06-17",34.68
"559","2014-06-18",34.799999
"560","2014-06-19",33.959999
"561","2014-06-20",33.599998
"562","2014-06-23",33.240002
"563","2014-06-24",33.599998
"564","2014-06-25",33.599998
"565","2014-06-26",33
"566","2014-06-27",33.84
"567","2014-06-30",33.959999
"568","2014-07-01",34.560001
"569","2014-07-02",34.919998
"570","2014-07-03",35.040001
"571","2014-07-07",33.720001
"572","2014-07-08",33.48
"573","2014-07-09",33.360001
"574","2014-07-10",33.240002
"575","2014-07-11",33.599998
"576","2014-07-14",33.599998
"577","2014-07-15",33.84
"578","2014-07-16",34.799999
"579","2014-07-17",33.84
"580","2014-07-18",33.599998
"581","2014-07-21",33.240002
"582","2014-07-22",33.360001
"583","2014-07-23",33.119999
"584","2014-07-24",33.240002
"585","2014-07-25",33
"586","2014-07-28",33
"587","2014-07-29",33
"588","2014-07-30",33
"589","2014-07-31",32.639999
"590","2014-08-01",32.400002
"591","2014-08-04",32.400002
"592","2014-08-05",32.279999
"593","2014-08-06",32.279999
"594","2014-08-07",32.279999
"595","2014-08-08",32.52
"596","2014-08-11",32.639999
"597","2014-08-12",32.639999
"598","2014-08-13",32.52
"599","2014-08-14",32.639999
"600","2014-08-15",32.52
"601","2014-08-18",32.759998
"602","2014-08-19",32.52
"603","2014-08-20",33.240002
"604","2014-08-21",33.240002
"605","2014-08-22",34.080002
"606","2014-08-25",33.720001
"607","2014-08-26",32.400002
"608","2014-08-27",33
"609","2014-08-28",32.639999
"610","2014-08-29",33
"611","2014-09-02",33
"612","2014-09-03",32.880001
"613","2014-09-04",32.880001
"614","2014-09-05",32.400002
"615","2014-09-08",32.639999
"616","2014-09-09",32.52
"617","2014-09-10",32.279999
"618","2014-09-11",31.799999
"619","2014-09-12",32.16
"620","2014-09-15",32.16
"621","2014-09-16",31.799999
"622","2014-09-17",31.68
"623","2014-09-18",31.440001
"624","2014-09-19",30.84
"625","2014-09-22",30.48
"626","2014-09-23",29.16
"627","2014-09-24",27.84
"628","2014-09-25",28.200001
"629","2014-09-26",32.279999
"630","2014-09-29",32.279999
"631","2014-09-30",32.040001
"632","2014-10-01",29.4
"633","2014-10-02",29.52
"634","2014-10-03",30
"635","2014-10-06",29.040001
"636","2014-10-07",28.440001
"637","2014-10-08",28.200001
"638","2014-10-09",27.6
"639","2014-10-10",26.040001
"640","2014-10-13",24.6
"641","2014-10-14",25.08
"642","2014-10-15",24.959999
"643","2014-10-16",24.959999
"644","2014-10-17",28.68
"645","2014-10-20",26.52
"646","2014-10-21",26.4
"647","2014-10-22",25.92
"648","2014-10-23",26.76
"649","2014-10-24",27
"650","2014-10-27",27
"651","2014-10-28",26.52
"652","2014-10-29",26.4
"653","2014-10-30",25.440001
"654","2014-10-31",25.799999
"655","2014-11-03",24.360001
"656","2014-11-04",24
"657","2014-11-05",25.440001
"658","2014-11-06",24.959999
"659","2014-11-07",24.48
"660","2014-11-10",24
"661","2014-11-11",24
"662","2014-11-12",23.76
"663","2014-11-13",22.799999
"664","2014-11-14",21.959999
"665","2014-11-17",21
"666","2014-11-18",21
"667","2014-11-19",21.360001
"668","2014-11-20",21
"669","2014-11-21",20.879999
"670","2014-11-24",21.84
"671","2014-11-25",22.200001
"672","2014-11-26",24
"673","2014-11-28",24
"674","2014-12-01",26.4
"675","2014-12-02",24
"676","2014-12-03",24.959999
"677","2014-12-04",24.48
"678","2014-12-05",24.360001
"679","2014-12-08",24.6
"680","2014-12-09",24.120001
"681","2014-12-10",24
"682","2014-12-11",24.120001
"683","2014-12-12",24.24
"684","2014-12-15",23.4
"685","2014-12-16",22.799999
"686","2014-12-17",21.959999
"687","2014-12-18",21.84
"688","2014-12-19",22.559999
"689","2014-12-22",28.08
"690","2014-12-23",25.68
"691","2014-12-24",25.68
"692","2014-12-26",25.200001
"693","2014-12-29",25.200001
"694","2014-12-30",25.32
"695","2014-12-31",24.6
"696","2015-01-02",26.4
"697","2015-01-05",26.4
"698","2015-01-06",26.16
"699","2015-01-07",26.280001
"700","2015-01-08",26.16
"701","2015-01-09",26.280001
"702","2015-01-12",26.280001
"703","2015-01-13",26.16
"704","2015-01-14",26.4
"705","2015-01-15",26.16
"706","2015-01-16",26.16
"707","2015-01-20",26.280001
"708","2015-01-21",26.16
"709","2015-01-22",26.16
"710","2015-01-23",26.4
"711","2015-01-26",25.799999
"712","2015-01-27",25.92
"713","2015-01-28",26.16
"714","2015-01-29",25.799999
"715","2015-01-30",25.799999
"716","2015-02-02",25.799999
"717","2015-02-03",25.799999
"718","2015-02-04",25.92
"719","2015-02-05",25.799999
"720","2015-02-06",26.280001
"721","2015-02-09",26.4
"722","2015-02-10",26.639999
"723","2015-02-11",26.4
"724","2015-02-12",26.4
"725","2015-02-13",26.4
"726","2015-02-17",26.040001
"727","2015-02-18",26.4
"728","2015-02-19",26.16
"729","2015-02-20",26.4
"730","2015-02-23",26.4
"731","2015-02-24",26.4
"732","2015-02-25",27.84
"733","2015-02-26",30.6
"734","2015-02-27",30.6
"735","2015-03-02",30.6
"736","2015-03-03",30.6
"737","2015-03-04",30.24
"738","2015-03-05",29.76
"739","2015-03-06",29.280001
"740","2015-03-09",29.040001
"741","2015-03-10",29.040001
"742","2015-03-11",28.68
"743","2015-03-12",28.559999
"744","2015-03-13",27.84
"745","2015-03-16",28.200001
"746","2015-03-17",28.200001
"747","2015-03-18",28.08
"748","2015-03-19",27.959999
"749","2015-03-20",27.959999
"750","2015-03-23",28.440001
"751","2015-03-24",27.84
"752","2015-03-25",27.48
"753","2015-03-26",27.360001
"754","2015-03-27",27.120001
"755","2015-03-30",27
"756","2015-03-31",26.4
"757","2015-04-01",26.4
"758","2015-04-02",27.24
"759","2015-04-06",28.200001
"760","2015-04-07",28.799999
"761","2015-04-08",29.879999
"762","2015-04-09",29.76
"763","2015-04-10",30
"764","2015-04-13",29.879999
"765","2015-04-14",29.639999
"766","2015-04-15",29.4
"767","2015-04-16",29.76
"768","2015-04-17",29.76
"769","2015-04-20",30
"770","2015-04-21",30.84
"771","2015-04-22",30.6
"772","2015-04-23",31.08
"773","2015-04-24",31.32
"774","2015-04-27",31.799999
"775","2015-04-28",31.200001
"776","2015-04-29",30.959999
"777","2015-04-30",30.959999
"778","2015-05-01",31.799999
"779","2015-05-04",32.52
"780","2015-05-05",32.759998
"781","2015-05-06",32.639999
"782","2015-05-07",33.119999
"783","2015-05-08",32.880001
"784","2015-05-11",32.639999
"785","2015-05-12",32.400002
"786","2015-05-13",32.400002
"787","2015-05-14",32.759998
"788","2015-05-15",33.119999
"789","2015-05-18",36.119999
"790","2015-05-19",36
"791","2015-05-20",35.880001
"792","2015-05-21",35.279999
"793","2015-05-22",35.16
"794","2015-05-26",34.080002
"795","2015-05-27",33.360001
"796","2015-05-28",33.119999
"797","2015-05-29",34.200001
"798","2015-06-01",33.599998
"799","2015-06-02",33.959999
"800","2015-06-03",34.560001
"801","2015-06-04",33.720001
"802","2015-06-05",33.84
"803","2015-06-08",33.599998
"804","2015-06-09",33
"805","2015-06-10",33
"806","2015-06-11",33.599998
"807","2015-06-12",33.360001
"808","2015-06-15",33.48
"809","2015-06-16",33.240002
"810","2015-06-17",33
"811","2015-06-18",33.240002
"812","2015-06-19",33.119999
"813","2015-06-22",33
"814","2015-06-23",33.240002
"815","2015-06-24",32.759998
"816","2015-06-25",31.559999
"817","2015-06-26",31.68
"818","2015-06-29",31.08
"819","2015-06-30",31.32
"820","2015-07-01",31.440001
"821","2015-07-02",31.08
"822","2015-07-06",30.959999
"823","2015-07-07",30.360001
"824","2015-07-08",30.48
"825","2015-07-09",30.360001
"826","2015-07-10",30.6
"827","2015-07-13",30.719999
"828","2015-07-14",30.719999
"829","2015-07-15",30.959999
"830","2015-07-16",33
"831","2015-07-17",34.080002
"832","2015-07-20",34.439999
"833","2015-07-21",33
"834","2015-07-22",31.799999
"835","2015-07-23",31.200001
"836","2015-07-24",30.719999
"837","2015-07-27",30.6
"838","2015-07-28",29.879999
"839","2015-07-29",29.879999
"840","2015-07-30",30.24
"841","2015-07-31",30.360001
"842","2015-08-03",29.639999
"843","2015-08-04",29.639999
"844","2015-08-05",29.879999
"845","2015-08-06",29.4
"846","2015-08-07",28.92
"847","2015-08-10",28.68
"848","2015-08-11",28.200001
"849","2015-08-12",28.200001
"850","2015-08-13",29.280001
"851","2015-08-14",28.440001
"852","2015-08-17",28.08
"853","2015-08-18",27.84
"854","2015-08-19",27.84
"855","2015-08-20",27.959999
"856","2015-08-21",27.360001
"857","2015-08-24",27.24
"858","2015-08-25",27.719999
"859","2015-08-26",28.200001
"860","2015-08-27",27.959999
"861","2015-08-28",27.719999
"862","2015-08-31",27.6
"863","2015-09-01",27.6
"864","2015-09-02",27.24
"865","2015-09-03",27.24
"866","2015-09-04",27.120001
"867","2015-09-08",27.84
"868","2015-09-09",30.120001
"869","2015-09-10",29.879999
"870","2015-09-11",30.24
"871","2015-09-14",30.24
"872","2015-09-15",29.76
"873","2015-09-16",30.120001
"874","2015-09-17",30.120001
"875","2015-09-18",31.200001
"876","2015-09-21",30.24
"877","2015-09-22",29.76
"878","2015-09-23",29.040001
"879","2015-09-24",29.16
"880","2015-09-25",32.279999
"881","2015-09-28",32.279999
"882","2015-09-29",31.799999
"883","2015-09-30",31.200001
"884","2015-10-01",30.84
"885","2015-10-02",30.959999
"886","2015-10-05",30.84
"887","2015-10-06",31.08
"888","2015-10-07",31.08
"889","2015-10-08",31.08
"890","2015-10-09",30.959999
"891","2015-10-12",30.959999
"892","2015-10-13",31.08
"893","2015-10-14",30
"894","2015-10-15",29.52
"895","2015-10-16",30
"896","2015-10-19",29.639999
"897","2015-10-20",29.16
"898","2015-10-21",29.280001
"899","2015-10-22",29.4
"900","2015-10-23",29.280001
"901","2015-10-26",29.16
"902","2015-10-27",28.799999
"903","2015-10-28",28.440001
"904","2015-10-29",28.440001
"905","2015-10-30",28.08
"906","2015-11-02",28.200001
"907","2015-11-03",27.959999
"908","2015-11-04",28.08
"909","2015-11-05",28.32
"910","2015-11-06",28.08
"911","2015-11-09",28.200001
"912","2015-11-10",27.959999
"913","2015-11-11",28.200001
"914","2015-11-12",27.719999
"915","2015-11-13",27.48
"916","2015-11-16",28.200001
"917","2015-11-17",28.440001
"918","2015-11-18",28.799999
"919","2015-11-19",28.799999
"920","2015-11-20",29.16
"921","2015-11-23",28.559999
"922","2015-11-24",28.440001
"923","2015-11-25",29.280001
"924","2015-11-27",29.280001
"925","2015-11-30",29.4
"926","2015-12-01",29.76
"927","2015-12-02",29.16
"928","2015-12-03",29.280001
"929","2015-12-04",29.040001
"930","2015-12-07",30.84
"931","2015-12-08",34.68
"932","2015-12-09",33.959999
"933","2015-12-10",33.720001
"934","2015-12-11",31.68
"935","2015-12-14",31.68
"936","2015-12-15",30.959999
"937","2015-12-16",32.759998
"938","2015-12-17",33.360001
"939","2015-12-18",28.559999
"940","2015-12-21",28.200001
"941","2015-12-22",29.040001
"942","2015-12-23",29.52
"943","2015-12-24",29.040001
"944","2015-12-28",29.040001
"945","2015-12-29",29.639999
"946","2015-12-30",29.4
"947","2015-12-31",31.08
"948","2016-01-04",30.959999
"949","2016-01-05",29.879999
"950","2016-01-06",29.52
"951","2016-01-07",29.280001
"952","2016-01-08",28.92
"953","2016-01-11",29.52
"954","2016-01-12",28.799999
"955","2016-01-13",28.32
"956","2016-01-14",27.84
"957","2016-01-15",27.48
"958","2016-01-19",26.76
"959","2016-01-20",25.68
"960","2016-01-21",25.92
"961","2016-01-22",27
"962","2016-01-25",27.24
"963","2016-01-26",27.48
"964","2016-01-27",27.48
"965","2016-01-28",27.24
"966","2016-01-29",29.040001
"967","2016-02-01",30
"968","2016-02-02",29.76
"969","2016-02-03",30.24
"970","2016-02-04",30.24
"971","2016-02-05",29.76
"972","2016-02-08",28.799999
"973","2016-02-09",28.68
"974","2016-02-10",28.559999
"975","2016-02-11",27.959999
"976","2016-02-12",28.200001
"977","2016-02-16",28.200001
"978","2016-02-17",28.08
"979","2016-02-18",28.08
"980","2016-02-19",28.68
"981","2016-02-22",29.280001
"982","2016-02-23",29.280001
"983","2016-02-24",28.08
"984","2016-02-25",28.32
"985","2016-02-26",28.200001
"986","2016-02-29",29.280001
"987","2016-03-01",28.440001
"988","2016-03-02",28.32
