"","date","WSBC"
"835","2010-04-27",17.51
"836","2010-04-28",17.73
"837","2010-04-29",18.379999
"838","2010-04-30",19.280001
"839","2010-05-03",19.35
"840","2010-05-04",18.9
"841","2010-05-05",19.129999
"842","2010-05-06",18.059999
"843","2010-05-07",17.57
"844","2010-05-10",18.34
"845","2010-05-11",19.379999
"846","2010-05-12",19.940001
"847","2010-05-13",19.67
"848","2010-05-14",19.280001
"849","2010-05-17",19.790001
"850","2010-05-18",19.27
"851","2010-05-19",19.25
"852","2010-05-20",18.440001
"853","2010-05-21",18.93
"854","2010-05-24",18.23
"855","2010-05-25",18.049999
"856","2010-05-26",18.299999
"857","2010-05-27",19.110001
"858","2010-05-28",18.82
"859","2010-06-01",17.93
"860","2010-06-02",18.690001
"861","2010-06-03",18.709999
"862","2010-06-04",17.530001
"863","2010-06-07",17.16
"864","2010-06-08",17.120001
"865","2010-06-09",16.610001
"866","2010-06-10",17.17
"867","2010-06-11",17.57
"868","2010-06-14",17.559999
"869","2010-06-15",18.040001
"870","2010-06-16",18.120001
"871","2010-06-17",18.26
"872","2010-06-18",18.110001
"873","2010-06-21",17.969999
"874","2010-06-22",17.68
"875","2010-06-23",17.940001
"876","2010-06-24",17.75
"877","2010-06-25",18.51
"878","2010-06-28",18.23
"879","2010-06-29",17.26
"880","2010-06-30",16.85
"881","2010-07-01",16.98
"882","2010-07-02",16.620001
"883","2010-07-06",16.129999
"884","2010-07-07",16.610001
"885","2010-07-08",16.77
"886","2010-07-09",17.049999
"887","2010-07-12",16.92
"888","2010-07-13",17.610001
"889","2010-07-14",17.42
"890","2010-07-15",17
"891","2010-07-16",15.85
"892","2010-07-19",15.58
"893","2010-07-20",15.53
"894","2010-07-21",14.83
"895","2010-07-22",15.63
"896","2010-07-23",16.049999
"897","2010-07-26",16.52
"898","2010-07-27",17.110001
"899","2010-07-28",16.93
"900","2010-07-29",17.139999
"901","2010-07-30",17.35
"902","2010-08-02",17.52
"903","2010-08-03",17.6
"904","2010-08-04",17.799999
"905","2010-08-05",17.469999
"906","2010-08-06",17.360001
"907","2010-08-09",17.459999
"908","2010-08-10",17.32
"909","2010-08-11",16.030001
"910","2010-08-12",15.7
"911","2010-08-13",15.04
"912","2010-08-16",15.37
"913","2010-08-17",15.72
"914","2010-08-18",15.72
"915","2010-08-19",14.76
"916","2010-08-20",14.82
"917","2010-08-23",14.41
"918","2010-08-24",14.48
"919","2010-08-25",14.99
"920","2010-08-26",15.1
"921","2010-08-27",15.72
"922","2010-08-30",15.08
"923","2010-08-31",15.25
"924","2010-09-01",15.83
"925","2010-09-02",15.8
"926","2010-09-03",16.09
"927","2010-09-07",15.31
"928","2010-09-08",15.33
"929","2010-09-09",15.39
"930","2010-09-10",15.36
"931","2010-09-13",16.16
"932","2010-09-14",15.74
"933","2010-09-15",16.209999
"934","2010-09-16",15.92
"935","2010-09-17",16.290001
"936","2010-09-20",17.209999
"937","2010-09-21",16.74
"938","2010-09-22",16.309999
"939","2010-09-23",16.02
"940","2010-09-24",16.59
"941","2010-09-27",16.030001
"942","2010-09-28",16.459999
"943","2010-09-29",16.280001
"944","2010-09-30",16.34
"945","2010-10-01",16.92
"946","2010-10-04",16.42
"947","2010-10-05",17.190001
"948","2010-10-06",17.26
"949","2010-10-07",17.040001
"950","2010-10-08",17.33
"951","2010-10-11",17.139999
"952","2010-10-12",17.07
"953","2010-10-13",17.73
"954","2010-10-14",17.66
"955","2010-10-15",17.4
"956","2010-10-18",18.42
"957","2010-10-19",17.4
"958","2010-10-20",17.17
"959","2010-10-21",16.82
"960","2010-10-22",16.860001
"961","2010-10-25",16.809999
"962","2010-10-26",17
"963","2010-10-27",16.969999
"964","2010-10-28",16.799999
"965","2010-10-29",16.610001
"966","2010-11-01",16.059999
"967","2010-11-02",16.700001
"968","2010-11-03",17.25
"969","2010-11-04",17.98
"970","2010-11-05",17.85
"971","2010-11-08",17.85
"972","2010-11-09",17.66
"973","2010-11-10",18.059999
