"","date","CDAY"
"639","2020-11-05",91.040001
"640","2020-11-06",94.019997
"641","2020-11-09",94.269997
"642","2020-11-10",94.650002
"643","2020-11-11",97
"644","2020-11-12",96.370003
"645","2020-11-13",95.860001
"646","2020-11-16",94.919998
"647","2020-11-17",97.129997
"648","2020-11-18",96.690002
"649","2020-11-19",97.349998
"650","2020-11-20",96.18
"651","2020-11-23",96.440002
"652","2020-11-24",94.910004
"653","2020-11-25",96.07
"654","2020-11-27",99.389999
