"","date","CHTR"
"604","2012-05-25",64.269997
"605","2012-05-29",64.629997
"606","2012-05-30",63.189999
"607","2012-05-31",62.700001
"608","2012-06-01",61.310001
"609","2012-06-04",61.279999
"610","2012-06-05",63.509998
"611","2012-06-06",63.75
"612","2012-06-07",63.810001
"613","2012-06-08",64.120003
"614","2012-06-11",63.389999
"615","2012-06-12",64.730003
"616","2012-06-13",64.93
"617","2012-06-14",65.889999
"618","2012-06-15",66.889999
"619","2012-06-18",67.629997
"620","2012-06-19",68.980003
"621","2012-06-20",69.400002
"622","2012-06-21",67.440002
"623","2012-06-22",67.910004
"624","2012-06-25",66.610001
"625","2012-06-26",67.699997
"626","2012-06-27",69.650002
"627","2012-06-28",70
"628","2012-06-29",70.870003
"629","2012-07-02",72.050003
"630","2012-07-03",72.209999
"631","2012-07-05",72.239998
"632","2012-07-06",72.080002
"633","2012-07-09",72.019997
"634","2012-07-10",72.099998
"635","2012-07-11",71.589996
"636","2012-07-12",72.779999
"637","2012-07-13",72.870003
"638","2012-07-16",72.529999
"639","2012-07-17",73.07
"640","2012-07-18",72.949997
"641","2012-07-19",74.809998
"642","2012-07-20",74.370003
"643","2012-07-23",73.519997
"644","2012-07-24",72.919998
"645","2012-07-25",74.199997
"646","2012-07-26",75.800003
"647","2012-07-27",76.349998
"648","2012-07-30",77.459999
"649","2012-07-31",76.919998
"650","2012-08-01",78.339996
"651","2012-08-02",78.300003
"652","2012-08-03",79.93
"653","2012-08-06",77.589996
"654","2012-08-07",76.68
"655","2012-08-08",76.010002
"656","2012-08-09",75.510002
"657","2012-08-10",77.93
"658","2012-08-13",78.910004
"659","2012-08-14",78.5
"660","2012-08-15",79.800003
"661","2012-08-16",78.5
"662","2012-08-17",77.800003
"663","2012-08-20",77.879997
"664","2012-08-21",77.279999
"665","2012-08-22",77.110001
"666","2012-08-23",76.379997
"667","2012-08-24",77.730003
"668","2012-08-27",77.239998
"669","2012-08-28",76.760002
"670","2012-08-29",76.459999
"671","2012-08-30",77
"672","2012-08-31",77.800003
"673","2012-09-04",77.080002
"674","2012-09-05",78.160004
"675","2012-09-06",79.279999
"676","2012-09-07",78.150002
"677","2012-09-10",77.800003
"678","2012-09-11",78.900002
"679","2012-09-12",80.199997
"680","2012-09-13",81.629997
"681","2012-09-14",82.540001
"682","2012-09-17",80.739998
"683","2012-09-18",79.889999
"684","2012-09-19",80.379997
"685","2012-09-20",80.279999
"686","2012-09-21",79.43
"687","2012-09-24",76.370003
"688","2012-09-25",75.440002
"689","2012-09-26",74.889999
"690","2012-09-27",75.209999
"691","2012-09-28",75.059998
"692","2012-10-01",75.010002
"693","2012-10-02",75.5
"694","2012-10-03",76.760002
"695","2012-10-04",77.379997
"696","2012-10-05",76.529999
"697","2012-10-08",76.029999
"698","2012-10-09",76.080002
"699","2012-10-10",75.980003
"700","2012-10-11",76.120003
"701","2012-10-12",76.129997
"702","2012-10-15",76.730003
"703","2012-10-16",76.650002
"704","2012-10-17",77.690002
"705","2012-10-18",78.510002
"706","2012-10-19",78.540001
"707","2012-10-22",78.169998
"708","2012-10-23",76.190002
"709","2012-10-24",76.089996
"710","2012-10-25",76.190002
"711","2012-10-26",76.57
"712","2012-10-31",77.410004
"713","2012-11-01",77.75
"714","2012-11-02",75.099998
"715","2012-11-05",72.940002
"716","2012-11-06",71.620003
"717","2012-11-07",69.470001
"718","2012-11-08",68.260002
"719","2012-11-09",68.720001
"720","2012-11-12",69
"721","2012-11-13",68.940002
"722","2012-11-14",67.5
"723","2012-11-15",68.540001
"724","2012-11-16",69.269997
"725","2012-11-19",68.639999
"726","2012-11-20",70.309998
"727","2012-11-21",69.870003
"728","2012-11-23",70
"729","2012-11-26",70.279999
"730","2012-11-27",70.290001
"731","2012-11-28",70.290001
"732","2012-11-29",71.309998
"733","2012-11-30",70.849998
"734","2012-12-03",70.449997
"735","2012-12-04",70.449997
"736","2012-12-05",69.739998
"737","2012-12-06",69.599998
"738","2012-12-07",70.43
"739","2012-12-10",69.760002
"740","2012-12-11",69.589996
"741","2012-12-12",69.610001
"742","2012-12-13",69.080002
"743","2012-12-14",68.68
"744","2012-12-17",70.779999
"745","2012-12-18",74.139999
"746","2012-12-19",74.050003
"747","2012-12-20",73.209999
"748","2012-12-21",73.43
"749","2012-12-24",73.43
"750","2012-12-26",73.239998
"751","2012-12-27",73.669998
"752","2012-12-28",73.580002
"753","2012-12-31",76.239998
"754","2013-01-02",78.099998
"755","2013-01-03",77.980003
"756","2013-01-04",77.599998
"757","2013-01-07",77.400002
"758","2013-01-08",77.199997
"759","2013-01-09",78.599998
"760","2013-01-10",79
"761","2013-01-11",78.389999
"762","2013-01-14",78.18
"763","2013-01-15",78.32
"764","2013-01-16",78.339996
"765","2013-01-17",78.949997
"766","2013-01-18",78.830002
"767","2013-01-22",78.82
"768","2013-01-23",78.949997
"769","2013-01-24",79.220001
"770","2013-01-25",80.68
"771","2013-01-28",82.239998
"772","2013-01-29",81.5
"773","2013-01-30",81.629997
"774","2013-01-31",77.970001
"775","2013-02-01",78.040001
"776","2013-02-04",76.669998
"777","2013-02-05",81.529999
"778","2013-02-06",81.050003
"779","2013-02-07",80.629997
"780","2013-02-08",80.889999
"781","2013-02-11",79.309998
"782","2013-02-12",80
"783","2013-02-13",80.029999
"784","2013-02-14",79.480003
"785","2013-02-15",79.540001
"786","2013-02-19",79.389999
"787","2013-02-20",77.989998
"788","2013-02-21",77.029999
"789","2013-02-22",85.019997
"790","2013-02-25",83.300003
"791","2013-02-26",86.739998
"792","2013-02-27",87.129997
"793","2013-02-28",86.389999
"794","2013-03-01",86.489998
"795","2013-03-04",86.989998
"796","2013-03-05",87.610001
"797","2013-03-06",89.980003
"798","2013-03-07",89.800003
"799","2013-03-08",89.059998
"800","2013-03-11",88.949997
"801","2013-03-12",89.5
"802","2013-03-13",89.879997
"803","2013-03-14",90.110001
"804","2013-03-15",90.089996
"805","2013-03-18",98.040001
"806","2013-03-19",100.379997
"807","2013-03-20",105.769997
"808","2013-03-21",102.360001
"809","2013-03-22",103.279999
"810","2013-03-25",102.440002
"811","2013-03-26",102.989998
"812","2013-03-27",104.290001
"813","2013-03-28",104.18
"814","2013-04-01",103.779999
"815","2013-04-02",103.800003
"816","2013-04-03",102.279999
"817","2013-04-04",104.550003
"818","2013-04-05",105.489998
"819","2013-04-08",104.75
"820","2013-04-09",103.580002
"821","2013-04-10",103.669998
"822","2013-04-11",104.839996
"823","2013-04-12",105.059998
"824","2013-04-15",103.080002
"825","2013-04-16",104.910004
"826","2013-04-17",104.029999
"827","2013-04-18",102.730003
"828","2013-04-19",103.040001
"829","2013-04-22",103.849998
"830","2013-04-23",104.410004
"831","2013-04-24",103.050003
"832","2013-04-25",101.110001
"833","2013-04-26",101.639999
"834","2013-04-29",101.620003
"835","2013-04-30",100.739998
"836","2013-05-01",101.169998
"837","2013-05-02",103.129997
"838","2013-05-03",104.610001
"839","2013-05-06",105.029999
"840","2013-05-07",109.690002
"841","2013-05-08",110.040001
"842","2013-05-09",110.129997
"843","2013-05-10",110.059998
"844","2013-05-13",111.650002
"845","2013-05-14",113.779999
"846","2013-05-15",114.529999
"847","2013-05-16",113.610001
"848","2013-05-17",112.139999
"849","2013-05-20",111.410004
"850","2013-05-21",114
"851","2013-05-22",112.940002
"852","2013-05-23",113.540001
"853","2013-05-24",112.849998
"854","2013-05-28",114.099998
"855","2013-05-29",112.650002
"856","2013-05-30",111.809998
"857","2013-05-31",112
"858","2013-06-03",111.620003
"859","2013-06-04",114.949997
"860","2013-06-05",113.919998
"861","2013-06-06",112.629997
"862","2013-06-07",113.910004
"863","2013-06-10",112.529999
"864","2013-06-11",112.459999
"865","2013-06-12",111.389999
"866","2013-06-13",110.889999
"867","2013-06-14",116.610001
"868","2013-06-17",117.720001
"869","2013-06-18",117.949997
"870","2013-06-19",117.800003
"871","2013-06-20",114.050003
"872","2013-06-21",119.68
"873","2013-06-24",118.440002
"874","2013-06-25",117.769997
"875","2013-06-26",119
"876","2013-06-27",123.809998
"877","2013-06-28",123.849998
"878","2013-07-01",122.220001
"879","2013-07-02",125.139999
"880","2013-07-03",127.639999
"881","2013-07-05",127.379997
"882","2013-07-08",127.839996
"883","2013-07-09",125.669998
"884","2013-07-10",125.349998
"885","2013-07-11",125.199997
"886","2013-07-12",124.669998
"887","2013-07-15",124.580002
"888","2013-07-16",123.82
"889","2013-07-17",124.150002
"890","2013-07-18",124.57
"891","2013-07-19",128.309998
"892","2013-07-22",128.190002
"893","2013-07-23",127.769997
"894","2013-07-24",128.220001
"895","2013-07-25",127.75
"896","2013-07-26",126.610001
"897","2013-07-29",125.690002
"898","2013-07-30",123.779999
"899","2013-07-31",125.739998
"900","2013-08-01",127.959999
"901","2013-08-02",134
"902","2013-08-05",130.149994
"903","2013-08-06",127.050003
"904","2013-08-07",129.630005
"905","2013-08-08",128.059998
"906","2013-08-09",128.270004
"907","2013-08-12",126.559998
"908","2013-08-13",126.099998
"909","2013-08-14",124.459999
"910","2013-08-15",123.120003
"911","2013-08-16",122.599998
"912","2013-08-19",123.25
"913","2013-08-20",124.889999
"914","2013-08-21",123.230003
"915","2013-08-22",123.949997
"916","2013-08-23",122.699997
"917","2013-08-26",122.169998
"918","2013-08-27",121.010002
"919","2013-08-28",120
"920","2013-08-29",120.900002
"921","2013-08-30",121.419998
"922","2013-09-03",123.050003
"923","2013-09-04",124.559998
"924","2013-09-05",124.660004
"925","2013-09-06",125.019997
"926","2013-09-09",126.699997
"927","2013-09-10",127.440002
"928","2013-09-11",129.110001
"929","2013-09-12",128.279999
"930","2013-09-13",128.75
"931","2013-09-16",129.179993
"932","2013-09-17",130.259995
"933","2013-09-18",132.389999
"934","2013-09-19",133.229996
"935","2013-09-20",133.839996
"936","2013-09-23",133.440002
"937","2013-09-24",131.149994
"938","2013-09-25",134.009995
"939","2013-09-26",135.990005
"940","2013-09-27",133.570007
"941","2013-09-30",134.759995
"942","2013-10-01",135.470001
"943","2013-10-02",133.789993
"944","2013-10-03",131.550003
"945","2013-10-04",132.639999
"946","2013-10-07",132.490005
"947","2013-10-08",131.610001
"948","2013-10-09",131.5
"949","2013-10-10",136.089996
"950","2013-10-11",136.229996
"951","2013-10-14",137.190002
"952","2013-10-15",137.440002
"953","2013-10-16",139.009995
"954","2013-10-17",137.710007
"955","2013-10-18",137.309998
"956","2013-10-21",137.100006
"957","2013-10-22",136.710007
"958","2013-10-23",135.220001
"959","2013-10-24",137.970001
