"","date","V"
"754","2011-03-15",17.799999
"755","2011-03-16",17.74
"756","2011-03-17",17.8575
"757","2011-03-18",17.855
"758","2011-03-21",17.99
"759","2011-03-22",17.9
"760","2011-03-23",17.997499
"761","2011-03-24",18.165001
"762","2011-03-25",18.022499
"763","2011-03-28",18.1875
"764","2011-03-29",18.049999
"765","2011-03-30",18.557501
"766","2011-03-31",18.405001
"767","2011-04-01",18.555
"768","2011-04-04",18.809999
"769","2011-04-05",18.905001
"770","2011-04-06",19
"771","2011-04-07",19.102501
"772","2011-04-08",19.18
"773","2011-04-11",19.4275
"774","2011-04-12",19.2575
"775","2011-04-13",19.375
"776","2011-04-14",19.077499
"777","2011-04-15",19.1175
"778","2011-04-18",18.92
"779","2011-04-19",18.98
"780","2011-04-20",19.342501
"781","2011-04-21",19.442499
"782","2011-04-25",19.440001
"783","2011-04-26",19.692499
"784","2011-04-27",19.7225
"785","2011-04-28",19.415001
"786","2011-04-29",19.530001
"787","2011-05-02",19.785
"788","2011-05-03",20
"789","2011-05-04",19.942499
"790","2011-05-05",19.674999
"791","2011-05-06",19.852501
"792","2011-05-09",19.965
"793","2011-05-10",20.0875
"794","2011-05-11",19.834999
"795","2011-05-12",19.9825
"796","2011-05-13",19.977501
"797","2011-05-16",19.985001
"798","2011-05-17",20.15
"799","2011-05-18",20.002501
"800","2011-05-19",19.91
"801","2011-05-20",19.557501
"802","2011-05-23",19.23
"803","2011-05-24",19.4
"804","2011-05-25",19.6875
"805","2011-05-26",19.8225
"806","2011-05-27",19.950001
"807","2011-05-31",20.264999
"808","2011-06-01",19.795
"809","2011-06-02",20.174999
"810","2011-06-03",19.782499
"811","2011-06-06",19.549999
"812","2011-06-07",19.955
"813","2011-06-08",19.1775
"814","2011-06-09",19.1075
"815","2011-06-10",18.672501
"816","2011-06-13",18.715
"817","2011-06-14",18.9825
"818","2011-06-15",18.709999
"819","2011-06-16",18.719999
"820","2011-06-17",18.6075
"821","2011-06-20",18.512501
"822","2011-06-21",18.747499
"823","2011-06-22",18.665001
"824","2011-06-23",18.827499
"825","2011-06-24",18.342501
"826","2011-06-27",18.4725
"827","2011-06-28",18.82
"828","2011-06-29",21.6425
"829","2011-06-30",21.065001
"830","2011-07-01",21.9925
"831","2011-07-05",22.08
"832","2011-07-06",22.049999
"833","2011-07-07",22.5375
"834","2011-07-08",22.432501
"835","2011-07-11",21.975
"836","2011-07-12",21.924999
"837","2011-07-13",22.184999
"838","2011-07-14",21.985001
"839","2011-07-15",22.1875
"840","2011-07-18",22.0175
"841","2011-07-19",22.3025
"842","2011-07-20",22.16
"843","2011-07-21",22.012501
"844","2011-07-22",22.379999
"845","2011-07-25",22.27
"846","2011-07-26",22.299999
"847","2011-07-27",21.9375
"848","2011-07-28",21.73
"849","2011-07-29",21.385
"850","2011-08-01",21.42
"851","2011-08-02",20.889999
"852","2011-08-03",21.870001
"853","2011-08-04",21.247499
"854","2011-08-05",20.852501
"855","2011-08-08",19.809999
"856","2011-08-09",20.690001
"857","2011-08-10",19.82
"858","2011-08-11",21.129999
"859","2011-08-12",20.9575
"860","2011-08-15",21.467501
"861","2011-08-16",21.4575
"862","2011-08-17",20.997499
"863","2011-08-18",20.0725
"864","2011-08-19",19.9
"865","2011-08-22",19.9475
"866","2011-08-23",20.942499
"867","2011-08-24",21.594999
"868","2011-08-25",21.0275
"869","2011-08-26",21.4625
"870","2011-08-29",21.645
"871","2011-08-30",21.9825
"872","2011-08-31",21.969999
"873","2011-09-01",21.932501
"874","2011-09-02",21.387501
"875","2011-09-06",21.465
"876","2011-09-07",22.120001
"877","2011-09-08",21.865
"878","2011-09-09",21.5875
"879","2011-09-12",21.862499
"880","2011-09-13",21.942499
"881","2011-09-14",22.395
"882","2011-09-15",22.625
"883","2011-09-16",22.7125
"884","2011-09-19",22.5075
"885","2011-09-20",23.209999
"886","2011-09-21",22.855
"887","2011-09-22",22.075001
"888","2011-09-23",22.52
"889","2011-09-26",22.57
"890","2011-09-27",22.370001
"891","2011-09-28",21.907499
"892","2011-09-29",21.922501
"893","2011-09-30",21.43
"894","2011-10-03",21.065001
"895","2011-10-04",21.195
"896","2011-10-05",21.247499
"897","2011-10-06",21.782499
"898","2011-10-07",21.5625
"899","2011-10-10",22.3125
"900","2011-10-11",22.627501
"901","2011-10-12",22.7925
"902","2011-10-13",23.15
"903","2011-10-14",23.48
"904","2011-10-17",22.797501
"905","2011-10-18",23.477501
"906","2011-10-19",22.52
"907","2011-10-20",22.8375
"908","2011-10-21",23.3575
"909","2011-10-24",23.5525
"910","2011-10-25",22.67
"911","2011-10-26",23.004999
"912","2011-10-27",23.6
"913","2011-10-28",23.775
"914","2011-10-31",23.315001
"915","2011-11-01",22.5075
"916","2011-11-02",22.875
"917","2011-11-03",23.295
"918","2011-11-04",23.16
"919","2011-11-07",23.24
"920","2011-11-08",23.635
"921","2011-11-09",23.282499
"922","2011-11-10",23.26
"923","2011-11-11",23.790001
"924","2011-11-14",23.455
"925","2011-11-15",23.907499
"926","2011-11-16",23.35
"927","2011-11-17",22.85
"928","2011-11-18",22.702499
"929","2011-11-21",22.8025
"930","2011-11-22",22.709999
"931","2011-11-23",22.3225
"932","2011-11-25",22.254999
"933","2011-11-28",23.3675
"934","2011-11-29",23.225
"935","2011-11-30",24.2425
"936","2011-12-01",24.440001
"937","2011-12-02",24.299999
"938","2011-12-05",24.014999
"939","2011-12-06",23.842501
"940","2011-12-07",24.2675
"941","2011-12-08",23.950001
"942","2011-12-09",24.297501
"943","2011-12-12",24.23
"944","2011-12-13",23.977501
"945","2011-12-14",24.09
"946","2011-12-15",23.955
"947","2011-12-16",24.360001
"948","2011-12-19",24.645
"949","2011-12-20",25.3375
"950","2011-12-21",25.18
"951","2011-12-22",25.135
"952","2011-12-23",25.620001
