"","date","WFC"
"508","2009-01-07",25.870001
"509","2009-01-08",25.719999
"510","2009-01-09",25.139999
"511","2009-01-12",23.799999
"512","2009-01-13",24.379999
"513","2009-01-14",23.07
"514","2009-01-15",20.16
"515","2009-01-16",18.68
"516","2009-01-20",14.23
"517","2009-01-21",16.65
"518","2009-01-22",15.79
"519","2009-01-23",15.87
"520","2009-01-26",15.48
"521","2009-01-27",16.190001
"522","2009-01-28",21.190001
"523","2009-01-29",18.780001
"524","2009-01-30",18.9
"525","2009-02-02",19.23
"526","2009-02-03",18.530001
"527","2009-02-04",17.450001
"528","2009-02-05",16.27
"529","2009-02-06",19.139999
"530","2009-02-09",19.059999
"531","2009-02-10",16.35
"532","2009-02-11",17.5
"533","2009-02-12",16.799999
"534","2009-02-13",15.76
"535","2009-02-17",13.69
"536","2009-02-18",13.05
"537","2009-02-19",12.01
"538","2009-02-20",10.91
"539","2009-02-23",11.03
"540","2009-02-24",13.05
"541","2009-02-25",13.44
"542","2009-02-26",14.4
"543","2009-02-27",12.1
"544","2009-03-02",10.84
"545","2009-03-03",10.67
"546","2009-03-04",9.66
"547","2009-03-05",8.12
"548","2009-03-06",8.61
"549","2009-03-09",9.97
"550","2009-03-10",11.81
"551","2009-03-11",11.88
"552","2009-03-12",13.95
"553","2009-03-13",13.94
"554","2009-03-16",13.7
"555","2009-03-17",14.66
"556","2009-03-18",17.219999
"557","2009-03-19",15.42
"558","2009-03-20",13.99
"559","2009-03-23",17.33
"560","2009-03-24",15.5
"561","2009-03-25",16.42
"562","2009-03-26",15.95
"563","2009-03-27",15.59
"564","2009-03-30",13.37
"565","2009-03-31",14.24
"566","2009-04-01",14.48
"567","2009-04-02",15.33
"568","2009-04-03",16.34
"569","2009-04-06",15.25
"570","2009-04-07",14.85
"571","2009-04-08",14.89
"572","2009-04-09",19.610001
"573","2009-04-13",19.67
"574","2009-04-14",18.27
"575","2009-04-15",19.549999
"576","2009-04-16",19.450001
"577","2009-04-17",20.26
"578","2009-04-20",17
"579","2009-04-21",18.809999
"580","2009-04-22",18.18
"581","2009-04-23",20.09
"582","2009-04-24",21.4
"583","2009-04-27",20.299999
"584","2009-04-28",19.48
"585","2009-04-29",19.969999
"586","2009-04-30",20.01
"587","2009-05-01",19.610001
"588","2009-05-04",24.25
"589","2009-05-05",23.27
"590","2009-05-06",26.84
"591","2009-05-07",24.76
"592","2009-05-08",28.18
"593","2009-05-11",26.530001
"594","2009-05-12",25.700001
"595","2009-05-13",24.200001
"596","2009-05-14",25.690001
"597","2009-05-15",24.870001
"598","2009-05-18",26.93
"599","2009-05-19",25.450001
"600","2009-05-20",24.459999
"601","2009-05-21",25.040001
"602","2009-05-22",24.309999
"603","2009-05-26",25.65
"604","2009-05-27",24.08
"605","2009-05-28",24.77
"606","2009-05-29",25.5
"607","2009-06-01",25.43
"608","2009-06-02",24.389999
"609","2009-06-03",24.129999
"610","2009-06-04",25.1
"611","2009-06-05",24.719999
"612","2009-06-08",25.389999
"613","2009-06-09",25.66
"614","2009-06-10",24.91
"615","2009-06-11",25.02
"616","2009-06-12",25.48
"617","2009-06-15",24.709999
"618","2009-06-16",24.4
"619","2009-06-17",23.09
"620","2009-06-18",23.700001
"621","2009-06-19",24.190001
"622","2009-06-22",22.51
"623","2009-06-23",22.91
"624","2009-06-24",23.17
"625","2009-06-25",23.799999
"626","2009-06-26",23.870001
"627","2009-06-29",24.530001
"628","2009-06-30",24.26
"629","2009-07-01",24.139999
"630","2009-07-02",23.08
"631","2009-07-06",23.1
"632","2009-07-07",23.33
"633","2009-07-08",22.91
"634","2009-07-09",23.280001
"635","2009-07-10",22.870001
"636","2009-07-13",24.799999
"637","2009-07-14",24.4
"638","2009-07-15",25.299999
"639","2009-07-16",25.049999
"640","2009-07-17",25
"641","2009-07-20",25.52
"642","2009-07-21",25.35
"643","2009-07-22",24.450001
"644","2009-07-23",24.26
"645","2009-07-24",23.469999
"646","2009-07-27",24.219999
"647","2009-07-28",24.52
"648","2009-07-29",24.379999
"649","2009-07-30",24.870001
"650","2009-07-31",24.459999
"651","2009-08-03",25.799999
"652","2009-08-04",26.549999
"653","2009-08-05",28.02
"654","2009-08-06",27.969999
"655","2009-08-07",28.76
"656","2009-08-10",28.639999
"657","2009-08-11",26.889999
"658","2009-08-12",27.17
"659","2009-08-13",27.879999
"660","2009-08-14",27.73
"661","2009-08-17",26.299999
"662","2009-08-18",26.34
"663","2009-08-19",26.610001
"664","2009-08-20",27.48
"665","2009-08-21",27.940001
"666","2009-08-24",27.32
"667","2009-08-25",27.33
"668","2009-08-26",27.620001
"669","2009-08-27",27.74
"670","2009-08-28",27.299999
"671","2009-08-31",27.52
"672","2009-09-01",26.209999
"673","2009-09-02",26.09
"674","2009-09-03",26.91
"675","2009-09-04",26.91
"676","2009-09-08",26.98
"677","2009-09-09",27.68
"678","2009-09-10",27.860001
"679","2009-09-11",27.43
"680","2009-09-14",27.92
"681","2009-09-15",28.58
"682","2009-09-16",29.41
"683","2009-09-17",28.780001
"684","2009-09-18",28.49
"685","2009-09-21",28.290001
"686","2009-09-22",29.389999
"687","2009-09-23",28.76
"688","2009-09-24",28.450001
"689","2009-09-25",28.190001
"690","2009-09-28",28.9
"691","2009-09-29",28.35
"692","2009-09-30",28.18
"693","2009-10-01",26.6
"694","2009-10-02",26.280001
"695","2009-10-05",28.09
"696","2009-10-06",28.66
"697","2009-10-07",29.26
"698","2009-10-08",29.049999
"699","2009-10-09",29.209999
"700","2009-10-12",30.280001
"701","2009-10-13",30.059999
"702","2009-10-14",31.34
"703","2009-10-15",31.379999
"704","2009-10-16",30.02
"705","2009-10-19",30.07
"706","2009-10-20",30.459999
"707","2009-10-21",28.9
"708","2009-10-22",30.17
"709","2009-10-23",29.32
"710","2009-10-26",28.450001
"711","2009-10-27",28.389999
"712","2009-10-28",27.459999
"713","2009-10-29",28.57
"714","2009-10-30",27.52
"715","2009-11-02",27.610001
"716","2009-11-03",27.74
"717","2009-11-04",26.82
"718","2009-11-05",27.290001
"719","2009-11-06",27.120001
"720","2009-11-09",28.4
"721","2009-11-10",28.1
"722","2009-11-11",28.799999
"723","2009-11-12",28.219999
"724","2009-11-13",27.68
"725","2009-11-16",28.209999
"726","2009-11-17",28.370001
"727","2009-11-18",28.860001
"728","2009-11-19",28.32
"729","2009-11-20",27.870001
"730","2009-11-23",28.07
"731","2009-11-24",27.860001
"732","2009-11-25",27.83
"733","2009-11-27",27.139999
"734","2009-11-30",28.040001
"735","2009-12-01",27.99
"736","2009-12-02",27.450001
"737","2009-12-03",26.49
"738","2009-12-04",26.959999
"739","2009-12-07",26.360001
"740","2009-12-08",26.030001
"741","2009-12-09",25.959999
"742","2009-12-10",25.32
"743","2009-12-11",25.41
"744","2009-12-14",25.49
"745","2009-12-15",25.66
"746","2009-12-16",25.84
"747","2009-12-17",26.07
"748","2009-12-18",26.780001
"749","2009-12-21",27.34
"750","2009-12-22",27.16
"751","2009-12-23",26.85
"752","2009-12-24",27.09
"753","2009-12-28",26.75
"754","2009-12-29",26.68
"755","2009-12-30",26.82
"756","2009-12-31",26.99
"757","2010-01-04",27.32
"758","2010-01-05",28.07
"759","2010-01-06",28.110001
"760","2010-01-07",29.129999
"761","2010-01-08",28.860001
"762","2010-01-11",28.799999
"763","2010-01-12",28.08
"764","2010-01-13",28.58
"765","2010-01-14",28.99
"766","2010-01-15",28.08
"767","2010-01-19",28.280001
"768","2010-01-20",27.82
"769","2010-01-21",28
"770","2010-01-22",27.26
"771","2010-01-25",27.66
"772","2010-01-26",26.99
"773","2010-01-27",28.200001
"774","2010-01-28",28.450001
"775","2010-01-29",28.43
"776","2010-02-01",28.93
"777","2010-02-02",28.790001
"778","2010-02-03",28.139999
"779","2010-02-04",27.059999
"780","2010-02-05",27.42
"781","2010-02-08",26.43
"782","2010-02-09",26.709999
"783","2010-02-10",27.18
"784","2010-02-11",27.08
"785","2010-02-12",26.879999
"786","2010-02-16",27.389999
"787","2010-02-17",27.33
"788","2010-02-18",27.34
"789","2010-02-19",27.370001
"790","2010-02-22",28.01
"791","2010-02-23",27.290001
"792","2010-02-24",27.66
"793","2010-02-25",27.440001
"794","2010-02-26",27.34
"795","2010-03-01",27.35
"796","2010-03-02",27.870001
"797","2010-03-03",28.200001
"798","2010-03-04",28.43
"799","2010-03-05",29.15
"800","2010-03-08",28.889999
"801","2010-03-09",28.98
"802","2010-03-10",29.57
"803","2010-03-11",29.76
"804","2010-03-12",29.629999
"805","2010-03-15",29.889999
"806","2010-03-16",30.280001
"807","2010-03-17",30.549999
"808","2010-03-18",30.290001
"809","2010-03-19",30.379999
"810","2010-03-22",30.41
"811","2010-03-23",31.08
"812","2010-03-24",30.860001
"813","2010-03-25",31.059999
"814","2010-03-26",31.219999
"815","2010-03-29",31.1
"816","2010-03-30",30.84
"817","2010-03-31",31.120001
"818","2010-04-01",31.370001
"819","2010-04-05",31.51
"820","2010-04-06",32.279999
"821","2010-04-07",31.99
"822","2010-04-08",32.23
"823","2010-04-09",32.299999
"824","2010-04-12",32.419998
"825","2010-04-13",32.150002
"826","2010-04-14",33.279999
"827","2010-04-15",33.509998
"828","2010-04-16",32.560001
"829","2010-04-19",33.02
"830","2010-04-20",33.689999
"831","2010-04-21",33.009998
"832","2010-04-22",33.580002
"833","2010-04-23",33.48
"834","2010-04-26",32.720001
"835","2010-04-27",31.719999
"836","2010-04-28",32.450001
"837","2010-04-29",33.23
"838","2010-04-30",33.110001
"839","2010-05-03",33.880001
"840","2010-05-04",32.939999
"841","2010-05-05",32.66
"842","2010-05-06",31.18
"843","2010-05-07",30.82
"844","2010-05-10",32.970001
"845","2010-05-11",32.91
"846","2010-05-12",33.66
"847","2010-05-13",33.080002
"848","2010-05-14",32.040001
"849","2010-05-17",31.969999
"850","2010-05-18",30.59
"851","2010-05-19",30.08
"852","2010-05-20",28.690001
"853","2010-05-21",30.110001
"854","2010-05-24",28.709999
"855","2010-05-25",28.9
"856","2010-05-26",28.040001
"857","2010-05-27",29.41
"858","2010-05-28",28.690001
"859","2010-06-01",28.23
"860","2010-06-02",29.18
"861","2010-06-03",28.860001
"862","2010-06-04",27.780001
"863","2010-06-07",27.290001
"864","2010-06-08",27.76
"865","2010-06-09",27.030001
"866","2010-06-10",28.129999
"867","2010-06-11",27.84
"868","2010-06-14",27.4
"869","2010-06-15",27.91
"870","2010-06-16",28.120001
"871","2010-06-17",27.93
"872","2010-06-18",28.07
"873","2010-06-21",27.940001
"874","2010-06-22",27.459999
"875","2010-06-23",27.32
"876","2010-06-24",26.860001
"877","2010-06-25",27.049999
"878","2010-06-28",27.030001
"879","2010-06-29",25.93
"880","2010-06-30",25.6
"881","2010-07-01",25.18
"882","2010-07-02",24.879999
"883","2010-07-06",25.15
"884","2010-07-07",26.66
"885","2010-07-08",26.639999
"886","2010-07-09",27
"887","2010-07-12",27.059999
"888","2010-07-13",27.940001
"889","2010-07-14",27.66
"890","2010-07-15",27.809999
"891","2010-07-16",26.24
"892","2010-07-19",26.02
"893","2010-07-20",25.91
"894","2010-07-21",26.059999
"895","2010-07-22",27.389999
"896","2010-07-23",27.42
"897","2010-07-26",27.91
