"","date","KFRC"
"411","2008-08-19",10.36
"412","2008-08-20",10.47
"413","2008-08-21",10.49
"414","2008-08-22",10.78
"415","2008-08-25",10.34
"416","2008-08-26",10.55
"417","2008-08-27",10.66
"418","2008-08-28",10.97
"419","2008-08-29",10.68
"420","2008-09-02",10.63
"421","2008-09-03",11.09
"422","2008-09-04",10.8
"423","2008-09-05",10.93
"424","2008-09-08",11.01
"425","2008-09-09",10.96
"426","2008-09-10",11.27
"427","2008-09-11",11.23
"428","2008-09-12",10.91
"429","2008-09-15",9.89
"430","2008-09-16",10.08
"431","2008-09-17",10
"432","2008-09-18",10.71
"433","2008-09-19",11.53
"434","2008-09-22",11.13
"435","2008-09-23",11.05
"436","2008-09-24",10.9
"437","2008-09-25",10.89
"438","2008-09-26",10.61
"439","2008-09-29",9.69
"440","2008-09-30",10.21
"441","2008-10-01",10.35
"442","2008-10-02",10.14
"443","2008-10-03",9.79
"444","2008-10-06",9.78
"445","2008-10-07",9.04
"446","2008-10-08",9.22
"447","2008-10-09",8.6
"448","2008-10-10",8.95
"449","2008-10-13",9.08
"450","2008-10-14",8.68
"451","2008-10-15",8.1
"452","2008-10-16",8.81
"453","2008-10-17",8.22
"454","2008-10-20",8.37
"455","2008-10-21",7.8
"456","2008-10-22",7.68
"457","2008-10-23",7.5
"458","2008-10-24",7.27
"459","2008-10-27",6.88
"460","2008-10-28",6.91
"461","2008-10-29",6.73
"462","2008-10-30",7.56
"463","2008-10-31",7.87
"464","2008-11-03",7.95
"465","2008-11-04",7.91
"466","2008-11-05",7.32
"467","2008-11-06",6.97
"468","2008-11-07",6.97
"469","2008-11-10",6.85
"470","2008-11-11",6.79
"471","2008-11-12",6.7
"472","2008-11-13",7.69
"473","2008-11-14",6.77
"474","2008-11-17",6.86
"475","2008-11-18",6.94
"476","2008-11-19",6.22
"477","2008-11-20",5.8
"478","2008-11-21",6.01
"479","2008-11-24",5.98
"480","2008-11-25",5.99
"481","2008-11-26",6.88
"482","2008-11-28",6.8
"483","2008-12-01",6.37
"484","2008-12-02",7.06
"485","2008-12-03",7.26
"486","2008-12-04",6.86
"487","2008-12-05",7.06
"488","2008-12-08",6.86
"489","2008-12-09",6.74
"490","2008-12-10",7.04
"491","2008-12-11",6.68
"492","2008-12-12",6.73
"493","2008-12-15",6.22
"494","2008-12-16",6.83
"495","2008-12-17",6.8
"496","2008-12-18",6.97
"497","2008-12-19",7.26
"498","2008-12-22",6.84
"499","2008-12-23",6.59
"500","2008-12-24",6.86
"501","2008-12-26",6.81
"502","2008-12-29",6.64
"503","2008-12-30",7.18
"504","2008-12-31",7.68
"505","2009-01-02",7.62
"506","2009-01-05",7.52
"507","2009-01-06",7.59
"508","2009-01-07",7.45
"509","2009-01-08",7.66
"510","2009-01-09",7
"511","2009-01-12",6.78
"512","2009-01-13",6.7
"513","2009-01-14",6.45
"514","2009-01-15",6.97
"515","2009-01-16",6.81
"516","2009-01-20",6.08
"517","2009-01-21",6.77
"518","2009-01-22",6.32
"519","2009-01-23",6.16
"520","2009-01-26",6.43
"521","2009-01-27",6.45
"522","2009-01-28",6.72
"523","2009-01-29",6.61
"524","2009-01-30",6.25
"525","2009-02-02",6.32
"526","2009-02-03",7.05
"527","2009-02-04",7.15
"528","2009-02-05",7.32
"529","2009-02-06",7.93
"530","2009-02-09",7.76
"531","2009-02-10",7.31
"532","2009-02-11",7.66
"533","2009-02-12",7.94
"534","2009-02-13",7.72
"535","2009-02-17",7.41
"536","2009-02-18",7.19
"537","2009-02-19",7.09
"538","2009-02-20",7
"539","2009-02-23",6.62
"540","2009-02-24",6.92
"541","2009-02-25",6.61
"542","2009-02-26",6.58
"543","2009-02-27",6.41
"544","2009-03-02",5.91
"545","2009-03-03",5.53
"546","2009-03-04",5.77
"547","2009-03-05",5.59
"548","2009-03-06",5.59
"549","2009-03-09",5.58
"550","2009-03-10",5.8
"551","2009-03-11",5.89
"552","2009-03-12",6.3
"553","2009-03-13",6.3
"554","2009-03-16",6.32
"555","2009-03-17",6.86
"556","2009-03-18",6.7
"557","2009-03-19",6.7
"558","2009-03-20",6.59
"559","2009-03-23",7.39
"560","2009-03-24",7.05
"561","2009-03-25",7.38
"562","2009-03-26",7.91
"563","2009-03-27",7.1
"564","2009-03-30",6.92
"565","2009-03-31",7.03
"566","2009-04-01",7.2
"567","2009-04-02",8.34
"568","2009-04-03",8.59
"569","2009-04-06",8.53
"570","2009-04-07",8.29
"571","2009-04-08",8.53
"572","2009-04-09",9.18
"573","2009-04-13",9.3
"574","2009-04-14",9.02
"575","2009-04-15",9.57
"576","2009-04-16",10.2
"577","2009-04-17",10.27
"578","2009-04-20",10.01
"579","2009-04-21",10.31
"580","2009-04-22",10.42
"581","2009-04-23",10.38
"582","2009-04-24",10.73
"583","2009-04-27",10.81
"584","2009-04-28",10.73
"585","2009-04-29",11.02
"586","2009-04-30",10.91
"587","2009-05-01",10.63
"588","2009-05-04",10.98
"589","2009-05-05",10.43
"590","2009-05-06",10.38
"591","2009-05-07",10.28
"592","2009-05-08",10.38
"593","2009-05-11",10.05
"594","2009-05-12",9.65
"595","2009-05-13",9.06
"596","2009-05-14",8.93
"597","2009-05-15",9
"598","2009-05-18",9.51
"599","2009-05-19",9.42
"600","2009-05-20",9.57
"601","2009-05-21",9.32
"602","2009-05-22",8.94
"603","2009-05-26",9.5
"604","2009-05-27",9.3
"605","2009-05-28",9.21
"606","2009-05-29",9.31
"607","2009-06-01",9.69
"608","2009-06-02",9.81
"609","2009-06-03",9.79
"610","2009-06-04",9.62
"611","2009-06-05",9.47
"612","2009-06-08",9.12
"613","2009-06-09",9.24
"614","2009-06-10",8.82
"615","2009-06-11",8.86
"616","2009-06-12",8.79
"617","2009-06-15",8.31
"618","2009-06-16",8.25
"619","2009-06-17",8.44
