"","date","GEL"
"432","2008-09-18",12.4
"433","2008-09-19",15.39
"434","2008-09-22",15
"435","2008-09-23",15.5
"436","2008-09-24",14.85
"437","2008-09-25",15.15
"438","2008-09-26",15.2
"439","2008-09-29",14.15
"440","2008-09-30",14.29
"441","2008-10-01",14.27
"442","2008-10-02",13.03
"443","2008-10-03",12.77
"444","2008-10-06",11
"445","2008-10-07",10.25
"446","2008-10-08",9.59
"447","2008-10-09",9
"448","2008-10-10",8.97
"449","2008-10-13",11.75
"450","2008-10-14",13.67
"451","2008-10-15",13.34
"452","2008-10-16",12.81
"453","2008-10-17",13.76
"454","2008-10-20",15
"455","2008-10-21",14.73
"456","2008-10-22",13.9
"457","2008-10-23",13.45
"458","2008-10-24",14.1
"459","2008-10-27",12.87
"460","2008-10-28",12.5
"461","2008-10-29",13.11
"462","2008-10-30",13.08
"463","2008-10-31",13
"464","2008-11-03",12.8
"465","2008-11-04",12.12
"466","2008-11-05",11.6
"467","2008-11-06",11.09
"468","2008-11-07",11.21
"469","2008-11-10",10.85
"470","2008-11-11",10.24
"471","2008-11-12",9.55
"472","2008-11-13",9.42
"473","2008-11-14",8.91
"474","2008-11-17",8.59
"475","2008-11-18",8.2
"476","2008-11-19",7.67
"477","2008-11-20",7.33
"478","2008-11-21",7.48
"479","2008-11-24",8.55
"480","2008-11-25",9.01
"481","2008-11-26",9.71
"482","2008-11-28",10.15
"483","2008-12-01",9.28
"484","2008-12-02",9.7
"485","2008-12-03",9.8
"486","2008-12-04",9.2
"487","2008-12-05",8.78
"488","2008-12-08",8.84
"489","2008-12-09",8.65
"490","2008-12-10",8.99
"491","2008-12-11",8.82
"492","2008-12-12",8.82
"493","2008-12-15",8.65
"494","2008-12-16",8.72
"495","2008-12-17",9.11
"496","2008-12-18",8.8
"497","2008-12-19",8.6
"498","2008-12-22",8
"499","2008-12-23",7.49
"500","2008-12-24",7.5
"501","2008-12-26",7.98
"502","2008-12-29",7.28
"503","2008-12-30",8.23
"504","2008-12-31",8.69
"505","2009-01-02",9.76
"506","2009-01-05",10.24
"507","2009-01-06",11
"508","2009-01-07",10.85
"509","2009-01-08",10.81
"510","2009-01-09",11.5
"511","2009-01-12",11.44
"512","2009-01-13",11.31
"513","2009-01-14",10.7
"514","2009-01-15",11
"515","2009-01-16",10.93
"516","2009-01-20",10.1
"517","2009-01-21",10.6
"518","2009-01-22",10.98
"519","2009-01-23",10.58
"520","2009-01-26",10.87
"521","2009-01-27",11
"522","2009-01-28",11.4
"523","2009-01-29",11.38
"524","2009-01-30",10.84
"525","2009-02-02",11.17
"526","2009-02-03",11.5
"527","2009-02-04",11.06
"528","2009-02-05",11.6
"529","2009-02-06",11.6
"530","2009-02-09",11.95
"531","2009-02-10",11.69
"532","2009-02-11",11.7
"533","2009-02-12",11.99
"534","2009-02-13",12.15
"535","2009-02-17",11.55
"536","2009-02-18",10.73
"537","2009-02-19",10.88
"538","2009-02-20",9.5
"539","2009-02-23",8.89
"540","2009-02-24",9.5
"541","2009-02-25",10.01
"542","2009-02-26",10.19
"543","2009-02-27",10.1
"544","2009-03-02",9.08
"545","2009-03-03",8.68
"546","2009-03-04",9.11
"547","2009-03-05",8.71
"548","2009-03-06",8.37
"549","2009-03-09",8.63
"550","2009-03-10",8.85
"551","2009-03-11",9.38
"552","2009-03-12",9.25
"553","2009-03-13",10.01
"554","2009-03-16",10.01
"555","2009-03-17",10.3
"556","2009-03-18",9.98
"557","2009-03-19",10.25
"558","2009-03-20",9.5
"559","2009-03-23",10.16
"560","2009-03-24",10.2
"561","2009-03-25",10.66
"562","2009-03-26",10.85
"563","2009-03-27",10.43
"564","2009-03-30",10.03
"565","2009-03-31",10.23
"566","2009-04-01",10.04
"567","2009-04-02",10.31
"568","2009-04-03",10.9
"569","2009-04-06",10.61
"570","2009-04-07",10.93
"571","2009-04-08",10.93
"572","2009-04-09",11.75
"573","2009-04-13",11.79
"574","2009-04-14",11.75
"575","2009-04-15",11.75
"576","2009-04-16",11.82
"577","2009-04-17",11.82
"578","2009-04-20",11.33
"579","2009-04-21",11.68
"580","2009-04-22",11.73
"581","2009-04-23",11.82
"582","2009-04-24",11.85
"583","2009-04-27",11.99
"584","2009-04-28",12.5
"585","2009-04-29",12.86
"586","2009-04-30",12.07
"587","2009-05-01",12.19
"588","2009-05-04",12.4
"589","2009-05-05",12.62
"590","2009-05-06",12.95
"591","2009-05-07",12.02
"592","2009-05-08",11.95
"593","2009-05-11",11.98
"594","2009-05-12",11.83
"595","2009-05-13",11.42
"596","2009-05-14",11.94
"597","2009-05-15",12.32
"598","2009-05-18",12.43
"599","2009-05-19",12.31
"600","2009-05-20",12.76
"601","2009-05-21",12.59
"602","2009-05-22",12.75
"603","2009-05-26",12.8
"604","2009-05-27",12.6
"605","2009-05-28",12.55
"606","2009-05-29",13.01
"607","2009-06-01",13.43
"608","2009-06-02",13.57
"609","2009-06-03",13.18
"610","2009-06-04",13.34
"611","2009-06-05",13.5
"612","2009-06-08",13.25
"613","2009-06-09",12.91
"614","2009-06-10",12.85
"615","2009-06-11",12.66
"616","2009-06-12",12.87
"617","2009-06-15",12.35
"618","2009-06-16",12.15
"619","2009-06-17",11.98
"620","2009-06-18",12.1
"621","2009-06-19",11.75
"622","2009-06-22",12.13
"623","2009-06-23",12.17
"624","2009-06-24",12
"625","2009-06-25",12.75
"626","2009-06-26",13.05
"627","2009-06-29",12.95
"628","2009-06-30",12.72
"629","2009-07-01",12.84
"630","2009-07-02",12.6
"631","2009-07-06",12.62
"632","2009-07-07",12.2
"633","2009-07-08",12.15
"634","2009-07-09",12.54
"635","2009-07-10",12.61
"636","2009-07-13",12.76
"637","2009-07-14",12.41
"638","2009-07-15",13.2
"639","2009-07-16",13.69
"640","2009-07-17",14
"641","2009-07-20",14.04
"642","2009-07-21",14.15
"643","2009-07-22",14.68
"644","2009-07-23",14.95
"645","2009-07-24",15.06
"646","2009-07-27",15.26
"647","2009-07-28",15.02
"648","2009-07-29",14.98
"649","2009-07-30",14.97
"650","2009-07-31",15.02
"651","2009-08-03",14.95
"652","2009-08-04",15
"653","2009-08-05",14.75
"654","2009-08-06",14.47
"655","2009-08-07",14.79
"656","2009-08-10",14.99
"657","2009-08-11",15.2
"658","2009-08-12",14.69
"659","2009-08-13",14.55
"660","2009-08-14",14.67
"661","2009-08-17",14.11
"662","2009-08-18",14.3
"663","2009-08-19",14.57
"664","2009-08-20",15
"665","2009-08-21",15.21
"666","2009-08-24",15.55
"667","2009-08-25",15.45
"668","2009-08-26",15.47
"669","2009-08-27",15.45
"670","2009-08-28",15.55
"671","2009-08-31",15.59
"672","2009-09-01",15.35
"673","2009-09-02",15.1
"674","2009-09-03",15.4
"675","2009-09-04",15.61
"676","2009-09-08",15.77
"677","2009-09-09",16.309999
"678","2009-09-10",16.190001
"679","2009-09-11",16.059999
"680","2009-09-14",15.99
"681","2009-09-15",15.95
"682","2009-09-16",16.32
"683","2009-09-17",16.129999
"684","2009-09-18",16.75
"685","2009-09-21",16.309999
"686","2009-09-22",16.59
"687","2009-09-23",16.52
"688","2009-09-24",16.200001
"689","2009-09-25",16.27
"690","2009-09-28",16.440001
"691","2009-09-29",16.5
"692","2009-09-30",16.09
"693","2009-10-01",15.85
"694","2009-10-02",15.93
"695","2009-10-05",16.719999
"696","2009-10-06",16.91
"697","2009-10-07",16.76
"698","2009-10-08",16.6
"699","2009-10-09",16.290001
"700","2009-10-12",16.85
"701","2009-10-13",17
"702","2009-10-14",16.959999
"703","2009-10-15",17
"704","2009-10-16",16.870001
"705","2009-10-19",17.209999
"706","2009-10-20",17.219999
"707","2009-10-21",17.73
"708","2009-10-22",17.4
"709","2009-10-23",17.43
"710","2009-10-26",17.139999
"711","2009-10-27",17.09
"712","2009-10-28",16.799999
"713","2009-10-29",16.389999
"714","2009-10-30",16.200001
"715","2009-11-02",15.75
"716","2009-11-03",15.63
"717","2009-11-04",15.25
"718","2009-11-05",16.1
"719","2009-11-06",16.15
"720","2009-11-09",16.690001
"721","2009-11-10",16.41
"722","2009-11-11",16.57
"723","2009-11-12",16.5
"724","2009-11-13",16.58
"725","2009-11-16",16.65
"726","2009-11-17",16.870001
"727","2009-11-18",16.91
"728","2009-11-19",16.719999
"729","2009-11-20",16.870001
"730","2009-11-23",16.940001
"731","2009-11-24",17.24
"732","2009-11-25",17.280001
"733","2009-11-27",17.16
"734","2009-11-30",17.26
"735","2009-12-01",17.790001
"736","2009-12-02",17.68
"737","2009-12-03",17.52
"738","2009-12-04",17.700001
"739","2009-12-07",17.67
"740","2009-12-08",17.549999
"741","2009-12-09",17.379999
"742","2009-12-10",17.82
"743","2009-12-11",18.110001
"744","2009-12-14",18.75
"745","2009-12-15",18.65
"746","2009-12-16",18.35
"747","2009-12-17",18.68
"748","2009-12-18",17
"749","2009-12-21",18.530001
"750","2009-12-22",19.08
"751","2009-12-23",19.200001
"752","2009-12-24",19.51
"753","2009-12-28",18.98
"754","2009-12-29",19.16
"755","2009-12-30",19
"756","2009-12-31",18.9
"757","2010-01-04",19.469999
"758","2010-01-05",19.530001
"759","2010-01-06",19.59
"760","2010-01-07",19.68
"761","2010-01-08",19.700001
"762","2010-01-11",19.91
"763","2010-01-12",19.959999
"764","2010-01-13",19.34
"765","2010-01-14",20.16
"766","2010-01-15",19.879999
"767","2010-01-19",20.85
"768","2010-01-20",20.889999
"769","2010-01-21",20.309999
"770","2010-01-22",20.15
"771","2010-01-25",19.91
"772","2010-01-26",20.299999
"773","2010-01-27",19.719999
"774","2010-01-28",19.49
"775","2010-01-29",19.67
"776","2010-02-01",20.02
"777","2010-02-02",20.120001
