"","date","RUSHB"
"428","2008-09-12",8.74
"429","2008-09-15",8.7
"430","2008-09-16",9.133333
"431","2008-09-17",8.406667
"432","2008-09-18",8.74
"433","2008-09-19",9
"434","2008-09-22",8.66
"435","2008-09-23",8.893333
"436","2008-09-24",8.566667
"437","2008-09-25",8.566667
"438","2008-09-26",8.513333
"439","2008-09-29",8.466666
"440","2008-09-30",8.373333
"441","2008-10-01",8.466666
"442","2008-10-02",7.993333
"443","2008-10-03",7.333333
"444","2008-10-06",7.006667
"445","2008-10-07",6.586667
"446","2008-10-08",5.986667
"447","2008-10-09",5.733333
"448","2008-10-10",5.82
"449","2008-10-13",6.266667
"450","2008-10-14",6.186666
"451","2008-10-15",5.42
"452","2008-10-16",5.473333
"453","2008-10-17",5.76
"454","2008-10-20",5.826667
"455","2008-10-21",5.533333
"456","2008-10-22",5.426667
"457","2008-10-23",5.54
"458","2008-10-24",5.546667
"459","2008-10-27",5.46
"460","2008-10-28",5.993333
"461","2008-10-29",6.233333
"462","2008-10-30",6.326667
"463","2008-10-31",7.113333
"464","2008-11-03",7.08
"465","2008-11-04",7.186666
"466","2008-11-05",6.6
"467","2008-11-06",6.04
"468","2008-11-07",5.913333
"469","2008-11-10",5.653333
"470","2008-11-11",5.46
"471","2008-11-12",5.3
"472","2008-11-13",5.34
"473","2008-11-14",5.166667
"474","2008-11-17",4.86
"475","2008-11-18",4.666667
"476","2008-11-19",4.266667
"477","2008-11-20",4.286667
"478","2008-11-21",4.646667
"479","2008-11-24",5.293334
"480","2008-11-25",5.786667
"481","2008-11-26",6.206666
"482","2008-11-28",6.506667
"483","2008-12-01",6.153333
"484","2008-12-02",6.046667
"485","2008-12-03",6.113333
"486","2008-12-04",6.286667
"487","2008-12-05",6.02
"488","2008-12-08",6.473333
"489","2008-12-09",6.12
"490","2008-12-10",6.093333
"491","2008-12-11",5.526667
"492","2008-12-12",5.813334
"493","2008-12-15",5.426667
"494","2008-12-16",5.873333
"495","2008-12-17",6.266667
"496","2008-12-18",5.8
"497","2008-12-19",5.813334
"498","2008-12-22",5.326667
"499","2008-12-23",5.18
"500","2008-12-24",5.453333
"501","2008-12-26",5.433333
"502","2008-12-29",5.253334
"503","2008-12-30",5.54
"504","2008-12-31",5.46
"505","2009-01-02",5.986667
"506","2009-01-05",5.86
"507","2009-01-06",6.146667
"508","2009-01-07",5.753334
"509","2009-01-08",6.08
"510","2009-01-09",5.506667
"511","2009-01-12",5.293334
"512","2009-01-13",5.453333
"513","2009-01-14",5.246666
"514","2009-01-15",5.64
"515","2009-01-16",5.633333
"516","2009-01-20",5.686666
"517","2009-01-21",5.706666
"518","2009-01-22",5.933333
"519","2009-01-23",5.366667
"520","2009-01-26",5.64
"521","2009-01-27",5.68
"522","2009-01-28",5.993333
"523","2009-01-29",5.786667
"524","2009-01-30",5.886667
"525","2009-02-02",5.78
