"","date","FGEN"
"580","2017-03-07",24.25
"581","2017-03-08",25.4
"582","2017-03-09",25.4
"583","2017-03-10",25.85
"584","2017-03-13",26.25
"585","2017-03-14",25.200001
"586","2017-03-15",25.35
"587","2017-03-16",25.1
"588","2017-03-17",25
"589","2017-03-20",25.1
"590","2017-03-21",23.15
"591","2017-03-22",25.049999
"592","2017-03-23",25.049999
"593","2017-03-24",24.799999
"594","2017-03-27",25.450001
"595","2017-03-28",25.200001
"596","2017-03-29",25.450001
"597","2017-03-30",24.799999
"598","2017-03-31",24.65
"599","2017-04-03",23.700001
"600","2017-04-04",23.9
"601","2017-04-05",22.950001
"602","2017-04-06",26.4
"603","2017-04-07",26.15
"604","2017-04-10",25.450001
"605","2017-04-11",25.200001
"606","2017-04-12",24.549999
"607","2017-04-13",25.25
"608","2017-04-17",25.450001
"609","2017-04-18",25.299999
"610","2017-04-19",25.75
"611","2017-04-20",26.299999
"612","2017-04-21",26.049999
"613","2017-04-24",26.549999
"614","2017-04-25",28
"615","2017-04-26",27.9
"616","2017-04-27",28.049999
"617","2017-04-28",28
"618","2017-05-01",28.75
"619","2017-05-02",29
"620","2017-05-03",28.549999
"621","2017-05-04",28.4
"622","2017-05-05",28.049999
"623","2017-05-08",27.299999
"624","2017-05-09",27.799999
"625","2017-05-10",27.299999
"626","2017-05-11",26.65
"627","2017-05-12",27.450001
"628","2017-05-15",27.9
"629","2017-05-16",28
"630","2017-05-17",26.700001
"631","2017-05-18",27.25
"632","2017-05-19",26.75
"633","2017-05-22",26.6
"634","2017-05-23",26.9
"635","2017-05-24",27.299999
"636","2017-05-25",27.15
"637","2017-05-26",27.25
"638","2017-05-30",25.75
"639","2017-05-31",26.299999
"640","2017-06-01",27.6
"641","2017-06-02",27.75
"642","2017-06-05",28.700001
"643","2017-06-06",29.049999
"644","2017-06-07",28.65
"645","2017-06-08",29.15
"646","2017-06-09",28.9
"647","2017-06-12",28.1
"648","2017-06-13",29.25
"649","2017-06-14",29.25
"650","2017-06-15",29.35
"651","2017-06-16",29.799999
"652","2017-06-19",29.6
"653","2017-06-20",30.15
"654","2017-06-21",31.6
"655","2017-06-22",32.349998
"656","2017-06-23",32.25
"657","2017-06-26",32.549999
"658","2017-06-27",31.4
"659","2017-06-28",32.049999
"660","2017-06-29",31.6
"661","2017-06-30",32.299999
"662","2017-07-03",32.700001
"663","2017-07-05",33.950001
"664","2017-07-06",32.75
"665","2017-07-07",33.450001
"666","2017-07-10",32.549999
"667","2017-07-11",33.450001
"668","2017-07-12",33.349998
"669","2017-07-13",33.549999
"670","2017-07-14",33.5
"671","2017-07-17",35
"672","2017-07-18",34.650002
"673","2017-07-19",34.700001
"674","2017-07-20",35.25
"675","2017-07-21",34.950001
"676","2017-07-24",35.549999
"677","2017-07-25",35.200001
"678","2017-07-26",35.5
"679","2017-07-27",33.700001
"680","2017-07-28",34.25
"681","2017-07-31",34.150002
"682","2017-08-01",33.799999
"683","2017-08-02",34.950001
"684","2017-08-03",34.700001
"685","2017-08-04",35
"686","2017-08-07",33.400002
"687","2017-08-08",49.5
"688","2017-08-09",43.650002
"689","2017-08-10",41.099998
"690","2017-08-11",41.650002
"691","2017-08-14",44.049999
"692","2017-08-15",41.299999
"693","2017-08-16",40.75
"694","2017-08-17",41
"695","2017-08-18",41
"696","2017-08-21",41.25
"697","2017-08-22",41.400002
"698","2017-08-23",41.200001
"699","2017-08-24",43
"700","2017-08-25",42.799999
"701","2017-08-28",43.5
"702","2017-08-29",44.849998
"703","2017-08-30",46.450001
"704","2017-08-31",48.200001
"705","2017-09-01",49
"706","2017-09-05",48.150002
"707","2017-09-06",48.099998
"708","2017-09-07",48.799999
"709","2017-09-08",49.099998
"710","2017-09-11",49.900002
"711","2017-09-12",49.849998
"712","2017-09-13",51.599998
"713","2017-09-14",52.099998
"714","2017-09-15",52.400002
"715","2017-09-18",52.75
"716","2017-09-19",53.5
"717","2017-09-20",53.900002
"718","2017-09-21",52.900002
"719","2017-09-22",51.349998
"720","2017-09-25",51.75
"721","2017-09-26",50.5
"722","2017-09-27",51.950001
"723","2017-09-28",53.450001
"724","2017-09-29",53.799999
"725","2017-10-02",55.650002
"726","2017-10-03",56.049999
"727","2017-10-04",60.099998
"728","2017-10-05",56.700001
"729","2017-10-06",55.200001
"730","2017-10-09",55.099998
"731","2017-10-10",55.150002
"732","2017-10-11",56.450001
"733","2017-10-12",55.825001
"734","2017-10-13",54.75
"735","2017-10-16",54.5
"736","2017-10-17",55.299999
"737","2017-10-18",55.049999
"738","2017-10-19",54.150002
"739","2017-10-20",54.650002
"740","2017-10-23",54.200001
"741","2017-10-24",54.650002
"742","2017-10-25",54
"743","2017-10-26",54.200001
"744","2017-10-27",55.900002
"745","2017-10-30",56.099998
"746","2017-10-31",55.849998
"747","2017-11-01",54.950001
"748","2017-11-02",55
"749","2017-11-03",55.75
"750","2017-11-06",55.799999
"751","2017-11-07",53.900002
"752","2017-11-08",54.049999
"753","2017-11-09",48.25
"754","2017-11-10",47.125
"755","2017-11-13",46.200001
"756","2017-11-14",44.849998
"757","2017-11-15",45.049999
"758","2017-11-16",47.099998
"759","2017-11-17",46.875
"760","2017-11-20",47.549999
"761","2017-11-21",47.799999
"762","2017-11-22",47.349998
"763","2017-11-24",47.5
"764","2017-11-27",47.150002
"765","2017-11-28",47.299999
"766","2017-11-29",46.950001
"767","2017-11-30",47.5
"768","2017-12-01",47.150002
"769","2017-12-04",44.5
"770","2017-12-05",44.450001
"771","2017-12-06",44.849998
"772","2017-12-07",45.25
"773","2017-12-08",46.400002
"774","2017-12-11",45.049999
"775","2017-12-12",43.700001
"776","2017-12-13",44.150002
"777","2017-12-14",41.950001
"778","2017-12-15",42.400002
"779","2017-12-18",43.349998
"780","2017-12-19",43.349998
"781","2017-12-20",44.549999
"782","2017-12-21",45.549999
"783","2017-12-22",47.799999
"784","2017-12-26",47.799999
"785","2017-12-27",47.950001
"786","2017-12-28",48.75
"787","2017-12-29",47.400002
"788","2018-01-02",50.700001
"789","2018-01-03",50.299999
"790","2018-01-04",47.650002
"791","2018-01-05",46.150002
"792","2018-01-08",46.200001
"793","2018-01-09",48.349998
"794","2018-01-10",48
"795","2018-01-11",48.950001
"796","2018-01-12",49.5
"797","2018-01-16",47.799999
"798","2018-01-17",48.200001
"799","2018-01-18",47.299999
"800","2018-01-19",47.849998
"801","2018-01-22",49.900002
"802","2018-01-23",53.25
"803","2018-01-24",52.799999
"804","2018-01-25",57.900002
"805","2018-01-26",58.349998
"806","2018-01-29",61.650002
"807","2018-01-30",60.549999
"808","2018-01-31",58.549999
"809","2018-02-01",59.349998
"810","2018-02-02",55.75
"811","2018-02-05",53.200001
"812","2018-02-06",53.799999
"813","2018-02-07",53.950001
"814","2018-02-08",51
"815","2018-02-09",50.700001
"816","2018-02-12",53.099998
"817","2018-02-13",54.25
"818","2018-02-14",56.400002
"819","2018-02-15",56.450001
"820","2018-02-16",56.5
"821","2018-02-20",54.599998
"822","2018-02-21",56
"823","2018-02-22",56.200001
"824","2018-02-23",57.5
"825","2018-02-26",59.75
"826","2018-02-27",58.450001
"827","2018-02-28",55.099998
"828","2018-03-01",54.950001
"829","2018-03-02",55.400002
"830","2018-03-05",55.299999
"831","2018-03-06",53.549999
"832","2018-03-07",54.450001
"833","2018-03-08",54.200001
"834","2018-03-09",55.450001
"835","2018-03-12",54.799999
"836","2018-03-13",53.450001
"837","2018-03-14",53.75
"838","2018-03-15",51.200001
"839","2018-03-16",51.150002
"840","2018-03-19",50.049999
"841","2018-03-20",50.5
"842","2018-03-21",51.049999
"843","2018-03-22",48.900002
"844","2018-03-23",46.700001
"845","2018-03-26",48.799999
"846","2018-03-27",45.349998
"847","2018-03-28",46.049999
"848","2018-03-29",46.200001
"849","2018-04-02",45
"850","2018-04-03",45.299999
"851","2018-04-04",46.700001
"852","2018-04-05",45
"853","2018-04-06",44.900002
"854","2018-04-09",46.25
"855","2018-04-10",48.849998
"856","2018-04-11",48.200001
"857","2018-04-12",48.700001
"858","2018-04-13",48.049999
"859","2018-04-16",47.400002
"860","2018-04-17",48.900002
"861","2018-04-18",48.150002
"862","2018-04-19",46.599998
"863","2018-04-20",46.400002
"864","2018-04-23",46.349998
"865","2018-04-24",46.849998
"866","2018-04-25",46.650002
"867","2018-04-26",47.099998
"868","2018-04-27",46.700001
"869","2018-04-30",45.450001
"870","2018-05-01",46.75
"871","2018-05-02",47.150002
"872","2018-05-03",46.150002
"873","2018-05-04",47.650002
"874","2018-05-07",48.150002
"875","2018-05-08",47.650002
"876","2018-05-09",48.099998
"877","2018-05-10",45.400002
"878","2018-05-11",47.400002
"879","2018-05-14",49.700001
"880","2018-05-15",51.099998
"881","2018-05-16",52.599998
"882","2018-05-17",51.299999
"883","2018-05-18",51.150002
"884","2018-05-21",52.549999
"885","2018-05-22",53.450001
"886","2018-05-23",53.5
"887","2018-05-24",51.450001
"888","2018-05-25",51.650002
"889","2018-05-29",51.25
"890","2018-05-30",52.700001
"891","2018-05-31",53.900002
"892","2018-06-01",54.049999
"893","2018-06-04",55.599998
"894","2018-06-05",55.299999
"895","2018-06-06",56.599998
"896","2018-06-07",55.799999
"897","2018-06-08",57.900002
"898","2018-06-11",57.349998
"899","2018-06-12",58.25
"900","2018-06-13",59.400002
"901","2018-06-14",59.099998
"902","2018-06-15",58.849998
"903","2018-06-18",59.700001
"904","2018-06-19",61.799999
"905","2018-06-20",63.900002
"906","2018-06-21",64.400002
"907","2018-06-22",64.949997
"908","2018-06-25",63.5
"909","2018-06-26",61.349998
"910","2018-06-27",60.849998
"911","2018-06-28",61.799999
"912","2018-06-29",62.599998
"913","2018-07-02",63.25
"914","2018-07-03",64.949997
"915","2018-07-05",63.450001
"916","2018-07-06",67.25
"917","2018-07-09",65.900002
"918","2018-07-10",65.849998
"919","2018-07-11",65.050003
"920","2018-07-12",65.349998
"921","2018-07-13",63.900002
"922","2018-07-16",63.049999
"923","2018-07-17",65.699997
"924","2018-07-18",65.150002
"925","2018-07-19",64.400002
"926","2018-07-20",65.050003
"927","2018-07-23",66.400002
"928","2018-07-24",63.25
"929","2018-07-25",65.900002
"930","2018-07-26",65.400002
"931","2018-07-27",62.099998
"932","2018-07-30",61.700001
"933","2018-07-31",63.099998
"934","2018-08-01",63.549999
"935","2018-08-02",62.950001
"936","2018-08-03",61.200001
"937","2018-08-06",62.349998
"938","2018-08-07",62.950001
"939","2018-08-08",61.75
"940","2018-08-09",59.549999
"941","2018-08-10",59.950001
"942","2018-08-13",60.150002
"943","2018-08-14",60.599998
"944","2018-08-15",60.25
"945","2018-08-16",60.549999
"946","2018-08-17",60.700001
"947","2018-08-20",59.299999
"948","2018-08-21",60.950001
"949","2018-08-22",61.799999
"950","2018-08-23",59.75
"951","2018-08-24",59.549999
"952","2018-08-27",61.450001
"953","2018-08-28",60.450001
"954","2018-08-29",60.900002
"955","2018-08-30",60.799999
"956","2018-08-31",61.150002
"957","2018-09-04",61.049999
"958","2018-09-05",60.450001
"959","2018-09-06",57.299999
"960","2018-09-07",56.950001
"961","2018-09-10",58.599998
"962","2018-09-11",59
"963","2018-09-12",59.599998
"964","2018-09-13",59.549999
