"","date","SAGE"
"457","2016-05-10",34.610001
"458","2016-05-11",32.799999
"459","2016-05-12",31.66
"460","2016-05-13",32.09
"461","2016-05-16",32.790001
"462","2016-05-17",31.85
"463","2016-05-18",31.42
"464","2016-05-19",30.280001
"465","2016-05-20",31.209999
"466","2016-05-23",32.630001
"467","2016-05-24",30.51
"468","2016-05-25",31.73
"469","2016-05-26",31.41
"470","2016-05-27",31.48
"471","2016-05-31",32.91
"472","2016-06-01",33.759998
"473","2016-06-02",34.169998
"474","2016-06-03",33.349998
"475","2016-06-06",34.290001
"476","2016-06-07",33.970001
"477","2016-06-08",34.939999
"478","2016-06-09",32.09
"479","2016-06-10",30.389999
"480","2016-06-13",29.129999
"481","2016-06-14",28.16
"482","2016-06-15",28.639999
"483","2016-06-16",28.950001
"484","2016-06-17",28.32
"485","2016-06-20",29.59
"486","2016-06-21",28.9
"487","2016-06-22",28.35
"488","2016-06-23",30.799999
"489","2016-06-24",28.540001
"490","2016-06-27",26.959999
"491","2016-06-28",28.25
"492","2016-06-29",29.33
"493","2016-06-30",30.129999
"494","2016-07-01",31.1
"495","2016-07-05",31.280001
"496","2016-07-06",32.32
"497","2016-07-07",32.16
"498","2016-07-08",33.970001
"499","2016-07-11",33.650002
"500","2016-07-12",46.209999
"501","2016-07-13",42.43
"502","2016-07-14",41.880001
"503","2016-07-15",42.220001
"504","2016-07-18",42.580002
"505","2016-07-19",41.98
"506","2016-07-20",43.200001
"507","2016-07-21",43.389999
"508","2016-07-22",44.380001
"509","2016-07-25",43.709999
"510","2016-07-26",44.330002
"511","2016-07-27",45.130001
"512","2016-07-28",44.799999
"513","2016-07-29",44.860001
"514","2016-08-01",44.099998
"515","2016-08-02",43.029999
"516","2016-08-03",44.009998
"517","2016-08-04",43.23
"518","2016-08-05",44
"519","2016-08-08",42.459999
"520","2016-08-09",36.860001
"521","2016-08-10",36.810001
"522","2016-08-11",37.400002
"523","2016-08-12",36.709999
"524","2016-08-15",36.950001
"525","2016-08-16",35.830002
"526","2016-08-17",35.950001
"527","2016-08-18",36.380001
"528","2016-08-19",36.450001
"529","2016-08-22",37.66
"530","2016-08-23",38.16
"531","2016-08-24",37.23
"532","2016-08-25",37.41
"533","2016-08-26",38.57
"534","2016-08-29",38.549999
"535","2016-08-30",38.029999
"536","2016-08-31",37.169998
"537","2016-09-01",36.959999
"538","2016-09-02",36.470001
"539","2016-09-06",40.919998
"540","2016-09-07",41.34
"541","2016-09-08",40.27
"542","2016-09-09",39.009998
