"","date","INSP"
"496","2020-04-22",69.989998
"497","2020-04-23",69.75
"498","2020-04-24",72.360001
"499","2020-04-27",74.5
"500","2020-04-28",74.080002
"501","2020-04-29",75.260002
"502","2020-04-30",71.660004
"503","2020-05-01",68.07
"504","2020-05-04",67.260002
"505","2020-05-05",68.75
"506","2020-05-06",69.75
"507","2020-05-07",71.5
"508","2020-05-08",71.440002
"509","2020-05-11",70.349998
"510","2020-05-12",68.529999
"511","2020-05-13",68.239998
"512","2020-05-14",72.269997
"513","2020-05-15",75.529999
"514","2020-05-18",79.620003
"515","2020-05-19",79.860001
"516","2020-05-20",83.029999
"517","2020-05-21",81.510002
"518","2020-05-22",86.18
"519","2020-05-26",79.870003
"520","2020-05-27",79.230003
"521","2020-05-28",80
"522","2020-05-29",81.540001
"523","2020-06-01",83.349998
"524","2020-06-02",84.470001
"525","2020-06-03",86.550003
"526","2020-06-04",84.809998
"527","2020-06-05",89.18
"528","2020-06-08",89.199997
"529","2020-06-09",88.339996
"530","2020-06-10",85.480003
"531","2020-06-11",80.949997
"532","2020-06-12",83.370003
"533","2020-06-15",85.519997
"534","2020-06-16",87.889999
"535","2020-06-17",92.610001
"536","2020-06-18",93.379997
"537","2020-06-19",96.019997
"538","2020-06-22",96.099998
"539","2020-06-23",97.93
"540","2020-06-24",91.910004
"541","2020-06-25",91.169998
"542","2020-06-26",84.5
"543","2020-06-29",84.629997
"544","2020-06-30",87.019997
"545","2020-07-01",87.5
"546","2020-07-02",88.879997
"547","2020-07-06",91.32
"548","2020-07-07",89.150002
"549","2020-07-08",93.139999
"550","2020-07-09",94.650002
"551","2020-07-10",92.220001
"552","2020-07-13",92.099998
"553","2020-07-14",89.970001
"554","2020-07-15",99.470001
"555","2020-07-16",96.160004
"556","2020-07-17",98.480003
"557","2020-07-20",99.110001
"558","2020-07-21",99.389999
"559","2020-07-22",101.879997
"560","2020-07-23",101.18
"561","2020-07-24",99.739998
"562","2020-07-27",101.660004
"563","2020-07-28",97.529999
"564","2020-07-29",101.199997
"565","2020-07-30",99.720001
"566","2020-07-31",99.360001
"567","2020-08-03",101.410004
"568","2020-08-04",101.989998
"569","2020-08-05",108.889999
"570","2020-08-06",105.949997
"571","2020-08-07",104.919998
"572","2020-08-10",105.379997
"573","2020-08-11",105.230003
"574","2020-08-12",108.019997
"575","2020-08-13",110
"576","2020-08-14",108.059998
"577","2020-08-17",107.379997
"578","2020-08-18",111
"579","2020-08-19",110.970001
"580","2020-08-20",112.519997
"581","2020-08-21",111.309998
"582","2020-08-24",113.139999
"583","2020-08-25",117.150002
"584","2020-08-26",118.620003
"585","2020-08-27",115.480003
"586","2020-08-28",117.129997
"587","2020-08-31",119.449997
"588","2020-09-01",123.919998
"589","2020-09-02",125.150002
"590","2020-09-03",119.57
"591","2020-09-04",118.279999
"592","2020-09-08",117.720001
"593","2020-09-09",120.849998
"594","2020-09-10",122.57
"595","2020-09-11",127.470001
"596","2020-09-14",129.570007
"597","2020-09-15",125.25
"598","2020-09-16",123.580002
"599","2020-09-17",124.010002
"600","2020-09-18",126.849998
"601","2020-09-21",121.410004
"602","2020-09-22",128
"603","2020-09-23",128.070007
"604","2020-09-24",125.010002
"605","2020-09-25",127.410004
"606","2020-09-28",130.910004
"607","2020-09-29",129.929993
"608","2020-09-30",129.050003
"609","2020-10-01",130.419998
"610","2020-10-02",126.300003
"611","2020-10-05",129.669998
"612","2020-10-06",130.149994
"613","2020-10-07",133.789993
"614","2020-10-08",128.679993
"615","2020-10-09",130
"616","2020-10-12",124.980003
"617","2020-10-13",128.630005
"618","2020-10-14",124.860001
"619","2020-10-15",126.360001
"620","2020-10-16",126.739998
"621","2020-10-19",123.970001
"622","2020-10-20",122.760002
"623","2020-10-21",119.349998
"624","2020-10-22",123.849998
"625","2020-10-23",126.68
"626","2020-10-26",125.480003
"627","2020-10-27",125.980003
"628","2020-10-28",120
"629","2020-10-29",123.889999
"630","2020-10-30",119.43
"631","2020-11-02",121.75
"632","2020-11-03",160.5
"633","2020-11-04",166.009995
"634","2020-11-05",167.639999
"635","2020-11-06",167.990005
"636","2020-11-09",169.350006
"637","2020-11-10",174.089996
"638","2020-11-11",181.190002
"639","2020-11-12",180.75
"640","2020-11-13",174.660004
"641","2020-11-16",173.910004
"642","2020-11-17",170
"643","2020-11-18",172.979996
"644","2020-11-19",178.389999
"645","2020-11-20",179.539993
"646","2020-11-23",183.139999
"647","2020-11-24",183.589996
"648","2020-11-25",181.979996
"649","2020-11-27",184.990005
