"","date","HDS"
"465","2015-05-01",32.98
"466","2015-05-04",32.939999
"467","2015-05-05",32.380001
"468","2015-05-06",32.470001
"469","2015-05-07",32.540001
"470","2015-05-08",32.82
"471","2015-05-11",32.57
"472","2015-05-12",32.689999
"473","2015-05-13",32.580002
"474","2015-05-14",32.549999
"475","2015-05-15",32.23
"476","2015-05-18",32.939999
"477","2015-05-19",33.060001
"478","2015-05-20",33.189999
"479","2015-05-21",33.57
"480","2015-05-22",33.32
"481","2015-05-26",32.990002
"482","2015-05-27",33
"483","2015-05-28",32.810001
"484","2015-05-29",32.450001
"485","2015-06-01",32.919998
"486","2015-06-02",33.209999
"487","2015-06-03",33.459999
"488","2015-06-04",33.16
"489","2015-06-05",33.23
"490","2015-06-08",32.450001
"491","2015-06-09",33.950001
"492","2015-06-10",33.900002
"493","2015-06-11",33.900002
"494","2015-06-12",33.790001
"495","2015-06-15",34.400002
"496","2015-06-16",34.400002
"497","2015-06-17",34.599998
"498","2015-06-18",34.990002
"499","2015-06-19",34.759998
"500","2015-06-22",35.43
"501","2015-06-23",35.5
"502","2015-06-24",35.259998
"503","2015-06-25",35.099998
"504","2015-06-26",35.360001
"505","2015-06-29",34.720001
"506","2015-06-30",35.18
"507","2015-07-01",35
"508","2015-07-02",35.02
"509","2015-07-06",34.919998
"510","2015-07-07",34.779999
"511","2015-07-08",34.18
"512","2015-07-09",34.290001
"513","2015-07-10",34.810001
"514","2015-07-13",35.419998
"515","2015-07-14",35.599998
"516","2015-07-15",35.330002
"517","2015-07-16",36.689999
"518","2015-07-17",36.119999
"519","2015-07-20",36.099998
"520","2015-07-21",35.68
"521","2015-07-22",35.740002
"522","2015-07-23",34.560001
"523","2015-07-24",33.59
"524","2015-07-27",33.529999
"525","2015-07-28",33.709999
"526","2015-07-29",34.639999
"527","2015-07-30",35.209999
"528","2015-07-31",35.799999
"529","2015-08-03",34.990002
"530","2015-08-04",34.560001
"531","2015-08-05",34.919998
"532","2015-08-06",34.259998
"533","2015-08-07",34.240002
"534","2015-08-10",34.810001
"535","2015-08-11",34.259998
"536","2015-08-12",34.110001
"537","2015-08-13",34.259998
"538","2015-08-14",34.889999
"539","2015-08-17",34.799999
"540","2015-08-18",34.689999
"541","2015-08-19",34.599998
"542","2015-08-20",33.75
"543","2015-08-21",33.080002
"544","2015-08-24",31.26
"545","2015-08-25",30.879999
"546","2015-08-26",31.780001
"547","2015-08-27",32.939999
"548","2015-08-28",33.290001
"549","2015-08-31",33
"550","2015-09-01",31.809999
"551","2015-09-02",32.189999
"552","2015-09-03",32.48
"553","2015-09-04",32.169998
"554","2015-09-08",33.25
"555","2015-09-09",32.490002
"556","2015-09-10",32.169998
"557","2015-09-11",32.279999
"558","2015-09-14",32.32
"559","2015-09-15",32.669998
"560","2015-09-16",33.330002
"561","2015-09-17",33.43
"562","2015-09-18",32.509998
"563","2015-09-21",32.599998
"564","2015-09-22",31.969999
"565","2015-09-23",31.66
"566","2015-09-24",31.370001
"567","2015-09-25",30.629999
"568","2015-09-28",28.440001
"569","2015-09-29",28.1
"570","2015-09-30",28.620001
"571","2015-10-01",28.35
"572","2015-10-02",28.870001
"573","2015-10-05",29.65
"574","2015-10-06",29.629999
"575","2015-10-07",30.1
"576","2015-10-08",30.799999
"577","2015-10-09",31.33
"578","2015-10-12",30.92
"579","2015-10-13",29.870001
"580","2015-10-14",29.73
"581","2015-10-15",29.790001
"582","2015-10-16",28.83
"583","2015-10-19",28.52
"584","2015-10-20",28.57
"585","2015-10-21",29.4
"586","2015-10-22",29.75
"587","2015-10-23",29.83
"588","2015-10-26",29.799999
"589","2015-10-27",29
"590","2015-10-28",29.35
"591","2015-10-29",29.65
"592","2015-10-30",29.790001
"593","2015-11-02",30.35
"594","2015-11-03",30.27
"595","2015-11-04",30.84
"596","2015-11-05",30.51
"597","2015-11-06",30.540001
"598","2015-11-09",29.969999
"599","2015-11-10",29.700001
"600","2015-11-11",29.799999
"601","2015-11-12",28.34
"602","2015-11-13",28.389999
"603","2015-11-16",28.959999
"604","2015-11-17",29.209999
"605","2015-11-18",30.389999
"606","2015-11-19",30.549999
"607","2015-11-20",30.77
"608","2015-11-23",31.09
"609","2015-11-24",31.18
"610","2015-11-25",31.66
"611","2015-11-27",31.559999
"612","2015-11-30",31.629999
"613","2015-12-01",32.169998
"614","2015-12-02",31.51
"615","2015-12-03",31.379999
