"","date","PFSI"
"655","2015-12-11",15.64
"656","2015-12-14",15.67
"657","2015-12-15",15.82
"658","2015-12-16",16.049999
"659","2015-12-17",16.280001
"660","2015-12-18",15.87
"661","2015-12-21",15.82
"662","2015-12-22",15.9
"663","2015-12-23",16.25
"664","2015-12-24",16.6
"665","2015-12-28",16.16
"666","2015-12-29",16
"667","2015-12-30",15.61
"668","2015-12-31",15.36
"669","2016-01-04",15.13
"670","2016-01-05",15.16
"671","2016-01-06",14.99
"672","2016-01-07",14.43
"673","2016-01-08",14.37
"674","2016-01-11",13.58
"675","2016-01-12",13.6
"676","2016-01-13",12.88
"677","2016-01-14",12.81
"678","2016-01-15",12.45
"679","2016-01-19",12.15
"680","2016-01-20",11.75
"681","2016-01-21",12.1
"682","2016-01-22",12.17
"683","2016-01-25",11.45
"684","2016-01-26",11.76
"685","2016-01-27",11.48
"686","2016-01-28",11.65
"687","2016-01-29",11.91
"688","2016-02-01",11.91
"689","2016-02-02",11.7
"690","2016-02-03",11.39
"691","2016-02-04",11.25
"692","2016-02-05",11.12
"693","2016-02-08",11.16
"694","2016-02-09",11
"695","2016-02-10",10.99
"696","2016-02-11",10.84
"697","2016-02-12",11.46
"698","2016-02-16",11.96
"699","2016-02-17",12.53
"700","2016-02-18",12.47
"701","2016-02-19",12.31
"702","2016-02-22",12.17
"703","2016-02-23",11.99
"704","2016-02-24",12.42
"705","2016-02-25",12.78
"706","2016-02-26",12.47
"707","2016-02-29",12.41
"708","2016-03-01",12.02
"709","2016-03-02",12
"710","2016-03-03",12.14
"711","2016-03-04",11.76
"712","2016-03-07",11.28
"713","2016-03-08",10.97
"714","2016-03-09",11.16
"715","2016-03-10",10.81
"716","2016-03-11",11.29
"717","2016-03-14",11.32
"718","2016-03-15",10.87
"719","2016-03-16",11.14
"720","2016-03-17",11.71
"721","2016-03-18",11.96
"722","2016-03-21",11.5
"723","2016-03-22",11.34
"724","2016-03-23",11.19
"725","2016-03-24",11.08
"726","2016-03-28",11.1
"727","2016-03-29",11.62
"728","2016-03-30",11.81
"729","2016-03-31",11.76
"730","2016-04-01",11.51
