"","date","CAC"
"467","2008-11-06",18.34
"468","2008-11-07",19.120001
"469","2008-11-10",18.66
"470","2008-11-11",18.106667
"471","2008-11-12",16.799999
"472","2008-11-13",19.133333
"473","2008-11-14",17.013334
"474","2008-11-17",16.673334
"475","2008-11-18",16.5
"476","2008-11-19",16.466667
"477","2008-11-20",16.18
"478","2008-11-21",16.433332
"479","2008-11-24",18.299999
"480","2008-11-25",17.913334
"481","2008-11-26",18.133333
"482","2008-11-28",18.786667
"483","2008-12-01",16.173334
"484","2008-12-02",16.92
"485","2008-12-03",17.379999
"486","2008-12-04",16.206667
"487","2008-12-05",17.993334
"488","2008-12-08",18.113333
"489","2008-12-09",17.92
"490","2008-12-10",18.280001
"491","2008-12-11",17.026667
"492","2008-12-12",17.813334
"493","2008-12-15",17.093334
"494","2008-12-16",17.926666
"495","2008-12-17",17.946667
"496","2008-12-18",17.273333
"497","2008-12-19",17.313334
"498","2008-12-22",17.193333
"499","2008-12-23",17.200001
"500","2008-12-24",17.253334
"501","2008-12-26",17.26
"502","2008-12-29",17.1
"503","2008-12-30",17.513334
"504","2008-12-31",17.986666
"505","2009-01-02",17.68
"506","2009-01-05",17.626667
"507","2009-01-06",17.533333
"508","2009-01-07",17.459999
"509","2009-01-08",19.653334
"510","2009-01-09",17.846666
"511","2009-01-12",17.306667
"512","2009-01-13",17.626667
"513","2009-01-14",15.926666
"514","2009-01-15",16.386667
"515","2009-01-16",16.559999
"516","2009-01-20",15.306666
"517","2009-01-21",16.280001
"518","2009-01-22",15.446667
"519","2009-01-23",14.906667
"520","2009-01-26",15.333333
"521","2009-01-27",15.326667
"522","2009-01-28",16.16
"523","2009-01-29",16.32
"524","2009-01-30",15.533334
"525","2009-02-02",15.573334
"526","2009-02-03",16.973333
"527","2009-02-04",17.346666
"528","2009-02-05",17.913334
"529","2009-02-06",18.066668
"530","2009-02-09",17.586666
"531","2009-02-10",16.046667
"532","2009-02-11",16.006666
"533","2009-02-12",16.046667
"534","2009-02-13",16.946667
"535","2009-02-17",15.846666
"536","2009-02-18",15.793333
"537","2009-02-19",15.846666
"538","2009-02-20",15.98
"539","2009-02-23",15.06
"540","2009-02-24",16.306667
"541","2009-02-25",15.733334
"542","2009-02-26",15.526667
"543","2009-02-27",14.873333
"544","2009-03-02",13.973333
"545","2009-03-03",12.58
"546","2009-03-04",13.066667
"547","2009-03-05",10.886666
"548","2009-03-06",10.733334
"549","2009-03-09",10.373333
"550","2009-03-10",12
"551","2009-03-11",11.933333
"552","2009-03-12",13.773334
"553","2009-03-13",13.18
"554","2009-03-16",12.893333
"555","2009-03-17",14.533334
"556","2009-03-18",16.293333
"557","2009-03-19",15.626667
"558","2009-03-20",14.733334
"559","2009-03-23",16.32
"560","2009-03-24",15.413333
"561","2009-03-25",15.8
"562","2009-03-26",17.98
"563","2009-03-27",15.34
"564","2009-03-30",15
"565","2009-03-31",15.233334
"566","2009-04-01",16.166666
"567","2009-04-02",17
"568","2009-04-03",16.366667
"569","2009-04-06",15.713333
"570","2009-04-07",15.753333
"571","2009-04-08",16.246666
"572","2009-04-09",17.666666
"573","2009-04-13",17.653334
"574","2009-04-14",17.120001
"575","2009-04-15",17.826666
"576","2009-04-16",18.933332
"577","2009-04-17",18.226667
"578","2009-04-20",15.753333
"579","2009-04-21",17.08
"580","2009-04-22",17.459999
"581","2009-04-23",17.406666
"582","2009-04-24",18.026667
"583","2009-04-27",17.799999
"584","2009-04-28",18.166666
"585","2009-04-29",19.513334
"586","2009-04-30",19.333334
"587","2009-05-01",18.693333
"588","2009-05-04",19.68
"589","2009-05-05",19.16
"590","2009-05-06",18.059999
"591","2009-05-07",16.573334
"592","2009-05-08",18.1
"593","2009-05-11",17.653334
"594","2009-05-12",17.219999
"595","2009-05-13",16.726667
"596","2009-05-14",17.893333
"597","2009-05-15",17.286667
"598","2009-05-18",18.639999
"599","2009-05-19",18.4
"600","2009-05-20",18.313334
"601","2009-05-21",18.106667
"602","2009-05-22",18.52
"603","2009-05-26",20.373333
"604","2009-05-27",20.333334
"605","2009-05-28",20.726667
"606","2009-05-29",21.780001
"607","2009-06-01",22.333334
"608","2009-06-02",23.32
"609","2009-06-03",22.92
"610","2009-06-04",23.646667
"611","2009-06-05",23.086666
"612","2009-06-08",23.013334
"613","2009-06-09",23.006666
"614","2009-06-10",22.299999
"615","2009-06-11",22.74
"616","2009-06-12",22.506666
"617","2009-06-15",20.459999
"618","2009-06-16",20
"619","2009-06-17",20.833334
"620","2009-06-18",19.993334
"621","2009-06-19",20.026667
"622","2009-06-22",19.593334
"623","2009-06-23",20.746666
"624","2009-06-24",21.76
"625","2009-06-25",22.08
"626","2009-06-26",23.333334
"627","2009-06-29",23.386667
"628","2009-06-30",22.686666
"629","2009-07-01",23
"630","2009-07-02",22.393333
"631","2009-07-06",22.466667
"632","2009-07-07",22.206667
"633","2009-07-08",21.98
"634","2009-07-09",21.866667
"635","2009-07-10",21.713333
"636","2009-07-13",22
"637","2009-07-14",21.526667
"638","2009-07-15",22.293333
"639","2009-07-16",23.333334
"640","2009-07-17",23.139999
"641","2009-07-20",23.293333
"642","2009-07-21",22.860001
"643","2009-07-22",22.293333
"644","2009-07-23",23.1
"645","2009-07-24",22.833334
"646","2009-07-27",23.193333
"647","2009-07-28",23.113333
"648","2009-07-29",22.58
"649","2009-07-30",22.913334
"650","2009-07-31",22.379999
"651","2009-08-03",23.173334
"652","2009-08-04",23.313334
"653","2009-08-05",21.959999
"654","2009-08-06",22.639999
"655","2009-08-07",22.813334
"656","2009-08-10",21.893333
"657","2009-08-11",21.953333
"658","2009-08-12",23.093334
"659","2009-08-13",23.046667
"660","2009-08-14",21.82
"661","2009-08-17",21.826666
"662","2009-08-18",21.626667
"663","2009-08-19",21.799999
"664","2009-08-20",22.406666
"665","2009-08-21",22.406666
"666","2009-08-24",21.933332
"667","2009-08-25",22.02
"668","2009-08-26",22.253334
"669","2009-08-27",22.333334
"670","2009-08-28",21.58
"671","2009-08-31",21.566668
"672","2009-09-01",21.4
"673","2009-09-02",21.48
"674","2009-09-03",21.626667
"675","2009-09-04",21.946667
"676","2009-09-08",21.92
"677","2009-09-09",22.106667
"678","2009-09-10",22.073334
"679","2009-09-11",22.346666
"680","2009-09-14",22.126667
"681","2009-09-15",21.74
"682","2009-09-16",22.200001
"683","2009-09-17",22.433332
"684","2009-09-18",22.5
"685","2009-09-21",22.166666
"686","2009-09-22",22.473333
"687","2009-09-23",22.059999
"688","2009-09-24",22.033333
"689","2009-09-25",22.139999
"690","2009-09-28",22.426666
"691","2009-09-29",22.440001
"692","2009-09-30",22.026667
"693","2009-10-01",21.42
"694","2009-10-02",21.5
"695","2009-10-05",21.813334
"696","2009-10-06",22.066668
"697","2009-10-07",21.959999
"698","2009-10-08",21.866667
"699","2009-10-09",22.586666
"700","2009-10-12",22.573334
"701","2009-10-13",22.933332
"702","2009-10-14",23.433332
"703","2009-10-15",23.773333
"704","2009-10-16",22.886667
"705","2009-10-19",22.706667
"706","2009-10-20",22.773333
"707","2009-10-21",21.639999
"708","2009-10-22",22.66
"709","2009-10-23",22.139999
"710","2009-10-26",21.966667
"711","2009-10-27",21.433332
"712","2009-10-28",21.226667
"713","2009-10-29",21.573334
"714","2009-10-30",20.486666
"715","2009-11-02",19.719999
"716","2009-11-03",19.326666
"717","2009-11-04",18.68
"718","2009-11-05",19.386667
"719","2009-11-06",19.24
"720","2009-11-09",19.24
