"","date","TEAM"
"385","2017-06-20",34.599998
"386","2017-06-21",34.799999
"387","2017-06-22",35.299999
"388","2017-06-23",36
"389","2017-06-26",35.93
"390","2017-06-27",35.669998
"391","2017-06-28",36.099998
"392","2017-06-29",35.18
"393","2017-06-30",35.18
"394","2017-07-03",34.16
"395","2017-07-05",34.68
"396","2017-07-06",34.619999
"397","2017-07-07",35.310001
"398","2017-07-10",35.32
"399","2017-07-11",35.34
"400","2017-07-12",36.240002
"401","2017-07-13",35.529999
"402","2017-07-14",35.650002
"403","2017-07-17",35.650002
"404","2017-07-18",35.43
"405","2017-07-19",36.259998
"406","2017-07-20",35.98
"407","2017-07-21",35.75
"408","2017-07-24",36.41
"409","2017-07-25",38
"410","2017-07-26",38.84
"411","2017-07-27",37.970001
"412","2017-07-28",37.139999
"413","2017-07-31",35.82
"414","2017-08-01",36.290001
"415","2017-08-02",34.5
"416","2017-08-03",35.040001
"417","2017-08-04",35.330002
"418","2017-08-07",35.43
"419","2017-08-08",35.150002
"420","2017-08-09",35.439999
"421","2017-08-10",34.779999
"422","2017-08-11",35.459999
"423","2017-08-14",35.98
"424","2017-08-15",36.369999
"425","2017-08-16",37.459999
"426","2017-08-17",36.91
"427","2017-08-18",36.34
"428","2017-08-21",36.169998
"429","2017-08-22",35.900002
"430","2017-08-23",35.75
"431","2017-08-24",35.220001
"432","2017-08-25",34.639999
"433","2017-08-28",34.68
"434","2017-08-29",34.610001
"435","2017-08-30",35.529999
"436","2017-08-31",35.599998
"437","2017-09-01",34.900002
"438","2017-09-05",34.900002
"439","2017-09-06",34.389999
"440","2017-09-07",34.490002
"441","2017-09-08",34.349998
"442","2017-09-11",35.029999
"443","2017-09-12",33.799999
"444","2017-09-13",33.82
"445","2017-09-14",36.549999
"446","2017-09-15",36.150002
"447","2017-09-18",36.389999
"448","2017-09-19",36.419998
"449","2017-09-20",36.07
"450","2017-09-21",35.16
"451","2017-09-22",35.169998
"452","2017-09-25",34.23
"453","2017-09-26",33.939999
"454","2017-09-27",34.299999
"455","2017-09-28",34.490002
"456","2017-09-29",35.150002
"457","2017-10-02",36.25
"458","2017-10-03",36.650002
"459","2017-10-04",37.889999
"460","2017-10-05",38.150002
"461","2017-10-06",38.669998
"462","2017-10-09",39.59
"463","2017-10-10",39.77
"464","2017-10-11",40.389999
"465","2017-10-12",40.330002
"466","2017-10-13",39.639999
"467","2017-10-16",39.549999
"468","2017-10-17",39.75
"469","2017-10-18",39.810001
"470","2017-10-19",40.25
"471","2017-10-20",50.169998
"472","2017-10-23",49
"473","2017-10-24",49.279999
"474","2017-10-25",48.259998
"475","2017-10-26",47.91
"476","2017-10-27",47.029999
"477","2017-10-30",48.310001
"478","2017-10-31",48.369999
"479","2017-11-01",48.689999
"480","2017-11-02",49.43
"481","2017-11-03",50.990002
"482","2017-11-06",52.060001
"483","2017-11-07",51.810001
"484","2017-11-08",52.939999
"485","2017-11-09",52.330002
"486","2017-11-10",52.400002
"487","2017-11-13",52.27
"488","2017-11-14",52.380001
"489","2017-11-15",51.900002
"490","2017-11-16",52.43
"491","2017-11-17",52.369999
"492","2017-11-20",50.900002
"493","2017-11-21",52.209999
"494","2017-11-22",51.740002
"495","2017-11-24",52.23
"496","2017-11-27",51.549999
"497","2017-11-28",51.189999
"498","2017-11-29",46.59
"499","2017-11-30",46.689999
"500","2017-12-01",47.009998
"501","2017-12-04",44.279999
"502","2017-12-05",44.970001
"503","2017-12-06",45.169998
