"","date","HWC"
"471","2008-11-12",39.68
"472","2008-11-13",42.650002
"473","2008-11-14",40.540001
"474","2008-11-17",40.02
"475","2008-11-18",39.5
"476","2008-11-19",37.450001
"477","2008-11-20",35.66
"478","2008-11-21",37.119999
"479","2008-11-24",41.630001
"480","2008-11-25",41.639999
"481","2008-11-26",42.470001
"482","2008-11-28",43.110001
"483","2008-12-01",35.34
"484","2008-12-02",37.98
"485","2008-12-03",39.5
"486","2008-12-04",38.68
"487","2008-12-05",40.959999
"488","2008-12-08",41.880001
"489","2008-12-09",39.549999
"490","2008-12-10",40.27
"491","2008-12-11",37.970001
"492","2008-12-12",40.139999
"493","2008-12-15",38.849998
"494","2008-12-16",42.299999
"495","2008-12-17",42.48
"496","2008-12-18",42.07
"497","2008-12-19",42.439999
"498","2008-12-22",41.91
"499","2008-12-23",41.32
"500","2008-12-24",41.610001
"501","2008-12-26",42.360001
"502","2008-12-29",41.560001
"503","2008-12-30",43.57
"504","2008-12-31",45.459999
"505","2009-01-02",44.220001
"506","2009-01-05",42.66
"507","2009-01-06",43.240002
"508","2009-01-07",40.900002
"509","2009-01-08",40.529999
"510","2009-01-09",38.279999
"511","2009-01-12",37.619999
"512","2009-01-13",38.75
"513","2009-01-14",36.439999
"514","2009-01-15",35.849998
"515","2009-01-16",36.25
"516","2009-01-20",33
"517","2009-01-21",27.57
"518","2009-01-22",27.219999
"519","2009-01-23",28.540001
"520","2009-01-26",27.530001
"521","2009-01-27",28.280001
"522","2009-01-28",30.35
"523","2009-01-29",28.07
"524","2009-01-30",27.370001
"525","2009-02-02",27.51
"526","2009-02-03",27.41
"527","2009-02-04",27.969999
"528","2009-02-05",28.5
"529","2009-02-06",30.940001
"530","2009-02-09",30.98
"531","2009-02-10",28.459999
"532","2009-02-11",29.26
"533","2009-02-12",29.26
"534","2009-02-13",28.08
"535","2009-02-17",26.93
"536","2009-02-18",26.700001
"537","2009-02-19",26.02
"538","2009-02-20",26.309999
"539","2009-02-23",26.41
"540","2009-02-24",28.299999
"541","2009-02-25",28.209999
"542","2009-02-26",28.870001
"543","2009-02-27",28.360001
"544","2009-03-02",27.58
"545","2009-03-03",26.08
"546","2009-03-04",25.73
"547","2009-03-05",24
"548","2009-03-06",23.75
"549","2009-03-09",22.950001
"550","2009-03-10",26.09
"551","2009-03-11",26.02
"552","2009-03-12",28.879999
"553","2009-03-13",28.73
"554","2009-03-16",28.01
"555","2009-03-17",29.959999
"556","2009-03-18",31.559999
"557","2009-03-19",30.690001
"558","2009-03-20",30.469999
"559","2009-03-23",34.119999
"560","2009-03-24",32.209999
"561","2009-03-25",32.669998
"562","2009-03-26",33.459999
"563","2009-03-27",31.610001
"564","2009-03-30",30.129999
"565","2009-03-31",31.280001
"566","2009-04-01",31.84
"567","2009-04-02",33.240002
"568","2009-04-03",33.759998
"569","2009-04-06",32.720001
"570","2009-04-07",31.299999
"571","2009-04-08",31.4
"572","2009-04-09",34.98
"573","2009-04-13",36.220001
"574","2009-04-14",32.779999
"575","2009-04-15",33.630001
"576","2009-04-16",34.060001
"577","2009-04-17",35.490002
"578","2009-04-20",31.639999
"579","2009-04-21",34.759998
"580","2009-04-22",35.189999
"581","2009-04-23",35.27
"582","2009-04-24",37.75
"583","2009-04-27",36.43
"584","2009-04-28",36.959999
"585","2009-04-29",38.98
"586","2009-04-30",37.869999
"587","2009-05-01",37.220001
"588","2009-05-04",39.950001
"589","2009-05-05",38.299999
"590","2009-05-06",39.5
"591","2009-05-07",37.900002
"592","2009-05-08",41.169998
"593","2009-05-11",40.060001
"594","2009-05-12",39.279999
"595","2009-05-13",36.790001
"596","2009-05-14",37.48
"597","2009-05-15",36.68
"598","2009-05-18",38.73
"599","2009-05-19",36.610001
"600","2009-05-20",34.970001
"601","2009-05-21",34.66
"602","2009-05-22",34.259998
"603","2009-05-26",36.439999
"604","2009-05-27",34.029999
"605","2009-05-28",33.759998
"606","2009-05-29",34.93
"607","2009-06-01",35.049999
"608","2009-06-02",34.400002
"609","2009-06-03",34.07
"610","2009-06-04",35.580002
"611","2009-06-05",34.849998
"612","2009-06-08",35.150002
"613","2009-06-09",35.5
"614","2009-06-10",34.91
"615","2009-06-11",35.419998
"616","2009-06-12",35.93
"617","2009-06-15",34.799999
"618","2009-06-16",34.189999
"619","2009-06-17",33.279999
"620","2009-06-18",34.139999
"621","2009-06-19",34.040001
"622","2009-06-22",32.41
"623","2009-06-23",31.84
"624","2009-06-24",32.23
"625","2009-06-25",33.669998
"626","2009-06-26",33.52
"627","2009-06-29",33.360001
"628","2009-06-30",32.490002
"629","2009-07-01",32.779999
"630","2009-07-02",30.870001
"631","2009-07-06",31.07
"632","2009-07-07",30.959999
"633","2009-07-08",31.139999
"634","2009-07-09",31.879999
"635","2009-07-10",31.889999
"636","2009-07-13",33.84
"637","2009-07-14",33.299999
"638","2009-07-15",34.990002
"639","2009-07-16",34.77
"640","2009-07-17",34
"641","2009-07-20",33.93
"642","2009-07-21",33.619999
"643","2009-07-22",34.25
"644","2009-07-23",36.82
"645","2009-07-24",37.34
"646","2009-07-27",38.110001
"647","2009-07-28",39.099998
"648","2009-07-29",38.91
"649","2009-07-30",40.540001
"650","2009-07-31",40.389999
"651","2009-08-03",40.560001
"652","2009-08-04",41.27
"653","2009-08-05",40.790001
"654","2009-08-06",39.540001
"655","2009-08-07",41.330002
"656","2009-08-10",41.330002
"657","2009-08-11",39.27
"658","2009-08-12",39.439999
"659","2009-08-13",39.330002
"660","2009-08-14",37.900002
"661","2009-08-17",36.709999
"662","2009-08-18",36.529999
"663","2009-08-19",36.990002
"664","2009-08-20",37.849998
"665","2009-08-21",39.43
"666","2009-08-24",38.950001
"667","2009-08-25",38.799999
"668","2009-08-26",39.470001
"669","2009-08-27",38.869999
"670","2009-08-28",38.380001
"671","2009-08-31",38.310001
"672","2009-09-01",36.849998
"673","2009-09-02",36.560001
"674","2009-09-03",36.529999
"675","2009-09-04",36.57
"676","2009-09-08",36.759998
"677","2009-09-09",37.009998
"678","2009-09-10",36.91
"679","2009-09-11",36.919998
"680","2009-09-14",36.849998
"681","2009-09-15",37.400002
"682","2009-09-16",39.34
"683","2009-09-17",38.529999
"684","2009-09-18",38.790001
"685","2009-09-21",38.07
"686","2009-09-22",38.529999
"687","2009-09-23",38.130001
"688","2009-09-24",37.790001
"689","2009-09-25",37.27
"690","2009-09-28",37.93
"691","2009-09-29",37.52
"692","2009-09-30",37.57
"693","2009-10-01",36.75
"694","2009-10-02",35.889999
"695","2009-10-05",36.560001
"696","2009-10-06",36.98
"697","2009-10-07",36.619999
"698","2009-10-08",37.52
"699","2009-10-09",38.290001
"700","2009-10-12",37.369999
"701","2009-10-13",36.950001
"702","2009-10-14",37.310001
"703","2009-10-15",36.970001
"704","2009-10-16",36.529999
"705","2009-10-19",36.700001
"706","2009-10-20",35.650002
"707","2009-10-21",36.400002
"708","2009-10-22",36.82
"709","2009-10-23",36.560001
"710","2009-10-26",36.34
"711","2009-10-27",36.959999
"712","2009-10-28",36.860001
"713","2009-10-29",37.529999
"714","2009-10-30",36.27
"715","2009-11-02",36.029999
"716","2009-11-03",36.349998
"717","2009-11-04",35.849998
"718","2009-11-05",36.299999
"719","2009-11-06",36.040001
"720","2009-11-09",36.27
"721","2009-11-10",35.889999
"722","2009-11-11",36.400002
"723","2009-11-12",36.080002
"724","2009-11-13",36.639999
"725","2009-11-16",38.48
"726","2009-11-17",39
"727","2009-11-18",40.599998
"728","2009-11-19",40.549999
"729","2009-11-20",40.720001
"730","2009-11-23",41.41
"731","2009-11-24",42.290001
"732","2009-11-25",41.639999
"733","2009-11-27",40.549999
"734","2009-11-30",41.400002
"735","2009-12-01",41.400002
"736","2009-12-02",42.040001
"737","2009-12-03",40.860001
"738","2009-12-04",42.34
"739","2009-12-07",41.759998
"740","2009-12-08",41.220001
"741","2009-12-09",40.82
"742","2009-12-10",41.049999
"743","2009-12-11",41
"744","2009-12-14",41.5
"745","2009-12-15",41.5
"746","2009-12-16",41.529999
"747","2009-12-17",40.900002
"748","2009-12-18",42.41
"749","2009-12-21",43.099998
"750","2009-12-22",43.790001
"751","2009-12-23",43.549999
"752","2009-12-24",44.080002
"753","2009-12-28",44.610001
"754","2009-12-29",44.5
"755","2009-12-30",44.540001
"756","2009-12-31",43.810001
"757","2010-01-04",44.950001
"758","2010-01-05",43.650002
"759","2010-01-06",43.32
"760","2010-01-07",44.970001
"761","2010-01-08",45.52
"762","2010-01-11",44.189999
"763","2010-01-12",44.009998
"764","2010-01-13",44.360001
"765","2010-01-14",44.400002
"766","2010-01-15",44.73
"767","2010-01-19",45.369999
"768","2010-01-20",43.060001
"769","2010-01-21",43.84
"770","2010-01-22",43.599998
"771","2010-01-25",43.279999
"772","2010-01-26",41.919998
"773","2010-01-27",42.57
"774","2010-01-28",41.669998
"775","2010-01-29",40.970001
"776","2010-02-01",40.68
"777","2010-02-02",40.299999
"778","2010-02-03",40.130001
"779","2010-02-04",38.950001
"780","2010-02-05",39
"781","2010-02-08",38.619999
"782","2010-02-09",39.189999
"783","2010-02-10",40.34
"784","2010-02-11",40.450001
"785","2010-02-12",40.610001
"786","2010-02-16",40.52
"787","2010-02-17",40.349998
"788","2010-02-18",40.900002
"789","2010-02-19",40.970001
"790","2010-02-22",41.299999
"791","2010-02-23",40.34
"792","2010-02-24",41.509998
"793","2010-02-25",41.32
"794","2010-02-26",40.32
"795","2010-03-01",40.669998
"796","2010-03-02",41.23
"797","2010-03-03",40.560001
"798","2010-03-04",41.02
"799","2010-03-05",41.189999
"800","2010-03-08",41.720001
"801","2010-03-09",41.310001
"802","2010-03-10",42
"803","2010-03-11",42.66
"804","2010-03-12",42.450001
"805","2010-03-15",42.049999
"806","2010-03-16",42.18
"807","2010-03-17",42.549999
"808","2010-03-18",42.59
"809","2010-03-19",42.98
"810","2010-03-22",43.150002
"811","2010-03-23",42.470001
"812","2010-03-24",41.77
"813","2010-03-25",42.16
"814","2010-03-26",41.66
"815","2010-03-29",41.41
"816","2010-03-30",41.57
"817","2010-03-31",41.810001
"818","2010-04-01",42.220001
"819","2010-04-05",42.130001
"820","2010-04-06",42.740002
"821","2010-04-07",42.27
"822","2010-04-08",42.07
"823","2010-04-09",41.900002
"824","2010-04-12",42.450001
"825","2010-04-13",41.849998
"826","2010-04-14",42.91
"827","2010-04-15",43.029999
"828","2010-04-16",42.41
"829","2010-04-19",42.52
"830","2010-04-20",43.200001
"831","2010-04-21",43.709999
"832","2010-04-22",42.98
"833","2010-04-23",42.68
"834","2010-04-26",41
"835","2010-04-27",40.16
"836","2010-04-28",40.529999
"837","2010-04-29",42.099998
"838","2010-04-30",40.880001
"839","2010-05-03",40.209999
"840","2010-05-04",39.360001
"841","2010-05-05",39.369999
"842","2010-05-06",38.360001
"843","2010-05-07",38.439999
"844","2010-05-10",40.110001
"845","2010-05-11",40.580002
"846","2010-05-12",41.720001
"847","2010-05-13",41.220001
"848","2010-05-14",40.549999
"849","2010-05-17",40.720001
"850","2010-05-18",39.580002
"851","2010-05-19",39.470001
"852","2010-05-20",37.669998
"853","2010-05-21",38.139999
"854","2010-05-24",36.880001
"855","2010-05-25",36.970001
"856","2010-05-26",37.77
"857","2010-05-27",38.959999
"858","2010-05-28",38.23
"859","2010-06-01",36.77
"860","2010-06-02",37.400002
"861","2010-06-03",37.439999
"862","2010-06-04",35.73
"863","2010-06-07",35.080002
"864","2010-06-08",34.259998
"865","2010-06-09",34.240002
"866","2010-06-10",34.77
"867","2010-06-11",34.619999
