"","date","EIGI"
"866","2017-04-04",7.65
"867","2017-04-05",7.25
"868","2017-04-06",7.3
"869","2017-04-07",7
"870","2017-04-10",7
"871","2017-04-11",6.95
"872","2017-04-12",6.85
"873","2017-04-13",6.8
"874","2017-04-17",6.85
"875","2017-04-18",6.8
"876","2017-04-19",7.05
"877","2017-04-20",7.1
"878","2017-04-21",7.2
"879","2017-04-24",7.35
"880","2017-04-25",7.55
"881","2017-04-26",7.55
"882","2017-04-27",7.6
"883","2017-04-28",7.6
"884","2017-05-01",7.6
"885","2017-05-02",7.3
"886","2017-05-03",7.5
"887","2017-05-04",7.85
"888","2017-05-05",8.05
"889","2017-05-08",7.85
"890","2017-05-09",7.9
"891","2017-05-10",8.05
"892","2017-05-11",7.95
"893","2017-05-12",7.85
"894","2017-05-15",7.95
"895","2017-05-16",8
"896","2017-05-17",7.4
"897","2017-05-18",7.4
"898","2017-05-19",7.5
"899","2017-05-22",7.55
"900","2017-05-23",7.55
"901","2017-05-24",7.7
"902","2017-05-25",7.65
"903","2017-05-26",7.65
"904","2017-05-30",7.55
"905","2017-05-31",7.55
"906","2017-06-01",7.95
"907","2017-06-02",8
"908","2017-06-05",8.05
"909","2017-06-06",8
"910","2017-06-07",7.8
"911","2017-06-08",8.05
"912","2017-06-09",7.95
"913","2017-06-12",8
"914","2017-06-13",8.25
"915","2017-06-14",8.1
"916","2017-06-15",8.35
"917","2017-06-16",8.45
"918","2017-06-19",8.8
"919","2017-06-20",8.4
"920","2017-06-21",8.45
"921","2017-06-22",8.5
"922","2017-06-23",8.65
"923","2017-06-26",8.35
"924","2017-06-27",8.2
"925","2017-06-28",8.65
"926","2017-06-29",8.55
"927","2017-06-30",8.35
"928","2017-07-03",8.35
"929","2017-07-05",8.35
"930","2017-07-06",8.1
"931","2017-07-07",8.35
"932","2017-07-10",8.5
"933","2017-07-11",8.75
"934","2017-07-12",9.05
"935","2017-07-13",8.85
"936","2017-07-14",9
"937","2017-07-17",9
"938","2017-07-18",9
"939","2017-07-19",9.05
"940","2017-07-20",8.75
"941","2017-07-21",8.7
"942","2017-07-24",9.05
"943","2017-07-25",9.2
"944","2017-07-26",9.25
"945","2017-07-27",9.1
"946","2017-07-28",9
"947","2017-07-31",9.25
"948","2017-08-01",8.2
"949","2017-08-02",7.925
"950","2017-08-03",7.65
"951","2017-08-04",7.6
"952","2017-08-07",7.8
"953","2017-08-08",7.8
"954","2017-08-09",7.7
"955","2017-08-10",7.55
"956","2017-08-11",7.75
"957","2017-08-14",7.95
"958","2017-08-15",7.75
"959","2017-08-16",7.65
"960","2017-08-17",7.5
"961","2017-08-18",7.5
"962","2017-08-21",7.7
"963","2017-08-22",7.75
"964","2017-08-23",7.7
"965","2017-08-24",7.8
"966","2017-08-25",7.3
"967","2017-08-28",7.35
"968","2017-08-29",7.4
"969","2017-08-30",7.65
"970","2017-08-31",7.7
"971","2017-09-01",7.75
"972","2017-09-05",7.6
"973","2017-09-06",7.55
"974","2017-09-07",7.7
"975","2017-09-08",7.5
"976","2017-09-11",7.6
"977","2017-09-12",7.6
"978","2017-09-13",7.6
"979","2017-09-14",7.6
"980","2017-09-15",7.55
"981","2017-09-18",7.75
"982","2017-09-19",7.8
"983","2017-09-20",7.75
"984","2017-09-21",7.8
"985","2017-09-22",7.85
"986","2017-09-25",7.9
"987","2017-09-26",7.95
"988","2017-09-27",7.9
"989","2017-09-28",7.85
"990","2017-09-29",8.2
"991","2017-10-02",8.25
"992","2017-10-03",8.15
"993","2017-10-04",8.15
"994","2017-10-05",8.15
"995","2017-10-06",8.15
