"","date","BSM"
"473","2017-03-15",17.190001
"474","2017-03-16",16.959999
"475","2017-03-17",16.74
"476","2017-03-20",16.620001
"477","2017-03-21",16.58
"478","2017-03-22",16.9
"479","2017-03-23",16.51
"480","2017-03-24",16.57
"481","2017-03-27",16.33
"482","2017-03-28",16.389999
"483","2017-03-29",16.27
"484","2017-03-30",16.16
"485","2017-03-31",16.51
"486","2017-04-03",16.639999
"487","2017-04-04",16.639999
"488","2017-04-05",16.879999
"489","2017-04-06",16.620001
"490","2017-04-07",16.59
"491","2017-04-10",16.629999
"492","2017-04-11",16.67
"493","2017-04-12",16.559999
"494","2017-04-13",16.48
"495","2017-04-17",16.299999
"496","2017-04-18",16.52
"497","2017-04-19",16.5
"498","2017-04-20",16.51
"499","2017-04-21",16.469999
"500","2017-04-24",16.24
"501","2017-04-25",16.34
"502","2017-04-26",16.6
"503","2017-04-27",16.280001
"504","2017-04-28",15.96
"505","2017-05-01",15.94
"506","2017-05-02",15.88
"507","2017-05-03",15.78
"508","2017-05-04",15.68
"509","2017-05-05",15.88
"510","2017-05-08",16.370001
"511","2017-05-09",16.92
"512","2017-05-10",16.790001
"513","2017-05-11",16.799999
"514","2017-05-12",16.91
"515","2017-05-15",16.790001
"516","2017-05-16",16.459999
"517","2017-05-17",16.469999
"518","2017-05-18",16.370001
"519","2017-05-19",16.68
"520","2017-05-22",16.690001
"521","2017-05-23",16.85
"522","2017-05-24",16.809999
"523","2017-05-25",16.360001
"524","2017-05-26",16.530001
"525","2017-05-30",16.360001
"526","2017-05-31",16.33
"527","2017-06-01",16.190001
"528","2017-06-02",16.23
"529","2017-06-05",16.190001
"530","2017-06-06",16.290001
"531","2017-06-07",15.91
"532","2017-06-08",15.73
"533","2017-06-09",15.75
"534","2017-06-12",15.79
"535","2017-06-13",15.7
"536","2017-06-14",15.51
"537","2017-06-15",15.76
"538","2017-06-16",15.56
"539","2017-06-19",15.64
"540","2017-06-20",15.54
"541","2017-06-21",15.45
"542","2017-06-22",15.42
"543","2017-06-23",15.81
"544","2017-06-26",15.93
"545","2017-06-27",15.93
"546","2017-06-28",15.97
"547","2017-06-29",16.049999
"548","2017-06-30",15.76
"549","2017-07-03",16.02
"550","2017-07-05",16
"551","2017-07-06",15.89
"552","2017-07-07",16.110001
"553","2017-07-10",15.91
"554","2017-07-11",16.030001
"555","2017-07-12",16
"556","2017-07-13",16.040001
"557","2017-07-14",16.25
"558","2017-07-17",16.049999
"559","2017-07-18",16
"560","2017-07-19",16.059999
"561","2017-07-20",16.01
"562","2017-07-21",16.08
"563","2017-07-24",16.17
"564","2017-07-25",16.209999
"565","2017-07-26",16.379999
"566","2017-07-27",16.49
"567","2017-07-28",16.690001
"568","2017-07-31",16.629999
"569","2017-08-01",16.6
"570","2017-08-02",16.879999
"571","2017-08-03",16.33
"572","2017-08-04",16.35
"573","2017-08-07",16.5
"574","2017-08-08",16.43
"575","2017-08-09",16.35
"576","2017-08-10",16.459999
"577","2017-08-11",17
"578","2017-08-14",16.969999
"579","2017-08-15",16.469999
"580","2017-08-16",16.450001
"581","2017-08-17",16.33
"582","2017-08-18",16.459999
"583","2017-08-21",16.41
"584","2017-08-22",16.530001
"585","2017-08-23",16.6
"586","2017-08-24",16.68
"587","2017-08-25",16.75
"588","2017-08-28",17.049999
"589","2017-08-29",16.950001
"590","2017-08-30",17
"591","2017-08-31",17.23
"592","2017-09-01",17.68
"593","2017-09-05",17.48
"594","2017-09-06",17.43
"595","2017-09-07",17.33
"596","2017-09-08",17.059999
"597","2017-09-11",16.99
"598","2017-09-12",17.08
"599","2017-09-13",17.25
"600","2017-09-14",17.030001
"601","2017-09-15",17.23
"602","2017-09-18",17.200001
"603","2017-09-19",17.15
"604","2017-09-20",17.219999
"605","2017-09-21",17.200001
"606","2017-09-22",17.209999
"607","2017-09-25",17.389999
"608","2017-09-26",17.48
"609","2017-09-27",17.34
"610","2017-09-28",17.120001
"611","2017-09-29",17.34
"612","2017-10-02",17.34
"613","2017-10-03",17.129999
"614","2017-10-04",17.01
"615","2017-10-05",17.18
"616","2017-10-06",17.01
"617","2017-10-09",16.889999
"618","2017-10-10",16.84
"619","2017-10-11",16.85
"620","2017-10-12",17.209999
"621","2017-10-13",17.219999
"622","2017-10-16",17.25
"623","2017-10-17",17.25
"624","2017-10-18",17.27
"625","2017-10-19",17.25
"626","2017-10-20",17.35
"627","2017-10-23",17.25
"628","2017-10-24",17.290001
"629","2017-10-25",17.35
"630","2017-10-26",17.440001
"631","2017-10-27",17.73
"632","2017-10-30",17.950001
"633","2017-10-31",18.08
"634","2017-11-01",18.34
"635","2017-11-02",18.129999
"636","2017-11-03",18.299999
"637","2017-11-06",18.35
"638","2017-11-07",17.809999
"639","2017-11-08",18.01
"640","2017-11-09",18.01
"641","2017-11-10",18.049999
"642","2017-11-13",17.540001
"643","2017-11-14",17.42
"644","2017-11-15",17.27
"645","2017-11-16",16.879999
"646","2017-11-17",17.110001
"647","2017-11-20",16.790001
"648","2017-11-21",16.99
"649","2017-11-22",17.01
"650","2017-11-24",16.959999
"651","2017-11-27",17.65
"652","2017-11-28",17.75
"653","2017-11-29",17.629999
"654","2017-11-30",17.959999
"655","2017-12-01",18.120001
"656","2017-12-04",17.85
"657","2017-12-05",17.98
"658","2017-12-06",17.780001
"659","2017-12-07",17.93
"660","2017-12-08",18.27
"661","2017-12-11",18.25
"662","2017-12-12",18
"663","2017-12-13",18.110001
"664","2017-12-14",17.73
"665","2017-12-15",17.709999
"666","2017-12-18",17.709999
"667","2017-12-19",17.4
"668","2017-12-20",17.700001
"669","2017-12-21",18.08
"670","2017-12-22",18.17
"671","2017-12-26",18.360001
"672","2017-12-27",17.98
"673","2017-12-28",17.98
"674","2017-12-29",17.940001
"675","2018-01-02",17.98
"676","2018-01-03",18.110001
"677","2018-01-04",18.440001
"678","2018-01-05",18.370001
"679","2018-01-08",18.5
"680","2018-01-09",18.389999
"681","2018-01-10",18.35
"682","2018-01-11",18.629999
"683","2018-01-12",18.959999
"684","2018-01-16",18.530001
"685","2018-01-17",18.68
"686","2018-01-18",18.440001
"687","2018-01-19",18.540001
"688","2018-01-22",18.77
"689","2018-01-23",18.85
"690","2018-01-24",18.84
"691","2018-01-25",18.74
"692","2018-01-26",18.719999
"693","2018-01-29",18.75
"694","2018-01-30",18.440001
"695","2018-01-31",18.360001
"696","2018-02-01",17.940001
"697","2018-02-02",17.700001
"698","2018-02-05",17.530001
"699","2018-02-06",17.67
"700","2018-02-07",17.559999
"701","2018-02-08",17.1
"702","2018-02-09",17.18
"703","2018-02-12",17.469999
"704","2018-02-13",17.360001
"705","2018-02-14",17.780001
"706","2018-02-15",18.110001
"707","2018-02-16",17.93
"708","2018-02-20",17.950001
"709","2018-02-21",17.879999
"710","2018-02-22",17.950001
"711","2018-02-23",18.129999
"712","2018-02-26",18.190001
"713","2018-02-27",17.5
"714","2018-02-28",17.139999
"715","2018-03-01",17.24
"716","2018-03-02",17.379999
"717","2018-03-05",17.33
"718","2018-03-06",17.4
"719","2018-03-07",17.15
"720","2018-03-08",17.09
"721","2018-03-09",17.52
"722","2018-03-12",17.67
"723","2018-03-13",17.450001
"724","2018-03-14",17.200001
"725","2018-03-15",17.049999
"726","2018-03-16",17.5
"727","2018-03-19",17.17
"728","2018-03-20",17.16
"729","2018-03-21",17.299999
"730","2018-03-22",16.950001
"731","2018-03-23",16.959999
"732","2018-03-26",17.040001
"733","2018-03-27",16.58
"734","2018-03-28",16.52
"735","2018-03-29",16.549999
"736","2018-04-02",16.59
"737","2018-04-03",16.75
"738","2018-04-04",16.66
"739","2018-04-05",16.9
"740","2018-04-06",16.91
"741","2018-04-09",16.799999
"742","2018-04-10",17.16
"743","2018-04-11",17.48
"744","2018-04-12",17.49
"745","2018-04-13",17.49
"746","2018-04-16",17.59
"747","2018-04-17",17.6
"748","2018-04-18",17.9
"749","2018-04-19",17.77
