"","date","EXAS"
"410","2008-08-18",0.88
"411","2008-08-19",0.9
"412","2008-08-20",0.89
"413","2008-08-21",0.97
"414","2008-08-22",1.08
"415","2008-08-25",1.15
"416","2008-08-26",1.15
"417","2008-08-27",1.14
"418","2008-08-28",1.1
"419","2008-08-29",1.07
"420","2008-09-02",1.05
"421","2008-09-03",1.07
"422","2008-09-04",1.08
"423","2008-09-05",1.07
"424","2008-09-08",1.07
"425","2008-09-09",0.97
"426","2008-09-10",0.93
"427","2008-09-11",0.83
"428","2008-09-12",0.84
"429","2008-09-15",1
"430","2008-09-16",1.08
"431","2008-09-17",1.07
"432","2008-09-18",1.11
"433","2008-09-19",1.04
"434","2008-09-22",0.98
"435","2008-09-23",0.89
"436","2008-09-24",0.85
"437","2008-09-25",0.87
"438","2008-09-26",0.94
"439","2008-09-29",0.9
"440","2008-09-30",0.87
"441","2008-10-01",0.87
"442","2008-10-02",0.88
"443","2008-10-03",0.97
"444","2008-10-06",0.94
"445","2008-10-07",0.83
"446","2008-10-08",0.87
"447","2008-10-09",0.83
"448","2008-10-10",0.75
"449","2008-10-13",0.91
"450","2008-10-14",1.03
"451","2008-10-15",0.95
"452","2008-10-16",0.91
"453","2008-10-17",0.86
"454","2008-10-20",0.86
"455","2008-10-21",0.85
"456","2008-10-22",0.79
"457","2008-10-23",0.72
"458","2008-10-24",0.69
"459","2008-10-27",0.75
"460","2008-10-28",0.73
"461","2008-10-29",0.72
"462","2008-10-30",0.68
"463","2008-10-31",0.51
"464","2008-11-03",0.76
"465","2008-11-04",0.81
"466","2008-11-05",0.73
"467","2008-11-06",0.77
"468","2008-11-07",0.53
"469","2008-11-10",0.56
"470","2008-11-11",0.49
"471","2008-11-12",0.47
"472","2008-11-13",0.45
"473","2008-11-14",0.4
"474","2008-11-17",0.36
"475","2008-11-18",0.49
"476","2008-11-19",0.49
"477","2008-11-20",0.45
"478","2008-11-21",0.41
"479","2008-11-24",0.35
"480","2008-11-25",0.37
"481","2008-11-26",0.41
"482","2008-11-28",0.44
"483","2008-12-01",0.37
"484","2008-12-02",0.4
"485","2008-12-03",0.44
"486","2008-12-04",0.39
"487","2008-12-05",0.4
"488","2008-12-08",0.41
"489","2008-12-09",0.41
"490","2008-12-10",0.38
"491","2008-12-11",0.39
"492","2008-12-12",0.37
"493","2008-12-15",0.4
"494","2008-12-16",0.38
"495","2008-12-17",0.42
"496","2008-12-18",0.6
"497","2008-12-19",0.53
"498","2008-12-22",0.46
"499","2008-12-23",0.5
"500","2008-12-24",0.55
"501","2008-12-26",0.55
"502","2008-12-29",0.57
"503","2008-12-30",0.55
"504","2008-12-31",0.57
"505","2009-01-02",0.58
"506","2009-01-05",0.65
"507","2009-01-06",0.68
"508","2009-01-07",0.73
"509","2009-01-08",0.89
"510","2009-01-09",0.99
"511","2009-01-12",1.5
"512","2009-01-13",1.57
"513","2009-01-14",1.66
"514","2009-01-15",1.65
"515","2009-01-16",1.58
"516","2009-01-20",1.42
"517","2009-01-21",1.4
"518","2009-01-22",1.38
"519","2009-01-23",1.43
"520","2009-01-26",1.44
"521","2009-01-27",1.49
"522","2009-01-28",1.63
"523","2009-01-29",1.47
"524","2009-01-30",1.49
"525","2009-02-02",1.48
"526","2009-02-03",1.48
"527","2009-02-04",1.46
"528","2009-02-05",1.4
"529","2009-02-06",1.45
"530","2009-02-09",1.43
"531","2009-02-10",1.43
"532","2009-02-11",1.48
"533","2009-02-12",1.48
"534","2009-02-13",1.41
"535","2009-02-17",1.18
"536","2009-02-18",1.28
"537","2009-02-19",1.2
"538","2009-02-20",0.98
"539","2009-02-23",0.88
"540","2009-02-24",0.9
"541","2009-02-25",0.92
"542","2009-02-26",0.9
"543","2009-02-27",0.85
"544","2009-03-02",0.85
"545","2009-03-03",0.78
"546","2009-03-04",0.79
"547","2009-03-05",0.78
"548","2009-03-06",0.77
"549","2009-03-09",0.78
"550","2009-03-10",0.82
"551","2009-03-11",0.91
"552","2009-03-12",0.85
"553","2009-03-13",0.81
"554","2009-03-16",0.83
"555","2009-03-17",0.81
"556","2009-03-18",0.83
"557","2009-03-19",1.16
"558","2009-03-20",1.35
"559","2009-03-23",1.29
"560","2009-03-24",1.26
"561","2009-03-25",1.25
"562","2009-03-26",1.34
"563","2009-03-27",1.28
"564","2009-03-30",1.28
"565","2009-03-31",1.25
"566","2009-04-01",1.18
"567","2009-04-02",1.1
"568","2009-04-03",1.02
"569","2009-04-06",1.09
"570","2009-04-07",1.1
"571","2009-04-08",1.1
"572","2009-04-09",1.07
"573","2009-04-13",1.13
"574","2009-04-14",1.22
"575","2009-04-15",1.44
"576","2009-04-16",1.42
"577","2009-04-17",1.42
"578","2009-04-20",1.43
"579","2009-04-21",1.37
"580","2009-04-22",1.3
"581","2009-04-23",1.34
"582","2009-04-24",1.39
"583","2009-04-27",1.43
"584","2009-04-28",1.57
"585","2009-04-29",1.61
"586","2009-04-30",1.71
"587","2009-05-01",1.79
"588","2009-05-04",1.98
"589","2009-05-05",1.73
"590","2009-05-06",1.86
"591","2009-05-07",1.78
"592","2009-05-08",1.75
"593","2009-05-11",1.72
"594","2009-05-12",1.61
"595","2009-05-13",1.31
"596","2009-05-14",1.33
"597","2009-05-15",1.6
"598","2009-05-18",1.7
"599","2009-05-19",1.73
"600","2009-05-20",1.78
"601","2009-05-21",1.73
"602","2009-05-22",1.64
"603","2009-05-26",1.52
"604","2009-05-27",1.54
"605","2009-05-28",1.64
"606","2009-05-29",2
"607","2009-06-01",1.99
"608","2009-06-02",1.85
"609","2009-06-03",1.76
"610","2009-06-04",1.74
"611","2009-06-05",1.85
"612","2009-06-08",2.09
"613","2009-06-09",2.1
"614","2009-06-10",1.97
"615","2009-06-11",1.99
"616","2009-06-12",2.14
"617","2009-06-15",2.2
"618","2009-06-16",2.23
"619","2009-06-17",2.19
"620","2009-06-18",2.21
"621","2009-06-19",2.22
"622","2009-06-22",2.23
"623","2009-06-23",2.29
"624","2009-06-24",2.32
"625","2009-06-25",2.36
"626","2009-06-26",2.64
"627","2009-06-29",2.9
"628","2009-06-30",2.65
"629","2009-07-01",2.68
"630","2009-07-02",2.65
"631","2009-07-06",2.52
"632","2009-07-07",2.42
"633","2009-07-08",2.49
"634","2009-07-09",2.63
"635","2009-07-10",2.73
"636","2009-07-13",2.7
"637","2009-07-14",2.74
"638","2009-07-15",2.77
"639","2009-07-16",2.9
"640","2009-07-17",2.81
"641","2009-07-20",2.8
"642","2009-07-21",2.72
"643","2009-07-22",2.78
"644","2009-07-23",2.89
"645","2009-07-24",2.81
"646","2009-07-27",2.93
"647","2009-07-28",2.98
"648","2009-07-29",2.93
"649","2009-07-30",2.83
"650","2009-07-31",2.78
"651","2009-08-03",2.88
"652","2009-08-04",2.82
"653","2009-08-05",2.84
"654","2009-08-06",2.85
"655","2009-08-07",2.87
"656","2009-08-10",2.82
"657","2009-08-11",2.82
"658","2009-08-12",2.77
"659","2009-08-13",2.72
"660","2009-08-14",2.59
"661","2009-08-17",2.34
"662","2009-08-18",2.4
"663","2009-08-19",2.35
"664","2009-08-20",2.35
"665","2009-08-21",2.34
"666","2009-08-24",2.37
"667","2009-08-25",2.37
"668","2009-08-26",2.36
"669","2009-08-27",2.32
"670","2009-08-28",2.3
"671","2009-08-31",2.15
"672","2009-09-01",2.2
"673","2009-09-02",2.24
"674","2009-09-03",2.26
"675","2009-09-04",2.52
"676","2009-09-08",2.7
"677","2009-09-09",2.78
"678","2009-09-10",2.82
"679","2009-09-11",2.94
"680","2009-09-14",2.89
"681","2009-09-15",2.84
"682","2009-09-16",2.89
"683","2009-09-17",2.95
"684","2009-09-18",2.9
"685","2009-09-21",2.95
"686","2009-09-22",2.91
"687","2009-09-23",2.89
"688","2009-09-24",2.86
"689","2009-09-25",2.7
"690","2009-09-28",2.84
"691","2009-09-29",2.73
"692","2009-09-30",2.78
"693","2009-10-01",2.74
"694","2009-10-02",2.75
"695","2009-10-05",2.73
"696","2009-10-06",2.72
"697","2009-10-07",2.7
"698","2009-10-08",2.7
"699","2009-10-09",2.68
"700","2009-10-12",2.68
"701","2009-10-13",2.68
"702","2009-10-14",2.69
"703","2009-10-15",2.69
"704","2009-10-16",2.66
"705","2009-10-19",2.74
"706","2009-10-20",2.6
"707","2009-10-21",2.7
"708","2009-10-22",2.7
"709","2009-10-23",2.6
"710","2009-10-26",2.6
