"","date","FRAN"
"668","2014-03-19",242.520004
"669","2014-03-20",240.240005
"670","2014-03-21",244.199997
"671","2014-03-24",247.199997
"672","2014-03-25",250.320007
"673","2014-03-26",206.520004
"674","2014-03-27",213.839996
"675","2014-03-28",218.759995
"676","2014-03-31",217.679993
"677","2014-04-01",224.399994
"678","2014-04-02",234.240005
"679","2014-04-03",237.119995
"680","2014-04-04",228.240005
"681","2014-04-07",216.119995
"682","2014-04-08",215.279999
"683","2014-04-09",216.839996
"684","2014-04-10",207.720001
"685","2014-04-11",204.479996
"686","2014-04-14",207.119995
"687","2014-04-15",202.679993
"688","2014-04-16",199.320007
"689","2014-04-17",193.199997
"690","2014-04-21",198.240005
"691","2014-04-22",199.559998
"692","2014-04-23",197.279999
"693","2014-04-24",199.440002
"694","2014-04-25",192.479996
"695","2014-04-28",194.160004
"696","2014-04-29",197.160004
"697","2014-04-30",196.320007
"698","2014-05-01",196.080002
"699","2014-05-02",195.240005
"700","2014-05-05",194.160004
"701","2014-05-06",187.679993
"702","2014-05-07",183.479996
"703","2014-05-08",188.520004
"704","2014-05-09",192.960007
"705","2014-05-12",202.080002
"706","2014-05-13",203.880005
"707","2014-05-14",201
"708","2014-05-15",196.559998
"709","2014-05-16",201.240005
"710","2014-05-19",200.160004
"711","2014-05-20",192.479996
"712","2014-05-21",189.360001
"713","2014-05-22",192
"714","2014-05-23",192.839996
"715","2014-05-27",193.679993
"716","2014-05-28",188.880005
"717","2014-05-29",191.039993
"718","2014-05-30",184.080002
"719","2014-06-02",180.720001
"720","2014-06-03",181.199997
"721","2014-06-04",181.800003
"722","2014-06-05",180.479996
"723","2014-06-06",180.479996
"724","2014-06-09",183.360001
"725","2014-06-10",162.600006
"726","2014-06-11",168.720001
"727","2014-06-12",171.119995
"728","2014-06-13",176.399994
"729","2014-06-16",179.880005
"730","2014-06-17",180
"731","2014-06-18",178.919998
"732","2014-06-19",177.240005
"733","2014-06-20",178.199997
"734","2014-06-23",178.919998
"735","2014-06-24",178.679993
"736","2014-06-25",177.960007
"737","2014-06-26",173.880005
"738","2014-06-27",176.399994
"739","2014-06-30",176.880005
"740","2014-07-01",180.479996
"741","2014-07-02",180.360001
"742","2014-07-03",184.080002
"743","2014-07-07",179.399994
"744","2014-07-08",178.559998
"745","2014-07-09",177.240005
"746","2014-07-10",174.839996
"747","2014-07-11",170.759995
"748","2014-07-14",172.919998
"749","2014-07-15",170.880005
"750","2014-07-16",167.160004
"751","2014-07-17",165.240005
"752","2014-07-18",166.919998
"753","2014-07-21",163.919998
"754","2014-07-22",161.759995
"755","2014-07-23",162.240005
"756","2014-07-24",163.679993
